,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.deferredRev,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.nonControllingInterests,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-26 00:00:00+00:00,4,2020,323888000000.0,153157000000.0,38016000000.0,112436000000.0,65339000000.0,6643000000.0,4061000000.0,180175000000.0,0.0,143713000000.0,17102536000.0,98667000000.0,0.0,105392000000.0,0.0,258549000000.0,37445000000.0,36766000000.0,0.0,153814000000.0,-406000000.0,14966000000.0,13769000000.0,100887000000.0,52927000000.0,42296000000.0,18792000000.0,-21357000000.0,-703000000.0,2702000000.0,0.0,-1784000000.0,7468000000.0,1724000000.0,5531000000.0,-51000000.0,-3511000000.0,-16737000000.0,20576000000.0,4750000000.0,40009000000.0,4936000000.0,14901000000.0,17057624000.0,0.0,2228000000.0,64698000000.0,4978000000.0,9914000000.0,12673000000.0,14775000000.0,17256516000.0,0.0,12673000000.0,0.748,14901000000.0,12673000000.0,0.74,0.0,24689000000.0,17603000000.0,0.0,5.0,0.0102748282323548,0.38160375900337,1.36360444815546,65339000000.0,0.38160375900337,3.78294774529345,-0.0157894736842106,1.51007820750241,0.751509439519336,3.82042756699942,0.176344019965444
2,2020-06-27 00:00:00+00:00,3,2020,317344000000.0,149744000000.0,33383000000.0,112723000000.0,72282000000.0,6313000000.0,3978000000.0,177279000000.0,0.0,140065000000.0,17337340000.0,94048000000.0,0.0,95318000000.0,0.0,245062000000.0,32075000000.0,35687000000.0,0.0,160234000000.0,-550000000.0,24136000000.0,18675000000.0,100592000000.0,59642000000.0,35325000000.0,14706000000.0,-19116000000.0,2168000000.0,2752000000.0,0.0,-1565000000.0,-2998000000.0,1698000000.0,-5165000000.0,-339000000.0,-3656000000.0,-15891000000.0,16271000000.0,-8010000000.0,37005000000.0,4831000000.0,13137000000.0,17250292000.0,0.0,1884000000.0,59685000000.0,4758000000.0,9589000000.0,11253000000.0,13091000000.0,17419152000.0,0.0,11253000000.0,0.652,13137000000.0,11253000000.0,0.645,0.0,22680000000.0,15889000000.0,0.0,5.0,0.109201063019198,0.37999497361146,1.46944963175895,72282000000.0,0.37999497361146,3.44256962140674,0.185454545454545,1.30112614482167,0.706615143653659,4.16915166917186,0.177462149113282
3,2020-03-28 00:00:00+00:00,2,2020,320400000000.0,145881000000.0,40174000000.0,109507000000.0,78425000000.0,5928000000.0,3334000000.0,176647000000.0,0.0,143753000000.0,17501920000.0,89086000000.0,0.0,96094000000.0,0.0,241975000000.0,30677000000.0,35889000000.0,0.0,152670000000.0,-2789000000.0,33182000000.0,20421000000.0,98793000000.0,53877000000.0,32421000000.0,11458000000.0,-20940000000.0,803000000.0,2786000000.0,0.0,-1853000000.0,11338000000.0,1697000000.0,9013000000.0,-176000000.0,-3375000000.0,-18146000000.0,13311000000.0,1384000000.0,35943000000.0,4952000000.0,13135000000.0,17440404000.0,0.0,1886000000.0,58313000000.0,4565000000.0,9517000000.0,11249000000.0,12853000000.0,17618764000.0,0.0,11249000000.0,0.645,13135000000.0,11249000000.0,0.637,0.0,22370000000.0,15921000000.0,0.0,6.0,0.00513660260277504,0.383619433059524,1.49596228692738,78425000000.0,0.383619433059524,3.33180588186896,0.0436893203883495,1.1359387950271,0.644857706396168,4.48093694863192,0.173146221022823
4,2019-12-28 00:00:00+00:00,1,2020,340618000000.0,148926000000.0,39771000000.0,108292000000.0,89531000000.0,5573000000.0,4097000000.0,177387000000.0,0.0,163231000000.0,17773060000.0,93078000000.0,0.0,102161000000.0,0.0,251087000000.0,39946000000.0,37031000000.0,0.0,167290000000.0,-418000000.0,43977000000.0,15214000000.0,99899000000.0,67391000000.0,45111000000.0,28409000000.0,-25407000000.0,231000000.0,2816000000.0,0.0,-2107000000.0,-10473000000.0,1710000000.0,-13668000000.0,-958000000.0,-3539000000.0,-20704000000.0,30516000000.0,-8559000000.0,56602000000.0,5197000000.0,25918000000.0,17660160000.0,0.0,3682000000.0,91819000000.0,4451000000.0,9648000000.0,22236000000.0,25569000000.0,17818416000.0,0.0,22236000000.0,1.26,25918000000.0,22236000000.0,1.248,0.0,35217000000.0,28734000000.0,0.0,8.0,0.0890641679516071,0.383548067393459,1.59778193243997,89531000000.0,0.383548067393459,5.16618972759896,0.194312796208531,1.03961756263194,0.601849163691527,5.0374555647705,0.17129147495368
5,2019-09-28 00:00:00+00:00,4,2019,338516000000.0,142310000000.0,48844000000.0,108047000000.0,90488000000.0,5522000000.0,4106000000.0,175697000000.0,0.0,162819000000.0,18076720000.0,91807000000.0,0.0,105718000000.0,0.0,248028000000.0,45804000000.0,37378000000.0,0.0,157054000000.0,-584000000.0,45898000000.0,16240000000.0,105341000000.0,51713000000.0,46236000000.0,17133000000.0,-21039000000.0,-293000000.0,3179000000.0,0.0,-2777000000.0,2802000000.0,1499000000.0,-798000000.0,-13000000.0,-3479000000.0,-17054000000.0,19910000000.0,-1927000000.0,39727000000.0,4578000000.0,16127000000.0,17963244000.0,0.0,2441000000.0,64040000000.0,4110000000.0,8688000000.0,13686000000.0,15625000000.0,18081496000.0,0.0,13686000000.0,0.76,16127000000.0,13686000000.0,0.755,0.0,24313000000.0,19306000000.0,0.0,5.0,0.0181240063593004,0.379653341661462,1.54012561720804,90488000000.0,0.379653341661462,3.54267809646883,0.0382513661202186,1.01457651843338,0.538169351539825,5.00577538402985,0.160572826762913
7,2019-06-29 00:00:00+00:00,3,2019,322239000000.0,136079000000.0,50530000000.0,108418000000.0,96456000000.0,5434000000.0,3355000000.0,187266000000.0,0.0,134973000000.0,18404300000.0,84936000000.0,0.0,89704000000.0,0.0,225783000000.0,26474000000.0,37636000000.0,0.0,160080000000.0,-639000000.0,53724000000.0,23482000000.0,115996000000.0,44084000000.0,29115000000.0,9636000000.0,-26804000000.0,-4990000000.0,2933000000.0,0.0,-2000000000.0,30120000000.0,1496000000.0,27502000000.0,-320000000.0,-3629000000.0,-16954000000.0,11636000000.0,12334000000.0,33582000000.0,4426000000.0,11911000000.0,18282532000.0,0.0,1867000000.0,53809000000.0,4257000000.0,8683000000.0,10044000000.0,11544000000.0,18405520000.0,0.0,10044000000.0,0.55,11911000000.0,10044000000.0,0.545,0.0,20227000000.0,14844000000.0,0.0,5.0,0.0102130855158171,0.375903659239161,1.50464862213502,96456000000.0,0.375903659239161,2.92371891351478,-0.0677966101694915,0.880567305299826,0.521299622094044,5.24094912601946,0.158711274142772
8,2019-03-30 00:00:00+00:00,2,2019,341998000000.0,142366000000.0,37988000000.0,112630000000.0,105860000000.0,5532000000.0,4884000000.0,218652000000.0,0.0,123346000000.0,18861120000.0,90201000000.0,0.0,93772000000.0,0.0,236138000000.0,26278000000.0,38746000000.0,0.0,187423000000.0,-1499000000.0,64558000000.0,22429000000.0,145319000000.0,42104000000.0,30443000000.0,8792000000.0,-29457000000.0,-2542000000.0,3040000000.0,0.0,-2363000000.0,15749000000.0,1514000000.0,13348000000.0,-124000000.0,-3443000000.0,-23312000000.0,11155000000.0,-4954000000.0,36194000000.0,4458000000.0,13793000000.0,18696284000.0,0.0,2232000000.0,58015000000.0,3948000000.0,8406000000.0,11561000000.0,13415000000.0,18802584000.0,0.0,11561000000.0,0.618,13793000000.0,11561000000.0,0.615,0.0,21821000000.0,16833000000.0,0.0,4.0,-0.0510656394654628,0.376126863742136,1.3153819903596,105860000000.0,0.376126863742136,3.07590429412463,-0.101744186046512,0.852078216512375,0.512910229495254,5.61260412955328,0.159844656828173
9,2018-12-29 00:00:00+00:00,1,2019,373719000000.0,147544000000.0,44771000000.0,114730000000.0,117892000000.0,5546000000.0,4988000000.0,232891000000.0,0.0,140828000000.0,18981592000.0,92989000000.0,0.0,108283000000.0,0.0,255827000000.0,36981000000.0,39597000000.0,0.0,200264000000.0,-3588000000.0,80510000000.0,21741000000.0,158608000000.0,41656000000.0,44293000000.0,23335000000.0,-13676000000.0,6000000.0,3395000000.0,0.0,-3355000000.0,9422000000.0,1559000000.0,5844000000.0,-167000000.0,-3568000000.0,-8796000000.0,26690000000.0,18858000000.0,52279000000.0,4783000000.0,23906000000.0,18943280000.0,0.0,3941000000.0,84310000000.0,3902000000.0,8685000000.0,19965000000.0,23346000000.0,19093008000.0,0.0,19965000000.0,1.055,23906000000.0,19965000000.0,1.045,0.0,32031000000.0,27301000000.0,0.0,6.0,-0.0451111639654332,0.379919345273396,1.3005550271049,117892000000.0,0.379919345273396,4.44167169961297,0.0765306122448979,0.78876429274251,0.509191074098349,6.21085944740568,0.163255943956054
10,2018-09-29 00:00:00+00:00,4,2018,365725000000.0,142649000000.0,25913000000.0,114483000000.0,107147000000.0,5966000000.0,3956000000.0,234386000000.0,0.0,131339000000.0,19319704000.0,93735000000.0,0.0,115929000000.0,0.0,258578000000.0,48995000000.0,41304000000.0,0.0,211187000000.0,-3454000000.0,70400000000.0,20748000000.0,170799000000.0,40388000000.0,55888000000.0,16482000000.0,-22580000000.0,-27000000.0,2754000000.0,0.0,-3041000000.0,552000000.0,1345000000.0,-3001000000.0,-290000000.0,-3530000000.0,-18763000000.0,19523000000.0,-6058000000.0,38816000000.0,4216000000.0,16421000000.0,19206360000.0,0.0,2296000000.0,62900000000.0,3750000000.0,7966000000.0,14125000000.0,16118000000.0,19390184000.0,0.0,14125000000.0,0.732,16421000000.0,14125000000.0,0.732,0.0,24084000000.0,19175000000.0,0.0,5.0,0.196295098803705,0.382893481717011,1.13292618758033,107147000000.0,0.382893481717011,3.25574346273628,0.402298850574712,0.874826173387962,0.48678892743467,5.54599594279498,0.159898685081701
12,2018-06-30 00:00:00+00:00,3,2018,349197000000.0,145700000000.0,31971000000.0,114600000000.0,114949000000.0,10281000000.0,5936000000.0,233436000000.0,0.0,115761000000.0,19660552000.0,97128000000.0,0.0,88548000000.0,0.0,234248000000.0,26367000000.0,38117000000.0,0.0,211772000000.0,-3111000000.0,79436000000.0,17472000000.0,172773000000.0,38999000000.0,38489000000.0,11221000000.0,-31523000000.0,-6010000000.0,2665000000.0,0.0,-3267000000.0,8079000000.0,1351000000.0,3947000000.0,-126000000.0,-3653000000.0,-20782000000.0,14488000000.0,-13088000000.0,32844000000.0,4108000000.0,13284000000.0,19528668000.0,0.0,1765000000.0,53265000000.0,3701000000.0,7809000000.0,11519000000.0,12612000000.0,19706436000.0,0.0,11519000000.0,0.59,13284000000.0,11519000000.0,0.585,0.0,20421000000.0,15949000000.0,0.0,6.0,0.173031183932347,0.38338496198254,1.30732484076433,114949000000.0,0.38338496198254,2.70923217211806,0.404761904761905,0.8449660284126,0.434977222214687,5.84668222947148,0.149771952719887
