,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.deferredRev,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.nonControllingInterests,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,4,2020,44274830000.0,11261389000.0,4597746000.0,4119520000.0,-1018924000.0,0.0,12589278000.0,11219128000.0,850068000.0,33055702000.0,204141795.0,3618261000.0,0.0,33853077000.0,971330000.0,45114466000.0,13846301000.0,1484808000.0,8592826000.0,0.0,-108830000.0,518335000.0,501259000.0,0.0,0.0,31705055000.0,1217020000.0,-19994000.0,-21046000.0,75549000.0,0.0,-82212000.0,-21250000.0,16832000.0,-101764000.0,0.0,-86814000.0,88140000.0,1299232000.0,1177474000.0,47897921000.0,720966000.0,-6110317000.0,204081000.0,34707000.0,-1298952000.0,49244768000.0,0.0,7459984000.0,-4846072000.0,-6113137000.0,198990000.0,0.0,-4846072000.0,-23.66,-6145024000.0,-4844505000.0,-23.6,0.0,1346847000.0,-6034768000.0,1567000.0,6.0,0.079034612578406,0.0273500527000148,0.976446011096717,-839636000.0,0.0273500527000148,241.228250197369,-39.1612903225806,-3.55106072680592,-1.45306123144944,-4.11300390495734,-0.0815855418757812
2,2020-06-30 00:00:00+00:00,3,2020,40789703000.0,6190181000.0,3420272000.0,4140351000.0,3857252000.0,0.0,11849201000.0,10871131000.0,596024000.0,29918572000.0,203402770.0,3620641000.0,0.0,30631571000.0,2074779000.0,36821752000.0,12548399000.0,1455008000.0,8615677000.0,0.0,-128664000.0,5451221000.0,519710000.0,0.0,0.0,29145149000.0,-194618000.0,-73460000.0,-33355000.0,71591000.0,0.0,-106719000.0,-4250000.0,11816000.0,-110307000.0,0.0,-86223000.0,47694000.0,-87899000.0,-271666000.0,44141061000.0,666885000.0,383754000.0,203654000.0,37748000.0,56567000.0,45366777000.0,0.0,820885000.0,289439000.0,404831000.0,205544000.0,0.0,289439000.0,1.42,346006000.0,287268000.0,1.41,0.0,1225716000.0,455345000.0,-2171000.0,6.0,0.00281861343237999,0.0270179210658937,0.976723394304523,3967951000.0,0.0270179210658937,223.039130686372,-0.013888888888889,0.938658143154764,0.472834723185873,19.5078513434207,0.038759866232634
3,2020-03-31 00:00:00+00:00,2,2020,42042262000.0,6225359000.0,3691938000.0,4145194000.0,3590590000.0,0.0,11102566000.0,10861612000.0,699494000.0,31180650000.0,205891754.0,3622387000.0,0.0,32111790000.0,2123313000.0,38337149000.0,14210170000.0,1421768000.0,8639581000.0,0.0,-132808000.0,5248005000.0,522807000.0,0.0,0.0,30719987000.0,775820000.0,-288102000.0,14928000.0,71758000.0,0.0,-77077000.0,-30580000.0,14389000.0,-105461000.0,0.0,-87453000.0,-215380000.0,852897000.0,459334000.0,46029532000.0,693413000.0,299790000.0,205370000.0,34421000.0,-694908000.0,47417639000.0,0.0,1078592000.0,960277000.0,309515000.0,207062000.0,0.0,960277000.0,4.68,265369000.0,971111000.0,4.64,0.0,1388107000.0,371548000.0,10834000.0,7.0,0.0946000611916979,0.0292740640249929,0.971003173600724,3705113000.0,0.0292740640249929,230.303730376691,35.0,1.00885564767907,0.509924836197205,17.995441429869,0.0396343316244934
4,2019-12-31 00:00:00+00:00,1,2020,40016738000.0,6317201000.0,3232604000.0,4168603000.0,2954626000.0,0.0,11686466000.0,11061922000.0,0.0,28954816000.0,205922186.0,3636114000.0,0.0,30630456000.0,2184500000.0,36947657000.0,12568816000.0,1442383000.0,8846162000.0,0.0,-87731000.0,4375181000.0,532489000.0,0.0,0.0,29181860000.0,75505000.0,-222061000.0,-13981000.0,71846000.0,0.0,-67305000.0,0.0,31374000.0,-62339000.0,0.0,-83088000.0,-115015000.0,142810000.0,-141590000.0,46633528000.0,685953000.0,261667000.0,206008000.0,31007000.0,43020000.0,47864742000.0,0.0,970619000.0,187640000.0,260595000.0,207517000.0,0.0,187640000.0,0.91,230660000.0,186568000.0,0.9,0.0,1231214000.0,333513000.0,-1072000.0,6.0,0.0544647819421609,0.0257227752319233,0.945294970469914,3069081000.0,0.0257227752319233,232.440918240835,-0.510752688172043,1.23065118901682,0.221165888125012,14.904081292144,0.0165992612640716
5,2019-09-30 00:00:00+00:00,4,2019,39171980000.0,6597480000.0,3374194000.0,4493410000.0,2878917000.0,0.0,11060254000.0,11039926000.0,5859000.0,28132054000.0,208325501.0,4354398000.0,0.0,29581294000.0,2144270000.0,36178774000.0,12386879000.0,1770516000.0,9000343000.0,0.0,-111965000.0,4235491000.0,139012000.0,0.0,0.0,28385074000.0,594662000.0,-219388000.0,-2580000.0,74812000.0,0.0,-78160000.0,0.0,10443000.0,-78799000.0,93000.0,-83910000.0,-129879000.0,672822000.0,374635000.0,44453065000.0,721944000.0,181366000.0,212208000.0,36403000.0,12344000.0,45637802000.0,0.0,1004896000.0,132619000.0,179841000.0,213907000.0,0.0,132619000.0,0.62,144963000.0,132307000.0,0.62,0.0,1184737000.0,256178000.0,-312000.0,4.0,0.0540605272367207,0.0259595543185888,0.951008228375676,2993206000.0,0.0259595543185888,219.069685568643,-0.431192660550459,1.51251251772802,0.289023312792432,14.367928965163,0.0219706520157296
7,2019-06-30 00:00:00+00:00,3,2019,38478538000.0,6582470000.0,2999559000.0,4506066000.0,2989422000.0,0.0,11247776000.0,11076760000.0,0.0,27401778000.0,210176951.0,4339929000.0,0.0,28788871000.0,2148257000.0,35371341000.0,11989030000.0,1767426000.0,9036963000.0,0.0,-86883000.0,4186782000.0,166137000.0,0.0,0.0,27807403000.0,498590000.0,-358254000.0,-114476000.0,74501000.0,0.0,-69279000.0,0.0,10562000.0,-85806000.0,-11646000.0,-84636000.0,-157549000.0,567869000.0,123809000.0,44008026000.0,656943000.0,406993000.0,209705000.0,35921000.0,69113000.0,45239265000.0,0.0,824545000.0,301959000.0,406694000.0,211161000.0,0.0,301959000.0,1.44,371072000.0,302002000.0,1.43,0.0,1231239000.0,481494000.0,43000.0,6.0,0.0486055579454499,0.0272161583527053,0.951818430114887,3107197000.0,0.0272161583527053,215.243701960449,0.142857142857143,1.45176191250349,0.32157447489109,14.7837190767888,0.0247955816726682
8,2019-03-31 00:00:00+00:00,2,2019,38810310000.0,6560080000.0,2875750000.0,4642873000.0,2921215000.0,0.0,11373730000.0,11188127000.0,0.0,27622183000.0,211089893.0,4359900000.0,0.0,29211899000.0,2130863000.0,35771979000.0,12222271000.0,1858867000.0,9055678000.0,0.0,-85142000.0,3969459000.0,282973000.0,0.0,0.0,28189390000.0,542109000.0,-205161000.0,-24459000.0,85793000.0,0.0,-82255000.0,0.0,6101000.0,-83609000.0,0.0,-84893000.0,-93761000.0,624364000.0,335594000.0,41894846000.0,628036000.0,61121000.0,210934000.0,43275000.0,-9289000.0,43319602000.0,0.0,1377191000.0,27135000.0,47565000.0,212563000.0,0.0,27135000.0,0.13,17846000.0,28073000.0,0.13,0.0,1424756000.0,146914000.0,938000.0,6.0,0.0557038531448835,0.0328894065093211,0.945579847445043,3038331000.0,0.0328894065093211,205.218740624403,-0.900763358778626,1.49249541714663,0.309953248719429,14.3935408598649,0.024143806558851
9,2018-12-31 00:00:00+00:00,1,2019,39267823000.0,6751353000.0,2540156000.0,4672859000.0,3048453000.0,0.0,11800185000.0,11791616000.0,0.0,27476207000.0,211933493.0,4516583000.0,0.0,29351737000.0,2149438000.0,36103090000.0,11979382000.0,1896943000.0,9622245000.0,0.0,-92883000.0,4027217000.0,156276000.0,0.0,0.0,28336293000.0,399735000.0,-303710000.0,8442000.0,85996000.0,0.0,-79233000.0,0.0,31768000.0,-127618000.0,-52398000.0,-85535000.0,-216608000.0,478968000.0,47640000.0,44094872000.0,656585000.0,476625000.0,212054000.0,42170000.0,40803000.0,45392452000.0,0.0,822854000.0,393652000.0,474726000.0,213969000.0,0.0,393652000.0,1.86,434455000.0,391753000.0,1.84,0.0,1297580000.0,562621000.0,-1899000.0,8.0,0.121733790945026,0.0285858098170154,0.936101567004365,3164733000.0,0.0285858098170154,214.18253130948,-0.529113924050633,1.48159837137066,0.388110590603073,14.932670410901,0.0309862243303851
10,2018-09-30 00:00:00+00:00,4,2018,37669838000.0,6750190000.0,2492516000.0,4662485000.0,2932824000.0,0.0,11918508000.0,11775466000.0,0.0,25894372000.0,216356644.0,4510828000.0,0.0,27869687000.0,2129010000.0,34619877000.0,11314226000.0,1892424000.0,9612100000.0,0.0,-79253000.0,3720582000.0,151657000.0,0.0,0.0,26836873000.0,585393000.0,-476515000.0,-63464000.0,84975000.0,0.0,-79952000.0,0.0,8712000.0,-85242000.0,-2037000.0,-82077000.0,-327844000.0,665345000.0,103588000.0,42264495000.0,657805000.0,194201000.0,215394000.0,43047000.0,-82134000.0,43297136000.0,0.0,878544000.0,233288000.0,154097000.0,217453000.0,0.0,233288000.0,1.09,151154000.0,194004000.0,1.09,0.0,1032641000.0,279176000.0,-39284000.0,6.0,0.106777080734759,0.0238500994615441,0.929123172427448,3049961000.0,0.0238500994615441,200.119280829666,-1.68987341772152,1.53804933402073,0.54856051674483,14.096913982452,0.0440080035732778
12,2018-06-30 00:00:00+00:00,3,2018,38309592000.0,6933989000.0,2388928000.0,4765354000.0,3097821000.0,0.0,12074347000.0,11905191000.0,0.0,26404401000.0,219804069.0,4569762000.0,0.0,28099671000.0,2247269000.0,35033660000.0,11764614000.0,1903357000.0,9713641000.0,0.0,-82020000.0,3569371000.0,195592000.0,0.0,0.0,26449542000.0,743742000.0,-435266000.0,-121565000.0,91321000.0,0.0,-79543000.0,0.0,9396000.0,-90450000.0,-6177000.0,-83431000.0,-227963000.0,823285000.0,297569000.0,41930968000.0,626548000.0,390287000.0,218569000.0,47151000.0,67327000.0,43142309000.0,0.0,822146000.0,275809000.0,389195000.0,220760000.0,0.0,275809000.0,1.26,343136000.0,277875000.0,1.25,0.0,1211341000.0,481608000.0,2066000.0,7.0,0.114582594882226,0.0280777971341311,0.939669400399741,3275932000.0,0.0280777971341311,196.276207243461,4.47826086956522,1.47515366446286,0.385064200233527,14.9038733218355,0.0291280749483783
13,2018-03-31 00:00:00+00:00,2,2018,38395732000.0,6937732000.0,2091359000.0,4892915000.0,3187550000.0,0.0,12867481000.0,11998521000.0,0.0,26397211000.0,219669091.0,4640021000.0,0.0,28094404000.0,2175879000.0,35032136000.0,11265014000.0,1940154000.0,9759889000.0,0.0,-43506000.0,3376993000.0,252894000.0,0.0,0.0,26403594000.0,-182743000.0,-65721000.0,-23469000.0,72711000.0,0.0,-95175000.0,0.0,11600000.0,-793099000.0,-706755000.0,-83978000.0,47950000.0,-87568000.0,-946388000.0,39778175000.0,617426000.0,415264000.0,219200000.0,48637000.0,79172000.0,41033858000.0,0.0,774263000.0,287455000.0,481420000.0,222303000.0,0.0,287455000.0,1.31,366627000.0,282160000.0,1.29,0.0,1255683000.0,487975000.0,-5295000.0,3.0,0.104622552069725,0.0306011440601076,0.939589642122324,3363596000.0,0.0306011440601076,186.79850594001,-0.306878306878307,1.45567002870543,0.32024885143941,15.3121041503286,0.0236325974922759
