,date,quarter,year,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.depamor,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.epsDil,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.opex,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-11-27 00:00:00+00:00,4,2020,92000000.0,1370000000.0,1514000000.0,24284000000.0,306000000.0,-158000000.0,0.0,11020000000.0,1398000000.0,12101000000.0,2004000000.0,3759000000.0,4478000000.0,16138000000.0,602000000.0,1514000000.0,13264000000.0,19611000000.0,0.0,8146000000.0,0.0,4708000000.0,4616000000.0,5508000000.0,5512000000.0,479718983.0,-131000000.0,-103000000.0,0.0,-940000000.0,233000000.0,711000000.0,0.0,0.0,0.0,-850000000.0,-28000000.0,1679000000.0,1782000000.0,212000000.0,1436000000.0,2250000000.0,4.63,2250000000.0,0.0,482000000.0,27000000.0,558000000.0,4.69,0.0,2996000000.0,481000000.0,1781000000.0,1197000000.0,2250000000.0,3424000000.0,1224000000.0,-1053000000.0,1215000000.0,1184000000.0,428000000.0,0.0,0.235044405965481,0.144385026737968,13264000000.0,1.47786647314949,1.66477272727273,0.875,7.13751200460625,0.348009650180941,0.875,27.6495208028906,7.0,0.454202016277011
2,2020-08-28 00:00:00+00:00,3,2020,90000000.0,219000000.0,1497000000.0,22414000000.0,229000000.0,-153000000.0,0.0,10701000000.0,1318000000.0,12184000000.0,1974000000.0,3448000000.0,3767000000.0,15027000000.0,760000000.0,1497000000.0,11713000000.0,17383000000.0,0.0,7387000000.0,0.0,4726000000.0,4636000000.0,5571000000.0,5130000000.0,479665239.0,-315000000.0,-126000000.0,16000000.0,-414000000.0,232000000.0,723000000.0,0.0,0.0,0.0,-319000000.0,-189000000.0,1310000000.0,1436000000.0,214000000.0,1302000000.0,955000000.0,1.97,955000000.0,0.0,485000000.0,28000000.0,566000000.0,1.99,0.0,2798000000.0,480000000.0,1729000000.0,1060000000.0,955000000.0,3225000000.0,1088000000.0,105000000.0,1069000000.0,1122000000.0,427000000.0,0.0,0.179596013629016,0.137967537050106,11713000000.0,1.43996101364522,0.220858895705522,0.867596899224806,6.72343905245967,0.39579953897379,0.867596899224806,24.4191136810729,8.0,0.354309573516254
3,2020-05-29 00:00:00+00:00,2,2020,85000000.0,231000000.0,1307000000.0,21603000000.0,289000000.0,-195000000.0,0.0,10722000000.0,1366000000.0,12230000000.0,1876000000.0,3461000000.0,3044000000.0,14954000000.0,776000000.0,1307000000.0,10881000000.0,16428000000.0,0.0,6649000000.0,0.0,4697000000.0,4612000000.0,5558000000.0,5164000000.0,481800850.0,80000000.0,-96000000.0,-7000000.0,-901000000.0,227000000.0,356000000.0,0.0,0.0,0.0,-849000000.0,176000000.0,1088000000.0,1184000000.0,209000000.0,1237000000.0,1100000000.0,2.27,1100000000.0,0.0,485000000.0,28000000.0,532000000.0,2.28,0.0,2713000000.0,481000000.0,1697000000.0,1000000000.0,1100000000.0,3128000000.0,1028000000.0,-100000000.0,1016000000.0,1125000000.0,415000000.0,0.0,0.176913949227275,0.139941690962099,10881000000.0,1.28756777691712,0.753846153846154,0.8673273657289,6.49230901107792,0.423858101277456,0.8673273657289,22.584019932717,7.0,0.351292284796616
4,2020-02-28 00:00:00+00:00,1,2020,84000000.0,0.0,1483000000.0,21214000000.0,265000000.0,-189000000.0,0.0,10749000000.0,1389000000.0,12317000000.0,1844000000.0,3614000000.0,2688000000.0,14759000000.0,727000000.0,1483000000.0,10465000000.0,15390000000.0,0.0,6455000000.0,0.0,4711000000.0,4627000000.0,5521000000.0,5228000000.0,482130975.0,-48000000.0,-94000000.0,-6000000.0,-1233000000.0,217000000.0,38000000.0,0.0,0.0,-6000000.0,-762000000.0,46000000.0,1231000000.0,1325000000.0,209000000.0,1161000000.0,955000000.0,1.96,955000000.0,0.0,488000000.0,33000000.0,532000000.0,1.98,0.0,2639000000.0,482000000.0,1702000000.0,919000000.0,955000000.0,3091000000.0,952000000.0,-36000000.0,937000000.0,1128000000.0,452000000.0,0.0,0.158243673444742,0.188389081122645,10465000000.0,1.23469778117827,0.434782608695652,0.853769006793918,6.41112096147732,0.442140468227425,0.853769006793918,21.7057201105986,8.0,0.314019132528948
5,2019-11-29 00:00:00+00:00,4,2019,3149000000.0,0.0,1527000000.0,20762000000.0,209000000.0,-188000000.0,0.0,10232000000.0,1535000000.0,12412000000.0,1293000000.0,3501000000.0,2650000000.0,14267000000.0,812000000.0,1527000000.0,10530000000.0,14829000000.0,0.0,6495000000.0,0.0,4138000000.0,989000000.0,2041000000.0,8191000000.0,484078609.0,-169000000.0,-95000000.0,-1000000.0,-766000000.0,203000000.0,441000000.0,0.0,-1000000.0,0.0,-749000000.0,-73000000.0,1282000000.0,1377000000.0,191000000.0,1184000000.0,851000000.0,1.74,851000000.0,0.0,492000000.0,36000000.0,500000000.0,1.76,0.0,2540000000.0,483000000.0,1570000000.0,957000000.0,851000000.0,2992000000.0,993000000.0,106000000.0,970000000.0,1028000000.0,452000000.0,0.0,0.147571536221067,0.213981726166784,10530000000.0,0.792943474545233,0.266187050359712,0.848930481283422,6.18081432307206,0.0939221272554606,0.848930481283422,21.7526653816674,5.0,0.290911234588192
7,2019-08-30 00:00:00+00:00,3,2019,3148587000.0,0.0,1441741000.0,20054880000.0,186999000.0,-193949000.0,0.0,9812107000.0,1371697000.0,12503693000.0,1244011000.0,3255936000.0,2209047000.0,14304784000.0,759616000.0,1441741000.0,10242773000.0,13976701000.0,0.0,5750096000.0,0.0,4137016000.0,988429000.0,2009141000.0,7802966000.0,485438762.0,-165000000.0,-89000000.0,-7000000.0,-624000000.0,196000000.0,126000000.0,0.0,0.0,0.0,-592000000.0,-76000000.0,833000000.0,922000000.0,193000000.0,1068000000.0,793000000.0,1.61,793000000.0,0.0,491000000.0,40000000.0,490000000.0,1.63,0.0,2418000000.0,486000000.0,1564000000.0,835000000.0,793000000.0,2834000000.0,875000000.0,42000000.0,854000000.0,1031000000.0,416000000.0,0.0,0.142494557375961,0.236973369717984,10242773000.0,0.73691157951989,0.198529411764706,0.853211009174312,5.83801752526717,0.0965001372187004,0.853211009174312,21.1000311507881,5.0,0.282020038284042
8,2019-05-31 00:00:00+00:00,2,2019,3145668000.0,0.0,1396069000.0,19665909000.0,169101000.0,-144364000.0,0.0,9734216000.0,1272668000.0,12615023000.0,1205020000.0,3134074000.0,2082910000.0,14323264000.0,817397000.0,1396069000.0,9931693000.0,13183938000.0,0.0,5342645000.0,0.0,4133606000.0,987938000.0,2047119000.0,7687097000.0,487950943.0,10000000.0,-146000000.0,-4000000.0,-772000000.0,204000000.0,344000000.0,0.0,0.0,0.0,-748000000.0,156000000.0,964000000.0,1110000000.0,187000000.0,938000000.0,633000000.0,1.29,633000000.0,0.0,492000000.0,40000000.0,476000000.0,1.3,0.0,2337000000.0,488000000.0,1587000000.0,711000000.0,633000000.0,2744000000.0,751000000.0,78000000.0,750000000.0,1068000000.0,407000000.0,0.0,0.144636530394925,0.249908898768311,9931693000.0,0.695014645971034,-0.0370370370370371,0.85167638483965,5.62351613285026,0.0994732720795941,0.85167638483965,20.3538760247872,5.0,0.278932534032138
9,2019-03-01 00:00:00+00:00,1,2019,892754000.0,0.0,1487411000.0,19505536000.0,145292000.0,-150432000.0,0.0,9634051000.0,1342343000.0,12724818000.0,1104065000.0,3218192000.0,1738846000.0,14371821000.0,805118000.0,1487411000.0,9871485000.0,12579311000.0,0.0,5133715000.0,0.0,4129587000.0,3236833000.0,4320315000.0,5313736000.0,487725915.0,-132000000.0,-65000000.0,-1000000.0,-784000000.0,185000000.0,96000000.0,0.0,-100000000.0,0.0,-428000000.0,33000000.0,948000000.0,1013000000.0,186000000.0,929000000.0,674000000.0,1.36,674000000.0,0.0,494000000.0,41000000.0,465000000.0,1.38,0.0,2204000000.0,488000000.0,1509000000.0,702000000.0,674000000.0,2601000000.0,743000000.0,28000000.0,695000000.0,997000000.0,397000000.0,0.0,0.15585051187913,0.251114145767064,9871485000.0,0.966121576231864,0.169491525423729,0.847366397539408,5.33291326133449,0.327897271788388,0.847366397539408,20.2398205557726,5.0,0.291504709355618
10,2018-11-30 00:00:00+00:00,4,2018,0.0,0.0,1586187000.0,18768682000.0,186258000.0,-148130000.0,0.0,9406568000.0,1315578000.0,12650049000.0,1075072000.0,3053604000.0,1642775000.0,13911643000.0,726512000.0,1586187000.0,9362114000.0,11815597000.0,0.0,4857039000.0,0.0,4124800000.0,4124800000.0,5105442000.0,4301126000.0,488133527.0,-3138583000.0,-62984000.0,1523000.0,1925299000.0,170059000.0,-104072000.0,0.0,-4680959000.0,2248000000.0,-298743000.0,1605360000.0,1044705000.0,1107689000.0,106228000.0,833200000.0,678466000.0,1.36,678466000.0,0.0,496239000.0,27631000.0,416146000.0,1.39,0.0,2105355000.0,489992000.0,1385178000.0,699341000.0,678466000.0,2464617000.0,726972000.0,20875000.0,720177000.0,936201000.0,359262000.0,0.0,0.161178974118846,0.22825831819575,9362114000.0,1.12924824801691,0.362745098039216,0.854232118012657,5.04906314292155,0.440584252659175,0.854232118012657,19.1794119480754,6.0,0.29142115615242
12,2018-08-31 00:00:00+00:00,3,2018,0.0,85297000.0,3197326000.0,15395620000.0,145566000.0,-128048000.0,0.0,6533695000.0,1044507000.0,7806329000.0,1019260000.0,2707374000.0,1747144000.0,9094707000.0,633633000.0,3197326000.0,8861925000.0,11137357000.0,0.0,6300913000.0,0.0,1874654000.0,1874654000.0,2741668000.0,3792027000.0,489662656.0,-1520334000.0,-63558000.0,-4151000.0,-671661000.0,159039000.0,-1240842000.0,0.0,-1618427000.0,815000.0,-624939000.0,161651000.0,891746000.0,955304000.0,86890000.0,809355000.0,666291000.0,1.34,666291000.0,0.0,496866000.0,21107000.0,398957000.0,1.36,0.0,1995584000.0,490025000.0,1276978000.0,701358000.0,666291000.0,2291076000.0,722465000.0,35067000.0,718606000.0,854147000.0,295492000.0,0.0,0.160756501811736,0.244423635334593,8861925000.0,1.66162134394085,0.6,0.871024793590435,4.67888651896705,0.211540269185307,0.871024793590435,18.098020936275,8.0,0.278590322579249
