,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,25454000000.0,7922000000.0,9816000000.0,5275000000.0,11547000000.0,19311000000.0,211000000.0,8762000000.0,0.0,2616000000.0,-2749000000.0,22766000000.0,10255000000.0,4771000000.0,0.0,44795000000.0,22029000000.0,13907000000.0,0.0,1344000000.0,8133000000.0,9416000000.0,5484000000.0,948000000.0,555646889.0,19341000000.0,39000000.0,-1278000000.0,2555000000.0,-1080000000.0,0.0,-5000000.0,238000000.0,617000000.0,-1715000000.0,2149000000.0,-202000000.0,-240000000.0,-198000000.0,-1521000000.0,562000000.0,537000000.0,299000000.0,0.4,640000000.0,1042000000.0,0.4,199000000.0,1000000.0,402000000.0,-26000000.0,225000000.0,100000000.0,561000000.0,226000000.0,14084000000.0,636000000.0,15126000000.0,225000000.0,0.0,0.0,0.0,3.0,-0.0956594523496352,0.0688880074044691,1.63701732940246,19341000000.0,0.0688880074044691,27.222324644384,-0.444444444444444,0.409596194612481,0.0827033427452409,34.80807754509,0.0350138821559208
1,2020,2,2020-06-30 00:00:00+00:00,25030000000.0,8632000000.0,9833000000.0,5212000000.0,12221000000.0,19293000000.0,541000000.0,7626000000.0,0.0,2583000000.0,-2705000000.0,22011000000.0,10284000000.0,5239000000.0,0.0,44341000000.0,22330000000.0,12809000000.0,0.0,1347000000.0,9173000000.0,8737000000.0,5045000000.0,1203000000.0,555496210.0,19311000000.0,24000000.0,53000000.0,320000000.0,219000000.0,0.0,0.0,244000000.0,87000000.0,-3570000000.0,403000000.0,-202000000.0,-3031000000.0,-166000000.0,-3382000000.0,562000000.0,880000000.0,636000000.0,0.84,654000000.0,1108000000.0,0.84,549000000.0,3000000.0,454000000.0,80000000.0,469000000.0,87000000.0,561000000.0,472000000.0,15173000000.0,638000000.0,16281000000.0,469000000.0,0.0,0.0,0.0,4.0,-0.000981775786954686,0.0680547877894478,1.71840112420954,19311000000.0,0.0680547877894478,29.30893083861,1.0,0.446999119672725,0.0927140183491041,34.76351350804,0.0396780499280261
2,2020,1,2020-03-31 00:00:00+00:00,29419000000.0,8613000000.0,9883000000.0,5194000000.0,12102000000.0,19026000000.0,3890000000.0,8830000000.0,0.0,2437000000.0,-2764000000.0,26146000000.0,10241000000.0,5143000000.0,0.0,48395000000.0,22249000000.0,17317000000.0,0.0,1347000000.0,12503000000.0,9218000000.0,5098000000.0,4734000000.0,557887494.0,18976000000.0,51000000.0,-849000000.0,1853000000.0,-655000000.0,0.0,-112000000.0,245000000.0,-4000000.0,3342000000.0,2050000000.0,-203000000.0,4540000000.0,-194000000.0,3668000000.0,564000000.0,703000000.0,458000000.0,0.69,705000000.0,951000000.0,0.69,375000000.0,0.0,246000000.0,-16000000.0,391000000.0,83000000.0,563000000.0,391000000.0,14019000000.0,664000000.0,14970000000.0,391000000.0,0.0,0.0,0.0,2.0,-0.0218243596445373,0.0635270541082164,1.50984581624993,18976000000.0,0.0635270541082164,26.8333672308489,0.682926829268293,0.453889123102867,0.0808149852119619,34.0140264911549,0.034771395606633
3,2019,4,2019-12-31 00:00:00+00:00,24772000000.0,7672000000.0,10106000000.0,5476000000.0,11038000000.0,18958000000.0,1209000000.0,9170000000.0,0.0,2267000000.0,-2405000000.0,21347000000.0,9590000000.0,5132000000.0,0.0,43997000000.0,22650000000.0,13734000000.0,0.0,1194000000.0,8881000000.0,8768000000.0,4458000000.0,852000000.0,556686315.0,19225000000.0,23000000.0,-2075000000.0,2008000000.0,-1813000000.0,0.0,0.0,251000000.0,249000000.0,-230000000.0,2003000000.0,-197000000.0,-35000000.0,-262000000.0,-47000000.0,565000000.0,847000000.0,596000000.0,0.9,757000000.0,1169000000.0,0.89,501000000.0,-5000000.0,412000000.0,-3000000.0,504000000.0,95000000.0,560000000.0,499000000.0,15160000000.0,654000000.0,16329000000.0,504000000.0,0.0,0.0,0.0,4.0,0.0239543487803349,0.0715904219486803,1.55431775156546,19225000000.0,0.0715904219486803,29.3324976023526,0.607142857142857,0.399063719115735,0.0725703535107685,34.5347091925549,0.0321505175790357
5,2019,3,2019-09-30 00:00:00+00:00,22909000000.0,7631000000.0,10101000000.0,5401000000.0,10889000000.0,18651000000.0,1257000000.0,8075000000.0,0.0,2241000000.0,-2395000000.0,19178000000.0,9824000000.0,5409000000.0,0.0,41804000000.0,22626000000.0,12020000000.0,0.0,1302000000.0,8888000000.0,7836000000.0,4415000000.0,932000000.0,556974059.0,18895000000.0,21000000.0,-1109000000.0,1905000000.0,-926000000.0,0.0,-56000000.0,249000000.0,16000000.0,-703000000.0,2077000000.0,-197000000.0,276000000.0,-183000000.0,-456000000.0,563000000.0,848000000.0,599000000.0,0.72,631000000.0,1078000000.0,0.72,502000000.0,1000000.0,447000000.0,95000000.0,407000000.0,97000000.0,562000000.0,408000000.0,15648000000.0,578000000.0,16726000000.0,407000000.0,0.0,0.0,0.0,3.0,0.0586075949367089,0.0644505560205668,1.5955074875208,18895000000.0,0.0644505560205668,30.0301238984633,-0.242105263157895,0.403863455940725,0.0628134072314595,33.9243806685079,0.0282653618678891
6,2019,2,2019-06-30 00:00:00+00:00,23637000000.0,7701000000.0,10245000000.0,5545000000.0,11035000000.0,18497000000.0,1711000000.0,8294000000.0,0.0,2433000000.0,-2130000000.0,19548000000.0,9842000000.0,5457000000.0,0.0,42616000000.0,23068000000.0,12602000000.0,0.0,1305000000.0,9412000000.0,7763000000.0,4385000000.0,849000000.0,560165196.0,18979000000.0,2000000.0,-863000000.0,1617000000.0,-678000000.0,0.0,-94000000.0,248000000.0,-64000000.0,-792000000.0,1850000000.0,-197000000.0,147000000.0,-185000000.0,-501000000.0,566000000.0,628000000.0,380000000.0,0.42,738000000.0,972000000.0,0.42,271000000.0,3000000.0,234000000.0,36000000.0,235000000.0,109000000.0,565000000.0,238000000.0,15325000000.0,602000000.0,16297000000.0,235000000.0,0.0,0.0,0.0,1.0,-0.0451722521677994,0.0596428790574952,1.55118235200762,18979000000.0,0.0596428790574952,29.0932034270833,-0.58,0.405764265767427,0.0695262568360018,33.881076752937,0.0317326661213492
7,2019,1,2019-03-31 00:00:00+00:00,24241000000.0,7675000000.0,10299000000.0,5459000000.0,10880000000.0,18553000000.0,2209000000.0,8946000000.0,0.0,2515000000.0,-2242000000.0,20262000000.0,9604000000.0,5354000000.0,0.0,43151000000.0,22889000000.0,13361000000.0,0.0,1250000000.0,9884000000.0,8154000000.0,4250000000.0,926000000.0,560088795.0,18910000000.0,43000000.0,-2233000000.0,-271000000.0,-2035000000.0,0.0,0.0,245000000.0,-1867000000.0,1065000000.0,1828000000.0,-198000000.0,-1241000000.0,-198000000.0,1305000000.0,566000000.0,660000000.0,415000000.0,0.41,670000000.0,928000000.0,0.41,314000000.0,1000000.0,258000000.0,81000000.0,233000000.0,101000000.0,565000000.0,234000000.0,14376000000.0,659000000.0,15304000000.0,233000000.0,0.0,0.0,0.0,1.0,-0.0142985959036455,0.0606377417668583,1.51650325574433,18910000000.0,0.0606377417668583,27.3242388289521,-0.414285714285714,0.405869910100476,0.0872808061572641,33.762503675868,0.0406396433563419
8,2018,4,2018-12-31 00:00:00+00:00,21837000000.0,7698000000.0,9953000000.0,4041000000.0,10061000000.0,18527000000.0,690000000.0,8813000000.0,0.0,2233000000.0,-2106000000.0,20588000000.0,9823000000.0,5317000000.0,0.0,40833000000.0,20245000000.0,11776000000.0,0.0,1067000000.0,8388000000.0,8173000000.0,4506000000.0,1997000000.0,560644375.0,18996000000.0,21000000.0,-1391000000.0,2007000000.0,-1104000000.0,0.0,-77000000.0,235000000.0,-156000000.0,291000000.0,2438000000.0,-190000000.0,1194000000.0,-287000000.0,557000000.0,567000000.0,642000000.0,407000000.0,0.56,688000000.0,1053000000.0,0.55,310000000.0,2000000.0,365000000.0,-5000000.0,315000000.0,97000000.0,564000000.0,317000000.0,14894000000.0,558000000.0,15947000000.0,315000000.0,0.0,0.0,0.0,4.0,-0.00765401369010577,0.0660312284442215,1.74830163043478,18996000000.0,0.0660312284442215,28.4440560025239,-0.597122302158273,0.405243209096652,0.0959639472463384,33.8824410750576,0.0451506685292357
10,2018,3,2018-09-30 00:00:00+00:00,20664000000.0,6730000000.0,9885000000.0,4065000000.0,9016000000.0,18478000000.0,1122000000.0,8483000000.0,0.0,1934000000.0,-2032000000.0,19465000000.0,9745000000.0,5319000000.0,0.0,39664000000.0,20199000000.0,11648000000.0,0.0,965000000.0,7852000000.0,7601000000.0,4426000000.0,915000000.0,559737398.0,19000000000.0,25000000.0,-677000000.0,1027000000.0,-501000000.0,0.0,0.0,232000000.0,-168000000.0,72000000.0,1387000000.0,-189000000.0,598000000.0,-176000000.0,242000000.0,568000000.0,951000000.0,719000000.0,0.95,535000000.0,1058000000.0,0.94,632000000.0,0.0,523000000.0,96000000.0,536000000.0,87000000.0,565000000.0,536000000.0,14742000000.0,534000000.0,15800000000.0,536000000.0,0.0,0.0,0.0,5.0,0.0656235246509747,0.0669620253164557,1.67110233516484,19000000000.0,0.0669620253164557,28.2275225069024,1.79411764705882,0.354210526315789,0.122132912492811,33.9444890905789,0.0572603804818099
11,2018,2,2018-06-30 00:00:00+00:00,20043000000.0,5981000000.0,9948000000.0,3834000000.0,8325000000.0,18132000000.0,1642000000.0,7953000000.0,0.0,1900000000.0,-1911000000.0,18647000000.0,9689000000.0,5388000000.0,0.0,38755000000.0,20108000000.0,11718000000.0,0.0,1002000000.0,7623000000.0,6903000000.0,4301000000.0,851000000.0,559184185.0,18712000000.0,34000000.0,212000000.0,1368000000.0,395000000.0,0.0,0.0,239000000.0,-120000000.0,-1453000000.0,1668000000.0,-189000000.0,310000000.0,-183000000.0,-1283000000.0,567000000.0,980000000.0,741000000.0,1.0,584000000.0,1181000000.0,1.0,652000000.0,0.0,597000000.0,86000000.0,566000000.0,89000000.0,564000000.0,566000000.0,15887000000.0,560000000.0,17068000000.0,566000000.0,0.0,0.0,0.0,7.0,0.142207053469852,0.0691938129833607,1.59131251066735,18712000000.0,0.0691938129833607,30.523037771535,1.08333333333333,0.319634459170586,0.105742487866063,33.4630350820812,0.0488453084950279
