,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.accoci,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.revenue,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.rnd,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.taxExp,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opinc,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2021,1,2020-09-30 00:00:00+00:00,36581200000.0,42390100000.0,5808900000.0,0.0,0.0,3542200000.0,0.0,2324300000.0,575400000.0,7574700000.0,34815400000.0,0.0,1180500000.0,0.0,876000000.0,18644700000.0,15900000.0,2505200000.0,32329600000.0,0.0,429965405.0,2324300000.0,111200000.0,4251600000.0,1613100000.0,0.0,362200000.0,37900000.0,264200000.0,-391000000.0,-221500000.0,481900000.0,33800000.0,3308100000.0,-23100000.0,-119700000.0,383900000.0,2524100000.0,131100000.0,0.0,430000000.0,602100000.0,1436400000.0,1.4,3470700000.0,602100000.0,0.0,15100000.0,1.4,681000000.0,0.0,780300000.0,428600000.0,163100000.0,681000000.0,765200000.0,602100000.0,2034300000.0,0.0,911400000.0,0.0,755400000.0,5.0,-0.00715164344766428,0.413864638257412,1.07688929030981,5808900000.0,0.413864638257412,8.07204477299749,0.037037037037037,0.400127390728021,0.443643436443287,13.5101567066774,0.0571545485475729
1,2020,4,2020-06-30 00:00:00+00:00,33413300000.0,39165500000.0,5752200000.0,1015400000.0,0.0,3525200000.0,0.0,2362600000.0,583100000.0,7601400000.0,31564100000.0,0.0,1197600000.0,0.0,772000000.0,18436300000.0,-14800000.0,2459900000.0,30126600000.0,0.0,429774376.0,1347200000.0,102000000.0,3286700000.0,1908500000.0,0.0,566300000.0,6900000.0,2677700000.0,-391600000.0,16700000.0,776600000.0,24100000.0,-1465400000.0,13000000.0,-210300000.0,2888000000.0,-4926600000.0,124500000.0,0.0,430300000.0,411600000.0,1309700000.0,0.96,3376800000.0,411600000.0,0.0,15600000.0,0.97,765600000.0,0.0,546900000.0,429000000.0,119700000.0,765600000.0,531300000.0,411600000.0,2067100000.0,0.0,671400000.0,0.0,544100000.0,7.0,-0.0294599488402839,0.387852404643449,1.04771530806663,5752200000.0,0.387852404643449,7.8571459551139,-0.118181818181818,0.234206042905323,0.449107793153678,13.384232102288,0.0582673352114007
3,2020,3,2020-03-31 00:00:00+00:00,37892700000.0,43383400000.0,5490700000.0,1001800000.0,0.0,3406000000.0,0.0,2365800000.0,593900000.0,7674700000.0,35708700000.0,0.0,1264200000.0,0.0,782300000.0,18416500000.0,-234400000.0,2642200000.0,34672800000.0,3200000.0,431754252.0,1364000000.0,115500000.0,3219900000.0,1705000000.0,3200000.0,986800000.0,-29200000.0,603500000.0,-392900000.0,-353500000.0,1118700000.0,33400000.0,-4796100000.0,-500000.0,-131900000.0,735400000.0,-6489100000.0,120600000.0,0.0,431800000.0,820900000.0,1808700000.0,1.9,4047800000.0,820900000.0,0.0,20000000.0,1.91,756600000.0,0.0,1096700000.0,430000000.0,255800000.0,756600000.0,1076700000.0,820900000.0,2239100000.0,0.0,1217300000.0,0.0,1052100000.0,9.0,0.0573637740974871,0.446835317950492,1.02987644493667,5490700000.0,0.446835317950492,9.37524061720184,0.0977011494252873,0.248420055730599,0.468233737514862,12.7171880174095,0.0588287264044565
4,2020,2,2019-12-31 00:00:00+00:00,43695000000.0,49059400000.0,5364400000.0,1001600000.0,0.0,3417400000.0,0.0,2364800000.0,591400000.0,7694400000.0,41365000000.0,0.0,1261500000.0,0.0,740500000.0,17987600000.0,-231200000.0,2609500000.0,40522400000.0,7200000.0,432698089.0,1363200000.0,132900000.0,3172600000.0,1500400000.0,7200000.0,574900000.0,20900000.0,-247100000.0,-342700000.0,-277700000.0,698100000.0,36200000.0,11042900000.0,-3965600000.0,-123200000.0,-123900000.0,10571000000.0,117600000.0,0.0,433300000.0,651600000.0,1575400000.0,1.5,3669500000.0,651600000.0,0.0,31600000.0,1.51,754300000.0,0.0,867100000.0,431500000.0,183900000.0,754300000.0,835500000.0,651600000.0,2094100000.0,0.0,984700000.0,0.0,821100000.0,7.0,0.0507101133890735,0.429322796021256,1.02079343770359,5364400000.0,0.429322796021256,8.48050891206963,0.1796875,0.254119752442025,0.461012952010182,12.3975587976308,0.0557079376064766
5,2020,1,2019-09-30 00:00:00+00:00,32354000000.0,37714700000.0,5360700000.0,4966600000.0,0.0,3382200000.0,0.0,6325400000.0,591300000.0,8206200000.0,29508500000.0,0.0,1271100000.0,0.0,831900000.0,17729600000.0,-233900000.0,2512500000.0,29200900000.0,3545100000.0,433942837.0,1358800000.0,108800000.0,3153100000.0,1403900000.0,3545100000.0,311200000.0,-33100000.0,122200000.0,-343300000.0,-341800000.0,432800000.0,37100000.0,-4524000000.0,3702500000.0,-121600000.0,243800000.0,-5045900000.0,117300000.0,0.0,435400000.0,582400000.0,1450900000.0,1.34,3495700000.0,582400000.0,0.0,39900000.0,1.35,726500000.0,0.0,779000000.0,432700000.0,156700000.0,726500000.0,739100000.0,582400000.0,2044800000.0,0.0,896300000.0,0.0,724400000.0,5.0,0.0560070084282391,0.415052779128644,1.01053392189967,5360700000.0,0.415052779128644,8.05566932310027,0.163793103448276,0.253474359691831,0.456354383819515,12.3534704180403,0.0568938507247682
6,2019,4,2019-06-30 00:00:00+00:00,36487800000.0,41887700000.0,5399900000.0,262000000.0,0.0,3394500000.0,0.0,2264200000.0,620000000.0,7545400000.0,34342300000.0,0.0,764200000.0,0.0,714700000.0,17500600000.0,-257300000.0,2463100000.0,32627700000.0,10500000.0,435228237.0,2002200000.0,125500000.0,3860100000.0,1949200000.0,10500000.0,616000000.0,5300000.0,-999800000.0,-343400000.0,-154700000.0,732300000.0,45100000.0,-7415300000.0,261500000.0,-116300000.0,-878400000.0,-7153100000.0,109400000.0,-5100000.0,436100000.0,475400000.0,1478200000.0,1.09,3479300000.0,475400000.0,0.0,33700000.0,1.1,854800000.0,0.0,667000000.0,433500000.0,157900000.0,854800000.0,633300000.0,475400000.0,2001100000.0,0.0,776400000.0,0.0,623400000.0,7.0,0.0663867349128022,0.424855574397149,1.05255044027008,5399900000.0,0.424855574397149,7.99419638758411,2.33333333333333,0.370784644160077,0.456513081916292,12.4070534513596,0.0551438003210929
8,2019,3,2019-03-31 00:00:00+00:00,42950100000.0,48196300000.0,5246200000.0,0.0,0.0,3379000000.0,0.0,2002300000.0,634500000.0,7272300000.0,40924000000.0,0.0,765800000.0,0.0,715500000.0,17368600000.0,-411900000.0,2510800000.0,39166000000.0,0.0,435629656.0,2002300000.0,156300000.0,3784100000.0,1826200000.0,0.0,793600000.0,-2000000.0,-728700000.0,-344600000.0,-189000000.0,1024500000.0,45200000.0,8727500000.0,-1206500000.0,-230900000.0,-497800000.0,8433700000.0,103100000.0,0.0,436600000.0,753700000.0,1735600000.0,1.73,3828200000.0,753700000.0,0.0,21700000.0,1.74,750400000.0,0.0,1006200000.0,434100000.0,230800000.0,750400000.0,984500000.0,753700000.0,2092600000.0,0.0,1109300000.0,0.0,985200000.0,8.0,0.0357683982683983,0.45337234209289,1.04488587039779,5246200000.0,0.45337234209289,8.7877396482851,0.16,0.38166673020472,0.40323709896627,12.0427981147362,0.0479749908739229
9,2019,2,2018-12-31 00:00:00+00:00,34042400000.0,38806300000.0,4763900000.0,1206000000.0,0.0,3248100000.0,0.0,3208300000.0,634200000.0,7123700000.0,31682600000.0,0.0,772700000.0,0.0,609900000.0,16959100000.0,-615000000.0,2663300000.0,30296900000.0,0.0,437732499.0,2002300000.0,151300000.0,3745500000.0,2785600000.0,0.0,687900000.0,-19500000.0,-16500000.0,-302400000.0,-269600000.0,782300000.0,38600000.0,1075700000.0,757000000.0,-94400000.0,78600000.0,329400000.0,97500000.0,-700000.0,438000000.0,558200000.0,1492200000.0,1.27,3492400000.0,558200000.0,0.0,38600000.0,1.28,745200000.0,0.0,779600000.0,435700000.0,182800000.0,745200000.0,741000000.0,558200000.0,2000200000.0,0.0,877100000.0,0.0,747000000.0,7.0,0.0784670969335763,0.427270644828771,1.04573735266644,4763900000.0,0.427270644828771,7.97838864598445,-0.157894736842105,0.420306891412498,0.409824360988148,10.8831307039873,0.0468902383848946
10,2019,1,2018-09-30 00:00:00+00:00,32737900000.0,37416700000.0,4678800000.0,453000000.0,0.0,3242200000.0,0.0,2455400000.0,657600000.0,7460800000.0,29955900000.0,0.0,787700000.0,0.0,608600000.0,16741100000.0,-740100000.0,2241600000.0,29037300000.0,0.0,438082756.0,2002400000.0,131800000.0,3700600000.0,1490300000.0,0.0,32200000.0,-12600000.0,-452700000.0,-302600000.0,-251500000.0,149200000.0,38400000.0,-2133800000.0,447900000.0,-117000000.0,-216000000.0,-1817700000.0,99000000.0,-119700000.0,439900000.0,505400000.0,1382700000.0,1.15,3310300000.0,505400000.0,0.0,35900000.0,1.16,713900000.0,0.0,682700000.0,436800000.0,141400000.0,713900000.0,646800000.0,505400000.0,1927600000.0,0.0,781700000.0,0.0,668800000.0,5.0,0.0757506824385805,0.417696281303809,1.03163517269168,4678800000.0,0.417696281303809,7.55633485833896,0.247311827956989,0.427972984525947,0.455295221322467,10.6801738619449,0.04798006754134
11,2018,4,2018-06-30 00:00:00+00:00,34113200000.0,38849100000.0,4735900000.0,0.0,0.0,3129900000.0,0.0,2002400000.0,673800000.0,7025800000.0,31823300000.0,0.0,793700000.0,0.0,565900000.0,16546600000.0,-679800000.0,2009700000.0,30412700000.0,0.0,440522324.0,2002400000.0,135400000.0,3700500000.0,2170000000.0,0.0,590200000.0,-47300000.0,-546600000.0,-278600000.0,-369900000.0,705200000.0,56000000.0,-6902800000.0,-500000.0,-115000000.0,-431600000.0,-7014100000.0,99300000.0,0.0,440900000.0,140900000.0,1373900000.0,0.32,3262700000.0,140900000.0,0.0,28600000.0,0.33,810400000.0,0.0,283500000.0,437900000.0,114000000.0,810400000.0,254900000.0,140900000.0,1888800000.0,0.0,382800000.0,0.0,563500000.0,6.0,0.0672532792515783,0.421092959818555,1.04638193912412,4735900000.0,0.421092959818555,7.40643509362763,-0.541666666666667,0.422812981693026,0.452836988053839,10.7506469978579,0.0462208468304549
