,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,10117200000.0,7952900000.0,15996700000.0,0.0,3474800000.0,318000000.0,21814900000.0,0.0,1049800000.0,2317300000.0,5879500000.0,10614600000.0,191469000.0,0.0,6702500000.0,531400000.0,8027200000.0,805100000.0,4876200000.0,4558200000.0,0.0,-870400000.0,11200300000.0,0.0,5771700000.0,0.0,-86600000.0,-20700000.0,472100000.0,25400000.0,585400000.0,38400000.0,17700000.0,-128700000.0,564700000.0,-23000000.0,-400000.0,-70600000.0,133900000.0,-1900000.0,0.0,873500000.0,0.0,1849100000.0,198300000.0,48100000.0,176600000.0,176600000.0,11200000.0,0.92,246400000.0,21700000.0,319300000.0,1007400000.0,0.9,380300000.0,187800000.0,1326700000.0,522400000.0,191469000.0,0.0,7.0,0.0130944554021477,0.7174841814937,1.10705531174633,5818200000.0,0.7174841814937,9.6574380186871,0.352941176470588,0.789749987005562,0.144572470424755,30.3871645018254,0.0370894961742934
1,2020-06-30 00:00:00+00:00,2,2020,9864000000.0,7950500000.0,15771700000.0,0.0,3002700000.0,328600000.0,21306200000.0,0.0,1012100000.0,2228300000.0,5907700000.0,10545800000.0,189621000.0,0.0,6873500000.0,519600000.0,7982400000.0,823600000.0,4951900000.0,4623300000.0,0.0,-982200000.0,10760400000.0,0.0,5488600000.0,0.0,-86100000.0,-29300000.0,369500000.0,34300000.0,693600000.0,111100000.0,18900000.0,-400400000.0,664300000.0,-34800000.0,-200000.0,-266400000.0,122600000.0,-5300000.0,0.0,815600000.0,0.0,1584000000.0,163600000.0,50000000.0,153700000.0,153700000.0,8100000.0,0.81,213600000.0,9900000.0,269800000.0,938200000.0,0.79,336200000.0,161800000.0,1208000000.0,376000000.0,189621000.0,0.0,6.0,-0.0445168295331162,0.762626262626263,1.09087591240876,5534500000.0,0.762626262626263,8.35350514974607,0.372881355932204,0.842345953430747,0.141268905146489,29.1871680879227,0.0358042427978303
2,2020-03-31 00:00:00+00:00,1,2020,9837800000.0,7778700000.0,15766400000.0,0.0,2633200000.0,577600000.0,20836500000.0,0.0,1003800000.0,2161400000.0,5928600000.0,10309300000.0,188247000.0,0.0,7094300000.0,491500000.0,7802000000.0,829100000.0,5212100000.0,4634500000.0,0.0,-1231100000.0,10527200000.0,0.0,5029500000.0,0.0,-87400000.0,-29500000.0,9300000.0,23900000.0,108600000.0,-142200000.0,18600000.0,147900000.0,79100000.0,-105000000.0,-400000.0,308500000.0,172400000.0,-75100000.0,0.0,896200000.0,0.0,1866900000.0,346900000.0,50500000.0,346300000.0,346300000.0,9100000.0,1.83,397400000.0,600000.0,355200000.0,1068600000.0,1.79,569800000.0,355400000.0,1423800000.0,443100000.0,188247000.0,0.0,5.0,-0.0621420677182759,0.762654668166479,1.07007664315192,5070100000.0,0.762654668166479,9.91728951855806,0.011049723756906,0.921463366139775,0.13683147726759,26.9332313396761,0.0345486230014687
3,2019-12-31 00:00:00+00:00,4,2019,8921000000.0,6348500000.0,14419300000.0,0.0,2623900000.0,790600000.0,19634800000.0,0.0,945600000.0,1901300000.0,5498300000.0,10517300000.0,186523000.0,0.0,5419200000.0,503800000.0,7937200000.0,860900000.0,4947600000.0,4157000000.0,0.0,-759600000.0,9117500000.0,0.0,5155500000.0,0.0,-81300000.0,-31100000.0,16600000.0,18100000.0,350100000.0,53000000.0,15900000.0,9700000.0,319000000.0,-396200000.0,-51000000.0,126000000.0,129600000.0,-314100000.0,0.0,857400000.0,0.0,1721400000.0,76900000.0,48100000.0,98500000.0,98500000.0,7100000.0,0.53,125000000.0,-21600000.0,173200000.0,987000000.0,0.51,254600000.0,105600000.0,1160200000.0,561200000.0,186523000.0,0.0,4.0,0.0386146977193194,0.673986290228883,1.02202667862347,5215500000.0,0.673986290228883,9.22888866252419,-0.171875,0.806323344001552,0.135394893337045,27.9616990934094,0.0349059176438506
5,2019-09-30 00:00:00+00:00,3,2019,8910900000.0,6573900000.0,14261800000.0,0.0,2607300000.0,660100000.0,19173800000.0,0.0,952800000.0,1884200000.0,5350900000.0,9845200000.0,186070000.0,0.0,5684700000.0,493900000.0,7388300000.0,843300000.0,4811200000.0,4151100000.0,0.0,-925100000.0,9328600000.0,0.0,4843300000.0,0.0,-80100000.0,-32400000.0,60700000.0,18000000.0,349500000.0,-49800000.0,15500000.0,8600000.0,317100000.0,-247600000.0,-300000.0,103600000.0,119300000.0,-214900000.0,0.0,838700000.0,0.0,1825200000.0,103800000.0,46600000.0,126100000.0,126100000.0,11000000.0,0.68,150400000.0,-22300000.0,201800000.0,958000000.0,0.66,269700000.0,137100000.0,1159800000.0,665400000.0,186070000.0,0.0,4.0,0.0262580826539218,0.635437212360289,1.04687517534705,4912000000.0,0.635437212360289,9.80921158703714,-0.0285714285714285,0.857080915904445,0.143985676817489,26.39866716827,0.0375023009428753
6,2019-06-30 00:00:00+00:00,2,2019,8932500000.0,6873800000.0,14252500000.0,0.0,2546600000.0,562300000.0,19200300000.0,0.0,905700000.0,1839300000.0,5320000000.0,9652900000.0,185252000.0,0.0,6007600000.0,504300000.0,7250700000.0,826400000.0,4705300000.0,4143000000.0,0.0,-802500000.0,9547400000.0,0.0,4879400000.0,0.0,-80100000.0,-36000000.0,5800000.0,32300000.0,515800000.0,-31200000.0,16200000.0,112700000.0,479800000.0,-591500000.0,-300000.0,195100000.0,115000000.0,-555200000.0,0.0,806300000.0,0.0,1657800000.0,94200000.0,44900000.0,110100000.0,110100000.0,11300000.0,0.59,139100000.0,-15900000.0,186800000.0,921300000.0,0.58,254100000.0,121400000.0,1108100000.0,549700000.0,185252000.0,0.0,6.0,-0.00156588773789446,0.668415972976234,1.06883851105514,4947800000.0,0.668415972976234,8.94889124004059,-0.0634920634920636,0.849079804894044,0.146592849051486,26.7084835791247,0.0392200385882835
7,2019-03-31 00:00:00+00:00,1,2019,8637900000.0,6741400000.0,13673200000.0,0.0,2540800000.0,494800000.0,18631400000.0,0.0,869900000.0,1810200000.0,5035300000.0,8961900000.0,184060000.0,0.0,6253200000.0,480100000.0,6642300000.0,819000000.0,4515000000.0,4020200000.0,0.0,-721500000.0,9669500000.0,0.0,4880300000.0,0.0,-79600000.0,-39300000.0,304000000.0,32800000.0,-96200000.0,34100000.0,13600000.0,507400000.0,-135500000.0,-141300000.0,-400000.0,574500000.0,110500000.0,-101600000.0,0.0,837100000.0,0.0,1990600000.0,304200000.0,40200000.0,334100000.0,334100000.0,17600000.0,1.81,344400000.0,-29900000.0,398000000.0,947600000.0,1.77,454900000.0,351700000.0,1345600000.0,645000000.0,184060000.0,0.0,5.0,0.0832018283724221,0.67597709233397,1.11942717558666,4958200000.0,0.67597709233397,10.8149516462023,0.198675496688742,0.823760834374936,0.15111638618632,26.9379550146691,0.0412357043318586
8,2018-12-31 00:00:00+00:00,4,2018,7693600000.0,5740200000.0,11764300000.0,0.0,2236800000.0,519000000.0,16334000000.0,0.0,806200000.0,1558600000.0,4070700000.0,8215300000.0,183652000.0,0.0,4857500000.0,457700000.0,6398600000.0,436900000.0,3610400000.0,3091400000.0,0.0,-785600000.0,8118700000.0,0.0,4498900000.0,0.0,-75600000.0,-33600000.0,-23700000.0,12000000.0,260500000.0,-32900000.0,13500000.0,5200000.0,226900000.0,-256500000.0,-15500000.0,98900000.0,109800000.0,-207400000.0,0.0,760100000.0,0.0,1657400000.0,32700000.0,36500000.0,117300000.0,117300000.0,10500000.0,0.64,69200000.0,-84600000.0,116200000.0,869900000.0,0.62,179000000.0,127800000.0,986100000.0,671300000.0,183652000.0,0.0,5.0,0.0908253257864946,0.594968022203451,1.05525371737548,4569700000.0,0.594968022203451,9.02467710670181,0.641025641025641,0.687145746738091,0.14076526530975,24.8823862522597,0.0391008954321081
10,2018-09-30 00:00:00+00:00,3,2018,7422600000.0,5693600000.0,11502000000.0,0.0,2260500000.0,389300000.0,16114700000.0,0.0,743400000.0,1517600000.0,4079400000.0,8030700000.0,182612000.0,0.0,4872000000.0,472700000.0,6273400000.0,429300000.0,3530500000.0,3141200000.0,0.0,-673400000.0,8084000000.0,0.0,4544500000.0,0.0,-75300000.0,-28100000.0,-84200000.0,22200000.0,191300000.0,-22600000.0,13500000.0,-44800000.0,163200000.0,-208100000.0,-400000.0,48500000.0,106200000.0,-179600000.0,0.0,765700000.0,0.0,1778500000.0,79500000.0,36700000.0,127600000.0,127600000.0,10800000.0,0.7,116200000.0,-48100000.0,170100000.0,871900000.0,0.68,222400000.0,138400000.0,1042000000.0,736500000.0,182612000.0,0.0,6.0,0.11595657902993,0.585886983412989,1.08910624309541,4612700000.0,0.585886983412989,9.73922852824568,0.147540983606557,0.691209153922324,0.132526792308169,25.2595667316496,0.0370891603978391
11,2018-06-30 00:00:00+00:00,2,2018,7568600000.0,5982700000.0,11717400000.0,0.0,2344700000.0,346100000.0,16230500000.0,0.0,716300000.0,1466000000.0,4148800000.0,7865500000.0,182273000.0,0.0,5142200000.0,471800000.0,6134900000.0,427600000.0,3487100000.0,3141000000.0,0.0,-651400000.0,8365000000.0,0.0,4443600000.0,0.0,-74800000.0,-31600000.0,236000000.0,15400000.0,530900000.0,-68200000.0,13600000.0,132100000.0,499300000.0,-358800000.0,1000000.0,220800000.0,104200000.0,-328200000.0,0.0,724700000.0,0.0,1660400000.0,94800000.0,33900000.0,114900000.0,114900000.0,8800000.0,0.63,128700000.0,-20100000.0,166900000.0,828900000.0,0.62,232900000.0,123700000.0,995800000.0,664600000.0,182273000.0,0.0,6.0,0.114736488754616,0.599735003613587,1.10522421583912,4513100000.0,0.599735003613587,9.10941280387112,0.615384615384615,0.706859303267621,0.132017244767045,24.7601125783852,0.0380238389696079
