,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,3406776000.0,2572366000.0,2128569000.0,1783397000.0,2689652000.0,491680000.0,136292000.0,0.0,0.0,630406000.0,-45854000.0,2243221000.0,1811573000.0,1110058000.0,97801000.0,7514393000.0,5271172000.0,717124000.0,92896000.0,31946000.0,2708658000.0,114850000.0,701515000.0,742521000.0,162704861.0,4107617000.0,50217000.0,173214000.0,-224665000.0,401973000.0,4363000.0,2809000.0,118893000.0,0.0,-10560000.0,6153000.0,0.0,171111000.0,-228759000.0,0.0,166519000.0,303641000.0,184748000.0,0.97,328248000.0,509406000.0,0.95,167424000.0,0.0,181158000.0,8801000.0,158623000.0,17324000.0,162757000.0,158623000.0,283439000.0,251114000.0,792845000.0,158623000.0,0.0,66773000.0,0.0,4.0,0.116821521540698,0.642503894203785,3.12807966265248,4107617000.0,0.642503894203785,4.87290296753949,0.141176470588235,0.626242904340887,0.146729441259886,25.2458161037979,0.0784531055637944
1,2020-06-30 00:00:00+00:00,2,2020,3320503000.0,2546615000.0,2017857000.0,1790255000.0,2663081000.0,333057000.0,138478000.0,0.0,0.0,644659000.0,-57307000.0,2192999000.0,1819156000.0,1018835000.0,61310000.0,7224798000.0,5031799000.0,657422000.0,98184000.0,29556000.0,2685093000.0,153958000.0,800321000.0,572288000.0,162274472.0,3904295000.0,49191000.0,178452000.0,-89637000.0,298691000.0,8155000.0,-17071000.0,115580000.0,0.0,-30166000.0,30447000.0,0.0,187043000.0,-120239000.0,0.0,164768000.0,313415000.0,197835000.0,1.0,327482000.0,517911000.0,0.98,180586000.0,0.0,190429000.0,18671000.0,161915000.0,17249000.0,162413000.0,161915000.0,276804000.0,253178000.0,794715000.0,161915000.0,0.0,64090000.0,0.0,5.0,0.127137009732312,0.651694003510693,3.33575542041489,3904295000.0,0.651694003510693,4.8973507059077,0.428571428571429,0.652259883026257,0.1471358274536,24.0598225455942,0.0787376320374489
2,2020-03-31 00:00:00+00:00,1,2020,3275738000.0,2529316000.0,1918726000.0,1799683000.0,2645491000.0,171142000.0,141876000.0,0.0,0.0,613809000.0,-78995000.0,2014584000.0,1826318000.0,961150000.0,80037000.0,6947956000.0,4933372000.0,630247000.0,103283000.0,29049000.0,2671192000.0,114100000.0,865168000.0,384103000.0,161881857.0,3672218000.0,47493000.0,7814000.0,-110738000.0,223243000.0,-8983000.0,-61004000.0,116208000.0,-36270000.0,-111839000.0,141037000.0,0.0,-8317000.0,-215429000.0,0.0,163684000.0,270851000.0,154643000.0,0.76,343390000.0,495720000.0,0.75,137438000.0,0.0,152330000.0,14292000.0,123146000.0,17205000.0,161992000.0,123146000.0,268582000.0,251147000.0,764302000.0,123146000.0,0.0,71224000.0,0.0,4.0,0.0818023292022172,0.648591787016127,3.19649915033312,3672218000.0,0.648591787016127,4.72135676081354,0.151515151515151,0.688770655772615,0.138909671641875,22.6845556880411,0.0770284373977802
3,2019-12-31 00:00:00+00:00,4,2019,3348928000.0,2531972000.0,1910603000.0,1779696000.0,2655592000.0,47996000.0,139463000.0,0.0,0.0,551943000.0,-45144000.0,2231613000.0,1978633000.0,835384000.0,76528000.0,7006886000.0,4775273000.0,693336000.0,75591000.0,29187000.0,2671435000.0,138946000.0,1143249000.0,393745000.0,161601210.0,3657958000.0,46878000.0,148474000.0,-589764000.0,282140000.0,5116000.0,-28823000.0,115800000.0,-43920000.0,-42973000.0,-410682000.0,0.0,-345481000.0,-133666000.0,0.0,163928000.0,262207000.0,146407000.0,0.74,379051000.0,514373000.0,0.72,129732000.0,0.0,135322000.0,10632000.0,119100000.0,16675000.0,161737000.0,119100000.0,257750000.0,290169000.0,772123000.0,119100000.0,0.0,68898000.0,0.0,7.0,0.0823704060905879,0.666180129331726,3.21866021669147,3657958000.0,0.666180129331726,4.77795308587108,0.298245614035088,0.692181812913106,0.138184976389226,22.635709225197,0.0800382816168458
5,2019-09-30 00:00:00+00:00,3,2019,2855834000.0,2120198000.0,1429069000.0,1749886000.0,2253311000.0,-71104000.0,86959000.0,0.0,0.0,516657000.0,-56424000.0,2253908000.0,1565865000.0,734116000.0,39321000.0,6357434000.0,4103526000.0,602523000.0,103368000.0,21797000.0,2207157000.0,108187000.0,831749000.0,738462000.0,164982488.0,3501600000.0,46815000.0,144752000.0,-904984000.0,297385000.0,-5328000.0,24041000.0,110604000.0,0.0,836285000.0,-752009000.0,0.0,223358000.0,-152633000.0,1135629000.0,164558000.0,259661000.0,149057000.0,0.85,319685000.0,462974000.0,0.84,136930000.0,0.0,143289000.0,-960000.0,137890000.0,12127000.0,162445000.0,137890000.0,246938000.0,245474000.0,709912000.0,137890000.0,0.0,64887000.0,0.0,6.0,0.0601587747226819,0.652156887050789,3.74078333939119,3501600000.0,0.652156887050789,4.30295365651171,0.307692307692308,0.60549405985835,0.135497737304454,21.2240707631952,0.0810822833465547
6,2019-06-30 00:00:00+00:00,2,2019,1948472000.0,1192253000.0,1378535000.0,1762673000.0,1357658000.0,-208994000.0,96160000.0,0.0,0.0,523382000.0,-42484000.0,1744794000.0,813642000.0,287046000.0,19677000.0,5343236000.0,3598442000.0,590814000.0,115954000.0,25099000.0,1288413000.0,126539000.0,526596000.0,515896000.0,164096899.0,3394764000.0,48142000.0,184580000.0,-409427000.0,317929000.0,1077000.0,-72377000.0,106065000.0,55000.0,-83694000.0,-275435000.0,0.0,-174115000.0,-133349000.0,0.0,165019000.0,247679000.0,141614000.0,0.7,327099000.0,462881000.0,0.69,133168000.0,0.0,135782000.0,19253000.0,113915000.0,8446000.0,163407000.0,113915000.0,242193000.0,255222000.0,705074000.0,113915000.0,0.0,61439000.0,0.0,5.0,0.0638467376527516,0.656499885118441,2.95320354629376,3394764000.0,0.656499885118441,4.29669301672788,1.8,0.351203500449516,0.129790698476074,20.6875572950346,0.0791775625823853
7,2019-03-31 00:00:00+00:00,1,2019,1899545000.0,1176965000.0,1309813000.0,1771869000.0,1329839000.0,-322909000.0,101545000.0,0.0,0.0,529346000.0,-46979000.0,1818418000.0,531366000.0,101434000.0,30363000.0,5182762000.0,3364344000.0,569706000.0,117149000.0,19396000.0,1278510000.0,102371000.0,429932000.0,688698000.0,163212497.0,3283217000.0,45305000.0,18421000.0,236241000.0,160850000.0,1601000.0,-15098000.0,108205000.0,-121464000.0,-745295000.0,497199000.0,0.0,-346603000.0,-142429000.0,-690000000.0,164787000.0,251876000.0,143671000.0,0.66,331240000.0,465765000.0,0.65,131555000.0,0.0,134525000.0,24425000.0,107130000.0,12116000.0,163236000.0,107130000.0,240743000.0,249111000.0,706508000.0,107130000.0,0.0,66141000.0,0.0,6.0,0.0565016359514539,0.659249435250556,3.19185334189915,3283217000.0,0.659249435250556,4.3287616633915,1.0625,0.358479198907657,0.107614589758169,20.1162108315762,0.0651065558642312
8,2018-12-31 00:00:00+00:00,4,2018,2269910000.0,874080000.0,910618000.0,1655752000.0,1059201000.0,-430890000.0,686552000.0,0.0,0.0,479889000.0,-48912000.0,2535354000.0,1064716000.0,209066000.0,34913000.0,5461770000.0,2926416000.0,1210709000.0,73640000.0,19624000.0,1560632000.0,99089000.0,855650000.0,1036455000.0,162866026.0,3191860000.0,44998000.0,168821000.0,171701000.0,286155000.0,-1316000.0,-113964000.0,116294000.0,0.0,-126124000.0,288423000.0,0.0,330416000.0,-117334000.0,0.0,164556000.0,243949000.0,127655000.0,0.57,349148000.0,469436000.0,0.56,113073000.0,0.0,120288000.0,19058000.0,94015000.0,14582000.0,162959000.0,94015000.0,243927000.0,267362000.0,713363000.0,94015000.0,0.0,60342000.0,0.0,6.0,0.0833644661108326,0.658060482531334,2.09410684152839,3191860000.0,0.658060482531334,4.38006020973337,2.35294117647059,0.273846597281836,0.0905606489148394,19.5980713620408,0.0565173567694491
10,2018-09-30 00:00:00+00:00,3,2018,2208357000.0,864679000.0,884483000.0,1665508000.0,1012419000.0,-524906000.0,680564000.0,0.0,0.0,466364000.0,-48218000.0,2429789000.0,1353368000.0,257135000.0,23688000.0,5363887000.0,2934098000.0,1195938000.0,98950000.0,18827000.0,1545243000.0,96051000.0,1096233000.0,705407000.0,169504628.0,3155530000.0,46632000.0,223783000.0,-148647000.0,310481000.0,-68000.0,-422019000.0,107833000.0,0.0,-433534000.0,-59750000.0,0.0,-271768000.0,-86698000.0,-437000.0,167900000.0,233169000.0,125336000.0,0.65,313845000.0,430382000.0,0.64,110770000.0,0.0,116537000.0,3187000.0,107583000.0,14566000.0,165924000.0,107583000.0,239246000.0,245234000.0,669628000.0,107583000.0,0.0,61049000.0,0.0,4.0,0.0723656396130934,0.642718046437724,2.03170147616348,3155530000.0,0.642718046437724,3.95049980582241,0.756756756756757,0.274020212135521,0.0694789795658785,18.6161878718733,0.0456803203993457
11,2018-06-30 00:00:00+00:00,2,2018,2159426000.0,855378000.0,852950000.0,1679245000.0,1023098000.0,-632489000.0,674629000.0,0.0,0.0,479865000.0,-41970000.0,2484160000.0,1291229000.0,411746000.0,44230000.0,5604704000.0,3120544000.0,1136328000.0,106389000.0,18236000.0,1530007000.0,84167000.0,879483000.0,977488000.0,170630343.0,3445278000.0,47497000.0,131047000.0,-418102000.0,219681000.0,-12625000.0,-34417000.0,106298000.0,0.0,823927000.0,-329704000.0,0.0,612881000.0,-88634000.0,1132622000.0,172307000.0,167055000.0,60757000.0,0.25,370155000.0,427272000.0,0.25,51553000.0,0.0,57117000.0,8492000.0,43061000.0,9204000.0,170250000.0,43061000.0,235487000.0,301886000.0,662759000.0,43061000.0,0.0,59709000.0,0.0,3.0,0.0939649935955842,0.644686831864977,2.18612935701664,3445278000.0,0.644686831864977,3.88418020117325,-0.242424242424242,0.248275465724391,0.0559028041030815,20.1914732129443,0.0387062847069085
