,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,6473500000.0,2629100000.0,1434600000.0,8157300000.0,5142500000.0,4707400000.0,138600000.0,729000000.0,0.0,1437100000.0,-119200000.0,5067800000.0,28900000.0,0.0,2270500000.0,17548400000.0,12480600000.0,1331000000.0,0.0,1818200000.0,2767700000.0,89200000.0,28900000.0,2268000000.0,219172983.0,11074900000.0,70600000.0,812000000.0,-1267400000.0,822800000.0,7600000.0,-64300000.0,75200000.0,-1274200000.0,-107400000.0,17600000.0,0.0,-544400000.0,-10800000.0,-32600000.0,220600000.0,769700000.0,694500000.0,2.64,750500000.0,1444000000.0,2.62,666900000.0,0.0,693500000.0,88800000.0,578100000.0,27600000.0,219100000.0,578100000.0,144700000.0,334200000.0,1588700000.0,578100000.0,0.0,285900000.0,0.0,4.0,0.257778481513736,0.908919242147668,3.80751314800902,11074900000.0,0.908919242147668,7.24861238942028,0.263157894736842,0.237392662687699,0.0858220085992468,50.5304068430734,0.0547060749420614
1,2020,2,2020-06-30 00:00:00+00:00,6212400000.0,2481000000.0,1406300000.0,7134900000.0,5092300000.0,4129300000.0,126800000.0,577700000.0,0.0,1372200000.0,-110900000.0,5367900000.0,26800000.0,0.0,2332400000.0,16703200000.0,11335300000.0,1120100000.0,0.0,1946800000.0,2607800000.0,861600000.0,26800000.0,2825000000.0,220827431.0,10490800000.0,67400000.0,783800000.0,14500000.0,790000000.0,5100000.0,-243600000.0,89800000.0,0.0,-292500000.0,20700000.0,0.0,517100000.0,-6200000.0,-32700000.0,220600000.0,-1238700000.0,-1328500000.0,-4.84,2654100000.0,1299700000.0,-4.84,-1352100000.0,0.0,-1354400000.0,-284000000.0,-1068100000.0,23600000.0,220600000.0,-1068100000.0,144900000.0,301400000.0,1444600000.0,-1068100000.0,0.0,221100000.0,0.0,5.0,0.200531870688939,0.899695417416586,4.79233996964557,10490800000.0,0.899695417416586,6.54175975085269,-3.3609756097561,0.236492927136157,0.0771327511076267,47.5067791736435,0.0503546278676354
2,2020,1,2020-03-31 00:00:00+00:00,6400700000.0,2506100000.0,1363100000.0,9259700000.0,5280800000.0,5197400000.0,126700000.0,586800000.0,0.0,1345200000.0,-101500000.0,4870200000.0,47800000.0,0.0,2223500000.0,18148500000.0,13278300000.0,1119900000.0,0.0,2113300000.0,2632800000.0,862800000.0,47800000.0,2315000000.0,221400872.0,11747800000.0,57600000.0,537400000.0,-766000000.0,549600000.0,-13200000.0,-104300000.0,89300000.0,-837700000.0,-138200000.0,83900000.0,0.0,-367800000.0,-12200000.0,-32600000.0,222600000.0,778700000.0,689400000.0,2.52,631800000.0,1333100000.0,2.5,663600000.0,0.0,701300000.0,106000000.0,557600000.0,25800000.0,221600000.0,557600000.0,111700000.0,319900000.0,1444800000.0,557600000.0,0.0,200900000.0,0.0,5.0,0.266923886355665,0.922688261351052,4.34878114117332,11747800000.0,0.922688261351052,6.52571955543156,-0.0418250950570341,0.213325048094111,0.218046718392296,53.0612182954727,0.145922140027476
3,2019,4,2019-12-31 00:00:00+00:00,6272800000.0,2539100000.0,1367300000.0,8381700000.0,5078500000.0,4639800000.0,126700000.0,627600000.0,0.0,1243200000.0,-66800000.0,5076400000.0,64000000.0,0.0,2290200000.0,17544600000.0,12468200000.0,1194300000.0,0.0,2081400000.0,2665800000.0,74000000.0,64000000.0,2685500000.0,221290691.0,11271800000.0,60200000.0,487100000.0,56300000.0,517100000.0,6900000.0,-25800000.0,90600000.0,0.0,-59700000.0,86400000.0,0.0,520600000.0,-30000000.0,-32600000.0,223000000.0,714300000.0,623700000.0,4.0,724600000.0,1270000000.0,3.98,602000000.0,0.0,545400000.0,-287000000.0,889000000.0,21700000.0,221400000.0,889000000.0,114300000.0,381000000.0,1384300000.0,889000000.0,0.0,269600000.0,0.0,8.0,0.226346562721474,0.917431192660551,4.25052331909905,11271800000.0,0.917431192660551,6.25557267567121,-21.0,0.225261271491687,0.231688954952047,50.9366207365677,0.157848175436466
5,2019,3,2019-09-30 00:00:00+00:00,4447800000.0,2573500000.0,1354900000.0,8447500000.0,3356600000.0,3750800000.0,126600000.0,576700000.0,0.0,1116300000.0,-48200000.0,4341200000.0,44400000.0,0.0,0.0,14815000000.0,10473800000.0,1091200000.0,0.0,314700000.0,2700100000.0,868200000.0,44400000.0,2171300000.0,224226878.0,10367200000.0,59200000.0,557600000.0,-8500000.0,599500000.0,-6800000.0,-331900000.0,92500000.0,0.0,-365900000.0,41600000.0,0.0,218300000.0,-41900000.0,-32700000.0,224500000.0,645900000.0,553400000.0,2.09,608100000.0,1167900000.0,2.08,535500000.0,0.0,559800000.0,67900000.0,467600000.0,17900000.0,223300000.0,467600000.0,95200000.0,299300000.0,1263100000.0,467600000.0,0.0,232900000.0,0.0,9.0,0.230491962981003,0.924629878869448,3.9783724340176,10367200000.0,0.924629878869448,5.6331337762282,0.412162162162162,0.24823481750135,0.149259185942044,46.235313502425,0.102613313978037
6,2019,2,2019-06-30 00:00:00+00:00,4404200000.0,2603800000.0,1333000000.0,8525000000.0,3372700000.0,3283200000.0,126600000.0,494600000.0,0.0,1123600000.0,-57900000.0,4168500000.0,105400000.0,0.0,0.0,14567700000.0,10399200000.0,1031500000.0,0.0,341200000.0,2730400000.0,728700000.0,105400000.0,1984200000.0,224237214.0,10163500000.0,60900000.0,491600000.0,-41000000.0,538400000.0,2100000.0,-27300000.0,96500000.0,0.0,-61100000.0,5800000.0,0.0,438400000.0,-46800000.0,-32700000.0,225600000.0,614300000.0,517800000.0,2.05,565400000.0,1104100000.0,2.04,499500000.0,0.0,538700000.0,39700000.0,459800000.0,18300000.0,224200000.0,459800000.0,99200000.0,299300000.0,1203300000.0,459800000.0,0.0,187600000.0,0.0,8.0,0.151483253588517,0.917560043214493,4.04120213281629,10163500000.0,0.917560043214493,5.36619225031934,-2.0,0.256191272691494,0.139625337978437,45.3247693311067,0.0946775808089055
7,2019,1,2019-03-31 00:00:00+00:00,4293000000.0,2620800000.0,1288500000.0,8598200000.0,3349200000.0,2823400000.0,126500000.0,482200000.0,0.0,1016300000.0,-20500000.0,3650600000.0,110300000.0,0.0,0.0,13999600000.0,10349000000.0,943800000.0,0.0,306100000.0,2747300000.0,669800000.0,110300000.0,1544800000.0,223469381.0,9706600000.0,56700000.0,393900000.0,2900000.0,429900000.0,-1400000.0,-1100000.0,97200000.0,0.0,-252400000.0,46700000.0,0.0,179000000.0,-36000000.0,-250000000.0,225500000.0,658900000.0,561700000.0,2.63,566500000.0,1054600000.0,2.61,541800000.0,0.0,488100000.0,-46100000.0,587900000.0,19900000.0,223800000.0,587900000.0,85800000.0,281500000.0,1140400000.0,587900000.0,0.0,195900000.0,0.0,7.0,0.225051025888925,0.924763240968081,3.86798050434414,9706600000.0,0.924763240968081,5.1031599716115,1.34821428571429,0.270001854408341,0.0452498030373007,43.435928253634,0.030138151287874
8,2018,4,2018-12-31 00:00:00+00:00,4766600000.0,2862700000.0,1471500000.0,8678700000.0,3592600000.0,2325800000.0,343800000.0,472500000.0,0.0,922300000.0,-9700000.0,3385000000.0,198300000.0,0.0,101800000.0,13931900000.0,10546900000.0,1174000000.0,0.0,391100000.0,3206500000.0,698200000.0,198300000.0,1365500000.0,223096632.0,9165300000.0,52100000.0,41000000.0,52200000.0,83400000.0,-600000.0,5900000.0,98400000.0,0.0,3100000.0,95400000.0,0.0,138100000.0,-42400000.0,7600000.0,225400000.0,90000000.0,-8400000.0,-0.2,982700000.0,1032000000.0,-0.2,-32900000.0,0.0,49300000.0,12100000.0,-45000000.0,24500000.0,223300000.0,-45000000.0,96800000.0,318700000.0,1128800000.0,-45000000.0,0.0,205600000.0,0.0,7.0,0.240848631416951,0.914245216158753,2.88330494037479,9165300000.0,0.914245216158753,5.05969090559825,-2.42857142857143,0.312341112674981,0.00857101043487385,41.0821979598509,0.00563379259149014
10,2018,3,2018-09-30 00:00:00+00:00,4673900000.0,2894500000.0,1443400000.0,8751000000.0,3646500000.0,2370900000.0,311200000.0,432700000.0,0.0,910200000.0,6900000.0,3248400000.0,306200000.0,0.0,0.0,13843600000.0,10595200000.0,1027400000.0,0.0,442800000.0,3205700000.0,52200000.0,306200000.0,1228900000.0,222859148.0,9169700000.0,45700000.0,345900000.0,104700000.0,387100000.0,-4500000.0,16800000.0,104900000.0,0.0,11000000.0,144900000.0,0.0,498300000.0,-41200000.0,0.0,224600000.0,471600000.0,366700000.0,1.48,523800000.0,935900000.0,1.47,342100000.0,0.0,412100000.0,11200000.0,330900000.0,24600000.0,222900000.0,330900000.0,90600000.0,258700000.0,1026500000.0,330900000.0,0.0,174800000.0,0.0,8.0,0.194855080898615,0.911738918655626,3.16176756861982,9169700000.0,0.911738918655626,4.60604830096541,3.22857142857143,0.315659181870726,0.0169824916742945,41.1457195376157,0.0111493675510297
11,2018,2,2018-06-30 00:00:00+00:00,4723000000.0,2926300000.0,1422600000.0,8831200000.0,3678600000.0,2040000000.0,278500000.0,463200000.0,0.0,853700000.0,-2900000.0,2836100000.0,449500000.0,0.0,0.0,13490400000.0,10654300000.0,1044400000.0,0.0,464000000.0,3204800000.0,58800000.0,449500000.0,727500000.0,222500663.0,8767400000.0,53900000.0,-406600000.0,568300000.0,-343800000.0,-12400000.0,15200000.0,100500000.0,0.0,7000000.0,630600000.0,0.0,219100000.0,-62800000.0,-7600000.0,222600000.0,-293100000.0,-393600000.0,-2.05,1345100000.0,949700000.0,-2.05,-418600000.0,0.0,-395400000.0,38800000.0,-457400000.0,25000000.0,222600000.0,-457400000.0,95300000.0,277300000.0,1045000000.0,-457400000.0,0.0,173400000.0,0.0,5.0,0.14495453051386,0.908803827751196,2.71553044810417,8767400000.0,0.908803827751196,4.69661521862521,-3.77027027027027,0.333770559116728,-0.0112326834130335,39.403927528971,-0.00735513842216515
