,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-26 00:00:00+00:00,3,2020,3156000000.0,578000000.0,810000000.0,289000000.0,739000000.0,-6386000000.0,0.0,1292000000.0,0.0,2138000000.0,5000000.0,5500000000.0,535000000.0,60000000.0,0.0,7023000000.0,1523000000.0,2417000000.0,0.0,0.0,578000000.0,867000000.0,475000000.0,1296000000.0,1174056713.0,3867000000.0,76000000.0,265000000.0,-549000000.0,339000000.0,0.0,-70000000.0,93000000.0,0.0,-269000000.0,-475000000.0,0.0,-479000000.0,-74000000.0,-200000000.0,1215000000.0,506000000.0,413000000.0,0.33,781000000.0,1230000000.0,0.32,402000000.0,0.0,449000000.0,12000000.0,390000000.0,11000000.0,1184000000.0,390000000.0,1571000000.0,273000000.0,2801000000.0,390000000.0,0.0,508000000.0,0.0,6.0,0.555247084952804,0.439128882541949,2.27554820024824,3867000000.0,0.439128882541949,2.38574505727476,2.0,0.149469873286786,0.269714636391531,3.29370801016833,0.137893168091615
1,2020-06-27 00:00:00+00:00,2,2020,3278000000.0,694000000.0,800000000.0,289000000.0,844000000.0,-6776000000.0,200000000.0,1324000000.0,0.0,1799000000.0,-4000000.0,5109000000.0,59000000.0,59000000.0,0.0,6583000000.0,1474000000.0,2434000000.0,0.0,0.0,894000000.0,994000000.0,0.0,1775000000.0,1171190397.0,3305000000.0,60000000.0,152000000.0,-36000000.0,243000000.0,0.0,39000000.0,82000000.0,0.0,238000000.0,55000000.0,0.0,445000000.0,-91000000.0,200000000.0,1227000000.0,257000000.0,175000000.0,0.13,675000000.0,848000000.0,0.13,161000000.0,0.0,173000000.0,4000000.0,157000000.0,14000000.0,1174000000.0,157000000.0,1084000000.0,215000000.0,1932000000.0,157000000.0,0.0,460000000.0,0.0,6.0,0.261920313520575,0.438923395445135,2.09901396877568,3305000000.0,0.438923395445135,1.64960368950156,3.33333333333333,0.209984871406959,0.214720141031291,2.82191521418357,0.102663519892111
2,2020-03-28 00:00:00+00:00,1,2020,2827000000.0,699000000.0,761000000.0,289000000.0,842000000.0,-6933000000.0,0.0,1056000000.0,0.0,1691000000.0,-14000000.0,4390000000.0,113000000.0,58000000.0,0.0,5864000000.0,1474000000.0,1985000000.0,0.0,0.0,699000000.0,840000000.0,55000000.0,1330000000.0,1169661536.0,3037000000.0,59000000.0,-120000000.0,-73000000.0,-65000000.0,0.0,3000000.0,78000000.0,0.0,2000000.0,-18000000.0,0.0,-136000000.0,-55000000.0,0.0,1224000000.0,259000000.0,181000000.0,0.14,641000000.0,818000000.0,0.14,168000000.0,0.0,177000000.0,6000000.0,162000000.0,13000000.0,1170000000.0,162000000.0,968000000.0,199000000.0,1786000000.0,162000000.0,0.0,442000000.0,0.0,5.0,0.404088050314465,0.458006718924972,2.21158690176322,3037000000.0,0.458006718924972,1.52693744731296,13.0,0.230161343431017,0.195956141233276,2.59647761897507,0.0875623679597249
3,2019-12-28 00:00:00+00:00,4,2019,3201000000.0,685000000.0,705000000.0,289000000.0,842000000.0,-7095000000.0,0.0,982000000.0,0.0,1879000000.0,0.0,4597000000.0,95000000.0,58000000.0,0.0,6028000000.0,1431000000.0,2359000000.0,0.0,0.0,685000000.0,1201000000.0,37000000.0,1466000000.0,1113627528.0,2827000000.0,57000000.0,400000000.0,-26000000.0,442000000.0,0.0,485000000.0,73000000.0,0.0,-107000000.0,16000000.0,0.0,309000000.0,-42000000.0,-142000000.0,1159000000.0,296000000.0,223000000.0,0.15,601000000.0,949000000.0,0.15,205000000.0,0.0,348000000.0,35000000.0,170000000.0,18000000.0,1139000000.0,170000000.0,1178000000.0,206000000.0,2127000000.0,170000000.0,0.0,395000000.0,0.0,7.0,0.498942917547569,0.446168312176775,1.94870707927088,2827000000.0,0.446168312176775,1.90997433748782,4.0,0.242306331800495,0.15692590888173,2.53855075321019,0.0639954959181758
5,2019-09-28 00:00:00+00:00,3,2019,3077000000.0,1073000000.0,658000000.0,289000000.0,1213000000.0,-7265000000.0,0.0,1040000000.0,0.0,1393000000.0,-7000000.0,3912000000.0,112000000.0,59000000.0,0.0,5253000000.0,1341000000.0,1864000000.0,0.0,0.0,1073000000.0,978000000.0,53000000.0,1156000000.0,1085546359.0,2176000000.0,54000000.0,179000000.0,57000000.0,234000000.0,0.0,-3000000.0,69000000.0,0.0,-98000000.0,112000000.0,0.0,193000000.0,-55000000.0,-97000000.0,1117000000.0,220000000.0,151000000.0,0.11,591000000.0,777000000.0,0.11,127000000.0,0.0,186000000.0,7000000.0,120000000.0,24000000.0,1097000000.0,120000000.0,1024000000.0,185000000.0,1801000000.0,120000000.0,0.0,406000000.0,0.0,7.0,0.0895341802782819,0.431426985008329,2.09871244635193,2176000000.0,0.431426985008329,1.65907239710985,0.0999999999999999,0.493106617647059,0.11723460945169,2.00452056419269,0.042132849511138
6,2019-06-29 00:00:00+00:00,2,2019,3201000000.0,1242000000.0,670000000.0,289000000.0,1397000000.0,-7385000000.0,0.0,1015000000.0,0.0,1333000000.0,0.0,3754000000.0,223000000.0,58000000.0,0.0,5102000000.0,1348000000.0,1804000000.0,0.0,0.0,1242000000.0,1029000000.0,165000000.0,963000000.0,1081600723.0,1901000000.0,45000000.0,-28000000.0,-7000000.0,30000000.0,0.0,34000000.0,61000000.0,0.0,-38000000.0,51000000.0,0.0,-15000000.0,-58000000.0,-70000000.0,1109000000.0,123000000.0,62000000.0,0.03,562000000.0,621000000.0,0.03,37000000.0,0.0,59000000.0,2000000.0,35000000.0,25000000.0,1084000000.0,35000000.0,910000000.0,189000000.0,1531000000.0,35000000.0,0.0,373000000.0,0.0,5.0,-0.128132118451025,0.405617243631613,2.08093126385809,1901000000.0,0.405617243631613,1.41549461593694,-0.75,0.653340347185692,0.125657894736842,1.75758018608499,0.0403464300802704
7,2019-03-30 00:00:00+00:00,1,2019,3143000000.0,1237000000.0,591000000.0,289000000.0,1379000000.0,-7420000000.0,70000000.0,955000000.0,0.0,1241000000.0,-1000000.0,3677000000.0,273000000.0,57000000.0,0.0,4931000000.0,1254000000.0,1764000000.0,0.0,0.0,1307000000.0,930000000.0,216000000.0,978000000.0,1005298882.0,1788000000.0,41000000.0,-275000000.0,-173000000.0,-213000000.0,0.0,1000000.0,55000000.0,0.0,286000000.0,-113000000.0,0.0,-100000000.0,-62000000.0,-164000000.0,1094000000.0,85000000.0,30000000.0,0.01,483000000.0,521000000.0,0.01,3000000.0,0.0,38000000.0,-13000000.0,16000000.0,27000000.0,1044000000.0,16000000.0,751000000.0,170000000.0,1272000000.0,16000000.0,0.0,373000000.0,0.0,4.0,-0.227686703096539,0.409591194968553,2.08446712018141,1788000000.0,0.409591194968553,1.26529534924918,-0.875,0.691834451901566,0.215104784499802,1.77857553809555,0.0606567430451023
8,2018-12-29 00:00:00+00:00,4,2018,3290000000.0,1114000000.0,348000000.0,289000000.0,1306000000.0,-7436000000.0,136000000.0,845000000.0,0.0,1235000000.0,-8000000.0,3540000000.0,136000000.0,58000000.0,0.0,4556000000.0,1016000000.0,1984000000.0,0.0,0.0,1250000000.0,1041000000.0,78000000.0,1078000000.0,999407216.0,1266000000.0,36000000.0,79000000.0,-88000000.0,120000000.0,0.0,26000000.0,43000000.0,0.0,0.0,-47000000.0,0.0,32000000.0,-41000000.0,-26000000.0,1082000000.0,75000000.0,32000000.0,0.03,509000000.0,537000000.0,0.04,3000000.0,0.0,28000000.0,-35000000.0,38000000.0,29000000.0,1000000000.0,38000000.0,882000000.0,138000000.0,1419000000.0,38000000.0,0.0,371000000.0,0.0,7.0,0.058955223880597,0.378435517970402,1.78427419354839,1266000000.0,0.378435517970402,1.41984165941824,-2.5,0.879936808846761,0.338268506900878,1.26675090967124,0.080386427336156
10,2018-09-29 00:00:00+00:00,3,2018,3222000000.0,1167000000.0,318000000.0,289000000.0,1344000000.0,-7474000000.0,136000000.0,738000000.0,0.0,1207000000.0,-10000000.0,3314000000.0,68000000.0,58000000.0,0.0,4347000000.0,1033000000.0,1878000000.0,0.0,0.0,1303000000.0,1041000000.0,10000000.0,1046000000.0,974872409.0,1125000000.0,36000000.0,43000000.0,11000000.0,76000000.0,0.0,9000000.0,41000000.0,0.0,8000000.0,44000000.0,0.0,95000000.0,-33000000.0,0.0,1076000000.0,185000000.0,144000000.0,0.1,511000000.0,661000000.0,0.09,114000000.0,0.0,150000000.0,12000000.0,102000000.0,30000000.0,987000000.0,102000000.0,992000000.0,148000000.0,1653000000.0,102000000.0,0.0,363000000.0,0.0,7.0,0.043560606060606,0.399879007864489,1.76464323748669,1125000000.0,0.399879007864489,1.6956065067998,0.666666666666667,1.03733333333333,0.337858220211161,1.15399716887464,0.0710434506818903
11,2018-06-30 00:00:00+00:00,2,2018,3224000000.0,1170000000.0,295000000.0,289000000.0,1356000000.0,-7576000000.0,223000000.0,750000000.0,0.0,1118000000.0,-10000000.0,3099000000.0,92000000.0,57000000.0,0.0,4103000000.0,1004000000.0,1868000000.0,0.0,0.0,1393000000.0,995000000.0,35000000.0,948000000.0,969343988.0,879000000.0,33000000.0,-98000000.0,-68000000.0,-55000000.0,0.0,29000000.0,42000000.0,0.0,28000000.0,-25000000.0,0.0,-95000000.0,-43000000.0,-1000000.0,1147000000.0,195000000.0,153000000.0,0.12,499000000.0,652000000.0,0.11,122000000.0,0.0,153000000.0,6000000.0,116000000.0,31000000.0,972000000.0,116000000.0,1104000000.0,142000000.0,1756000000.0,116000000.0,0.0,357000000.0,0.0,5.0,0.525629887054735,0.37129840546697,1.65899357601713,879000000.0,0.37129840546697,1.81153442094696,-4.0,1.33105802047782,0.352767527675277,0.906798835997939,0.0637163423087177
