,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,36718200000.0,30435400000.0,18895600000.0,17365900000.0,33452100000.0,-1168800000.0,1258600000.0,0.0,0.0,573600000.0,-4191200000.0,2852500000.0,315200000.0,315200000.0,115000000.0,41462200000.0,38609700000.0,3266100000.0,324400000.0,0.0,31694000000.0,629600000.0,0.0,1730200000.0,443567868.0,3731700000.0,24100000.0,716400000.0,-331800000.0,960300000.0,8200000.0,48200000.0,473900000.0,-100900000.0,-1012600000.0,5400000.0,-488000000.0,-375900000.0,-243900000.0,-544100000.0,446156000.0,1168500000.0,694600000.0,1.05,665200000.0,1450300000.0,1.04,503700000.0,-1500000.0,785100000.0,39300000.0,464400000.0,190900000.0,443766000.0,462900000.0,562600000.0,176000000.0,2012900000.0,464400000.0,0.0,0.0,0.0,6.0,0.0303542178542178,0.720502757215957,0.873365787942806,4744000000.0,0.720502757215957,4.53797523494195,-0.070796460176991,8.15590749524345,0.470819982794948,10.6950939016169,0.0453434256595473
1,2020-06-30 00:00:00+00:00,2,2020,36913300000.0,27936000000.0,18479800000.0,17436200000.0,30968400000.0,-1125100000.0,3860300000.0,0.0,0.0,585200000.0,-4274500000.0,3226600000.0,393400000.0,393400000.0,138600000.0,41515900000.0,38289300000.0,5944900000.0,400200000.0,0.0,31796300000.0,601600000.0,0.0,2106100000.0,443306437.0,3620300000.0,27200000.0,778300000.0,-385400000.0,988800000.0,3200000.0,6900000.0,454900000.0,-183400000.0,99200000.0,3500000.0,-478900000.0,705800000.0,-210500000.0,606700000.0,445867000.0,1109800000.0,654900000.0,1.01,681700000.0,1373000000.0,1.0,457200000.0,2300000.0,691300000.0,11100000.0,446100000.0,197700000.0,443436000.0,448400000.0,540000000.0,188600000.0,1913000000.0,446100000.0,0.0,0.0,0.0,5.0,0.0123835732430144,0.717720857292211,0.54275092936803,4602600000.0,0.717720857292211,4.31529939638571,0.0412371134020619,7.71648758390189,0.438141363493918,10.3824343971798,0.0467697966958978
2,2020-03-31 00:00:00+00:00,1,2020,36183100000.0,28075200000.0,18419600000.0,17549400000.0,31028700000.0,-1082500000.0,3116800000.0,0.0,0.0,623900000.0,-4271700000.0,2504900000.0,407000000.0,407000000.0,126400000.0,40789100000.0,38284200000.0,5154400000.0,408500000.0,0.0,31192000000.0,604500000.0,0.0,1400300000.0,442911804.0,3634400000.0,47700000.0,585600000.0,-253400000.0,800000000.0,-118300000.0,-28600000.0,472300000.0,-49300000.0,-606000000.0,5800000.0,-454900000.0,-177700000.0,-214400000.0,503600000.0,445832000.0,1117200000.0,644900000.0,0.94,704300000.0,1441100000.0,0.93,436100000.0,3600000.0,736800000.0,21100000.0,415000000.0,208800000.0,443055000.0,418600000.0,552000000.0,217800000.0,1993100000.0,415000000.0,0.0,0.0,0.0,6.0,0.0990956214845042,0.723044503537203,0.485973149154121,4606000000.0,0.723044503537203,4.49999296022375,0.0444444444444443,7.72485141976667,0.392710109904832,10.3993615848631,0.0470554532736188
3,2019-12-31 00:00:00+00:00,4,2019,36214700000.0,27637600000.0,19441800000.0,18496700000.0,30727000000.0,-1016800000.0,3422700000.0,0.0,0.0,462200000.0,-2823600000.0,2553800000.0,406400000.0,406400000.0,131800000.0,42801600000.0,40247800000.0,5487700000.0,294300000.0,0.0,31060300000.0,603100000.0,0.0,1578000000.0,442940435.0,5055400000.0,23500000.0,727000000.0,-2586700000.0,993700000.0,26400000.0,-6800000.0,9700000.0,-2272000000.0,1696300000.0,5100000.0,-420800000.0,129700000.0,-266700000.0,2214100000.0,446024000.0,672800000.0,663100000.0,1.27,712200000.0,1373500000.0,1.26,462200000.0,6700000.0,661300000.0,-100500000.0,562700000.0,200900000.0,442946000.0,569400000.0,550200000.0,179600000.0,1923700000.0,562700000.0,0.0,0.0,0.0,4.0,-0.0976593648857826,0.713988667671674,0.465368004810759,6586900000.0,0.713988667671674,4.34302187832547,1.01587301587302,5.46694623570835,0.357532800196967,14.8708482665395,0.0471630764925991
5,2019-09-30 00:00:00+00:00,3,2019,32937300000.0,25488000000.0,18497900000.0,16377200000.0,28149900000.0,-1130100000.0,2918700000.0,0.0,0.0,441700000.0,-2979000000.0,2362000000.0,248900000.0,248900000.0,143500000.0,39307200000.0,36945200000.0,4787400000.0,302900000.0,0.0,28406700000.0,563700000.0,0.0,1448300000.0,442685102.0,5240400000.0,23500000.0,676900000.0,-810100000.0,937200000.0,-37600000.0,36100000.0,442800000.0,-553100000.0,72800000.0,9700000.0,-407100000.0,162300000.0,-260300000.0,450800000.0,445829000.0,1179400000.0,736600000.0,1.13,665400000.0,1393700000.0,1.12,535300000.0,6700000.0,728300000.0,36700000.0,498600000.0,201300000.0,442763000.0,505300000.0,559900000.0,187900000.0,1953600000.0,498600000.0,0.0,0.0,0.0,4.0,0.0941472976757212,0.713400900900901,0.493378451769228,6369900000.0,0.713400900900901,4.41306922499506,0.36144578313253,4.86375085871308,0.299556095509556,14.3892350820516,0.0426485077213437
6,2019-06-30 00:00:00+00:00,2,2019,32439400000.0,24951300000.0,18378600000.0,16453000000.0,27617800000.0,-1206200000.0,2939100000.0,0.0,0.0,459500000.0,-2606700000.0,2232400000.0,263800000.0,263800000.0,147800000.0,39072700000.0,36840300000.0,4821600000.0,334800000.0,0.0,27890400000.0,557900000.0,0.0,1286000000.0,442023435.0,5477500000.0,21900000.0,793100000.0,-267400000.0,1036600000.0,14100000.0,29400000.0,448900000.0,-43400000.0,-597000000.0,19400000.0,-398000000.0,186300000.0,-243500000.0,-200200000.0,445337000.0,1112100000.0,663200000.0,0.97,642400000.0,1326300000.0,0.96,458700000.0,5200000.0,683900000.0,29600000.0,429100000.0,204500000.0,442203000.0,434300000.0,563300000.0,164800000.0,1889600000.0,429100000.0,0.0,0.0,0.0,4.0,0.0610365545510696,0.701894580863675,0.462999834079973,6633300000.0,0.701894580863675,4.27488646614404,0.405797101449275,4.55523505248745,0.27353065598081,15.0066704042513,0.0408364107543285
7,2019-03-31 00:00:00+00:00,1,2019,32437500000.0,25423200000.0,18283500000.0,16581000000.0,28025600000.0,-1226400000.0,2595600000.0,0.0,0.0,473000000.0,-2672200000.0,2062300000.0,297500000.0,279100000.0,132300000.0,38926800000.0,36864500000.0,4411900000.0,293000000.0,0.0,28018800000.0,533100000.0,18400000.0,1099700000.0,441134906.0,5347000000.0,42500000.0,564300000.0,-323300000.0,785100000.0,-16600000.0,27200000.0,436900000.0,-91100000.0,-650400000.0,-6600000.0,-377100000.0,-205200000.0,-220800000.0,215700000.0,444621000.0,1075800000.0,638900000.0,0.9,655100000.0,1270000000.0,0.89,431400000.0,10200000.0,614900000.0,34000000.0,397400000.0,207500000.0,441351000.0,407600000.0,543400000.0,198100000.0,1813400000.0,397400000.0,0.0,0.0,0.0,4.0,0.0411069009071077,0.700341899194883,0.467440331829824,6489300000.0,0.700341899194883,4.11076062069774,0.428571428571429,4.75466616794464,0.249920081539994,14.7104659181062,0.0390276088644126
8,2018-12-31 00:00:00+00:00,4,2018,26106000000.0,18405100000.0,11247100000.0,16676200000.0,21416100000.0,-1199500000.0,2754800000.0,0.0,0.0,459000000.0,-2642900000.0,2385100000.0,962600000.0,962600000.0,157700000.0,33010400000.0,30625300000.0,4689900000.0,304100000.0,0.0,21159900000.0,508200000.0,0.0,1304900000.0,440487861.0,5336100000.0,26200000.0,960400000.0,-694400000.0,1263200000.0,16200000.0,-6800000.0,765900000.0,-443600000.0,-573400000.0,73100000.0,-348400000.0,11600000.0,-302800000.0,-208900000.0,444436000.0,1156900000.0,391000000.0,0.63,1202100000.0,1591000000.0,0.62,182200000.0,15100000.0,388900000.0,-95400000.0,277600000.0,208800000.0,440851000.0,292700000.0,540900000.0,192500000.0,2131900000.0,277600000.0,0.0,0.0,0.0,6.0,0.250748019947199,0.746282658661288,0.508560950126868,6904400000.0,0.746282658661288,4.8398609558959,0.235294117647059,3.44916699462154,0.217440423184784,15.6744387559865,0.0367183876228809
10,2018-09-30 00:00:00+00:00,3,2018,26193700000.0,18422900000.0,10996300000.0,16945100000.0,21614000000.0,-1104300000.0,2841300000.0,0.0,0.0,511100000.0,-2696300000.0,2437000000.0,1046500000.0,978300000.0,173100000.0,33077200000.0,30640200000.0,4579700000.0,276600000.0,0.0,21264200000.0,477100000.0,68200000.0,1293300000.0,440835058.0,5350700000.0,43800000.0,567800000.0,-212100000.0,753300000.0,4700000.0,-68700000.0,448900000.0,-101300000.0,-222700000.0,83100000.0,-339500000.0,323200000.0,-185500000.0,178200000.0,444121000.0,1038100000.0,589200000.0,0.83,661600000.0,1228800000.0,0.83,379400000.0,10400000.0,567200000.0,12500000.0,366900000.0,209800000.0,440889000.0,377300000.0,556700000.0,177900000.0,1785500000.0,366900000.0,0.0,0.0,0.0,4.0,0.0623549711429761,0.688210585270232,0.532130925606481,6883500000.0,0.688210585270232,4.05026770806418,0.185714285714286,3.44308221354215,0.199172810951949,15.614683712383,0.0349294352203147
11,2018-06-30 00:00:00+00:00,2,2018,26069800000.0,18322000000.0,11067000000.0,17284800000.0,21506900000.0,-1121600000.0,2791800000.0,0.0,0.0,506900000.0,-2510100000.0,2127100000.0,1105300000.0,1024500000.0,183700000.0,33205700000.0,31078600000.0,4562900000.0,328600000.0,0.0,21113800000.0,481900000.0,80800000.0,970100000.0,441659919.0,5550700000.0,24800000.0,713600000.0,-562400000.0,940000000.0,-57500000.0,-78400000.0,449700000.0,-663100000.0,-628900000.0,335800000.0,-331300000.0,-308800000.0,-226400000.0,-172600000.0,444362000.0,971600000.0,521900000.0,0.69,674600000.0,1220600000.0,0.69,310600000.0,7700000.0,546000000.0,3900000.0,306700000.0,211300000.0,441497000.0,314400000.0,560300000.0,157900000.0,1780900000.0,306700000.0,0.0,0.0,0.0,4.0,0.071218045112782,0.68538379471054,0.466172828683513,7135900000.0,0.68538379471054,4.03228801932557,-0.148148148148148,3.30084493847623,0.178619780367463,16.1570015593831,0.0330698895680545
