,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,27739000000.0,8161000000.0,1523000000.0,9127000000.0,10869000000.0,1423000000.0,472000000.0,0.0,0.0,2906000000.0,-4099000000.0,18249000000.0,448000000.0,0.0,655000000.0,31359000000.0,13110000000.0,16870000000.0,0.0,223000000.0,8633000000.0,1608000000.0,448000000.0,821000000.0,231650336.0,3542000000.0,67000000.0,774000000.0,177000000.0,804000000.0,25000000.0,-500000000.0,92000000.0,0.0,-942000000.0,207000000.0,-103000000.0,64000000.0,-30000000.0,-310000000.0,233500000.0,529000000.0,437000000.0,1.18,1944000000.0,2385000000.0,1.18,357000000.0,7000000.0,441000000.0,82000000.0,275000000.0,80000000.0,232600000.0,282000000.0,0.0,1387000000.0,2385000000.0,275000000.0,0.0,0.0,-1000000.0,6.0,0.00252206809583866,1.0,1.08174273858921,3620000000.0,1.0,10.2956897934307,0.25531914893617,2.30406549971767,0.531599327829327,15.6270008604693,0.0591347599580628
1,2020,2,2020-06-30 00:00:00+00:00,28300000000.0,8176000000.0,1556000000.0,9055000000.0,10917000000.0,1751000000.0,782000000.0,0.0,0.0,3314000000.0,-4296000000.0,18990000000.0,654000000.0,0.0,654000000.0,31995000000.0,13005000000.0,17383000000.0,0.0,200000000.0,8958000000.0,1488000000.0,654000000.0,757000000.0,231084584.0,3601000000.0,64000000.0,851000000.0,-554000000.0,881000000.0,26000000.0,0.0,99000000.0,-34000000.0,-286000000.0,-490000000.0,-102000000.0,67000000.0,-30000000.0,-113000000.0,233600000.0,671000000.0,572000000.0,1.71,1903000000.0,2497000000.0,1.7,483000000.0,13000000.0,594000000.0,85000000.0,398000000.0,89000000.0,232700000.0,411000000.0,0.0,1361000000.0,2497000000.0,398000000.0,0.0,0.0,-1000000.0,6.0,-0.0418265541059094,1.0,1.09244664327216,3695000000.0,1.0,10.8055671943915,0.486956521739131,2.27048042210497,0.518002493216983,15.9898160926217,0.0589408338826357
2,2020,1,2020-03-31 00:00:00+00:00,27022000000.0,7137000000.0,1563000000.0,9039000000.0,9911000000.0,1455000000.0,1884000000.0,0.0,0.0,3554000000.0,-4409000000.0,17345000000.0,170000000.0,0.0,638000000.0,30282000000.0,12937000000.0,17111000000.0,0.0,189000000.0,9021000000.0,1549000000.0,170000000.0,690000000.0,231582094.0,3169000000.0,76000000.0,279000000.0,-438000000.0,338000000.0,-82000000.0,-463000000.0,138000000.0,-304000000.0,82000000.0,-75000000.0,-102000000.0,-100000000.0,-59000000.0,719000000.0,234500000.0,1182000000.0,1044000000.0,3.31,2186000000.0,3219000000.0,3.29,961000000.0,19000000.0,1033000000.0,189000000.0,772000000.0,83000000.0,233200000.0,791000000.0,0.0,1522000000.0,3219000000.0,772000000.0,0.0,0.0,1000000.0,5.0,0.0241807190582246,1.0,1.01367541347671,3260000000.0,1.0,13.9000384027964,0.216911764705882,2.25213000946671,0.474336793540946,14.0770814517292,0.05592337308029
3,2019,4,2019-12-31 00:00:00+00:00,25956000000.0,7571000000.0,1550000000.0,8948000000.0,10385000000.0,1254000000.0,712000000.0,0.0,0.0,3112000000.0,-4033000000.0,16476000000.0,138000000.0,0.0,645000000.0,29405000000.0,12929000000.0,15571000000.0,0.0,199000000.0,8283000000.0,1939000000.0,138000000.0,790000000.0,234137408.0,3375000000.0,65000000.0,614000000.0,2000000.0,672000000.0,39000000.0,-453000000.0,145000000.0,9000000.0,-525000000.0,51000000.0,-103000000.0,188000000.0,-58000000.0,51000000.0,236700000.0,658000000.0,513000000.0,1.59,2361000000.0,2885000000.0,1.58,433000000.0,8000000.0,524000000.0,59000000.0,374000000.0,80000000.0,234700000.0,382000000.0,0.0,1601000000.0,2885000000.0,374000000.0,0.0,0.0,0.0,5.0,0.0415162454873645,1.0,1.0581208657119,3449000000.0,1.0,12.3218242853359,0.119718309859155,2.24325925925926,0.395916785114356,14.7306661906841,0.052594537995434
5,2019,3,2019-09-30 00:00:00+00:00,24606000000.0,7042000000.0,1519000000.0,8945000000.0,9755000000.0,1436000000.0,1148000000.0,0.0,0.0,2866000000.0,-4030000000.0,15317000000.0,177000000.0,0.0,611000000.0,28167000000.0,12850000000.0,14851000000.0,0.0,209000000.0,8190000000.0,1499000000.0,177000000.0,602000000.0,235841886.0,3492000000.0,72000000.0,741000000.0,-9000000.0,802000000.0,-36000000.0,-352000000.0,145000000.0,12000000.0,-736000000.0,40000000.0,-104000000.0,21000000.0,-61000000.0,-271000000.0,239100000.0,501000000.0,356000000.0,0.94,2019000000.0,2379000000.0,0.93,278000000.0,6000000.0,360000000.0,56000000.0,222000000.0,78000000.0,236900000.0,228000000.0,0.0,1368000000.0,2379000000.0,222000000.0,0.0,0.0,1000000.0,5.0,0.0127713920817369,1.0,1.03137835835971,3561000000.0,1.0,10.0872666868005,0.566666666666667,2.01660939289805,0.369878183831672,15.0990990633445,0.0529546995974668
6,2019,2,2019-06-30 00:00:00+00:00,25894000000.0,7702000000.0,1558000000.0,9171000000.0,10413000000.0,1669000000.0,844000000.0,0.0,0.0,3227000000.0,-3837000000.0,16745000000.0,235000000.0,0.0,599000000.0,29807000000.0,13062000000.0,15481000000.0,0.0,211000000.0,8546000000.0,1369000000.0,235000000.0,581000000.0,240521662.0,3836000000.0,91000000.0,238000000.0,-195000000.0,287000000.0,-19000000.0,-1055000000.0,137000000.0,1000000.0,-92000000.0,-147000000.0,-107000000.0,-19000000.0,-49000000.0,1154000000.0,242800000.0,547000000.0,410000000.0,1.15,2193000000.0,2606000000.0,1.14,333000000.0,10000000.0,413000000.0,56000000.0,277000000.0,77000000.0,240600000.0,287000000.0,0.0,1501000000.0,2606000000.0,277000000.0,0.0,0.0,0.0,6.0,0.0175712612260837,1.0,1.08164847232091,3913000000.0,1.0,10.8347829394261,4.75,2.00782064650678,0.335526315789474,16.2688049278489,0.0514752266459997
7,2019,1,2019-03-31 00:00:00+00:00,24273000000.0,6968000000.0,1599000000.0,9296000000.0,9736000000.0,2555000000.0,426000000.0,0.0,0.0,3242000000.0,-3740000000.0,15919000000.0,134000000.0,0.0,588000000.0,29135000000.0,13216000000.0,14537000000.0,0.0,205000000.0,7394000000.0,1479000000.0,134000000.0,600000000.0,239999442.0,4775000000.0,89000000.0,17000000.0,-27000000.0,74000000.0,37000000.0,-100000000.0,137000000.0,-9000000.0,-140000000.0,39000000.0,-96000000.0,-56000000.0,-57000000.0,177000000.0,243700000.0,994000000.0,857000000.0,2.72,2271000000.0,3143000000.0,2.7,785000000.0,17000000.0,872000000.0,126000000.0,659000000.0,72000000.0,242200000.0,676000000.0,0.0,1584000000.0,3143000000.0,659000000.0,0.0,0.0,0.0,6.0,0.0171521035598705,1.0,1.09506775813442,4862000000.0,1.0,13.0958637812166,0.138075313807531,1.45926701570681,0.270456211582924,20.2583804340678,0.0442533402229276
8,2018,4,2018-12-31 00:00:00+00:00,22203000000.0,5993000000.0,588000000.0,9320000000.0,8907000000.0,2093000000.0,251000000.0,0.0,0.0,2760000000.0,-3909000000.0,14372000000.0,172000000.0,0.0,561000000.0,26422000000.0,12050000000.0,13296000000.0,0.0,181000000.0,6244000000.0,1943000000.0,172000000.0,656000000.0,240844114.0,4151000000.0,124000000.0,650000000.0,-53000000.0,711000000.0,-42000000.0,-198000000.0,151000000.0,-10000000.0,-444000000.0,18000000.0,-97000000.0,172000000.0,-61000000.0,-125000000.0,244900000.0,703000000.0,552000000.0,1.42,2271000000.0,2770000000.0,1.4,482000000.0,8000000.0,499000000.0,137000000.0,345000000.0,70000000.0,242200000.0,353000000.0,0.0,1601000000.0,2770000000.0,345000000.0,0.0,0.0,-69000000.0,5.0,-0.0477827432107253,1.0,1.0809265944645,4219000000.0,1.0,11.501215263247,-48.3333333333333,1.44374849433871,0.248425434032532,17.517554944274,0.0423576871358135
10,2018,3,2018-09-30 00:00:00+00:00,21274000000.0,5665000000.0,594000000.0,9542000000.0,8631000000.0,2042000000.0,741000000.0,0.0,0.0,2656000000.0,-3632000000.0,13348000000.0,167000000.0,0.0,476000000.0,25602000000.0,12254000000.0,12643000000.0,0.0,273000000.0,6406000000.0,1600000000.0,167000000.0,484000000.0,242655343.0,4262000000.0,67000000.0,494000000.0,-95000000.0,562000000.0,-13000000.0,-301000000.0,140000000.0,-9000000.0,-457000000.0,-18000000.0,-98000000.0,-3000000.0,-68000000.0,-63000000.0,245600000.0,395000000.0,255000000.0,0.6,2087000000.0,2349000000.0,0.6,186000000.0,6000000.0,262000000.0,39000000.0,147000000.0,69000000.0,244000000.0,153000000.0,0.0,1392000000.0,2349000000.0,147000000.0,0.0,0.0,2000000.0,4.0,0.00384615384615383,1.0,1.05576208178439,4328000000.0,1.0,9.68039677576768,-0.166666666666667,1.32918817456593,0.164785190733508,17.8359971245307,0.0288513779343163
11,2018,2,2018-06-30 00:00:00+00:00,22599000000.0,5659000000.0,575000000.0,9654000000.0,8756000000.0,2295000000.0,799000000.0,0.0,0.0,2992000000.0,-3524000000.0,14860000000.0,173000000.0,0.0,452000000.0,27217000000.0,12357000000.0,13843000000.0,0.0,294000000.0,6458000000.0,1447000000.0,173000000.0,487000000.0,244512517.0,4545000000.0,70000000.0,207000000.0,-167000000.0,273000000.0,-81000000.0,-402000000.0,329000000.0,-19000000.0,-135000000.0,-82000000.0,-98000000.0,-110000000.0,-66000000.0,421000000.0,247400000.0,302000000.0,-27000000.0,0.2,2577000000.0,2561000000.0,0.19,-96000000.0,10000000.0,-16000000.0,-144000000.0,48000000.0,69000000.0,246000000.0,58000000.0,0.0,2029000000.0,2561000000.0,48000000.0,0.0,0.0,-1000000.0,5.0,0.0815033783783783,1.0,1.07346673408943,4618000000.0,1.0,10.4739014240322,-0.931740614334471,1.24510451045105,0.164864313405427,18.8865586787117,0.030184168254324
