,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.debt,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.accoci,statementData.balanceSheet.acctRec,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfi,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.payDiv,statementData.cashFlow.ncfo,statementData.cashFlow.ncff,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncf,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.depamor,statementData.incomeStatement.netinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.revenue,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.intexp,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.sga,statementData.incomeStatement.opinc,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,4,2020-09-30 00:00:00+00:00,12725400000.0,1833200000.0,2416700000.0,1327300000.0,7907800000.0,8684900000.0,0.0,2248500000.0,12079800000.0,16483600000.0,404800000.0,25168500000.0,1068400000.0,11964700000.0,0.0,10308700000.0,0.0,-2140100000.0,1757700000.0,220894376.0,7430100000.0,477700000.0,5253000000.0,3353400000.0,1104900000.0,14875700000.0,1417000000.0,770900000.0,30000000.0,787700000.0,-296000000.0,1251500000.0,-720800000.0,10900000.0,1331600000.0,-183300000.0,14100000.0,-410000000.0,-463800000.0,310500000.0,486800000.0,222300000.0,486800000.0,2320100000.0,0.0,193400000.0,27100000.0,2.2,39200000.0,625900000.0,221500000.0,99900000.0,494700000.0,1566500000.0,2.19,0.0,7900000.0,936400000.0,586700000.0,753600000.0,195600000.0,560200000.0,4.0,0.0161615276804485,0.324813585621309,3.59370215583233,12443100000.0,0.324813585621309,10.5032099142262,-0.0350877192982455,0.615084686832563,0.161715987742945,56.3305423402903,0.0846971047120536
2,2020,3,2020-06-30 00:00:00+00:00,12758700000.0,1668500000.0,2591000000.0,1180200000.0,8197700000.0,9006500000.0,0.0,2166700000.0,11659300000.0,15775600000.0,410900000.0,24782100000.0,1025600000.0,11468900000.0,0.0,10167700000.0,0.0,-2353100000.0,1972600000.0,220854647.0,7358800000.0,838900000.0,3921400000.0,4682400000.0,2515700000.0,14686600000.0,-2509200000.0,-3624500000.0,7800000.0,-339900000.0,-295900000.0,774700000.0,4543300000.0,3000000.0,1701300000.0,-1700000.0,12500000.0,4881000000.0,-1114600000.0,290600000.0,446500000.0,222400000.0,446500000.0,2065200000.0,0.0,181100000.0,19900000.0,2.02,32100000.0,587900000.0,221200000.0,109300000.0,457100000.0,1344900000.0,2.01,0.0,10600000.0,878500000.0,555800000.0,720300000.0,176900000.0,539200000.0,5.0,-0.0714028776978417,0.348779779198141,3.4760710150521,12023400000.0,0.348779779198141,9.35094655264374,-0.0859728506787331,0.631152813633752,0.166789363902473,54.4403306125589,0.0918510045524912
3,2020,2,2020-03-31 00:00:00+00:00,7777500000.0,1649100000.0,1806900000.0,1163200000.0,3312600000.0,4688500000.0,0.0,2155400000.0,11371900000.0,14812700000.0,399700000.0,19501200000.0,934800000.0,10623700000.0,0.0,5970600000.0,0.0,-2478200000.0,1939100000.0,220678482.0,3245200000.0,67400000.0,2220100000.0,2155400000.0,0.0,14537200000.0,52800000.0,-445700000.0,-44300000.0,88600000.0,-256000000.0,571500000.0,-267500000.0,14700000.0,-186000000.0,-15600000.0,13000000.0,-23500000.0,-482900000.0,294700000.0,477800000.0,222300000.0,477800000.0,2216300000.0,0.0,179000000.0,19200000.0,2.16,19300000.0,645600000.0,221200000.0,148500000.0,490400000.0,1460100000.0,2.15,14300000.0,12600000.0,940300000.0,626300000.0,756200000.0,201700000.0,577200000.0,6.0,0.0130730904603007,0.341199296124171,2.59477558248935,11723700000.0,0.341199296124171,10.043117842364,0.130890052356021,0.285370078878639,0.171452754829438,53.1257052964502,0.100201603813082
4,2020,1,2019-12-31 00:00:00+00:00,7721800000.0,1630000000.0,1819000000.0,1232000000.0,3341200000.0,4719700000.0,0.0,2223100000.0,11556000000.0,14931900000.0,400600000.0,19651600000.0,923900000.0,10692200000.0,0.0,5902800000.0,0.0,-2088600000.0,1814700000.0,220433925.0,3265600000.0,75600000.0,2406100000.0,2223100000.0,0.0,14356900000.0,192200000.0,-260700000.0,21400000.0,219300000.0,-255700000.0,667000000.0,-270300000.0,5500000.0,157400000.0,-7100000.0,13900000.0,-13200000.0,-447700000.0,289200000.0,475600000.0,222200000.0,475600000.0,2254700000.0,0.0,207100000.0,17700000.0,2.15,18700000.0,615000000.0,220900000.0,120700000.0,488900000.0,1486600000.0,2.14,0.0,13300000.0,904200000.0,596300000.0,768100000.0,201700000.0,561000000.0,7.0,0.0138039568345323,0.340666164012951,2.59466739967015,11929800000.0,0.340666164012951,10.2284618848936,0.360759493670886,0.282589131187262,0.167231308152537,54.119618838162,0.097613052986398
5,2019,4,2019-09-30 00:00:00+00:00,7554500000.0,1635700000.0,1820900000.0,1216600000.0,3326000000.0,4618300000.0,0.0,2166200000.0,11053600000.0,14324500000.0,388300000.0,18942800000.0,880400000.0,10337600000.0,0.0,5733600000.0,0.0,-2375600000.0,1737900000.0,220355139.0,3227400000.0,98600000.0,2248700000.0,2332200000.0,166000000.0,14138400000.0,-164500000.0,-677900000.0,-27000000.0,484400000.0,-255600000.0,966500000.0,-709700000.0,4800000.0,-448100000.0,-16200000.0,10200000.0,-457000000.0,-482100000.0,293600000.0,503200000.0,222200000.0,503200000.0,2283200000.0,0.0,189200000.0,22900000.0,2.28,30100000.0,664500000.0,220600000.0,131200000.0,518700000.0,1490800000.0,2.26,0.0,15500000.0,958100000.0,634400000.0,792400000.0,181900000.0,603200000.0,8.0,-0.00682935316890687,0.347056762438683,2.53627327145917,11388300000.0,0.347056762438683,10.3614556500087,0.101449275362319,0.29197727437215,0.158243852878172,51.6815720826007,0.0915936779545466
7,2019,3,2019-06-30 00:00:00+00:00,7805300000.0,1543200000.0,2155200000.0,1261500000.0,3819700000.0,4915200000.0,0.0,2228800000.0,11386100000.0,14616700000.0,408300000.0,19531900000.0,888800000.0,10427600000.0,0.0,5650100000.0,0.0,-1781400000.0,1712900000.0,220132561.0,3273300000.0,546400000.0,2696800000.0,2228800000.0,0.0,13891900000.0,7600000.0,-553400000.0,-2300000.0,173500000.0,-255300000.0,717600000.0,-201000000.0,17900000.0,-39100000.0,-15000000.0,9800000.0,41600000.0,-544100000.0,269100000.0,488000000.0,221900000.0,488000000.0,2224000000.0,0.0,217400000.0,18100000.0,2.21,34200000.0,631500000.0,220600000.0,109300000.0,500200000.0,1466000000.0,2.2,0.0,12200000.0,900600000.0,597300000.0,758000000.0,188500000.0,540600000.0,6.0,-0.015493581230633,0.340827338129496,2.28062360801782,11726600000.0,0.340827338129496,10.1030033444257,0.0231481481481481,0.287482105374096,0.154401903721197,53.2706290551901,0.0887041857822708
8,2019,2,2019-03-31 00:00:00+00:00,7741100000.0,1513700000.0,2073000000.0,1230500000.0,3790800000.0,4895200000.0,0.0,2254000000.0,11165700000.0,14349300000.0,408300000.0,19244500000.0,876100000.0,10193800000.0,0.0,5668100000.0,0.0,-1744800000.0,1646000000.0,219631171.0,3302200000.0,488600000.0,2735900000.0,2256600000.0,2600000.0,13662000000.0,12600000.0,-655600000.0,7600000.0,70500000.0,-241600000.0,630600000.0,-170000000.0,40700000.0,-187400000.0,-107700000.0,11900000.0,31300000.0,-560100000.0,262100000.0,421300000.0,221400000.0,421300000.0,2187700000.0,0.0,196500000.0,16900000.0,1.91,35400000.0,564200000.0,220200000.0,107500000.0,433500000.0,1474700000.0,1.9,0.0,12200000.0,826300000.0,528800000.0,713000000.0,190000000.0,516500000.0,6.0,0.0148443660991788,0.325913059377428,2.36140858658948,11503400000.0,0.325913059377428,9.96079012846496,0.00526315789473686,0.29574500479146,0.156304949518461,52.3759899272221,0.0883460899196049
9,2019,1,2018-12-31 00:00:00+00:00,7938600000.0,1738300000.0,2303500000.0,1197300000.0,3767900000.0,5089900000.0,0.0,2228300000.0,10882900000.0,14052100000.0,403400000.0,19142000000.0,880800000.0,9959800000.0,0.0,5635100000.0,0.0,-1811200000.0,1676000000.0,219533532.0,3314600000.0,453300000.0,2923300000.0,2240600000.0,12300000.0,13497900000.0,173800000.0,-226500000.0,-6900000.0,251800000.0,-241500000.0,655200000.0,-289800000.0,4700000.0,132000000.0,0.0,9300000.0,-40600000.0,-403400000.0,258000000.0,347500000.0,221000000.0,347500000.0,2224000000.0,0.0,225000000.0,15000000.0,1.58,37300000.0,516900000.0,219900000.0,132100000.0,357000000.0,1544000000.0,1.57,0.0,9500000.0,774900000.0,479600000.0,680000000.0,189600000.0,455000000.0,5.0,0.00333844626906066,0.305755395683453,2.20963750813979,11203400000.0,0.305755395683453,10.1305708505615,1.22535211267606,0.304569554071066,0.15798276925377,51.0327506597033,0.0889404424664705
10,2018,4,2018-09-30 00:00:00+00:00,8002000000.0,1817800000.0,2338300000.0,1227400000.0,3812600000.0,5082200000.0,0.0,2290500000.0,10857500000.0,14096100000.0,396100000.0,19178300000.0,834700000.0,9923700000.0,0.0,5663700000.0,0.0,-1741900000.0,1580500000.0,219272496.0,3351700000.0,460900000.0,2791300000.0,2475200000.0,184700000.0,13409900000.0,-174500000.0,-609800000.0,-14400000.0,280700000.0,-241200000.0,691000000.0,-262000000.0,18000000.0,-195200000.0,-25200000.0,8400000.0,-32900000.0,-410300000.0,257200000.0,452900000.0,221100000.0,452900000.0,2298900000.0,0.0,199400000.0,20400000.0,2.07,35400000.0,557500000.0,219300000.0,69200000.0,459700000.0,1565800000.0,2.05,0.0,6800000.0,814700000.0,522100000.0,733100000.0,186000000.0,533700000.0,5.0,0.0434841813807816,0.318891643829658,2.17345935081042,11176300000.0,0.318891643829658,10.4842150380776,-0.0327102803738319,0.308699055952107,0.142175056241635,50.9699127974536,0.079771836994469
12,2018,3,2018-06-30 00:00:00+00:00,8396000000.0,1968400000.0,2109800000.0,1243100000.0,3871200000.0,5055500000.0,0.0,2317500000.0,10486000000.0,14150500000.0,322100000.0,19206000000.0,724600000.0,9902000000.0,0.0,6286200000.0,0.0,-1877800000.0,1635500000.0,219193653.0,3775800000.0,95400000.0,2986500000.0,2324800000.0,7300000.0,13200200000.0,139600000.0,-491000000.0,-47700000.0,164600000.0,-241100000.0,750200000.0,-282200000.0,5500000.0,-80400000.0,-48800000.0,7900000.0,-32700000.0,-585600000.0,245600000.0,473900000.0,220900000.0,473900000.0,2259000000.0,0.0,197800000.0,15000000.0,2.16,34900000.0,615900000.0,219500000.0,107100000.0,487900000.0,1545400000.0,2.15,-43200000.0,14000000.0,861500000.0,581000000.0,713600000.0,188600000.0,515800000.0,4.0,0.0646119044252793,0.315891987605135,2.39619869181913,10810000000.0,0.315891987605135,10.3059553462527,3.59574468085106,0.360080106809079,0.146353608922774,49.3171214223069,0.0813838917856629
