,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,6648700000.0,3586000000.0,1036900000.0,5363700000.0,4433700000.0,3587100000.0,229200000.0,1391000000.0,0.0,1880300000.0,-388400000.0,5037000000.0,0.0,0.0,0.0,11753900000.0,6716900000.0,2215000000.0,0.0,370900000.0,3815200000.0,1075900000.0,0.0,1456200000.0,298376863.0,5040200000.0,19000000.0,331000000.0,-110800000.0,398600000.0,37200000.0,-97900000.0,74400000.0,-33800000.0,-192800000.0,-9400000.0,-74600000.0,132200000.0,-67600000.0,-2300000.0,308200000.0,548300000.0,473900000.0,1.16,259100000.0,734900000.0,1.12,445900000.0,2900000.0,475800000.0,99300000.0,346600000.0,28000000.0,298800000.0,349500000.0,1588500000.0,259100000.0,2323400000.0,346600000.0,0.0,0.0,0.0,5.0,0.10606493382843,0.316303692863906,2.27404063205418,5105200000.0,0.316303692863906,7.78679679328889,0.221052631578947,0.711479703186382,0.249287238765653,17.1099057368935,0.101642276068134
1,2020-06-30 00:00:00+00:00,2,2020,6403600000.0,3763800000.0,1001700000.0,5283200000.0,4618400000.0,3419400000.0,2300000.0,1361900000.0,0.0,1658300000.0,-494600000.0,4618000000.0,0.0,0.0,0.0,11203900000.0,6585900000.0,1785200000.0,0.0,389800000.0,3766100000.0,928000000.0,0.0,1314000000.0,295894369.0,4738600000.0,16600000.0,301300000.0,-81300000.0,368100000.0,8000000.0,122500000.0,71500000.0,0.0,-1378800000.0,-14500000.0,-74000000.0,-1084000000.0,-66800000.0,-1350700000.0,304000000.0,427400000.0,355900000.0,0.87,246400000.0,603800000.0,0.85,325700000.0,2800000.0,357400000.0,68000000.0,257700000.0,30200000.0,296600000.0,260500000.0,1383700000.0,246400000.0,1987500000.0,257700000.0,0.0,0.0,0.0,5.0,-0.0137944722870044,0.303798742138365,2.58682500560161,4800300000.0,0.303798742138365,6.71692403852403,-0.103092783505155,0.794285231925041,0.24678270634475,16.2230191004412,0.0981494259803889
2,2020-03-31 00:00:00+00:00,1,2020,7632000000.0,4591500000.0,982400000.0,5274400000.0,5461800000.0,3248500000.0,500900000.0,1325000000.0,0.0,1540500000.0,-525100000.0,5517500000.0,0.0,0.0,0.0,12077700000.0,6560200000.0,2170200000.0,0.0,390800000.0,5092400000.0,817200000.0,0.0,2383600000.0,298101155.0,4385800000.0,15400000.0,324700000.0,-70400000.0,384300000.0,-20200000.0,-227200000.0,72100000.0,-16500000.0,1187400000.0,5700000.0,-74400000.0,1481100000.0,-59600000.0,1497100000.0,306500000.0,389000000.0,316900000.0,0.81,242900000.0,559800000.0,0.79,288100000.0,1100000.0,316900000.0,46000000.0,242100000.0,28800000.0,297400000.0,243200000.0,1302200000.0,242900000.0,1862000000.0,242100000.0,0.0,0.0,0.0,4.0,-0.0492724023487363,0.300644468313641,2.54239240622984,4445700000.0,0.300644468313641,6.24620189747336,-0.1,1.04690136349127,0.262373908953118,14.9133940792682,0.102192224524324
3,2019-12-31 00:00:00+00:00,4,2019,6219300000.0,3203400000.0,999000000.0,5309100000.0,4086600000.0,3348400000.0,403300000.0,1310100000.0,0.0,1736400000.0,-430900000.0,4211200000.0,0.0,0.0,0.0,10815500000.0,6604300000.0,2132700000.0,0.0,388300000.0,3606700000.0,866800000.0,0.0,908600000.0,296491707.0,4530300000.0,16600000.0,352400000.0,-117800000.0,424100000.0,17600000.0,56800000.0,76700000.0,-46200000.0,-402000000.0,100000.0,-74000000.0,-78100000.0,-71700000.0,-366500000.0,308200000.0,505400000.0,428700000.0,1.07,248900000.0,678700000.0,1.03,400600000.0,2100000.0,429800000.0,81900000.0,318700000.0,28100000.0,297200000.0,320800000.0,1472300000.0,248900000.0,2151000000.0,318700000.0,0.0,0.0,0.0,5.0,-0.0331280622106351,0.315527661552766,1.97458620527969,4596200000.0,0.315527661552766,7.25484035207771,-0.0530973451327432,0.707105489702669,0.272430264787403,15.5019512906646,0.109104134979642
5,2019-09-30 00:00:00+00:00,3,2019,6472500000.0,3545400000.0,965200000.0,5486200000.0,4349900000.0,3158700000.0,403700000.0,1273500000.0,0.0,1689100000.0,-493700000.0,4232200000.0,0.0,0.0,0.0,10683600000.0,6451400000.0,2122600000.0,0.0,400000000.0,3949100000.0,830700000.0,0.0,986700000.0,297448178.0,4155300000.0,16600000.0,340700000.0,-207900000.0,412200000.0,-25900000.0,-117200000.0,72000000.0,-135000000.0,-191400000.0,-1400000.0,-68300000.0,-13000000.0,-71500000.0,-5500000.0,306200000.0,473800000.0,401800000.0,0.95,248300000.0,661900000.0,0.92,372100000.0,2000000.0,413600000.0,91800000.0,280300000.0,29700000.0,296600000.0,282300000.0,1438700000.0,248300000.0,2100600000.0,280300000.0,0.0,0.0,0.0,5.0,-0.0133395960544856,0.315100447491193,1.9938754357863,4211100000.0,0.315100447491193,7.06207048946859,-0.0952380952380953,0.853223593964335,0.285653472150428,14.1574240874994,0.11299331739258
6,2019-06-30 00:00:00+00:00,2,2019,6430800000.0,3569400000.0,970000000.0,5441900000.0,4377900000.0,3104600000.0,403100000.0,1275300000.0,0.0,1685000000.0,-396900000.0,4222100000.0,0.0,0.0,0.0,10634000000.0,6411900000.0,2052900000.0,0.0,392700000.0,3972500000.0,814600000.0,0.0,997300000.0,298732261.0,4148300000.0,15400000.0,248200000.0,-428000000.0,322400000.0,-8400000.0,-182700000.0,77800000.0,-356900000.0,126600000.0,3100000.0,-68500000.0,12600000.0,-74200000.0,399200000.0,308700000.0,474900000.0,397100000.0,0.97,248100000.0,647600000.0,0.93,367100000.0,2500000.0,399500000.0,78700000.0,288400000.0,30000000.0,298000000.0,290900000.0,1367700000.0,239200000.0,2015300000.0,288400000.0,0.0,0.0,0.0,5.0,0.0171091147673361,0.321341735721729,2.05665156607726,4203200000.0,0.321341735721729,6.74617462892633,0.0210526315789474,0.86044885856857,0.297128972283753,14.070124150401,0.119184043160651
7,2019-03-31 00:00:00+00:00,1,2019,6037700000.0,3554800000.0,932000000.0,5148600000.0,4388500000.0,3142100000.0,6000000.0,1224400000.0,0.0,1661900000.0,-384800000.0,4127500000.0,0.0,0.0,0.0,10208100000.0,6080600000.0,1649200000.0,0.0,433500000.0,3560800000.0,797100000.0,0.0,987600000.0,298087210.0,4123100000.0,14400000.0,273400000.0,-475100000.0,343600000.0,3500000.0,-112500000.0,85600000.0,-399300000.0,-181600000.0,-5600000.0,-68700000.0,-309600000.0,-70200000.0,2800000.0,308600000.0,462400000.0,376800000.0,0.9,251600000.0,627800000.0,0.87,347100000.0,2400000.0,376200000.0,79600000.0,267500000.0,29700000.0,298100000.0,269900000.0,1330700000.0,235100000.0,1958500000.0,267500000.0,0.0,0.0,0.0,5.0,0.0490652954095023,0.320551442430431,2.50272859568276,4170400000.0,0.320551442430431,6.57022486808475,0.0344827586206897,0.862166816230506,0.303455037994733,13.9905365278839,0.122209594010009
8,2018-12-31 00:00:00+00:00,4,2018,5980700000.0,2806400000.0,875800000.0,4501100000.0,3529400000.0,3028700000.0,764300000.0,1233800000.0,0.0,1791800000.0,-390200000.0,4571600000.0,0.0,0.0,0.0,10044900000.0,5473300000.0,2451300000.0,0.0,459100000.0,3570700000.0,890500000.0,0.0,1291700000.0,301327138.0,4017000000.0,15200000.0,277000000.0,-91500000.0,378200000.0,-4200000.0,-247300000.0,105200000.0,0.0,-1500000.0,9700000.0,-69300000.0,281000000.0,-101200000.0,315400000.0,309600000.0,560400000.0,455200000.0,1.13,257400000.0,715000000.0,1.09,428800000.0,3100000.0,457600000.0,90700000.0,338100000.0,26400000.0,299700000.0,341200000.0,1509700000.0,248900000.0,2224700000.0,338100000.0,0.0,0.0,0.0,7.0,0.144451875096456,0.321391648312132,1.86496960796312,4064200000.0,0.321391648312132,7.38300577493953,-4.3235294117647,0.698630819019169,0.307014247590902,13.4876666833772,0.124553311887136
10,2018-09-30 00:00:00+00:00,3,2018,5689300000.0,2468300000.0,886400000.0,4574700000.0,3146100000.0,2935800000.0,790200000.0,1245500000.0,0.0,1737600000.0,-337300000.0,4281500000.0,0.0,0.0,0.0,9742600000.0,5461100000.0,2543200000.0,0.0,387900000.0,3258500000.0,1014000000.0,0.0,1019800000.0,300352562.0,4008900000.0,14400000.0,267400000.0,-67200000.0,339200000.0,-15400000.0,37500000.0,72300000.0,-100000.0,-222700000.0,4700000.0,-68900000.0,33900000.0,-71800000.0,-180500000.0,312400000.0,513700000.0,441400000.0,1.05,244000000.0,688200000.0,1.01,416600000.0,3000000.0,444200000.0,100000000.0,316600000.0,24800000.0,300500000.0,319600000.0,1440800000.0,244000000.0,2129000000.0,316600000.0,0.0,0.0,0.0,7.0,0.156562364189483,0.323250352278065,1.68350896508336,4053300000.0,0.323250352278065,7.08833640646621,0.153846153846154,0.615705056249844,0.194874216043436,13.4951404210096,0.0790057034958161
11,2018-06-30 00:00:00+00:00,2,2018,5697700000.0,2668200000.0,888200000.0,4600700000.0,3356900000.0,2723300000.0,768400000.0,1159800000.0,0.0,1627300000.0,-288700000.0,4021400000.0,0.0,0.0,0.0,9510300000.0,5488900000.0,2340800000.0,0.0,360700000.0,3436600000.0,903100000.0,0.0,991100000.0,301435822.0,3761100000.0,13300000.0,186600000.0,-140800000.0,265100000.0,-42400000.0,-233300000.0,61700000.0,-59300000.0,-117700000.0,-3000000.0,-57400000.0,-35800000.0,-78500000.0,176200000.0,312300000.0,467000000.0,405300000.0,0.95,236600000.0,644800000.0,0.91,379300000.0,3000000.0,408200000.0,94500000.0,284800000.0,26000000.0,300800000.0,287800000.0,1336600000.0,236600000.0,1981400000.0,284800000.0,0.0,0.0,0.0,5.0,0.188958895889589,0.325426466135056,1.71795967190704,3812600000.0,0.325426466135056,6.57320681680627,0.158536585365854,0.709420116455292,0.184210526315789,12.6481317804358,0.0752205613250032
12,2018-03-31 00:00:00+00:00,1,2018,5435800000.0,2489400000.0,839300000.0,4627300000.0,3251100000.0,2770900000.0,749900000.0,1166800000.0,0.0,1515800000.0,-139700000.0,3937100000.0,0.0,0.0,0.0,9403700000.0,5466600000.0,2184700000.0,0.0,409600000.0,3239300000.0,798200000.0,0.0,1024300000.0,305483780.0,3913900000.0,12700000.0,76100000.0,-142300000.0,130200000.0,21400000.0,-361400000.0,60500000.0,-99500000.0,-728200000.0,11300000.0,-58100000.0,-718900000.0,-54100000.0,-304800000.0,316000000.0,437000000.0,376500000.0,0.87,230000000.0,606900000.0,0.84,352000000.0,2700000.0,376900000.0,86400000.0,265600000.0,24500000.0,303700000.0,268300000.0,1260000000.0,230000000.0,1866900000.0,265600000.0,0.0,0.0,0.0,5.0,0.196654060637139,0.325084364454443,1.80212386139973,3967900000.0,0.325084364454443,6.11129009861015,0.191780821917808,0.636040777740872,0.174481566093223,12.988905663011,0.072397242159453
