,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.deposits,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncfo,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfx,statementData.cashFlow.depamor,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.eps,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebt,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-11-01 00:00:00+00:00,4,2020,75933000000.0,0.0,11895000000.0,0.0,0.0,2297000000.0,0.0,52032000000.0,0.0,45661000000.0,0.0,7618000000.0,64038000000.0,41062000000.0,60229000000.0,-108000000.0,2509000000.0,1003000000.0,0.0,836000000.0,6371000000.0,404501331.0,0.0,40235000000.0,23874000000.0,827000000.0,-100000000.0,-100000000.0,3248000000.0,-4487000000.0,3348000000.0,0.0,-3000000000.0,-1395000000.0,449000000.0,0.0,-1239000000.0,-83000000.0,0.0,1728000000.0,1526000000.0,1250000000.0,405000000.0,424000000.0,420000000.0,1182000000.0,1324000000.0,3747000000.0,3.1,74000000.0,1557000000.0,0.0,-187000000.0,2221000000.0,0.0,1324000000.0,6467000000.0,2.97,3285000000.0,1137000000.0,405000000.0,2720000000.0,0.0335195179130544,0.11963296398892,23901000000.0,1.86705383770209,0.497584541062802,0.579403123550332,15.9875864537019,1.68530619083522,0.579403123550332,59.0875682433787,5.0,0.111258499493425
2,2020-08-02 00:00:00+00:00,3,2020,79298000000.0,0.0,13681000000.0,0.0,0.0,2684000000.0,0.0,55713000000.0,0.0,49011000000.0,0.0,8857000000.0,65617000000.0,44023000000.0,61804000000.0,-131000000.0,2567000000.0,1081000000.0,0.0,1092000000.0,6702000000.0,402185283.0,0.0,43201000000.0,23557000000.0,822000000.0,-95000000.0,-46000000.0,3083000000.0,-3482000000.0,3178000000.0,0.0,-1900000000.0,-1386000000.0,465000000.0,48000000.0,-350000000.0,-146000000.0,0.0,1719000000.0,1008000000.0,614000000.0,403000000.0,422000000.0,464000000.0,1228000000.0,688000000.0,3316000000.0,1.52,74000000.0,1056000000.0,1000000.0,-96000000.0,2308000000.0,0.0,688000000.0,5821000000.0,1.45,2775000000.0,592000000.0,428000000.0,2505000000.0,0.0288480499119106,0.055485040797824,23585000000.0,2.04133094598627,-0.155555555555556,0.569661570176946,14.4734286560157,1.8338922613236,0.569661570176946,58.6421258979782,5.0,0.0921824642591521
3,2020-05-03 00:00:00+00:00,2,2020,81548000000.0,0.0,14222000000.0,0.0,0.0,3211000000.0,0.0,57578000000.0,0.0,50977000000.0,0.0,9207000000.0,67326000000.0,45863000000.0,63366000000.0,-131000000.0,2618000000.0,953000000.0,0.0,1230000000.0,6601000000.0,399791345.0,0.0,45044000000.0,23942000000.0,819000000.0,-148000000.0,24000000.0,3065000000.0,-474000000.0,3213000000.0,0.0,1041000000.0,-1381000000.0,517000000.0,168000000.0,2763000000.0,-128000000.0,0.0,1730000000.0,766000000.0,488000000.0,401000000.0,417000000.0,487000000.0,1269000000.0,563000000.0,3189000000.0,1.22,75000000.0,891000000.0,5000000.0,-159000000.0,2423000000.0,0.0,563000000.0,5742000000.0,1.17,2621000000.0,404000000.0,501000000.0,2553000000.0,0.0311126231596923,0.0407830342577489,23970000000.0,2.15452204211483,-0.298850574712644,0.555381400208986,14.3624920144282,1.8813800016707,0.555381400208986,59.9562754416307,5.0,0.0984443928488507
4,2020-02-02 00:00:00+00:00,1,2020,81006000000.0,0.0,12109000000.0,0.0,0.0,3651000000.0,0.0,56610000000.0,0.0,48871000000.0,0.0,6444000000.0,68897000000.0,44718000000.0,64937000000.0,-132000000.0,2616000000.0,944000000.0,0.0,985000000.0,7739000000.0,397792289.0,0.0,42407000000.0,24368000000.0,2311000000.0,-108000000.0,-10987000000.0,2214000000.0,10054000000.0,2322000000.0,0.0,11562000000.0,-1372000000.0,545000000.0,-10870000000.0,1389000000.0,-132000000.0,0.0,1728000000.0,714000000.0,311000000.0,398000000.0,420000000.0,406000000.0,1289000000.0,385000000.0,3264000000.0,0.78,74000000.0,715000000.0,-5000000.0,-76000000.0,2550000000.0,0.0,385000000.0,5858000000.0,0.74,2443000000.0,309000000.0,601000000.0,2594000000.0,0.0350644230968732,0.0119191570219381,24396000000.0,1.56467243829952,-0.333333333333333,0.557186753158074,14.7262784171264,1.74027413000657,0.557186753158074,61.3284889491661,5.0,0.109051019530242
5,2019-11-03 00:00:00+00:00,4,2019,67493000000.0,0.0,9917000000.0,0.0,0.0,3259000000.0,0.0,42523000000.0,0.0,35624000000.0,0.0,5055000000.0,57576000000.0,32798000000.0,54268000000.0,-140000000.0,2565000000.0,874000000.0,0.0,855000000.0,6899000000.0,396670773.0,0.0,30011000000.0,24941000000.0,2787000000.0,-90000000.0,-88000000.0,2389000000.0,-2798000000.0,2479000000.0,-5000000.0,-4904000000.0,-1054000000.0,544000000.0,0.0,-407000000.0,-528000000.0,0.0,1452000000.0,1054000000.0,818000000.0,395000000.0,416000000.0,361000000.0,1177000000.0,847000000.0,3152000000.0,2.07,29000000.0,1108000000.0,0.0,-100000000.0,2098000000.0,0.0,847000000.0,5776000000.0,1.96,2560000000.0,747000000.0,409000000.0,2624000000.0,0.038460715126692,0.0609845701689933,24970000000.0,1.43745470358023,-0.260714285714286,0.545706371191136,14.5611937988686,1.20327974018684,0.545706371191136,62.9489281782805,5.0,0.117378048780488
7,2019-08-04 00:00:00+00:00,3,2019,69767000000.0,0.0,10898000000.0,0.0,0.0,3539000000.0,0.0,48264000000.0,0.0,39982000000.0,0.0,5462000000.0,58869000000.0,37565000000.0,55565000000.0,-116000000.0,2611000000.0,1091000000.0,0.0,996000000.0,8282000000.0,398073576.0,0.0,34028000000.0,21503000000.0,3537000000.0,-30000000.0,-35000000.0,2389000000.0,-2250000000.0,2419000000.0,0.0,-230000000.0,-1057000000.0,632000000.0,-6000000.0,134000000.0,-966000000.0,0.0,1450000000.0,865000000.0,715000000.0,398000000.0,418000000.0,362000000.0,1235000000.0,715000000.0,3034000000.0,1.8,0.0,906000000.0,0.0,-171000000.0,2169000000.0,0.0,715000000.0,5515000000.0,1.71,2356000000.0,544000000.0,410000000.0,2481000000.0,0.0455200690712278,0.089275133320166,21503000000.0,1.31586573291475,-0.352517985611511,0.550135992747053,13.8542227681046,1.58247686369344,0.550135992747053,54.0176522543159,5.0,0.12792338278678
8,2019-05-05 00:00:00+00:00,2,2019,70916000000.0,0.0,10677000000.0,0.0,0.0,3484000000.0,0.0,48744000000.0,0.0,40241000000.0,0.0,5328000000.0,60239000000.0,37548000000.0,56850000000.0,-116000000.0,2654000000.0,1034000000.0,0.0,759000000.0,8503000000.0,395845660.0,0.0,34011000000.0,22172000000.0,3537000000.0,-125000000.0,-106000000.0,2542000000.0,-2326000000.0,2667000000.0,0.0,-59000000.0,-1057000000.0,544000000.0,0.0,235000000.0,-1209000000.0,0.0,1447000000.0,970000000.0,691000000.0,397000000.0,422000000.0,376000000.0,1151000000.0,691000000.0,3089000000.0,1.74,0.0,1031000000.0,2000000.0,-36000000.0,2119000000.0,0.0,691000000.0,5517000000.0,1.64,2478000000.0,655000000.0,419000000.0,2428000000.0,0.0570461806325507,0.100319106501795,22172000000.0,1.25567446783488,-0.802944507361268,0.559905745876382,13.9372501898846,1.53396175356305,0.559905745876382,56.0117294199967,5.0,0.139611074820361
9,2019-02-03 00:00:00+00:00,1,2019,72110000000.0,0.0,10604000000.0,0.0,0.0,3677000000.0,0.0,48886000000.0,259000000.0,40537000000.0,0.0,5093000000.0,61506000000.0,37641000000.0,58140000000.0,-116000000.0,2684000000.0,1074000000.0,0.0,738000000.0,8349000000.0,407270901.0,0.0,34104000000.0,23224000000.0,3537000000.0,-99000000.0,-15193000000.0,2033000000.0,13862000000.0,2132000000.0,0.0,18427000000.0,-1067000000.0,465000000.0,-15070000000.0,801000000.0,-3451000000.0,0.0,1459000000.0,555000000.0,471000000.0,401000000.0,419000000.0,345000000.0,1133000000.0,471000000.0,3208000000.0,1.17,0.0,613000000.0,10000000.0,-203000000.0,2653000000.0,0.0,471000000.0,5789000000.0,1.12,2072000000.0,268000000.0,471000000.0,2581000000.0,0.114264619279078,0.0867279894875164,23224000000.0,1.27009222661397,-0.923026315789474,0.554154430817067,14.2141262382996,1.46848088184637,0.554154430817067,57.0234699876091,5.0,0.237659963436929
10,2018-11-04 00:00:00+00:00,4,2018,50124000000.0,0.0,9107000000.0,0.0,0.0,3325000000.0,0.0,23467000000.0,3487000000.0,21129000000.0,0.0,4292000000.0,41017000000.0,17493000000.0,37675000000.0,-115000000.0,2635000000.0,1124000000.0,0.0,811000000.0,2338000000.0,413446755.0,0.0,17493000000.0,26657000000.0,0.0,-105000000.0,-118000000.0,2530000000.0,-2361000000.0,2635000000.0,-54000000.0,-117000000.0,-723000000.0,317000000.0,-16000000.0,156000000.0,-1495000000.0,0.0,968000000.0,1652000000.0,1115000000.0,412000000.0,425000000.0,148000000.0,948000000.0,1115000000.0,2935000000.0,2.8,0.0,1570000000.0,0.0,307000000.0,1283000000.0,0.0,1115000000.0,5444000000.0,2.7,2538000000.0,1422000000.0,237000000.0,2509000000.0,0.233531451213472,0.123864574731627,26657000000.0,3.89520958083832,1.15384615384615,0.539125642909625,13.1673545242845,0.656225381700867,0.539125642909625,64.4750495139332,7.0,0.437520633136147
12,2018-08-05 00:00:00+00:00,3,2018,50372000000.0,0.0,8695000000.0,0.0,0.0,3010000000.0,0.0,22920000000.0,4267000000.0,20733000000.0,0.0,4136000000.0,41677000000.0,17604000000.0,38518000000.0,-106000000.0,2695000000.0,1216000000.0,0.0,785000000.0,2187000000.0,431680880.0,0.0,17487000000.0,27452000000.0,117000000.0,-120000000.0,-174000000.0,2127000000.0,-6124000000.0,2247000000.0,0.0,0.0,-754000000.0,315000000.0,-7000000.0,-4051000000.0,-5372000000.0,0.0,965000000.0,1339000000.0,1196000000.0,430000000.0,441000000.0,149000000.0,959000000.0,1196000000.0,2619000000.0,2.78,0.0,1377000000.0,1000000.0,32000000.0,1280000000.0,0.0,1196000000.0,5063000000.0,2.71,2342000000.0,1228000000.0,234000000.0,2444000000.0,0.21796798431885,0.134438718350885,27452000000.0,3.97576588934614,1.35593220338983,0.517282243729014,11.7285713465002,0.6370027684686,0.517282243729014,63.5932728825052,6.0,0.441833404285512
