,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-26 00:00:00+00:00,3,2020,4386200000.0,2020000000.0,1233900000.0,1253400000.0,2570200000.0,3205500000.0,124100000.0,662600000.0,0.0,1212700000.0,-393900000.0,2374500000.0,0.0,0.0,203300000.0,5720800000.0,3346300000.0,1816000000.0,0.0,111400000.0,2144100000.0,932800000.0,0.0,284700000.0,83462155.0,1334600000.0,10700000.0,227300000.0,-34900000.0,257800000.0,5000000.0,-7000000.0,52000000.0,-10000000.0,-205800000.0,5600000.0,-48400000.0,22100000.0,-30500000.0,-150900000.0,84000000.0,264400000.0,212400000.0,1.8,258300000.0,484200000.0,1.79,196800000.0,0.0,225900000.0,46300000.0,150500000.0,15600000.0,83500000.0,150500000.0,1244900000.0,258300000.0,1729100000.0,150500000.0,0.0,0.0,0.0,6.0,-0.0183376859316453,0.280030073448615,1.30754405286344,1334600000.0,0.280030073448615,20.7171741491698,0.0465116279069768,1.51356211598981,0.427860898516007,15.9904809551107,0.0911504960600635
1,2020-06-27 00:00:00+00:00,2,2020,4437800000.0,1997600000.0,1228800000.0,1235300000.0,2528300000.0,3100200000.0,268600000.0,726600000.0,0.0,1114600000.0,-403200000.0,2324600000.0,0.0,0.0,211100000.0,5651700000.0,3327100000.0,1909500000.0,0.0,113300000.0,2266200000.0,956500000.0,0.0,262600000.0,83340035.0,1213900000.0,-4900000.0,144200000.0,-42400000.0,179600000.0,1000000.0,0.0,50300000.0,-6900000.0,-617600000.0,-100000.0,-48400000.0,-479400000.0,-35400000.0,-568700000.0,83800000.0,172200000.0,121900000.0,0.96,219400000.0,382900000.0,0.95,101900000.0,0.0,163500000.0,22200000.0,79700000.0,20000000.0,83400000.0,79700000.0,1145600000.0,219400000.0,1528500000.0,79700000.0,0.0,0.0,0.0,6.0,-0.148799910898257,0.250507033038927,1.21738675045824,1213900000.0,0.250507033038927,18.3405250549751,-0.435294117647059,1.64560507455309,0.448297373459247,14.5656286321454,0.0916442759706422
2,2020-03-28 00:00:00+00:00,1,2020,5087500000.0,1988000000.0,1232000000.0,1225700000.0,2527400000.0,3064800000.0,832300000.0,723300000.0,0.0,1222500000.0,-412000000.0,2913600000.0,0.0,0.0,224800000.0,6260900000.0,3347300000.0,2560100000.0,0.0,122900000.0,2820300000.0,1030800000.0,0.0,742000000.0,83297552.0,1173400000.0,6300000.0,-35000000.0,-285600000.0,4400000.0,-4200000.0,-45200000.0,47500000.0,-245900000.0,773700000.0,-300000.0,-48400000.0,488300000.0,-39400000.0,887300000.0,84100000.0,246800000.0,199300000.0,1.61,281000000.0,485100000.0,1.6,180500000.0,0.0,204100000.0,46300000.0,134200000.0,18800000.0,83300000.0,134200000.0,1237900000.0,281000000.0,1723000000.0,134200000.0,0.0,0.0,0.0,6.0,-0.0098270214355497,0.281543818920488,1.13808054372876,1173400000.0,0.281543818920488,20.6848815917183,-1.92528735632184,1.69422191920914,0.520045360549663,14.086848554685,0.104047939994928
3,2019-12-28 00:00:00+00:00,4,2019,4284800000.0,1499300000.0,1210700000.0,1057300000.0,2031000000.0,2979100000.0,440200000.0,663000000.0,0.0,1212200000.0,-348100000.0,2340600000.0,0.0,0.0,225400000.0,5488800000.0,3148200000.0,2253800000.0,0.0,110300000.0,1939500000.0,1066100000.0,0.0,253700000.0,83502894.0,1204000000.0,9000000.0,182700000.0,-95400000.0,279500000.0,2300000.0,-33400000.0,45600000.0,0.0,-156900000.0,1400000.0,-48400000.0,29500000.0,-96800000.0,-75100000.0,84700000.0,228100000.0,182500000.0,1.93,273100000.0,484700000.0,1.91,164700000.0,0.0,211600000.0,2200000.0,162500000.0,17800000.0,83400000.0,162500000.0,1288200000.0,273100000.0,1772900000.0,162500000.0,0.0,0.0,0.0,6.0,0.00237462543110767,0.273393874443003,1.03851273404916,1204000000.0,0.273393874443003,21.2315994700735,0.707964601769912,1.2452657807309,0.281384679549562,14.4186619448183,0.056298068230811
5,2019-09-28 00:00:00+00:00,3,2019,4281300000.0,1483700000.0,1142100000.0,1049500000.0,2013400000.0,2861700000.0,514200000.0,665000000.0,0.0,1224200000.0,-399300000.0,2333400000.0,0.0,0.0,195800000.0,5338700000.0,3005300000.0,2267900000.0,0.0,102700000.0,1997900000.0,1041200000.0,0.0,224200000.0,84192913.0,1057400000.0,9000000.0,161000000.0,-68000000.0,228200000.0,-4800000.0,-87700000.0,44000000.0,0.0,-178500000.0,-800000.0,-48600000.0,-23100000.0,-67200000.0,-45200000.0,84800000.0,242200000.0,198200000.0,1.72,265300000.0,471700000.0,1.71,179200000.0,0.0,206400000.0,34600000.0,144600000.0,19000000.0,84000000.0,144600000.0,1289700000.0,265300000.0,1761400000.0,144600000.0,0.0,0.0,0.0,6.0,0.000966073762573183,0.267798342227773,1.0288813439746,1057400000.0,0.267798342227773,20.9210007972999,0.00584795321637421,1.40315869112918,0.234281639578057,12.5592518695724,0.0448174001392312
6,2019-06-29 00:00:00+00:00,2,2019,4327200000.0,1503300000.0,1143800000.0,1077100000.0,2048700000.0,2762300000.0,558500000.0,671000000.0,0.0,1232000000.0,-369800000.0,2377200000.0,0.0,0.0,180200000.0,5389700000.0,3012500000.0,2278500000.0,0.0,112100000.0,2061800000.0,1055400000.0,0.0,247300000.0,84415853.0,1062500000.0,8900000.0,158000000.0,-45600000.0,203400000.0,-2000000.0,-27900000.0,44900000.0,0.0,-134200000.0,-200000.0,-48800000.0,21600000.0,-45400000.0,-57200000.0,85100000.0,252700000.0,207800000.0,1.7,265700000.0,482300000.0,1.69,188300000.0,0.0,216600000.0,44900000.0,143400000.0,19500000.0,84300000.0,143400000.0,1313400000.0,265700000.0,1795700000.0,143400000.0,0.0,0.0,0.0,7.0,-0.0315499946068385,0.26858606671493,1.04331797235023,1062500000.0,0.26858606671493,21.2720707803545,0.559633027522936,1.41487058823529,0.239708129961051,12.5864984151733,0.046079193282408
7,2019-03-30 00:00:00+00:00,1,2019,4361800000.0,1759900000.0,1144900000.0,1077800000.0,2321300000.0,2663500000.0,350300000.0,688300000.0,0.0,1198700000.0,-359400000.0,2323700000.0,0.0,0.0,191500000.0,5353700000.0,3030000000.0,2040500000.0,0.0,120400000.0,2110200000.0,1033700000.0,0.0,225700000.0,83980757.0,991900000.0,7600000.0,-4600000.0,-42000000.0,35400000.0,1000000.0,-88700000.0,44500000.0,-6500000.0,-700000.0,4500000.0,-43900000.0,-6300000.0,-40000000.0,153600000.0,84300000.0,-221300000.0,-265800000.0,-1.74,276300000.0,465400000.0,-1.74,-285300000.0,0.0,189100000.0,-138400000.0,-146900000.0,19500000.0,84300000.0,-146900000.0,1274700000.0,276300000.0,1740100000.0,-146900000.0,0.0,0.0,0.0,6.0,-0.0204345868047737,0.267455893339463,1.13878951237442,991900000.0,0.267455893339463,20.7202228481937,-2.22535211267606,1.77427159995967,0.194521912350598,11.811039045528,0.0374206033665131
8,2018-12-29 00:00:00+00:00,4,2018,4222400000.0,1771600000.0,1137400000.0,1085800000.0,2228400000.0,2864900000.0,194600000.0,651400000.0,0.0,1189700000.0,-682000000.0,2298000000.0,0.0,0.0,205300000.0,5177500000.0,2879500000.0,1994000000.0,0.0,180200000.0,1966200000.0,1030500000.0,0.0,232000000.0,86710248.0,955100000.0,9500000.0,167800000.0,-105100000.0,270200000.0,-500000.0,-217800000.0,45000000.0,-3600000.0,-150200000.0,900000.0,-44400000.0,14400000.0,-102400000.0,112300000.0,87100000.0,148900000.0,103900000.0,1.13,274500000.0,471500000.0,1.12,87600000.0,0.0,197000000.0,-9500000.0,97100000.0,16300000.0,86100000.0,97100000.0,1297200000.0,274500000.0,1768700000.0,97100000.0,0.0,0.0,0.0,6.0,0.0192473923817207,0.266579973992198,1.15245737211635,955100000.0,0.266579973992198,20.3978196441094,-2.6865671641791,1.85488430530834,0.454470319412708,11.0148456731435,0.0898716531269528
10,2018-09-29 00:00:00+00:00,3,2018,4134800000.0,1295300000.0,1086900000.0,1101700000.0,1776600000.0,2809400000.0,571700000.0,682500000.0,0.0,1235700000.0,-740400000.0,2358800000.0,0.0,0.0,195100000.0,5181900000.0,2823100000.0,2358200000.0,0.0,127800000.0,1867000000.0,1048000000.0,0.0,217600000.0,87418042.0,1047100000.0,8400000.0,-82500000.0,-45300000.0,-21800000.0,-5000000.0,-72200000.0,46700000.0,0.0,73900000.0,15400000.0,-45300000.0,1800000.0,-60700000.0,191400000.0,88500000.0,228600000.0,181900000.0,1.71,270500000.0,459200000.0,1.69,167200000.0,0.0,188700000.0,17700000.0,149500000.0,14700000.0,87300000.0,149500000.0,1300500000.0,270500000.0,1759700000.0,149500000.0,0.0,0.0,0.0,4.0,0.047752307234296,0.260953571631528,1.00025443134594,1047100000.0,0.260953571631528,20.1297118963154,0.390243902439024,1.23703562219463,0.295559941972461,11.978076562273,0.0598582052171233
11,2018-06-30 00:00:00+00:00,2,2018,4141200000.0,1289700000.0,1084500000.0,1109700000.0,2032000000.0,2702100000.0,384300000.0,660800000.0,0.0,1236200000.0,-719700000.0,2328100000.0,0.0,0.0,199000000.0,5163100000.0,2835000000.0,2109200000.0,0.0,157700000.0,1674000000.0,1034400000.0,0.0,215800000.0,88030887.0,1021900000.0,9000000.0,145400000.0,-46300000.0,193500000.0,-8900000.0,-51300000.0,44800000.0,-100000.0,-110000000.0,1900000.0,-45700000.0,28300000.0,-48100000.0,2300000.0,89000000.0,198600000.0,153800000.0,1.09,287500000.0,501400000.0,1.07,139500000.0,0.0,213900000.0,43900000.0,95600000.0,14300000.0,87900000.0,95600000.0,1352800000.0,287500000.0,1854200000.0,95600000.0,0.0,0.0,0.0,6.0,0.139713565677055,0.270413116168698,1.10378342499526,1021900000.0,0.270413116168698,21.0630616501683,-0.204379562043796,1.26206086701243,0.251124001211359,11.6084255745373,0.0517013980480084
