,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,11496000000.0,6250000000.0,5038000000.0,4772000000.0,8074000000.0,16285000000.0,727000000.0,1988000000.0,0.0,2001000000.0,-3839000000.0,9033000000.0,0.0,0.0,0.0,20098000000.0,11065000000.0,3422000000.0,0.0,0.0,6977000000.0,2695000000.0,0.0,4359000000.0,506231732.0,8567000000.0,33000000.0,354000000.0,-157000000.0,510000000.0,30000000.0,29000000.0,209000000.0,-13000000.0,-111000000.0,0.0,-125000000.0,272000000.0,-156000000.0,-1000000.0,518000000.0,660000000.0,451000000.0,0.7,725000000.0,1195000000.0,0.69,412000000.0,3000000.0,470000000.0,56000000.0,356000000.0,39000000.0,511000000.0,359000000.0,1777000000.0,601000000.0,2972000000.0,356000000.0,0.0,123000000.0,0.0,4.0,0.0424412486846721,0.402086137281292,2.63968439509059,8602000000.0,0.402086137281292,5.87082913245747,-0.0277777777777778,0.729543597525388,0.112901226917834,16.9922181014129,0.0474287722403717
1,2020-06-30 00:00:00+00:00,2,2020,11305000000.0,6543000000.0,4963000000.0,4768000000.0,8425000000.0,16055000000.0,319000000.0,1905000000.0,0.0,1884000000.0,-3988000000.0,8566000000.0,0.0,0.0,0.0,19465000000.0,10899000000.0,2880000000.0,0.0,0.0,6862000000.0,2561000000.0,0.0,4085000000.0,508836225.0,8128000000.0,35000000.0,230000000.0,-154000000.0,374000000.0,25000000.0,85000000.0,202000000.0,-10000000.0,-261000000.0,0.0,-112000000.0,-16000000.0,-144000000.0,-225000000.0,517000000.0,526000000.0,324000000.0,0.48,707000000.0,1038000000.0,0.48,288000000.0,1000000.0,331000000.0,42000000.0,246000000.0,36000000.0,509000000.0,247000000.0,1680000000.0,590000000.0,2718000000.0,246000000.0,0.0,117000000.0,0.0,4.0,-0.0409315455187015,0.381898454746137,2.97430555555556,8160000000.0,0.381898454746137,5.34160082647418,-0.213114754098361,0.804995078740158,0.118094386043391,16.036594092726,0.0499243570347958
2,2020-03-31 00:00:00+00:00,1,2020,11345000000.0,6482000000.0,4917000000.0,4720000000.0,8309000000.0,15935000000.0,536000000.0,1694000000.0,0.0,1892000000.0,-4177000000.0,8333000000.0,0.0,0.0,0.0,19075000000.0,10742000000.0,3036000000.0,0.0,0.0,7018000000.0,2500000000.0,0.0,4110000000.0,507263731.0,7699000000.0,29000000.0,100000000.0,-604000000.0,272000000.0,-63000000.0,66000000.0,199000000.0,-443000000.0,1170000000.0,0.0,-111000000.0,775000000.0,-172000000.0,1240000000.0,516000000.0,597000000.0,398000000.0,0.65,754000000.0,1163000000.0,0.64,377000000.0,1000000.0,409000000.0,45000000.0,332000000.0,21000000.0,507000000.0,333000000.0,1639000000.0,628000000.0,2802000000.0,332000000.0,0.0,146000000.0,0.0,3.0,0.0621683093252463,0.415060670949322,2.74472990777339,7730000000.0,0.415060670949322,5.52375387547666,-0.0298507462686567,0.841927523054942,0.127949388334786,15.2386215051515,0.0549708088918473
3,2019-12-31 00:00:00+00:00,4,2019,10281000000.0,5319000000.0,5120000000.0,4501000000.0,7051000000.0,15718000000.0,541000000.0,1653000000.0,0.0,1896000000.0,-3710000000.0,7503000000.0,0.0,0.0,0.0,18193000000.0,10690000000.0,3230000000.0,0.0,0.0,5860000000.0,2689000000.0,0.0,3335000000.0,510555869.0,7882000000.0,30000000.0,638000000.0,-421000000.0,829000000.0,34000000.0,-219000000.0,209000000.0,-232000000.0,-116000000.0,0.0,-113000000.0,326000000.0,-191000000.0,222000000.0,516000000.0,2000000.0,-207000000.0,-0.04,762000000.0,1298000000.0,-0.04,-227000000.0,4000000.0,536000000.0,-204000000.0,-23000000.0,20000000.0,506000000.0,-19000000.0,1741000000.0,666000000.0,3039000000.0,-23000000.0,0.0,156000000.0,0.0,7.0,0.0727144369925874,0.427114182296808,2.32291021671827,7912000000.0,0.427114182296808,5.9523358451492,-1.06896551724138,0.674828723674194,0.129461976202794,15.496834882139,0.0577061655088923
5,2019-09-30 00:00:00+00:00,3,2019,9682000000.0,5557000000.0,4995000000.0,4212000000.0,7071000000.0,15849000000.0,2000000.0,1715000000.0,0.0,1814000000.0,-4288000000.0,7210000000.0,0.0,0.0,0.0,17299000000.0,10089000000.0,2611000000.0,0.0,0.0,5559000000.0,2609000000.0,0.0,3009000000.0,510555869.0,7588000000.0,35000000.0,534000000.0,-231000000.0,701000000.0,-41000000.0,-237000000.0,195000000.0,-75000000.0,-354000000.0,0.0,-112000000.0,75000000.0,-167000000.0,0.0,520000000.0,683000000.0,488000000.0,0.72,727000000.0,1230000000.0,0.71,475000000.0,6000000.0,503000000.0,106000000.0,369000000.0,13000000.0,511000000.0,375000000.0,1621000000.0,627000000.0,2851000000.0,369000000.0,0.0,144000000.0,0.0,6.0,0.0325968851865266,0.431427569273939,2.76139410187668,7617000000.0,0.431427569273939,5.58410973824297,-0.257731958762887,0.732340537691091,0.172094528973778,14.919033278217,0.079446445384305
6,2019-06-30 00:00:00+00:00,2,2019,9708000000.0,5647000000.0,5129000000.0,4302000000.0,7111000000.0,16184000000.0,4000000.0,1757000000.0,0.0,1885000000.0,-4639000000.0,7218000000.0,0.0,0.0,0.0,17544000000.0,10326000000.0,2597000000.0,0.0,0.0,5651000000.0,2593000000.0,0.0,2925000000.0,510168467.0,7812000000.0,35000000.0,301000000.0,-147000000.0,446000000.0,3000000.0,-34000000.0,193000000.0,-2000000.0,730000000.0,0.0,-97000000.0,1032000000.0,-145000000.0,866000000.0,519000000.0,539000000.0,346000000.0,0.61,803000000.0,1153000000.0,0.6,326000000.0,0.0,350000000.0,13000000.0,313000000.0,20000000.0,510000000.0,313000000.0,1681000000.0,641000000.0,2834000000.0,313000000.0,0.0,166000000.0,0.0,5.0,-0.00281491907107667,0.406845448129852,2.77936080092414,7836000000.0,0.406845448129852,5.55502776693566,-0.046875,0.722862263184844,0.182289097187963,15.3596321742088,0.0889544243992718
7,2019-03-31 00:00:00+00:00,1,2019,8681000000.0,3871000000.0,5056000000.0,4371000000.0,5354000000.0,15970000000.0,798000000.0,1751000000.0,0.0,1802000000.0,-4562000000.0,6087000000.0,0.0,0.0,0.0,16350000000.0,10263000000.0,3327000000.0,0.0,0.0,4669000000.0,2529000000.0,0.0,1908000000.0,512538202.0,7646000000.0,22000000.0,-65000000.0,-301000000.0,128000000.0,-1000000.0,-424000000.0,192000000.0,-109000000.0,238000000.0,0.0,-101000000.0,64000000.0,-193000000.0,795000000.0,522000000.0,596000000.0,404000000.0,0.67,697000000.0,1080000000.0,0.66,386000000.0,0.0,383000000.0,44000000.0,342000000.0,18000000.0,512000000.0,342000000.0,1558000000.0,601000000.0,2638000000.0,342000000.0,0.0,129000000.0,0.0,3.0,-0.0145685468808368,0.409401061410159,1.82957619477006,7669000000.0,0.409401061410159,5.14693341824304,-0.0694444444444443,0.506277792309704,0.180054326736515,14.9627871055746,0.092098633483472
8,2018-12-31 00:00:00+00:00,4,2018,7854000000.0,3481000000.0,4530000000.0,4412000000.0,5040000000.0,15075000000.0,4000000.0,1667000000.0,0.0,1840000000.0,-3823000000.0,5959000000.0,0.0,0.0,0.0,15720000000.0,9761000000.0,2814000000.0,0.0,0.0,3485000000.0,2810000000.0,0.0,1838000000.0,532140998.0,7844000000.0,28000000.0,503000000.0,-216000000.0,709000000.0,-10000000.0,-1398000000.0,185000000.0,-13000000.0,-1508000000.0,0.0,-102000000.0,-1025000000.0,-206000000.0,0.0,540000000.0,603000000.0,418000000.0,0.58,792000000.0,1183000000.0,0.57,407000000.0,0.0,391000000.0,102000000.0,305000000.0,11000000.0,528000000.0,305000000.0,1650000000.0,627000000.0,2833000000.0,305000000.0,0.0,175000000.0,6000000.0,6.0,0.0128709331426529,0.417578538651606,2.11762615493959,7866000000.0,0.417578538651606,5.32377698889496,-2.70588235294118,0.443778684344722,0.177948160439435,14.7817966094768,0.0941924736881957
10,2018-09-30 00:00:00+00:00,3,2018,7734000000.0,3485000000.0,4520000000.0,4382000000.0,5030000000.0,15394000000.0,3000000.0,1718000000.0,0.0,1826000000.0,-4239000000.0,7028000000.0,0.0,0.0,0.0,16847000000.0,9819000000.0,2704000000.0,0.0,109000000.0,3488000000.0,2592000000.0,0.0,2860000000.0,534266043.0,9130000000.0,33000000.0,314000000.0,-161000000.0,456000000.0,-11000000.0,-185000000.0,199000000.0,-27000000.0,-287000000.0,0.0,-101000000.0,-3000000.0,-142000000.0,0.0,546000000.0,582000000.0,383000000.0,0.97,850000000.0,1232000000.0,0.95,372000000.0,0.0,382000000.0,-146000000.0,518000000.0,11000000.0,534000000.0,518000000.0,1529000000.0,684000000.0,2761000000.0,518000000.0,0.0,166000000.0,0.0,7.0,0.0199482822312522,0.446215139442231,2.5991124260355,9113000000.0,0.446215139442231,5.1678373278161,1.10869565217391,0.38170865279299,0.11745874040956,17.0570451171272,0.0631210512265298
11,2018-06-30 00:00:00+00:00,2,2018,7709000000.0,3495000000.0,4531000000.0,4411000000.0,5080000000.0,14966000000.0,3000000.0,1622000000.0,0.0,1783000000.0,-4199000000.0,6890000000.0,0.0,0.0,0.0,16578000000.0,9688000000.0,2629000000.0,0.0,102000000.0,3498000000.0,2524000000.0,0.0,2857000000.0,535485895.0,8881000000.0,34000000.0,249000000.0,-165000000.0,405000000.0,-42000000.0,-171000000.0,195000000.0,-9000000.0,-263000000.0,0.0,-86000000.0,-90000000.0,-156000000.0,0.0,547000000.0,610000000.0,415000000.0,0.64,855000000.0,1239000000.0,0.63,404000000.0,0.0,384000000.0,61000000.0,343000000.0,11000000.0,535000000.0,343000000.0,1603000000.0,681000000.0,2842000000.0,343000000.0,0.0,174000000.0,0.0,8.0,0.090978886756238,0.435960591133005,2.62076835298593,8869000000.0,0.435960591133005,5.30732933684462,0.306122448979592,0.393536763877942,0.0871752802843861,16.5625277580841,0.0467997651203758
