,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.accoci,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.ppeq,statementData.balanceSheet.deposits,statementData.balanceSheet.equity,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.deferredRev,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.investments,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.inventory,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.ncf,statementData.cashFlow.ncfx,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.payDiv,statementData.cashFlow.ncfo,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.ebit,statementData.incomeStatement.revenue,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.epsDil,statementData.incomeStatement.sga,statementData.incomeStatement.shareswa,statementData.incomeStatement.ebt,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.costRev,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.taxExp,statementData.incomeStatement.intexp,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,4,2020,30247000000.0,54012000000.0,2917000000.0,24411000000.0,-2548000000.0,5836000000.0,0.0,5897000000.0,5923000000.0,0.0,23765000000.0,8969000000.0,17224000000.0,3993000000.0,0.0,12791000000.0,0.0,2398000000.0,20000000.0,17931000000.0,289868551.0,2743000000.0,707000000.0,37433000000.0,20000000.0,45043000000.0,-953000000.0,-1208000000.0,553000000.0,-48000000.0,6000000.0,0.0,103000000.0,-253000000.0,1481000000.0,1268000000.0,-327000000.0,-213000000.0,0.0,-25000000.0,266000000.0,4784000000.0,0.34,0.0,1950000000.0,128000000.0,0.0,0.33,1199000000.0,289868551.0,143000000.0,2206000000.0,819000000.0,2578000000.0,256000000.0,299000000.0,23000000.0,128000000.0,105000000.0,15000000.0,123000000.0,6.0,0.043630017452007,0.461120401337793,1.53684030157642,23765000000.0,0.461120401337793,16.5040325468077,-0.260869565217391,0.72476330738481,0.0341116299755393,81.9854375992655,0.0143741303135791
2,2020-06-30 00:00:00+00:00,3,2020,29937000000.0,53959000000.0,2964000000.0,23870000000.0,-2367000000.0,6067000000.0,0.0,5483000000.0,5841000000.0,0.0,24022000000.0,8827000000.0,17090000000.0,4437000000.0,0.0,12916000000.0,0.0,1993000000.0,22000000.0,18720000000.0,271776378.0,2946000000.0,1630000000.0,37658000000.0,22000000.0,45132000000.0,-2612000000.0,20000000.0,534000000.0,525000000.0,6000000.0,0.0,52000000.0,-268000000.0,862000000.0,660000000.0,-363000000.0,-202000000.0,2917000000.0,-139000000.0,383000000.0,3855000000.0,0.98,0.0,1301000000.0,286000000.0,0.0,0.97,980000000.0,271776378.0,248000000.0,1660000000.0,917000000.0,2195000000.0,359000000.0,262000000.0,9000000.0,286000000.0,277000000.0,-38000000.0,135000000.0,6.0,-0.113793103448276,0.430609597924773,1.4549200593374,24022000000.0,0.430609597924773,14.1844557219024,-0.359477124183007,0.711431188077596,0.0360777482350784,88.388844449167,0.0149058676465018
3,2020-03-31 00:00:00+00:00,2,2020,32565000000.0,53516000000.0,2439000000.0,23810000000.0,-2419000000.0,8755000000.0,0.0,5747000000.0,5664000000.0,0.0,20951000000.0,8555000000.0,16809000000.0,4398000000.0,0.0,12868000000.0,0.0,2160000000.0,6000000.0,21166000000.0,271173148.0,2794000000.0,4357000000.0,37788000000.0,6000000.0,44961000000.0,1898000000.0,1623000000.0,537000000.0,1831000000.0,-21000000.0,0.0,59000000.0,-253000000.0,483000000.0,261000000.0,-255000000.0,-222000000.0,0.0,0.0,334000000.0,4253000000.0,0.53,0.0,1364000000.0,183000000.0,0.0,0.53,1025000000.0,271173148.0,200000000.0,1733000000.0,871000000.0,2520000000.0,369000000.0,264000000.0,38000000.0,183000000.0,145000000.0,17000000.0,134000000.0,6.0,0.0138259833134684,0.407477075005878,0.977155910908053,20951000000.0,0.407477075005878,15.683706264309,-8.57142857142857,0.802300606176316,0.0435731904497764,77.2605995634937,0.0176257722016938
4,2019-12-31 00:00:00+00:00,1,2020,30750000000.0,51952000000.0,609000000.0,24024000000.0,-2202000000.0,6726000000.0,0.0,5785000000.0,5782000000.0,0.0,21202000000.0,6438000000.0,16949000000.0,4269000000.0,0.0,12938000000.0,0.0,2074000000.0,8000000.0,19405000000.0,270459892.0,2760000000.0,2456000000.0,38160000000.0,8000000.0,45514000000.0,-93000000.0,-413000000.0,530000000.0,18000000.0,6000000.0,0.0,82000000.0,-252000000.0,713000000.0,540000000.0,-287000000.0,-173000000.0,0.0,0.0,531000000.0,4225000000.0,0.88,0.0,1477000000.0,278000000.0,0.0,0.87,1121000000.0,270459892.0,395000000.0,1978000000.0,1061000000.0,2247000000.0,501000000.0,270000000.0,38000000.0,278000000.0,240000000.0,117000000.0,136000000.0,5.0,0.015625,0.468165680473373,0.957181088314005,21202000000.0,0.468165680473373,15.6215399213426,-0.578947368421053,0.799405716441845,0.0357272973004736,78.3923998609006,0.0145769798799317
5,2019-09-30 00:00:00+00:00,4,2019,30684000000.0,51765000000.0,590000000.0,25029000000.0,-2283000000.0,5655000000.0,0.0,5816000000.0,5659000000.0,0.0,21081000000.0,6664000000.0,18081000000.0,3219000000.0,0.0,12913000000.0,0.0,2345000000.0,30000000.0,19390000000.0,269954141.0,2579000000.0,1309000000.0,38354000000.0,30000000.0,45101000000.0,-677000000.0,-923000000.0,553000000.0,-4000000.0,-11000000.0,0.0,108000000.0,-247000000.0,1371000000.0,1013000000.0,-441000000.0,-358000000.0,0.0,0.0,140000000.0,4584000000.0,0.46,0.0,2156000000.0,163000000.0,-1000000.0,0.45,1094000000.0,269954141.0,-1000000.0,2266000000.0,693000000.0,2318000000.0,110000000.0,270000000.0,38000000.0,162000000.0,125000000.0,-164000000.0,141000000.0,7.0,0.0413448432530668,0.494328097731239,1.17842617152962,21081000000.0,0.494328097731239,16.9806619117578,-1.67647058823529,0.857691760352924,0.0507439237434196,78.0910413965459,0.0206559505173533
7,2019-06-30 00:00:00+00:00,3,2019,30736000000.0,52233000000.0,594000000.0,24499000000.0,-1897000000.0,6237000000.0,0.0,5621000000.0,5550000000.0,0.0,21497000000.0,6781000000.0,18016000000.0,4069000000.0,0.0,12997000000.0,0.0,2220000000.0,12000000.0,20184000000.0,269731903.0,2629000000.0,2168000000.0,38839000000.0,12000000.0,45452000000.0,-453000000.0,-768000000.0,574000000.0,-173000000.0,-6000000.0,0.0,56000000.0,-246000000.0,932000000.0,695000000.0,-330000000.0,-237000000.0,0.0,0.0,616000000.0,4350000000.0,1.53,0.0,1448000000.0,451000000.0,0.0,1.51,1076000000.0,269731903.0,460000000.0,2074000000.0,1190000000.0,2276000000.0,626000000.0,282000000.0,38000000.0,451000000.0,413000000.0,9000000.0,156000000.0,6.0,0.0168302945301544,0.476781609195402,1.08722142055475,21497000000.0,0.476781609195402,16.1271245693173,-0.264423076923077,0.838070428431874,0.0368057837660204,79.697654452095,0.0148157246996461
8,2019-03-31 00:00:00+00:00,2,2019,31289000000.0,52598000000.0,767000000.0,24181000000.0,-1839000000.0,7108000000.0,0.0,5810000000.0,5473000000.0,0.0,21309000000.0,6844000000.0,17556000000.0,4050000000.0,0.0,12792000000.0,0.0,2279000000.0,10000000.0,20613000000.0,269063379.0,2628000000.0,3057000000.0,39220000000.0,10000000.0,45754000000.0,-502000000.0,-798000000.0,563000000.0,-274000000.0,10000000.0,0.0,59000000.0,-246000000.0,782000000.0,587000000.0,-269000000.0,-195000000.0,0.0,1000000.0,174000000.0,4195000000.0,-0.07,0.0,1838000000.0,20000000.0,0.0,-0.07,1089000000.0,269063379.0,3000000.0,1974000000.0,737000000.0,2221000000.0,136000000.0,252000000.0,38000000.0,20000000.0,-18000000.0,-17000000.0,171000000.0,6.0,-0.00639507342491707,0.470560190703218,0.962858750703433,21309000000.0,0.470560190703218,15.5911221199671,-0.631578947368421,0.823877234971139,0.04359070817267,79.1969538151084,0.0173749244415705
9,2018-12-31 00:00:00+00:00,1,2019,31528000000.0,52932000000.0,1041000000.0,24383000000.0,-1927000000.0,7145000000.0,0.0,5762000000.0,5362000000.0,0.0,21404000000.0,6941000000.0,17817000000.0,3891000000.0,0.0,13018000000.0,0.0,2216000000.0,5000000.0,21071000000.0,268257940.0,2522000000.0,3254000000.0,39567000000.0,5000000.0,45991000000.0,-403000000.0,-734000000.0,563000000.0,-195000000.0,-5000000.0,0.0,93000000.0,-245000000.0,245000000.0,78000000.0,299000000.0,-167000000.0,0.0,476000000.0,886000000.0,4160000000.0,2.09,0.0,1087000000.0,600000000.0,-1000000.0,2.05,1073000000.0,268257940.0,715000000.0,1973000000.0,1449000000.0,2187000000.0,886000000.0,258000000.0,38000000.0,599000000.0,562000000.0,115000000.0,171000000.0,4.0,0.350649350649351,0.474278846153846,0.971448565430371,21404000000.0,0.474278846153846,15.5074627054841,-3.75,0.83241450196225,0.0421637791937061,79.7888778240823,0.0166213217200747
10,2018-09-30 00:00:00+00:00,4,2018,32910000000.0,53904000000.0,1236000000.0,25694000000.0,-1909000000.0,7216000000.0,0.0,6086000000.0,5375000000.0,0.0,20994000000.0,7411000000.0,18894000000.0,3361000000.0,0.0,12596000000.0,0.0,2319000000.0,17000000.0,21495000000.0,267563574.0,2451000000.0,2601000000.0,40041000000.0,17000000.0,46493000000.0,-722000000.0,-1007000000.0,566000000.0,-273000000.0,-12000000.0,-13000000.0,76000000.0,-240000000.0,1306000000.0,999000000.0,-560000000.0,-307000000.0,0.0,-157000000.0,595000000.0,4402000000.0,-0.68,0.0,1518000000.0,-135000000.0,0.0,-0.67,1101000000.0,267563574.0,414000000.0,2093000000.0,1161000000.0,2309000000.0,575000000.0,277000000.0,38000000.0,-135000000.0,-173000000.0,549000000.0,181000000.0,5.0,0.390397978521794,0.475465697410268,1.02702328159645,20994000000.0,0.475465697410268,16.4521647479563,-1.53543307086614,0.89997142040583,0.00750442477876106,78.4635953472501,0.00291988228650656
12,2018-06-30 00:00:00+00:00,3,2018,32620000000.0,53977000000.0,1509000000.0,26514000000.0,-1902000000.0,6106000000.0,0.0,5088000000.0,5321000000.0,0.0,21357000000.0,7525000000.0,20350000000.0,4207000000.0,0.0,12971000000.0,0.0,2243000000.0,15000000.0,22250000000.0,267201840.0,2562000000.0,1900000000.0,40147000000.0,15000000.0,46452000000.0,-357000000.0,-616000000.0,568000000.0,92000000.0,-34000000.0,6000000.0,61000000.0,-238000000.0,542000000.0,345000000.0,200000000.0,-197000000.0,0.0,442000000.0,829000000.0,4278000000.0,2.08,0.0,1505000000.0,594000000.0,0.0,2.03,1086000000.0,267201840.0,647000000.0,2016000000.0,1397000000.0,2262000000.0,511000000.0,277000000.0,38000000.0,594000000.0,556000000.0,53000000.0,182000000.0,5.0,0.409555189456343,0.47124824684432,1.23239436619718,21357000000.0,0.47124824684432,16.0103687908736,-3.77333333333333,0.952849182937679,0.0323842302878598,79.9283418108199,0.0123185566856933
