,year,quarter,date,statementData.balanceSheet.deferredRev,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.taxAssets,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.acctPay,statementData.balanceSheet.ppeq,statementData.balanceSheet.investments,statementData.balanceSheet.intangibles,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.ncf,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfx,statementData.cashFlow.payDiv,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.opinc,statementData.incomeStatement.ebit,statementData.incomeStatement.netinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.eps,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.ebitda,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.taxExp,statementData.overview.rps,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.epsQoQ,statementData.overview.revenueQoQ,statementData.overview.roa,statementData.overview.bookVal,statementData.overview.roe,statementData.overview.piotroskiFScore,statementData.overview.grossMargin
0,2020,4,2020-09-30 00:00:00+00:00,0.0,0.0,0.0,20220900000.0,1200600000.0,0.0,3957500000.0,495356614.0,8705200000.0,-407600000.0,1008600000.0,10472600000.0,793800000.0,1348600000.0,3979700000.0,9415000000.0,4971500000.0,10114500000.0,356400000.0,374800000.0,288800000.0,-18400000.0,35400000.0,-3739600000.0,-3512200000.0,97800000.0,-21400000.0,76300000.0,-3018400000.0,245800000.0,21200000.0,-134100000.0,126500000.0,1581000000.0,15700000.0,0.0,0.15,152000000.0,78900000.0,46400000.0,167700000.0,78900000.0,1627400000.0,0.0,0.15,495356614.0,47600000.0,0.0,0.0,244000000.0,1527000000.0,1627400000.0,73100000.0,3.28530992421553,23.2472923032375,1.0,-0.754098360655738,0.207807629508683,0.0487833920303362,11515700000.0,0.0794654558023758,5.0,1.0
2,2020,3,2020-06-30 00:00:00+00:00,0.0,0.0,0.0,15617000000.0,927800000.0,0.0,6975900000.0,495306284.0,3899500000.0,-450100000.0,824500000.0,10514800000.0,341900000.0,963700000.0,3409300000.0,3094800000.0,1683400000.0,10114200000.0,493800000.0,505600000.0,135400000.0,-11800000.0,29100000.0,-62000000.0,263000000.0,160500000.0,-900000.0,40800000.0,940100000.0,336800000.0,11000000.0,-133900000.0,253700000.0,934400000.0,6800000.0,0.0,0.58,306500000.0,290400000.0,253700000.0,313300000.0,290400000.0,1188100000.0,0.0,0.58,495306284.0,-36700000.0,0.0,0.0,354100000.0,934400000.0,1188100000.0,16100000.0,2.39871780023691,23.65707922252,1.0,0.208333333333333,-0.195435768944268,0.0686357770005951,11717500000.0,0.102625375883937,4.0,1.0
3,2020,2,2020-03-31 00:00:00+00:00,0.0,0.0,0.0,14666200000.0,675200000.0,0.0,6035800000.0,496897552.0,3703600000.0,-476100000.0,821300000.0,10330000000.0,315500000.0,975200000.0,3753900000.0,3018600000.0,1619900000.0,9903400000.0,61500000.0,109300000.0,20500000.0,-47800000.0,29800000.0,-18800000.0,35700000.0,-54800000.0,-53900000.0,44600000.0,59500000.0,102300000.0,-4800000.0,-134600000.0,58800000.0,982200000.0,4200000.0,0.0,0.16,123200000.0,79100000.0,356100000.0,127400000.0,79100000.0,1338300000.0,0.0,0.16,496897552.0,-20300000.0,0.0,0.0,172000000.0,982200000.0,1338300000.0,44100000.0,2.69331171911268,22.0620929925612,1.0,-0.777777777777778,-0.0666062212302971,0.0669513411235265,10962600000.0,0.0986772187676653,4.0,1.0
4,2020,1,2019-12-31 00:00:00+00:00,0.0,0.0,0.0,15001800000.0,787500000.0,0.0,5976300000.0,498070319.0,3377000000.0,-376200000.0,1019300000.0,10408000000.0,253000000.0,967200000.0,4044900000.0,3032200000.0,1114300000.0,10081600000.0,6000000.0,31700000.0,49400000.0,-25700000.0,28000000.0,-1000000.0,-29600000.0,-9300000.0,-121400000.0,47100000.0,18700000.0,-2900000.0,0.0,-130600000.0,348100000.0,1020000000.0,6700000.0,0.0,0.7,448000000.0,350500000.0,392700000.0,454700000.0,350500000.0,1412700000.0,0.0,0.7,498070319.0,-2400000.0,0.0,0.0,501800000.0,1020000000.0,1412700000.0,97500000.0,2.83634648785406,23.3396762596488,1.0,0.296296296296296,0.000850159404888418,0.0872514222229091,11624800000.0,0.127723217764416,4.0,1.0
5,2019,4,2019-09-30 00:00:00+00:00,0.0,0.0,0.0,14532200000.0,839000000.0,0.0,5957600000.0,503666583.0,3161300000.0,-431600000.0,944800000.0,10288200000.0,304400000.0,683700000.0,3859700000.0,2994500000.0,747700000.0,9906500000.0,1200000.0,32300000.0,18600000.0,-31100000.0,23400000.0,0.0,-68300000.0,261500000.0,-154200000.0,51700000.0,200000000.0,-37200000.0,-25500000.0,-131100000.0,309300000.0,1046400000.0,4700000.0,0.0,0.61,392900000.0,306400000.0,301000000.0,397600000.0,306400000.0,1347400000.0,0.0,0.61,503666583.0,2900000.0,0.0,0.0,449300000.0,1031700000.0,1347400000.0,86500000.0,2.67518244306472,22.5762446503226,1.0,-0.351063829787234,-0.0461560243522583,0.0836371712211747,11370900000.0,0.12124715121924,4.0,1.0
7,2019,3,2019-06-30 00:00:00+00:00,0.0,0.0,0.0,14463300000.0,850200000.0,0.0,5757600000.0,507559742.0,3091000000.0,-380900000.0,969000000.0,10241500000.0,260400000.0,684800000.0,3973100000.0,3013400000.0,728800000.0,9911000000.0,-405300000.0,-274900000.0,-2200000.0,-130400000.0,28700000.0,0.0,-274600000.0,360800000.0,-120400000.0,45900000.0,-188400000.0,-144200000.0,300000.0,-132100000.0,254600000.0,1101800000.0,5600000.0,0.0,0.48,404800000.0,245900000.0,374900000.0,410400000.0,245900000.0,1476700000.0,0.0,0.48,507559742.0,8700000.0,0.0,0.0,456300000.0,1101800000.0,1476700000.0,158900000.0,2.90941120385391,22.4058353312032,1.0,-0.36,-0.0525471577056332,0.0976078434122771,11372300000.0,0.141158334051735,3.0,1.0
8,2019,2,2019-03-31 00:00:00+00:00,0.0,0.0,0.0,14239000000.0,841000000.0,0.0,5946000000.0,509510446.0,2920600000.0,-386500000.0,1046100000.0,10219500000.0,255000000.0,576600000.0,3655100000.0,3027900000.0,730700000.0,9883800000.0,142900000.0,189400000.0,0.0,-46500000.0,28200000.0,-684200000.0,-635100000.0,-266700000.0,-135200000.0,39600000.0,-712900000.0,95600000.0,-11800000.0,-133100000.0,381600000.0,1054300000.0,5700000.0,0.0,0.72,478400000.0,367500000.0,379500000.0,484100000.0,367500000.0,1433800000.0,0.0,0.72,509510446.0,14100000.0,0.0,0.0,523700000.0,1054300000.0,1433800000.0,110900000.0,2.814073806055,22.2142648671034,1.0,-0.0886075949367089,-0.113734701446409,0.106565968630542,11318400000.0,0.157179521678315,5.0,1.0
9,2019,1,2018-12-31 00:00:00+00:00,0.0,0.0,0.0,13950600000.0,805600000.0,0.0,6658900000.0,513094888.0,2941600000.0,-393600000.0,1204500000.0,10087900000.0,209400000.0,541300000.0,3426100000.0,2326200000.0,730400000.0,9745400000.0,229100000.0,254800000.0,1700000.0,-25700000.0,31200000.0,0.0,-99100000.0,-396100000.0,-321400000.0,42000000.0,-251700000.0,-73400000.0,0.0,-122300000.0,260000000.0,1000000000.0,6400000.0,0.0,0.54,361900000.0,275900000.0,411500000.0,368300000.0,275900000.0,1411500000.0,0.0,0.54,513094888.0,-15900000.0,0.0,0.0,410300000.0,1000000000.0,1411500000.0,86000000.0,2.75095315313295,21.4560703243646,1.0,-1.50943396226415,-0.12627669452182,0.105510616209683,11009000000.0,0.164138854839321,4.0,1.0
10,2018,4,2018-09-30 00:00:00+00:00,0.0,0.0,0.0,14383500000.0,847900000.0,0.0,6910600000.0,527058253.0,3132000000.0,-370600000.0,1161300000.0,10217900000.0,226900000.0,535000000.0,3535900000.0,2333400000.0,728500000.0,9899200000.0,686200000.0,721200000.0,-1400000.0,-35000000.0,28300000.0,10200000.0,-17600000.0,-445000000.0,-357600000.0,37900000.0,256400000.0,7200000.0,-16700000.0,-122000000.0,476300000.0,1024300000.0,3400000.0,0.0,0.94,509500000.0,502500000.0,388300000.0,512900000.0,502500000.0,1412600000.0,0.0,0.94,527058253.0,-26200000.0,0.0,0.0,550800000.0,1022500000.0,1412600000.0,7000000.0,2.68015915121246,21.3477351620182,1.0,0.236842105263158,-0.126352897519946,0.0465558903646543,11251500000.0,0.0735367683841921,5.0,1.0
12,2018,3,2018-06-30 00:00:00+00:00,0.0,0.0,0.0,15528000000.0,946900000.0,0.0,6654200000.0,540208274.0,3306000000.0,-342900000.0,1304200000.0,10153500000.0,253800000.0,522400000.0,4840600000.0,2352900000.0,729800000.0,9863500000.0,583700000.0,611500000.0,-361900000.0,-27800000.0,28300000.0,-87300000.0,-91300000.0,-2552200000.0,-436600000.0,40400000.0,-2072300000.0,23800000.0,0.0,-1755900000.0,355400000.0,1055500000.0,22100000.0,0.0,0.75,493800000.0,402000000.0,503100000.0,515900000.0,402000000.0,1558600000.0,0.0,0.75,540208274.0,-46600000.0,0.0,0.0,556300000.0,1055500000.0,1558600000.0,91800000.0,2.88518350239115,22.6246071899299,1.0,0.0273972602739727,-0.0342648243385588,0.0399323515395255,12222000000.0,0.0620406320541761,5.0,1.0
