,date,quarter,year,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,0.0,239681000000.0,0.0,5381000000.0,6989000000.0,108329000000.0,0.0,6189000000.0,0.0,16087000000.0,511000000.0,0.0,1888000000.0,52798000000.0,3979000000.0,93022838.0,18266000000.0,221350000000.0,0.0,-1230000000.0,0.0,48000000.0,-54000000.0,-2059000000.0,0.0,0.0,0.0,48000000.0,0.0,0.0,-1136000000.0,875000000.0,-3012000000.0,3328000000.0,-32.49,-2995000000.0,-32.49,-3845000000.0,0.0,-3845000000.0,93022838.0,2000000.0,17000000.0,824000000.0,244000000.0,-3019000000.0,-3845000000.0,309000000.0,0.0,-850000000.0,-2993000000.0,-3843000000.0,0.0,-0.00491006844730421,4.0,18331000000.0,-6.33497536945813,3.32176491970714,-9.77022653721683,0.217836417387496,-0.903043614684656,197.059135091105,-9.77022653721683,-0.0600625982224218
1,2020-06-30 00:00:00+00:00,2,2020,1000000.0,235367000000.0,0.0,4965000000.0,7876000000.0,107172000000.0,0.0,7325000000.0,0.0,15218000000.0,3523000000.0,0.0,2567000000.0,50338000000.0,3979000000.0,93844031.0,20909000000.0,214393000000.0,0.0,-1814000000.0,0.0,371000000.0,-180000000.0,-641000000.0,0.0,0.0,0.0,371000000.0,0.0,-387000000.0,-1605000000.0,-1335000000.0,-1998000000.0,1115000000.0,-21.1,-1991000000.0,-21.1,-2522000000.0,0.0,-2522000000.0,93844031.0,0.0,7000000.0,485000000.0,-92000000.0,-2037000000.0,-2522000000.0,-922000000.0,0.0,-531000000.0,-1991000000.0,-2522000000.0,0.0,0.011183017244686,7.0,20974000000.0,-7.43292682926829,-9.82481240602293,2.20932754880694,0.190300827394902,-1.38902953586498,223.498498268899,2.20932754880694,0.135781769793746
2,2020-03-31 00:00:00+00:00,1,2020,9000000.0,223953000000.0,0.0,2647000000.0,10988000000.0,104732000000.0,0.0,8930000000.0,0.0,14994000000.0,5521000000.0,0.0,2482000000.0,47288000000.0,4365000000.0,105096065.0,20374000000.0,203514000000.0,0.0,-3106000000.0,0.0,96000000.0,-142000000.0,-1484000000.0,0.0,0.0,0.0,96000000.0,0.0,0.0,6053000000.0,7441000000.0,4950000000.0,1446000000.0,47.26,4957000000.0,47.11,6250000000.0,0.0,6250000000.0,105096065.0,2000000.0,7000000.0,1287000000.0,770000000.0,7539000000.0,6250000000.0,8985000000.0,0.0,1293000000.0,4959000000.0,6252000000.0,0.0,0.0219347656684849,7.0,20439000000.0,-8.48969889064976,85.4932104260992,0.83906510851419,0.214243643859821,12.0028943560058,194.47921289917,0.83906510851419,0.279421983351532
3,2019-12-31 00:00:00+00:00,4,2019,17000000.0,227259000000.0,0.0,3240000000.0,4391000000.0,95782000000.0,0.0,2877000000.0,0.0,14760000000.0,585000000.0,0.0,1355000000.0,45771000000.0,4365000000.0,107943076.0,16172000000.0,211022000000.0,0.0,-1691000000.0,105000000.0,506000000.0,-128000000.0,-1642000000.0,0.0,0.0,0.0,506000000.0,0.0,-1000000.0,-1412000000.0,-276000000.0,-1077000000.0,1002000000.0,-9.53,-1070000000.0,-9.51,-1373000000.0,0.0,-1373000000.0,107943076.0,1000000.0,7000000.0,676000000.0,9000000.0,-696000000.0,-1373000000.0,306000000.0,0.0,-303000000.0,-1069000000.0,-1372000000.0,0.0,-0.00341724135221273,4.0,16237000000.0,-1.79021558872305,2.83482749741169,-2.27450980392157,0.269910957209993,-0.923994038748137,150.421876063639,-2.27450980392157,-0.0467286850265574
5,2019-09-30 00:00:00+00:00,3,2019,14000000.0,225876000000.0,0.0,3567000000.0,5291000000.0,96634000000.0,0.0,4289000000.0,0.0,14385000000.0,1662000000.0,0.0,1749000000.0,44919000000.0,4365000000.0,111410202.0,17695000000.0,208116000000.0,0.0,-2840000000.0,0.0,513000000.0,-126000000.0,-2767000000.0,0.0,0.0,0.0,513000000.0,0.0,0.0,308000000.0,2562000000.0,676000000.0,1591000000.0,6.09,683000000.0,6.06,802000000.0,0.0,802000000.0,111410202.0,2000000.0,7000000.0,792000000.0,181000000.0,1596000000.0,802000000.0,3187000000.0,0.0,119000000.0,685000000.0,804000000.0,0.0,0.00808450561730581,5.0,17760000000.0,-3.69469026548673,28.6059978600523,0.500784436774396,0.246679853065838,1.24120956399437,159.410894883756,0.500784436774396,0.110935823815233
6,2019-06-30 00:00:00+00:00,2,2019,0.0,221212000000.0,0.0,2702000000.0,4094000000.0,89937000000.0,0.0,3981000000.0,0.0,14231000000.0,986000000.0,0.0,1378000000.0,42941000000.0,4365000000.0,115809697.0,16276000000.0,204871000000.0,0.0,-1021000000.0,0.0,433000000.0,-136000000.0,-1660000000.0,0.0,0.0,0.0,433000000.0,0.0,-1000000.0,117000000.0,1344000000.0,377000000.0,1110000000.0,3.28,384000000.0,3.27,469000000.0,0.0,469000000.0,115809697.0,0.0,7000000.0,791000000.0,170000000.0,1260000000.0,469000000.0,2370000000.0,0.0,85000000.0,384000000.0,469000000.0,0.0,0.00376822839831707,5.0,16341000000.0,-2.6318407960199,20.4646075535454,0.531645569620253,0.268186286556894,0.392479435957697,141.102173853369,0.531645569620253,0.0553800979906789
7,2019-03-31 00:00:00+00:00,1,2019,0.0,216430000000.0,0.0,1670000000.0,3990000000.0,86240000000.0,0.0,3864000000.0,0.0,14026000000.0,609000000.0,0.0,1024000000.0,41177000000.0,4364000000.0,116670471.0,14999000000.0,201366000000.0,0.0,-1333000000.0,0.0,376000000.0,-52000000.0,-1272000000.0,0.0,0.0,0.0,376000000.0,0.0,400000000.0,-281000000.0,615000000.0,-737000000.0,1030000000.0,-6.31,-737000000.0,-6.31,-955000000.0,0.0,-955000000.0,116670471.0,2000000.0,0.0,614000000.0,22000000.0,-339000000.0,-955000000.0,691000000.0,0.0,-218000000.0,-735000000.0,-953000000.0,0.0,0.000911340581996116,4.0,15064000000.0,10.2678571428571,5.92266401324462,-0.490593342981187,0.290952730182012,-0.619283746556474,129.115789718548,-0.490593342981187,0.013994545715516
8,2018-12-31 00:00:00+00:00,4,2018,1000000.0,206294000000.0,0.0,716000000.0,5057000000.0,83181000000.0,0.0,4145000000.0,0.0,13697000000.0,1346000000.0,0.0,987000000.0,40054000000.0,3963000000.0,118601232.0,14418000000.0,191811000000.0,0.0,-1079000000.0,57000000.0,1566000000.0,-63000000.0,-1069000000.0,0.0,0.0,0.0,1566000000.0,0.0,0.0,2001000000.0,1504000000.0,1442000000.0,1169000000.0,12.06,1442000000.0,12.03,1787000000.0,0.0,1787000000.0,118601232.0,0.0,0.0,1070000000.0,469000000.0,2857000000.0,1787000000.0,4026000000.0,0.0,345000000.0,1442000000.0,1787000000.0,0.0,0.00403052481859726,7.0,14483000000.0,1.16517055655296,33.9456844765323,0.709637357178341,0.274864752392842,1.14148936170213,122.115088989969,0.709637357178341,0.0636673107001564
10,2018-09-30 00:00:00+00:00,3,2018,878000000.0,216946000000.0,0.0,552000000.0,4043000000.0,81329000000.0,0.0,2144000000.0,0.0,13551000000.0,-96000000.0,0.0,576000000.0,39446000000.0,3966000000.0,119782668.0,12884000000.0,203997000000.0,0.0,-1159000000.0,-33000000.0,479000000.0,-42000000.0,-1446000000.0,0.0,0.0,0.0,479000000.0,0.0,372000000.0,9000000.0,976000000.0,-271000000.0,1095000000.0,-2.26,-271000000.0,-2.26,-370000000.0,0.0,-370000000.0,119782668.0,2000000.0,0.0,695000000.0,30000000.0,327000000.0,-370000000.0,1422000000.0,0.0,-99000000.0,-269000000.0,-368000000.0,0.0,0.000415360582052543,4.0,12949000000.0,-0.712833545108005,11.8715004745094,0.229957805907173,0.307823657249301,-0.278904665314402,108.104120706345,0.229957805907173,0.00668601447411925
11,2018-06-30 00:00:00+00:00,2,2018,814000000.0,216212000000.0,0.0,815000000.0,4265000000.0,80928000000.0,0.0,2135000000.0,0.0,13593000000.0,175000000.0,0.0,684000000.0,38407000000.0,3607000000.0,119773106.0,13435000000.0,202712000000.0,0.0,-917000000.0,-28000000.0,726000000.0,0.0,-1120000000.0,0.0,0.0,0.0,726000000.0,0.0,-3000000.0,247000000.0,641000000.0,-239000000.0,1082000000.0,-2.01,-239000000.0,-2.01,-318000000.0,0.0,-318000000.0,119773106.0,1000000.0,0.0,937000000.0,246000000.0,620000000.0,-318000000.0,1702000000.0,0.0,-79000000.0,-238000000.0,-317000000.0,0.0,-0.00263289074183169,3.0,13500000000.0,-1.98048780487805,14.2102017459579,0.36427732079906,0.268477856345367,-0.159506172839506,112.713116081335,0.36427732079906,-0.0420070855324995
