,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,3195786000.0,184385000.0,677601000.0,497221000.0,2209129000.0,8428925000.0,461023000.0,640228000.0,0.0,402241000.0,83971000.0,2323861000.0,8759559000.0,8439897000.0,0.0,12020931000.0,9697070000.0,986657000.0,0.0,1884305000.0,645408000.0,132994000.0,319662000.0,840325000.0,29678376.0,8825145000.0,0.0,115704000.0,90854000.0,135664000.0,6012000.0,6980000.0,0.0,234000.0,439000.0,110580000.0,0.0,232969000.0,-19960000.0,-183000.0,30128000.0,1690189000.0,1690189000.0,44.24,257711000.0,367311000.0,43.64,1684461000.0,0.0,109600000.0,369637000.0,1314824000.0,5728000.0,29721000.0,1314824000.0,279952000.0,198165000.0,647263000.0,1314824000.0,0.0,59546000.0,0.0,6.0,0.154521763791999,0.567483387741923,2.35528760247989,8825145000.0,0.567483387741923,21.8092458967431,-6.09677419354839,0.0208931411325253,0.49891104810296,297.359430987733,0.362846578082513
1,2020,2,2020-06-30 00:00:00+00:00,2743905000.0,185336000.0,679018000.0,502871000.0,1817010000.0,7123093000.0,460443000.0,628401000.0,0.0,369767000.0,-61142000.0,2132584000.0,7132825000.0,6703039000.0,0.0,10097307000.0,7964723000.0,926895000.0,0.0,1488672000.0,645779000.0,130905000.0,429786000.0,607584000.0,29648159.0,7353402000.0,0.0,74001000.0,-88573000.0,92122000.0,3119000.0,4134000.0,0.0,-84649000.0,-2979000.0,14197000.0,0.0,3689000.0,-18121000.0,-182000.0,30058000.0,1251685000.0,1251685000.0,32.59,241246000.0,292988000.0,32.15,1245945000.0,0.0,51742000.0,279516000.0,966429000.0,5740000.0,29652000.0,966429000.0,243892000.0,189262000.0,536880000.0,966429000.0,0.0,51984000.0,0.0,5.0,-0.0624132276435116,0.545723439129787,2.30078272080441,7353402000.0,0.545723439129787,18.1083756330368,0.62300796812749,0.0252041164076165,0.317455252635968,248.022212778878,0.229278329925826
2,2020,1,2020-03-31 00:00:00+00:00,2391280000.0,187657000.0,686661000.0,402448000.0,1522026000.0,6156691000.0,460748000.0,557029000.0,0.0,380476000.0,-148955000.0,2082587000.0,5873470000.0,5434760000.0,0.0,8684359000.0,6601772000.0,869254000.0,0.0,1193410000.0,648405000.0,118221000.0,438710000.0,603551000.0,29925336.0,6293079000.0,0.0,41255000.0,-12422000.0,62808000.0,-5977000.0,-95937000.0,0.0,0.0,-98617000.0,9231000.0,0.0,-54208000.0,-21553000.0,-1415000.0,30196000.0,904389000.0,904389000.0,22.97,242995000.0,317368000.0,22.72,898699000.0,0.0,74373000.0,212787000.0,685912000.0,5690000.0,29865000.0,685912000.0,254276000.0,193692000.0,571644000.0,685912000.0,0.0,49303000.0,0.0,5.0,0.0318874903200301,0.555184695369846,2.39583251845836,6293079000.0,0.555184695369846,19.102341908542,-0.208749569410954,0.0298195843401934,0.278722736092051,210.292676413057,0.200447760734675
3,2019,4,2019-12-31 00:00:00+00:00,2253802000.0,189597000.0,701207000.0,409656000.0,1348307000.0,5470779000.0,461537000.0,554007000.0,0.0,392672000.0,-87348000.0,2180155000.0,5097738000.0,4638205000.0,0.0,8008859000.0,5828704000.0,905495000.0,0.0,1034072000.0,651134000.0,107014000.0,459533000.0,660672000.0,29934842.0,5755057000.0,0.0,138248000.0,-61196000.0,159802000.0,5476000.0,-4627000.0,0.0,-3575000.0,-4783000.0,-37502000.0,0.0,99299000.0,-21554000.0,-156000.0,30289000.0,705494000.0,705494000.0,18.51,271234000.0,330439000.0,18.3,699430000.0,0.0,59205000.0,145944000.0,553486000.0,6064000.0,29927000.0,553486000.0,293989000.0,214165000.0,624428000.0,553486000.0,0.0,57069000.0,0.0,4.0,0.0122899195424473,0.529186711678528,2.40769413414762,5755057000.0,0.529186711678528,20.8595722669924,-1.66606693055056,0.0329444174054227,0.331248692724376,192.252793584145,0.236891814521862
5,2019,3,2019-09-30 00:00:00+00:00,2045924000.0,630408000.0,713392000.0,411049000.0,1611884000.0,4917313000.0,35463000.0,587987000.0,0.0,356025000.0,-152113000.0,2047632000.0,4355452000.0,3931715000.0,0.0,7177116000.0,5129484000.0,434040000.0,0.0,873253000.0,665871000.0,249835000.0,423737000.0,561071000.0,29802479.0,5131192000.0,0.0,68658000.0,-109909000.0,99750000.0,-5366000.0,829000.0,0.0,-59728000.0,-4491000.0,-19089000.0,0.0,-20016000.0,-31092000.0,-156000.0,29831000.0,-329691000.0,-329691000.0,-8.68,249566000.0,307026000.0,-8.68,-335216000.0,0.0,57460000.0,-76400000.0,-258816000.0,5525000.0,29831000.0,-258816000.0,253607000.0,201622000.0,560633000.0,-258816000.0,0.0,47944000.0,0.0,6.0,0.0284239953919925,0.547641683596934,4.71761128006635,5131192000.0,0.547641683596934,18.8116230196824,-1.96230598669623,0.122858002584974,0.0772549213452357,172.173328265746,0.0551922348426222
6,2019,2,2019-06-30 00:00:00+00:00,2160135000.0,625371000.0,714687000.0,362877000.0,1714158000.0,5184511000.0,35700000.0,589897000.0,0.0,377904000.0,-49573000.0,2087940000.0,4823972000.0,4417240000.0,0.0,7646945000.0,5559005000.0,445977000.0,0.0,980956000.0,661071000.0,246809000.0,406732000.0,580684000.0,29820077.0,5486810000.0,0.0,133200000.0,-15071000.0,155402000.0,145000.0,-11089000.0,0.0,0.0,-15645000.0,7151000.0,0.0,124831000.0,-22202000.0,-580000.0,30154000.0,775442000.0,775442000.0,20.08,251379000.0,307769000.0,19.86,769601000.0,0.0,56390000.0,170791000.0,598810000.0,5841000.0,29814000.0,598810000.0,264850000.0,201257000.0,572619000.0,598810000.0,0.0,50122000.0,0.0,5.0,-0.00571616100404404,0.537476053012562,4.68172125468354,5486810000.0,0.537476053012562,19.2024655067121,1.23359288097887,0.113977156125326,0.187801277504573,183.997177472077,0.134845880091532
7,2019,1,2019-03-31 00:00:00+00:00,1999059000.0,630164000.0,724549000.0,369923000.0,1554753000.0,4585701000.0,36170000.0,590438000.0,0.0,391699000.0,-80965000.0,2031643000.0,4080571000.0,3671912000.0,0.0,6862914000.0,4831271000.0,444306000.0,0.0,822872000.0,666334000.0,239018000.0,408659000.0,455890000.0,29962204.0,4863855000.0,0.0,19388000.0,-22713000.0,42943000.0,1982000.0,3831000.0,0.0,-16083000.0,2161000.0,9522000.0,0.0,24373000.0,-23555000.0,-237000.0,30104000.0,1133252000.0,1133252000.0,29.03,255156000.0,311762000.0,28.74,1127266000.0,0.0,56606000.0,262071000.0,865195000.0,5986000.0,29801000.0,865195000.0,242217000.0,207581000.0,553979000.0,865195000.0,0.0,47575000.0,0.0,6.0,0.00446040843561146,0.562768624803467,4.57262112147934,4863855000.0,0.562768624803467,18.489260669876,0.316553287981859,0.129560605733518,0.124630277459693,162.333017958225,0.0897670721693811
8,2018,4,2018-12-31 00:00:00+00:00,1590737000.0,438937000.0,508690000.0,352893000.0,1139942000.0,3722073000.0,493000.0,583815000.0,0.0,392443000.0,-46958000.0,2023478000.0,3074539000.0,2655709000.0,0.0,5611068000.0,3587590000.0,450795000.0,26936000.0,609427000.0,439430000.0,122450000.0,418830000.0,431526000.0,29962204.0,4020331000.0,0.0,51177000.0,-54811000.0,105009000.0,-4620000.0,-45637000.0,0.0,0.0,-47003000.0,-979000.0,0.0,-1425000.0,-53832000.0,-1366000.0,30210000.0,-1035108000.0,-1035108000.0,-27.79,559619000.0,332565000.0,-27.4,-1041247000.0,0.0,-227054000.0,-212718000.0,-828529000.0,6139000.0,29878000.0,-828529000.0,284282000.0,214032000.0,616847000.0,-828529000.0,0.0,53074000.0,0.0,6.0,-0.00715923997456924,0.539136933469726,4.48868776273029,4020331000.0,0.539136933469726,20.587504176929,-10.9605734767025,0.109179318817281,0.0810321495930069,134.180082346412,0.0586604596350748
10,2018,3,2018-09-30 00:00:00+00:00,1818181000.0,438803000.0,484323000.0,652565000.0,1365022000.0,4550601000.0,1772000.0,601053000.0,0.0,381526000.0,-32299000.0,2034197000.0,3905934000.0,3474321000.0,0.0,6718662000.0,4684465000.0,453159000.0,0.0,798731000.0,440575000.0,257028000.0,431613000.0,434517000.0,29835050.0,4900481000.0,0.0,40396000.0,-29509000.0,62277000.0,912000.0,3746000.0,0.0,45000.0,-2176000.0,-7673000.0,0.0,31504000.0,-21881000.0,-90000.0,30292000.0,356195000.0,356195000.0,9.02,250441000.0,286716000.0,8.89,350131000.0,0.0,36275000.0,80805000.0,269326000.0,6064000.0,29863000.0,269326000.0,258422000.0,201196000.0,545138000.0,269326000.0,0.0,49245000.0,0.0,5.0,0.0205881967495474,0.525951227028752,4.488925520623,4900481000.0,0.525951227028752,18.2717307328126,11.1891891891892,0.0895428428352237,0.301189873572984,164.252481561117,0.216485794463898
11,2018,2,2018-06-30 00:00:00+00:00,1747277000.0,438776000.0,490249000.0,658057000.0,1304856000.0,4281275000.0,1721000.0,591433000.0,0.0,404091000.0,-18710000.0,1992334000.0,3591621000.0,3170820000.0,0.0,6386223000.0,4393889000.0,442421000.0,0.0,716491000.0,440497000.0,261721000.0,420801000.0,403006000.0,29804690.0,4638946000.0,0.0,55231000.0,-83842000.0,77862000.0,4436000.0,3240000.0,0.0,266000.0,-2016000.0,-61477000.0,0.0,-3560000.0,-22631000.0,-1418000.0,30219000.0,346063000.0,346063000.0,8.99,257875000.0,301667000.0,8.87,340086000.0,0.0,43792000.0,72043000.0,268043000.0,5977000.0,29814000.0,268043000.0,274244000.0,210425000.0,575911000.0,268043000.0,0.0,47450000.0,0.0,5.0,0.141172577506707,0.523808366223253,4.50325368822909,4638946000.0,0.523808366223253,19.322831406735,51.8823529411765,0.0945852786387253,0.276301187180718,155.644833078284,0.19556013509102
