,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,14019000000.0,7679000000.0,4895000000.0,6298000000.0,10255000000.0,6014000000.0,31000000.0,1309000000.0,0.0,1772000000.0,-1155000000.0,4025000000.0,0.0,0.0,0.0,16972000000.0,12947000000.0,3764000000.0,0.0,589000000.0,7710000000.0,2832000000.0,0.0,771000000.0,326566912.0,2886000000.0,0.0,341000000.0,-310000000.0,577000000.0,-4000000.0,13000000.0,160000000.0,-69000000.0,-133000000.0,0.0,-49000000.0,130000000.0,-236000000.0,-71000000.0,332654000.0,543000000.0,383000000.0,0.74,289000000.0,663000000.0,0.72,314000000.0,-1000000.0,374000000.0,73000000.0,241000000.0,69000000.0,326549000.0,240000000.0,2430000000.0,121000000.0,3093000000.0,241000000.0,0.0,0.0,0.0,6.0,0.0474094141550965,0.214354995150339,1.06934112646121,2953000000.0,0.214354995150339,9.4712595990129,1.64285714285714,2.66077616077616,0.184555090407054,9.04255725699485,0.0307022093143865
1,2020,2,2020-06-30 00:00:00+00:00,13780000000.0,7158000000.0,4662000000.0,6216000000.0,9654000000.0,5822000000.0,523000000.0,1388000000.0,0.0,1810000000.0,-1068000000.0,4010000000.0,0.0,0.0,0.0,16610000000.0,12600000000.0,4126000000.0,0.0,553000000.0,7681000000.0,2699000000.0,0.0,643000000.0,326001768.0,2762000000.0,0.0,242000000.0,-207000000.0,476000000.0,-14000000.0,6000000.0,170000000.0,0.0,-413000000.0,0.0,-49000000.0,-158000000.0,-234000000.0,-370000000.0,331717000.0,354000000.0,184000000.0,0.29,393000000.0,571000000.0,0.28,117000000.0,-2000000.0,178000000.0,23000000.0,94000000.0,67000000.0,325994000.0,92000000.0,2230000000.0,111000000.0,2801000000.0,94000000.0,0.0,0.0,0.0,6.0,-0.0715942989724893,0.203855765797929,0.971885603490063,2830000000.0,0.203855765797929,8.59197794289263,-0.508474576271186,2.59160028964518,0.126089185033316,8.68093451566803,0.0221116970278044
2,2020,1,2020-03-31 00:00:00+00:00,13845000000.0,7476000000.0,4499000000.0,6184000000.0,9842000000.0,5777000000.0,522000000.0,1354000000.0,0.0,1862000000.0,-1139000000.0,4241000000.0,0.0,0.0,0.0,16545000000.0,12304000000.0,4003000000.0,0.0,547000000.0,7998000000.0,2613000000.0,0.0,801000000.0,325773210.0,2630000000.0,0.0,-921000000.0,-234000000.0,-708000000.0,-78000000.0,-88000000.0,169000000.0,-17000000.0,25000000.0,0.0,-51000000.0,-995000000.0,-213000000.0,198000000.0,332326000.0,299000000.0,130000000.0,0.07,415000000.0,570000000.0,0.07,19000000.0,0.0,155000000.0,-4000000.0,23000000.0,111000000.0,325346000.0,23000000.0,2215000000.0,131000000.0,2785000000.0,23000000.0,0.0,0.0,0.0,4.0,0.0,0.204667863554758,1.05945540844367,2700000000.0,0.204667863554758,8.54889203443095,-0.8,2.8425855513308,0.152208964850048,8.2879743242239,0.0280739319861415
3,2019,4,2019-12-31 00:00:00+00:00,14341000000.0,6337000000.0,4470000000.0,6421000000.0,8764000000.0,5803000000.0,1480000000.0,1274000000.0,0.0,1631000000.0,-910000000.0,4884000000.0,0.0,0.0,0.0,17360000000.0,12476000000.0,5577000000.0,0.0,561000000.0,7817000000.0,3136000000.0,0.0,1798000000.0,327129526.0,2949000000.0,0.0,719000000.0,27000000.0,892000000.0,18000000.0,-347000000.0,168000000.0,210000000.0,372000000.0,0.0,-49000000.0,1309000000.0,-173000000.0,789000000.0,335378000.0,409000000.0,241000000.0,0.49,354000000.0,560000000.0,0.47,158000000.0,-30000000.0,206000000.0,-2000000.0,160000000.0,83000000.0,326230000.0,130000000.0,2159000000.0,89000000.0,2719000000.0,160000000.0,0.0,0.0,0.0,6.0,-0.0299678915447734,0.20595807282089,0.875739644970414,3019000000.0,0.20595807282089,8.31169241507109,0.0888888888888888,2.14886402170227,0.16996996996997,9.2287603534754,0.0334767629271466
5,2019,3,2019-09-30 00:00:00+00:00,12772000000.0,6623000000.0,4320000000.0,6398000000.0,8999000000.0,5694000000.0,361000000.0,1180000000.0,0.0,1957000000.0,-716000000.0,3829000000.0,0.0,0.0,0.0,16237000000.0,12408000000.0,3773000000.0,0.0,602000000.0,6984000000.0,2658000000.0,0.0,483000000.0,332002911.0,3365000000.0,0.0,253000000.0,-185000000.0,403000000.0,-32000000.0,-210000000.0,169000000.0,-50000000.0,-525000000.0,0.0,-50000000.0,-339000000.0,-150000000.0,-267000000.0,340632000.0,372000000.0,203000000.0,0.28,392000000.0,590000000.0,0.27,124000000.0,0.0,198000000.0,32000000.0,92000000.0,79000000.0,331148000.0,92000000.0,2363000000.0,90000000.0,2953000000.0,92000000.0,0.0,0.0,0.0,8.0,0.0023761031907672,0.199796816796478,1.01484230055659,3465000000.0,0.199796816796478,8.89450032563118,0.647058823529412,1.96820208023774,0.161110709378842,10.4366554786021,0.0333418134474657
6,2019,2,2019-06-30 00:00:00+00:00,13545000000.0,6916000000.0,4385000000.0,6537000000.0,9411000000.0,5651000000.0,392000000.0,1183000000.0,0.0,1956000000.0,-797000000.0,4533000000.0,0.0,0.0,0.0,17109000000.0,12576000000.0,4134000000.0,0.0,606000000.0,7308000000.0,2739000000.0,0.0,764000000.0,334744071.0,3460000000.0,0.0,261000000.0,-101000000.0,382000000.0,1000000.0,-238000000.0,171000000.0,0.0,-118000000.0,0.0,-49000000.0,164000000.0,-121000000.0,171000000.0,341637000.0,480000000.0,309000000.0,0.59,282000000.0,589000000.0,0.58,228000000.0,0.0,307000000.0,31000000.0,197000000.0,81000000.0,332825000.0,197000000.0,2428000000.0,111000000.0,3017000000.0,197000000.0,0.0,0.0,0.0,7.0,-0.0270880361173815,0.195227046735167,1.09651669085631,3564000000.0,0.195227046735167,9.01285567504495,0.735294117647059,1.99884393063584,0.148610323312535,10.6469398826186,0.0312574564543068
7,2019,1,2019-03-31 00:00:00+00:00,13274000000.0,6719000000.0,4360000000.0,6547000000.0,9239000000.0,5504000000.0,399000000.0,1275000000.0,0.0,1885000000.0,-789000000.0,4399000000.0,0.0,0.0,0.0,16923000000.0,12524000000.0,4035000000.0,0.0,625000000.0,7118000000.0,2739000000.0,0.0,603000000.0,334338125.0,3546000000.0,0.0,-283000000.0,-163000000.0,-129000000.0,11000000.0,-150000000.0,170000000.0,0.0,225000000.0,0.0,-34000000.0,-56000000.0,-154000000.0,419000000.0,342676000.0,378000000.0,208000000.0,0.35,311000000.0,532000000.0,0.34,127000000.0,0.0,221000000.0,10000000.0,117000000.0,81000000.0,334239000.0,117000000.0,2253000000.0,127000000.0,2785000000.0,117000000.0,0.0,0.0,0.0,4.0,0.0,0.191023339317774,1.09021065675341,3649000000.0,0.191023339317774,8.32989058606463,-0.0277777777777778,1.89481105470953,0.122755109062134,10.9141008073788,0.0264366794108058
8,2018,4,2018-12-31 00:00:00+00:00,12992000000.0,6510000000.0,4542000000.0,6663000000.0,8897000000.0,5341000000.0,219000000.0,1271000000.0,0.0,1802000000.0,-835000000.0,3940000000.0,0.0,0.0,0.0,16554000000.0,12614000000.0,4095000000.0,0.0,645000000.0,6729000000.0,3095000000.0,0.0,721000000.0,339191207.0,3458000000.0,0.0,339000000.0,-191000000.0,539000000.0,8000000.0,-272000000.0,173000000.0,-12000000.0,-239000000.0,0.0,-33000000.0,117000000.0,-200000000.0,67000000.0,348019000.0,364000000.0,191000000.0,0.45,359000000.0,557000000.0,0.43,116000000.0,-2000000.0,198000000.0,-35000000.0,151000000.0,75000000.0,337845000.0,149000000.0,2246000000.0,126000000.0,2803000000.0,151000000.0,0.0,0.0,0.0,7.0,0.0203858755005462,0.198715661790938,0.962148962148962,3562000000.0,0.198715661790938,8.26377554062007,-0.0217391304347826,1.88259109311741,0.120905459387483,10.5014514718832,0.0265924732757358
10,2018,3,2018-09-30 00:00:00+00:00,12725000000.0,6523000000.0,4508000000.0,6744000000.0,8912000000.0,5224000000.0,150000000.0,1243000000.0,0.0,1872000000.0,-800000000.0,3860000000.0,0.0,0.0,0.0,16470000000.0,12610000000.0,3813000000.0,0.0,672000000.0,6673000000.0,2953000000.0,0.0,598000000.0,343911434.0,3640000000.0,0.0,421000000.0,435000000.0,593000000.0,-9000000.0,-264000000.0,171000000.0,596000000.0,-965000000.0,0.0,-34000000.0,54000000.0,-172000000.0,-666000000.0,349709000.0,446000000.0,275000000.0,0.17,316000000.0,584000000.0,0.17,199000000.0,0.0,268000000.0,140000000.0,59000000.0,76000000.0,342982000.0,59000000.0,2362000000.0,113000000.0,2946000000.0,59000000.0,0.0,0.0,0.0,7.0,0.0130674002751032,0.198234894772573,1.01232625229478,3745000000.0,0.198234894772573,8.56615892567271,0.214285714285714,1.79203296703297,0.119202734954525,10.8894314924115,0.0268195341412089
11,2018,2,2018-06-30 00:00:00+00:00,13540000000.0,7171000000.0,4473000000.0,6821000000.0,9586000000.0,5199000000.0,176000000.0,1257000000.0,0.0,2013000000.0,-767000000.0,4875000000.0,0.0,0.0,0.0,17535000000.0,12660000000.0,3954000000.0,0.0,666000000.0,7347000000.0,2739000000.0,0.0,549000000.0,349240025.0,3889000000.0,0.0,306000000.0,-166000000.0,508000000.0,-51000000.0,-140000000.0,178000000.0,0.0,-220000000.0,0.0,-35000000.0,71000000.0,-202000000.0,-44000000.0,354904000.0,420000000.0,242000000.0,0.34,374000000.0,617000000.0,0.34,165000000.0,1000000.0,243000000.0,46000000.0,119000000.0,77000000.0,348221000.0,120000000.0,2484000000.0,127000000.0,3101000000.0,119000000.0,0.0,0.0,0.0,7.0,0.0861646234676008,0.198968074814576,1.23292867981791,3995000000.0,0.198968074814576,8.87928008824304,0.214285714285714,1.84391874517871,0.117203742203742,11.4391241381912,0.0259800109450157
