,year,quarter,date,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,20464000000.0,2441000000.0,75306000000.0,1720000000.0,19435000000.0,3585000000.0,125536000000.0,1949000000.0,913000000.0,32414000000.0,54842000000.0,91259000000.0,2253934635.0,2215000000.0,8062000000.0,0.0,77215000000.0,5740000000.0,44949000000.0,41364000000.0,5913000000.0,-1699000000.0,34277000000.0,495000000.0,50158000000.0,0.0,-1016000000.0,-153000000.0,-502000000.0,0.0,2219000000.0,31000000.0,185000000.0,-2587000000.0,2066000000.0,-165000000.0,29000000.0,-1742000000.0,2655000000.0,-41000000.0,2499000000.0,1706000000.0,0.0,10540000000.0,2251000000.0,0.0,1872000000.0,1872000000.0,6000000.0,0.83,2251000000.0,379000000.0,2257000000.0,5781000000.0,0.82,4906000000.0,1878000000.0,8038000000.0,2502000000.0,2253934635.0,0.0,5.0,0.75461961045447,0.762618595825427,1.67499022673964,50230000000.0,0.762618595825427,4.67626693176042,0.0,0.824674030064995,-0.000876664292367542,22.2854732431049,-0.000343186289707726
1,2020,2,2020-06-30 00:00:00+00:00,23421000000.0,2852000000.0,78916000000.0,1724000000.0,19934000000.0,4819000000.0,128076000000.0,2384000000.0,1088000000.0,31565000000.0,55495000000.0,93733000000.0,2262689755.0,2247000000.0,7855000000.0,0.0,79749000000.0,5777000000.0,46672000000.0,41853000000.0,6157000000.0,-1556000000.0,34343000000.0,523000000.0,49094000000.0,0.0,-1021000000.0,-131000000.0,4116000000.0,0.0,4269000000.0,60000000.0,213000000.0,-993000000.0,4138000000.0,780000000.0,921000000.0,-48000000.0,2558000000.0,-10000000.0,2522000000.0,1628000000.0,0.0,10129000000.0,1622000000.0,0.0,-85000000.0,-85000000.0,5000000.0,-0.04,1622000000.0,1707000000.0,1627000000.0,5803000000.0,-0.04,4180000000.0,-80000000.0,7430000000.0,2699000000.0,2262689755.0,0.0,3.0,0.614697911684999,0.733537367953401,1.46633363221041,49160000000.0,0.733537367953401,4.47653063245518,-1.04545454545455,0.852507434717073,-0.0133847644293347,21.726354614621,-0.00506365545557159
2,2020,1,2020-03-31 00:00:00+00:00,19232000000.0,3069000000.0,79308000000.0,2505000000.0,15817000000.0,3862000000.0,129285000000.0,2836000000.0,605000000.0,32671000000.0,60076000000.0,97432000000.0,2257510796.0,3156000000.0,8290000000.0,0.0,84118000000.0,6112000000.0,46706000000.0,42844000000.0,6531000000.0,-1549000000.0,31853000000.0,651000000.0,49911000000.0,0.0,-1017000000.0,-186000000.0,3426000000.0,-81000000.0,3894000000.0,-67000000.0,210000000.0,-1054000000.0,3708000000.0,653000000.0,659000000.0,26000000.0,2477000000.0,180000000.0,2372000000.0,1606000000.0,0.0,10781000000.0,-313000000.0,0.0,-775000000.0,-775000000.0,9000000.0,-0.34,-313000000.0,462000000.0,-304000000.0,7423000000.0,-0.34,2164000000.0,-766000000.0,7119000000.0,3662000000.0,2257510796.0,0.0,5.0,0.821114864864865,0.660328355440126,1.65625,49977000000.0,0.660328355440126,4.77561392800533,-1.32380952380952,0.8584079661798,0.0282235995443989,22.1381001094446,0.0102628924897465
3,2019,4,2019-12-31 00:00:00+00:00,18304000000.0,2445000000.0,78246000000.0,3047000000.0,12346000000.0,3346000000.0,129944000000.0,4293000000.0,510000000.0,34474000000.0,59942000000.0,100590000000.0,1629284798.0,3814000000.0,7685000000.0,0.0,86457000000.0,6252000000.0,46733000000.0,43387000000.0,6454000000.0,-1520000000.0,29354000000.0,767000000.0,51598000000.0,0.0,-668000000.0,-251000000.0,-17669000000.0,-7000000000.0,2038000000.0,6000000.0,284000000.0,-7677000000.0,1787000000.0,-12036000000.0,-974000000.0,4000000.0,1236000000.0,-10811000000.0,2087000000.0,1734000000.0,0.0,7945000000.0,-125000000.0,0.0,-1056000000.0,-1056000000.0,-4000000.0,-0.73,-125000000.0,931000000.0,-129000000.0,5642000000.0,-0.74,1111000000.0,-1060000000.0,5513000000.0,2432000000.0,1629284798.0,0.0,4.0,0.3301523522518,0.693895531780994,1.60369318181818,51698000000.0,0.693895531780994,4.87637275555062,-2.02816901408451,0.840865925035854,0.136857918876165,31.7304869372506,0.0495936893868928
5,2019,3,2019-09-30 00:00:00+00:00,10489000000.0,1888000000.0,39679000000.0,2053000000.0,30489000000.0,569000000.0,57433000000.0,1192000000.0,1624000000.0,36555000000.0,29190000000.0,17242000000.0,1635766530.0,2978000000.0,5510000000.0,0.0,7515000000.0,4830000000.0,24959000000.0,24390000000.0,2919000000.0,-1463000000.0,40191000000.0,925000000.0,17648000000.0,0.0,-671000000.0,-190000000.0,2085000000.0,-300000000.0,2556000000.0,-21000000.0,56000000.0,-941000000.0,2366000000.0,491000000.0,-1029000000.0,31000000.0,171000000.0,1710000000.0,1378000000.0,1055000000.0,0.0,6007000000.0,1336000000.0,0.0,1353000000.0,1353000000.0,13000000.0,0.83,1336000000.0,-17000000.0,1349000000.0,2868000000.0,0.83,1507000000.0,1366000000.0,4217000000.0,1790000000.0,1635766530.0,0.0,4.0,0.0555262695484098,0.702014316630598,3.83172847745257,17754000000.0,0.702014316630598,3.67228445492157,-0.28448275862069,1.3820262919311,0.359355638166047,10.8536271371196,0.12400228050171
6,2019,2,2019-06-30 00:00:00+00:00,9711000000.0,2005000000.0,39012000000.0,953000000.0,28404000000.0,545000000.0,55163000000.0,1308000000.0,1442000000.0,35870000000.0,29301000000.0,17447000000.0,1635705782.0,1947000000.0,5667000000.0,0.0,7528000000.0,4849000000.0,24978000000.0,24433000000.0,2971000000.0,-2621000000.0,37716000000.0,994000000.0,16049000000.0,0.0,-671000000.0,-191000000.0,21069000000.0,0.0,2083000000.0,3000000.0,48000000.0,18268000000.0,1892000000.0,715000000.0,743000000.0,18941000000.0,169000000.0,163000000.0,1325000000.0,1076000000.0,0.0,6273000000.0,1769000000.0,0.0,1432000000.0,1432000000.0,7000000.0,0.88,1769000000.0,337000000.0,1776000000.0,2525000000.0,0.87,1938000000.0,1439000000.0,4301000000.0,1972000000.0,1635705782.0,0.0,5.0,0.0997545582047685,0.685636856368564,3.88384306456596,16151000000.0,0.685636856368564,3.83504177158921,2.82608695652174,1.52240014954203,0.420984763649937,9.87402513198428,0.156328559637594
7,2019,1,2019-03-31 00:00:00+00:00,8841000000.0,1976000000.0,19517000000.0,1429000000.0,7335000000.0,381000000.0,34834000000.0,1283000000.0,1380000000.0,35109000000.0,10676000000.0,17741000000.0,1632675877.0,2662000000.0,5704000000.0,551000000.0,7562000000.0,4985000000.0,6016000000.0,5635000000.0,3609000000.0,-2644000000.0,17093000000.0,1233000000.0,15218000000.0,0.0,-669000000.0,-204000000.0,424000000.0,0.0,1390000000.0,3000000.0,53000000.0,-2029000000.0,1186000000.0,1060000000.0,969000000.0,-1323000000.0,170000000.0,295000000.0,1348000000.0,1006000000.0,0.0,5920000000.0,1974000000.0,0.0,1710000000.0,1710000000.0,5000000.0,1.05,1974000000.0,264000000.0,1979000000.0,2117000000.0,1.04,2144000000.0,1715000000.0,4096000000.0,1824000000.0,1632675877.0,0.0,5.0,0.13999614866166,0.691891891891892,1.93337857708404,15317000000.0,0.691891891891892,3.62594932858189,0.153846153846154,0.370285188592456,0.372713110893743,9.381531396265,0.151077499173978
8,2018,4,2018-12-31 00:00:00+00:00,10654000000.0,1892000000.0,20859000000.0,1848000000.0,6911000000.0,1703000000.0,34986000000.0,1195000000.0,815000000.0,34065000000.0,10205000000.0,17270000000.0,1632198774.0,3623000000.0,5747000000.0,0.0,7629000000.0,5027000000.0,7349000000.0,5646000000.0,19000000.0,-2762000000.0,17716000000.0,1775000000.0,14031000000.0,0.0,-653000000.0,-290000000.0,1503000000.0,0.0,2429000000.0,-12000000.0,53000000.0,-578000000.0,2139000000.0,-336000000.0,-317000000.0,74000000.0,172000000.0,271000000.0,1367000000.0,1336000000.0,0.0,5973000000.0,1507000000.0,0.0,1160000000.0,1160000000.0,-2000000.0,0.71,1507000000.0,347000000.0,1505000000.0,2858000000.0,0.71,1679000000.0,1158000000.0,4363000000.0,1610000000.0,1632198774.0,0.0,9.0,0.0961644338410717,0.730453708354261,1.6628496339403,14127000000.0,0.730453708354261,3.65948075390479,-1.50354609929078,0.402394697455634,0.372861446353802,8.65519581624192,0.146380649192229
10,2018,3,2018-09-30 00:00:00+00:00,9694000000.0,1773000000.0,19984000000.0,1422000000.0,5408000000.0,1620000000.0,33734000000.0,1282000000.0,1627000000.0,33292000000.0,10290000000.0,18865000000.0,1631876909.0,3439000000.0,5871000000.0,579000000.0,7793000000.0,5092000000.0,7307000000.0,5687000000.0,3467000000.0,-2326000000.0,14869000000.0,2017000000.0,13640000000.0,0.0,-653000000.0,-224000000.0,409000000.0,0.0,1279000000.0,-3000000.0,62000000.0,-720000000.0,1055000000.0,-147000000.0,-242000000.0,-71000000.0,165000000.0,319000000.0,1280000000.0,1104000000.0,0.0,5691000000.0,2156000000.0,0.0,1901000000.0,1901000000.0,11000000.0,1.16,2156000000.0,255000000.0,2167000000.0,1876000000.0,1.16,2321000000.0,1912000000.0,4043000000.0,1648000000.0,1631876909.0,0.0,7.0,0.0831747240197944,0.710419961342471,1.53383536207964,13750000000.0,0.710419961342471,3.48739538418213,1.23076923076923,0.416935483870968,0.113445960666257,8.42588060666039,0.0430647550165778
11,2018,2,2018-06-30 00:00:00+00:00,9878000000.0,1873000000.0,20223000000.0,1076000000.0,4999000000.0,1716000000.0,32641000000.0,1242000000.0,1517000000.0,32044000000.0,10345000000.0,18767000000.0,1634538458.0,3193000000.0,5559000000.0,589000000.0,7773000000.0,5080000000.0,7387000000.0,5671000000.0,3480000000.0,-2334000000.0,13874000000.0,2117000000.0,12317000000.0,0.0,-654000000.0,-198000000.0,-343000000.0,-153000000.0,1057000000.0,-37000000.0,51000000.0,-1015000000.0,859000000.0,-348000000.0,476000000.0,-207000000.0,157000000.0,-626000000.0,2435000000.0,1131000000.0,0.0,5704000000.0,508000000.0,0.0,373000000.0,373000000.0,9000000.0,0.23,508000000.0,135000000.0,517000000.0,3562000000.0,0.23,665000000.0,382000000.0,4079000000.0,1625000000.0,1634538458.0,0.0,7.0,0.108864696734059,0.715112201963534,1.40453533103867,12418000000.0,0.715112201963534,3.48967010967692,-0.589285714285714,0.460420556953804,0.0291280938916218,7.59725165181767,0.0112868849998499
