,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.totalAssets,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.taxAssets,statementData.balanceSheet.debt,statementData.balanceSheet.deferredRev,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.accoci,statementData.balanceSheet.acctRec,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.investments,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfx,statementData.cashFlow.ncfi,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.revenue,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.intexp,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.rnd,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.taxExp,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opinc,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,1,2021,3335900000.0,4749700000.0,1413800000.0,0.0,0.0,2261900000.0,0.0,1776100000.0,284100000.0,3629700000.0,1120000000.0,0.0,161700000.0,0.0,134800000.0,2302100000.0,-62900000.0,619100000.0,743900000.0,0.0,115161503.0,1776100000.0,632300000.0,2592000000.0,356600000.0,0.0,-58500000.0,5500000.0,-8700000.0,-62200000.0,20300000.0,-44200000.0,10400000.0,-120000000.0,-20000000.0,-14300000.0,0.0,-72700000.0,41700000.0,0.0,117400000.0,65800000.0,230300000.0,0.56,1017400000.0,65800000.0,0.0,14400000.0,0.57,151700000.0,0.0,88000000.0,115300000.0,7800000.0,151700000.0,73600000.0,65800000.0,787100000.0,0.0,129700000.0,0.0,78600000.0,4.0,0.0725279359055451,0.22636131315117,1.50557870681543,1413800000.0,0.22636131315117,8.83454951087257,0.163265306122449,1.25625972556231,0.371369049958728,12.2766720055746,0.0997803311929706
1,2020-06-30 00:00:00+00:00,4,2020,3543200000.0,4889800000.0,1346500000.0,399900000.0,0.0,2258300000.0,0.0,1787500000.0,286600000.0,3561800000.0,1328000000.0,0.0,161600000.0,0.0,126800000.0,2302600000.0,-100400000.0,711300000.0,1341000000.0,0.0,114817479.0,1387600000.0,829900000.0,2202200000.0,476600000.0,0.0,428400000.0,-3900000.0,-13800000.0,-61800000.0,-3400000.0,442600000.0,13200000.0,74500000.0,-285600000.0,-14200000.0,0.0,-350400000.0,43900000.0,0.0,116700000.0,229700000.0,477700000.0,1.96,1361900000.0,229700000.0,0.0,15600000.0,2.0,178900000.0,0.0,310300000.0,115000000.0,65000000.0,178900000.0,294700000.0,229700000.0,884200000.0,0.0,354200000.0,0.0,298800000.0,7.0,0.124422060766182,0.350759967692195,0.990305741983594,1346600000.0,0.350759967692195,11.8614344423988,0.257861635220126,1.03052357965095,0.383992693760638,11.7281794699568,0.100499782703173
3,2020-03-31 00:00:00+00:00,3,2020,3710900000.0,4913500000.0,1202500000.0,399800000.0,0.0,2315900000.0,0.0,2079700000.0,277700000.0,3552500000.0,1361000000.0,0.0,153900000.0,0.0,112800000.0,2135100000.0,-67200000.0,814700000.0,1255000000.0,0.0,114802549.0,1679900000.0,737200000.0,2455900000.0,402100000.0,0.0,127200000.0,-400000.0,-96700000.0,-62000000.0,-45700000.0,144100000.0,17300000.0,168100000.0,230400000.0,-16900000.0,0.0,121100000.0,41400000.0,-69500000.0,117000000.0,166800000.0,377400000.0,1.43,1249900000.0,166800000.0,0.0,16200000.0,1.46,151100000.0,0.0,226600000.0,114600000.0,43600000.0,151100000.0,210400000.0,166800000.0,872500000.0,0.0,268000000.0,0.0,226300000.0,6.0,0.0204931417374266,0.301944155532443,1.08446215139442,1202600000.0,0.301944155532443,10.8873889202582,-0.0201342281879194,1.39700623700624,0.361920501000261,10.475377162575,0.0956612199621815
4,2019-12-31 00:00:00+00:00,2,2020,3259200000.0,4384600000.0,1125400000.0,399500000.0,0.0,2272000000.0,0.0,1848800000.0,260200000.0,3374000000.0,1010600000.0,0.0,137500000.0,0.0,98900000.0,2030100000.0,-67700000.0,616000000.0,1124800000.0,0.0,114646129.0,1449300000.0,615400000.0,2134400000.0,234000000.0,0.0,80400000.0,200000.0,-244900000.0,-61800000.0,3100000.0,97900000.0,18500000.0,-124300000.0,86800000.0,-17500000.0,0.0,22400000.0,47800000.0,-221500000.0,117200000.0,10100000.0,187800000.0,0.09,968700000.0,10100000.0,0.0,13900000.0,0.09,161000000.0,0.0,24400000.0,114700000.0,400000.0,161000000.0,10500000.0,10100000.0,780900000.0,0.0,72200000.0,0.0,26800000.0,4.0,0.0160478288231591,0.193868070610096,0.898470839260313,1125400000.0,0.193868070610096,8.44947848173749,-0.790697674418605,1.28780877910076,0.361655119157425,9.81629305600017,0.104801864801865
5,2019-09-30 00:00:00+00:00,1,2020,3076600000.0,4220100000.0,1143400000.0,399400000.0,0.0,2041900000.0,0.0,1768200000.0,248200000.0,3125000000.0,1095100000.0,0.0,186200000.0,0.0,96000000.0,2082000000.0,-79500000.0,600700000.0,1040900000.0,0.0,114282728.0,1368800000.0,547900000.0,2035700000.0,358300000.0,0.0,-100500000.0,-200000.0,-86300000.0,-55400000.0,18500000.0,-86400000.0,11800000.0,85100000.0,297500000.0,-14100000.0,0.0,258100000.0,43300000.0,-48100000.0,117100000.0,55900000.0,221100000.0,0.48,948600000.0,55900000.0,0.0,13100000.0,0.49,148000000.0,0.0,76900000.0,114400000.0,7900000.0,148000000.0,63800000.0,55900000.0,727500000.0,0.0,120200000.0,0.0,73100000.0,3.0,-0.0248766447368421,0.233080328905756,1.05207032375829,1143500000.0,0.233080328905756,8.30046689119987,-0.257575757575758,1.19713136260276,0.39604215406409,10.005886453813,0.12251917267023
6,2019-06-30 00:00:00+00:00,4,2019,2753200000.0,3880700000.0,1127500000.0,0.0,0.0,2056200000.0,0.0,1470400000.0,251600000.0,2838400000.0,1042300000.0,0.0,189000000.0,0.0,86700000.0,2087700000.0,-71200000.0,664000000.0,802600000.0,0.0,116138903.0,1470400000.0,711700000.0,1950600000.0,273200000.0,0.0,379400000.0,800000.0,-384400000.0,-56100000.0,-270000000.0,399100000.0,11600000.0,-19000000.0,295700000.0,-19700000.0,0.0,-34300000.0,42100000.0,-354700000.0,117900000.0,183300000.0,399600000.0,1.55,1211200000.0,183300000.0,0.0,11400000.0,1.59,158800000.0,0.0,241500000.0,115300000.0,46800000.0,158800000.0,230100000.0,183300000.0,811600000.0,0.0,283600000.0,0.0,240800000.0,7.0,-0.0827022114510755,0.329920739762219,1.29865437328682,1127500000.0,0.329920739762219,10.4288913422921,-0.101694915254237,1.30412416851441,0.406004589763564,9.70820259943389,0.135591790241947
8,2019-03-31 00:00:00+00:00,3,2019,2336500000.0,3602100000.0,1265600000.0,0.0,0.0,1683700000.0,0.0,1174400000.0,253300000.0,2406700000.0,1195400000.0,0.0,183400000.0,0.0,100900000.0,1959900000.0,-64100000.0,792800000.0,705200000.0,0.0,115680778.0,1174400000.0,610500000.0,1631300000.0,292100000.0,0.0,125900000.0,400000.0,-17100000.0,-56100000.0,4500000.0,135800000.0,17400000.0,42300000.0,-20000000.0,-9900000.0,0.0,-76900000.0,43400000.0,0.0,118500000.0,172200000.0,377500000.0,1.45,1224800000.0,172200000.0,0.0,10000000.0,1.49,143900000.0,0.0,233600000.0,115700000.0,51400000.0,143900000.0,223600000.0,172200000.0,847300000.0,0.0,277000000.0,0.0,233600000.0,8.0,0.142643903349193,0.308213585891574,1.69512195121951,1265600000.0,0.308213585891574,10.5877572849657,0.602150537634409,0.927939317319848,0.428792536838758,10.9404520083708,0.148203516022893
9,2018-12-31 00:00:00+00:00,2,2019,2234900000.0,3357600000.0,1122600000.0,0.0,0.0,1699700000.0,0.0,1194100000.0,258000000.0,2391200000.0,966400000.0,0.0,187900000.0,0.0,74000000.0,1843800000.0,-69200000.0,607400000.0,597900000.0,0.0,116750513.0,1194100000.0,509100000.0,1637000000.0,249800000.0,0.0,165300000.0,-700000.0,-15700000.0,-56500000.0,-107700000.0,177600000.0,18700000.0,45200000.0,50000000.0,-12300000.0,0.0,-116100000.0,44300000.0,0.0,119100000.0,49900000.0,219400000.0,0.42,953400000.0,49900000.0,0.0,10700000.0,0.43,141200000.0,0.0,75000000.0,116300000.0,14400000.0,141200000.0,64300000.0,49900000.0,734000000.0,0.0,119300000.0,0.0,78200000.0,6.0,-0.058649289099526,0.230123767568701,1.61632379996655,1122700000.0,0.230123767568701,8.1661311415394,-0.188679245283019,1.06369143060752,0.383723198994082,9.61623183617189,0.130832969908417
10,2018-09-30 00:00:00+00:00,1,2019,2147700000.0,3381700000.0,1234000000.0,0.0,0.0,1728800000.0,0.0,1143700000.0,240100000.0,2413800000.0,967900000.0,0.0,192500000.0,0.0,84200000.0,1850000000.0,-63500000.0,650100000.0,573300000.0,0.0,116325160.0,1143700000.0,471800000.0,1574400000.0,204700000.0,0.0,-104200000.0,-1600000.0,-16300000.0,-42500000.0,6500000.0,-95500000.0,10700000.0,-59300000.0,90000000.0,-8700000.0,0.0,54200000.0,42800000.0,0.0,119700000.0,76700000.0,233800000.0,0.64,972800000.0,76700000.0,0.0,9600000.0,0.66,133700000.0,0.0,98900000.0,116400000.0,12600000.0,133700000.0,89300000.0,76700000.0,739000000.0,0.0,141700000.0,0.0,100100000.0,4.0,0.0519031141868511,0.240337171052632,1.68829583115297,1234000000.0,0.240337171052632,8.36276520058085,0.534883720930233,0.926823338735818,0.398501347472667,10.6081951660329,0.135518962819462
11,2018-06-30 00:00:00+00:00,4,2018,2210400000.0,3304700000.0,1094300000.0,0.0,0.0,1749000000.0,0.0,1053400000.0,181500000.0,2313600000.0,991100000.0,0.0,204100000.0,0.0,57900000.0,1727000000.0,-51900000.0,615000000.0,777300000.0,0.0,117919879.0,1053400000.0,671000000.0,1433100000.0,263900000.0,0.0,396900000.0,-5700000.0,-71700000.0,-42800000.0,-233400000.0,418800000.0,15900000.0,-88200000.0,-150000000.0,-21900000.0,0.0,-429700000.0,34400000.0,-45300000.0,120700000.0,206800000.0,450800000.0,1.72,1320400000.0,206800000.0,0.0,10000000.0,1.77,184700000.0,0.0,268000000.0,117100000.0,51200000.0,184700000.0,258000000.0,206800000.0,869600000.0,0.0,302400000.0,0.0,266100000.0,7.0,-0.0188735324713925,0.341411693426234,1.2750546764441,1094300000.0,0.341411693426234,11.1974334709078,0.113207547169811,0.962624508818423,0.391849816849817,9.28002987520026,0.129042959031348
