,date,quarter,year,statementData.balanceSheet.intangibles,statementData.balanceSheet.inventory,statementData.balanceSheet.investments,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctPay,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.accoci,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.equity,statementData.balanceSheet.acctRec,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.totalAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.deferredRev,statementData.cashFlow.issrepayEquity,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncfx,statementData.cashFlow.ncfo,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.grossProfit,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.rnd,statementData.incomeStatement.epsDil,statementData.incomeStatement.sga,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswa,statementData.incomeStatement.eps,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.costRev,statementData.incomeStatement.taxExp,statementData.incomeStatement.intexp,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.opinc,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.netinc,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.revenue,statementData.incomeStatement.shareswaDil,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,101517000000.0,19361000000.0,419394000000.0,26817000000.0,0.0,176253000000.0,44026000000.0,408791000000.0,-5190000000.0,67340000000.0,107691000000.0,0.0,415155000000.0,37815000000.0,1402014360.0,829946000000.0,410731000000.0,27408000000.0,-8973000000.0,-29000000.0,2583000000.0,-11855000000.0,-7527000000.0,0.0,-3329000000.0,0.0,99000000.0,-9150000000.0,-200000000.0,11761000000.0,-8856000000.0,8432000000.0,45327000000.0,30137000000.0,0.0,12.66,5181000000.0,276000000.0,1402014360.0,12.66,41237000000.0,38654000000.0,49279000000.0,7517000000.0,1000000000.0,0.0,6687000000.0,38640000000.0,0.0,30137000000.0,37654000000.0,30413000000.0,94606000000.0,,0.044858734719622,3.0,419215000000.0,0.875555555555556,39.6233846819608,0.479113375473014,0.259399501391047,0.246488708529869,175.577840828787,0.479113375473014,0.0893329993781955
1,2020-06-30 00:00:00+00:00,2,2020,101600000000.0,19277000000.0,372489000000.0,36074000000.0,0.0,174789000000.0,40665000000.0,378654000000.0,-5967000000.0,61270000000.0,106689000000.0,0.0,393495000000.0,36766000000.0,1391400255.0,788133000000.0,390880000000.0,26381000000.0,-4998000000.0,-56000000.0,2524000000.0,-14747000000.0,-10676000000.0,0.0,-3219000000.0,0.0,2579000000.0,-6509000000.0,44000000.0,10668000000.0,-2474000000.0,7449000000.0,53046000000.0,26295000000.0,0.0,10.88,4652000000.0,112000000.0,1391400255.0,10.88,38823000000.0,36299000000.0,43879000000.0,9002000000.0,1002000000.0,0.0,16378000000.0,36668000000.0,0.0,26295000000.0,35297000000.0,26407000000.0,96925000000.0,,0.028188229208138,3.0,397253000000.0,0.895470383275261,39.8740937920681,0.54728914108847,0.27113178058171,0.316093202617929,163.426395472586,0.54728914108847,0.05601904929888
2,2020-03-31 00:00:00+00:00,1,2020,112352000000.0,20172000000.0,328471000000.0,42640000000.0,0.0,173421000000.0,39614000000.0,352359000000.0,-6721000000.0,52571000000.0,104233000000.0,0.0,371565000000.0,37957000000.0,1386695355.0,760448000000.0,385213000000.0,27009000000.0,-1741000000.0,-26000000.0,2585000000.0,-27804000000.0,-24891000000.0,0.0,-2968000000.0,0.0,1554000000.0,-21536000000.0,-184000000.0,6798000000.0,-346000000.0,3830000000.0,-57005000000.0,-49746000000.0,0.0,-20.44,4471000000.0,49000000.0,1386695355.0,-20.44,-59489000000.0,-62074000000.0,47995000000.0,-13352000000.0,1024000000.0,0.0,5320000000.0,-62325000000.0,0.0,-49746000000.0,-63098000000.0,-49697000000.0,-9010000000.0,,0.012805559224592,4.0,375235000000.0,-3.32009080590238,-3.69383839101602,6.32685904550499,0.280524268970436,-1.11123456790123,153.835454900432,6.32685904550499,0.0253978886260719
3,2019-12-31 00:00:00+00:00,4,2019,112933000000.0,19852000000.0,365566000000.0,64175000000.0,0.0,174341000000.0,42319000000.0,402493000000.0,-5243000000.0,66799000000.0,103368000000.0,0.0,424791000000.0,35835000000.0,1384122742.0,817729000000.0,389166000000.0,25063000000.0,-2043000000.0,-951000000.0,2657000000.0,-21077000000.0,-14857000000.0,0.0,-4840000000.0,0.0,420000000.0,-10659000000.0,120000000.0,12077000000.0,-1779000000.0,7237000000.0,44243000000.0,29159000000.0,0.0,11.92,5677000000.0,71000000.0,1384122742.0,11.92,40380000000.0,37723000000.0,52436000000.0,7571000000.0,993000000.0,0.0,6689000000.0,37554000000.0,0.0,29159000000.0,36730000000.0,29230000000.0,96679000000.0,,0.104883571660682,6.0,428563000000.0,-2.15840621963071,39.5518540013639,0.45762781989884,0.243338488809791,2.42760405587464,175.327229350599,0.45762781989884,0.206928233896993
5,2019-09-30 00:00:00+00:00,3,2019,112016000000.0,19951000000.0,327271000000.0,74776000000.0,0.0,171490000000.0,41189000000.0,373334000000.0,-5408000000.0,60389000000.0,102194000000.0,0.0,397609000000.0,38267000000.0,1387021309.0,788482000000.0,386924000000.0,25870000000.0,-674000000.0,-152000000.0,2534000000.0,18364000000.0,23998000000.0,0.0,-4392000000.0,0.0,2834000000.0,30189000000.0,-121000000.0,9848000000.0,2098000000.0,5456000000.0,26376000000.0,16524000000.0,0.0,6.75,4384000000.0,133000000.0,1387021309.0,6.75,23875000000.0,21341000000.0,49522000000.0,3832000000.0,985000000.0,0.0,5546000000.0,20830000000.0,0.0,16524000000.0,20356000000.0,16657000000.0,75898000000.0,,0.035879841394701,6.0,401558000000.0,-0.102393617021277,30.9153332471986,0.347519038709847,0.257021345090277,-0.0288909360765648,163.565566788039,0.347519038709847,0.0717511065056322
6,2019-06-30 00:00:00+00:00,2,2019,112301000000.0,19834000000.0,332238000000.0,44634000000.0,0.0,169460000000.0,40588000000.0,356846000000.0,-4678000000.0,59622000000.0,99907000000.0,0.0,382544000000.0,37582000000.0,1368966612.0,760108000000.0,373717000000.0,25259000000.0,-548000000.0,-318000000.0,2456000000.0,7293000000.0,11251000000.0,0.0,-3596000000.0,0.0,2627000000.0,18578000000.0,11000000.0,9185000000.0,2089000000.0,5589000000.0,24631000000.0,14073000000.0,0.0,5.74,4829000000.0,100000000.0,1368966612.0,5.74,21107000000.0,18651000000.0,49015000000.0,3586000000.0,992000000.0,0.0,6004000000.0,18627000000.0,0.0,14073000000.0,17659000000.0,14173000000.0,73646000000.0,,0.0392540480482215,6.0,386391000000.0,0.17864476386037,30.0205263255067,0.334451294028189,0.261164728763227,0.0741518625477671,157.505651188644,0.334451294028189,0.0782853231959776
7,2019-03-31 00:00:00+00:00,1,2019,112486000000.0,19454000000.0,332955000000.0,26139000000.0,0.0,167424000000.0,39807000000.0,342773000000.0,-4727000000.0,56852000000.0,97193000000.0,0.0,368877000000.0,37170000000.0,1373477638.0,738724000000.0,366133000000.0,25243000000.0,-1585000000.0,-262000000.0,2417000000.0,-10201000000.0,-6855000000.0,0.0,-3151000000.0,0.0,196000000.0,-4287000000.0,15000000.0,7577000000.0,-1678000000.0,4426000000.0,33555000000.0,21661000000.0,0.0,8.81,4432000000.0,71000000.0,1373477638.0,8.81,30984000000.0,28567000000.0,47445000000.0,5915000000.0,991000000.0,0.0,5085000000.0,28470000000.0,0.0,21661000000.0,27576000000.0,21732000000.0,81000000000.0,,0.0370581596865394,6.0,372591000000.0,-20.1521739130435,32.9098134593312,0.414259259259259,0.263483491787235,0.605295493281541,151.381485266984,0.414259259259259,0.0739209525384488
8,2018-12-31 00:00:00+00:00,4,2018,112524000000.0,19069000000.0,307766000000.0,30361000000.0,0.0,166706000000.0,37186000000.0,321112000000.0,-5015000000.0,51375000000.0,97490000000.0,0.0,348703000000.0,35230000000.0,1363526058.0,707794000000.0,355294000000.0,22686000000.0,-418000000.0,-2758000000.0,2610000000.0,-21818000000.0,-14235000000.0,0.0,-4497000000.0,0.0,198000000.0,-11290000000.0,-31000000.0,10845000000.0,-286000000.0,6348000000.0,-22816000000.0,-25392000000.0,0.0,-10.29,4804000000.0,1000000.0,1363526058.0,-10.29,-29141000000.0,-31751000000.0,51022000000.0,-7330000000.0,971000000.0,0.0,5723000000.0,-28539000000.0,0.0,-25392000000.0,-32722000000.0,-25391000000.0,28206000000.0,,0.00562606599329237,4.0,352500000000.0,-1.77954545454545,11.4604284282655,-0.808905906544707,0.279578896654173,-0.521632210030019,143.224881974175,-0.808905906544707,0.011249094281454
10,2018-09-30 00:00:00+00:00,3,2018,112953000000.0,16793000000.0,313632000000.0,41438000000.0,0.0,165017000000.0,40199000000.0,346503000000.0,-3927000000.0,59340000000.0,97640000000.0,0.0,375606000000.0,31884000000.0,1366575275.0,736459000000.0,357040000000.0,19011000000.0,-928000000.0,-148000000.0,2395000000.0,-33461000000.0,-29633000000.0,0.0,-3711000000.0,0.0,942000000.0,-23075000000.0,-68000000.0,10464000000.0,-10000000.0,6753000000.0,29369000000.0,18540000000.0,0.0,7.52,4494000000.0,167000000.0,1361677152.0,7.52,26325000000.0,23930000000.0,48787000000.0,4440000000.0,950000000.0,0.0,5588000000.0,23781000000.0,0.0,18540000000.0,22980000000.0,18707000000.0,78156000000.0,1361677152.0,0.0868713980436271,6.0,379419000000.0,3.55757575757576,31.545031194925,0.375774092839961,0.259953248883138,0.292432861489615,153.139671822346,0.375774092839961,0.173398992722106
11,2018-06-30 00:00:00+00:00,2,2018,113175000000.0,16194000000.0,270836000000.0,64561000000.0,0.0,163229000000.0,39032000000.0,327963000000.0,-3808000000.0,56514000000.0,96773000000.0,0.0,358094000000.0,31280000000.0,1346824640.0,711932000000.0,350174000000.0,18292000000.0,0.0,-261000000.0,2387000000.0,122000000.0,3744000000.0,0.0,-3740000000.0,0.0,-1571000000.0,6802000000.0,-133000000.0,8535000000.0,-1722000000.0,4795000000.0,21093000000.0,12011000000.0,0.0,4.87,4232000000.0,66000000.0,1346824640.0,4.87,18376000000.0,15989000000.0,47469000000.0,3021000000.0,957000000.0,0.0,5365000000.0,15728000000.0,0.0,12011000000.0,15032000000.0,12077000000.0,68562000000.0,1361677152.0,0.0678871516014398,6.0,361758000000.0,1.8150289017341,27.7873387355632,0.307648551675855,0.270244684356621,0.192776743619631,146.616085970361,0.307648551675855,0.139467236975513
