,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,25.28,25.52,24.84,24.94,9743378,25.28,25.52,24.84,24.94,9743378,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,25.56,25.6,25.09,25.27,8264481,25.56,25.6,25.09,25.27,8264481,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,25.32,25.61,25.21,25.4,7925030,25.32,25.61,25.21,25.4,7925030,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,25.97,26.035,25.59,25.86,14115838,25.97,26.035,25.59,25.86,14115838,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,25.81,26.07,25.545,25.91,10762452,25.81,26.07,25.545,25.91,10762452,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,27.96,28.029,26.61,26.77,24979189,27.96,28.029,26.61,26.77,24979189,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,27.52,27.75,27.15,27.7,13009747,27.52,27.75,27.15,27.7,13009747,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,27.43,27.99,27.16,27.58,8962943,27.43,27.99,27.16,27.58,8962943,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,27.46,27.7,27.255,27.46,8678239,27.46,27.7,27.255,27.46,8678239,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,26.98,27.61,26.8201,27.48,11087285,26.98,27.61,26.8201,27.48,11087285,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,27.25,27.36,27.015,27.13,5848231,27.25,27.36,27.015,27.13,5848231,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,27.4,27.5,27.105,27.26,6732593,27.4,27.5,27.105,27.26,6732593,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,27.65,28.15,27.42,27.54,10023696,27.65,28.15,27.42,27.54,10023696,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,27.71,27.74,27.13,27.55,7757979,27.71,27.74,27.13,27.55,7757979,0.0,1.0,38051247776.07,43479247776.07,346.375,5.426589814,-0.6297727273
14,2018-01-23 00:00:00+00:00,27.82,27.99,27.5,27.79,5563654,27.82,27.99,27.5,27.79,5563654,0.0,1.0,38202299282.94,43630299282.94,347.75,5.4481316718,-0.6322727273
15,2018-01-24 00:00:00+00:00,27.91,28.01,27.69,27.98,4349027,27.91,28.01,27.69,27.98,4349027,0.0,1.0,38325886879.47,43753886879.47,348.875,5.4657568282,-0.6343181818
16,2018-01-25 00:00:00+00:00,28.26,28.39,27.96,28.07,5530295,28.26,28.39,27.96,28.07,5530295,0.0,1.0,38806505310.42,44234505310.42,353.25,5.534299103,-0.6422727273
17,2018-01-26 00:00:00+00:00,28.42,28.6,28.06,28.32,9424073,28.42,28.6,28.06,28.32,9424073,0.0,1.0,39026216593.14,44454216593.14,355.25,5.5656327144,-0.6459090909
18,2018-01-29 00:00:00+00:00,28.33,28.64,28.215,28.4,5873428,28.33,28.64,28.215,28.4,5873428,0.0,1.0,38902628996.61,44330628996.61,354.125,5.548007558,-0.6438636364
19,2018-01-30 00:00:00+00:00,28.03,28.365,27.99,28.11,8516789,28.03,28.365,27.99,28.11,8516789,0.0,1.0,38490670341.51,43918670341.51,350.375,5.4892570367,-0.6370454545
20,2018-01-31 00:00:00+00:00,27.96,28.23,27.785,28.14,10076418,27.96,28.23,27.785,28.14,10076418,0.0,1.0,38394546655.32,43822546655.32,349.5,5.4755485818,-0.6354545455
21,2018-02-01 00:00:00+00:00,27.63,28.15,27.21,27.43,13691362,27.63,28.15,27.21,27.43,13691362,0.0,1.0,37941392134.71,43369392134.71,345.375,5.4109230084,-0.6279545455
22,2018-02-02 00:00:00+00:00,27.39,27.78,27.39,27.47,9183645,27.39,27.78,27.39,27.47,9183645,0.0,1.0,37611825210.63,43039825210.63,342.375,5.3639225914,-0.6225
23,2018-02-05 00:00:00+00:00,26.4,28.0,26.285,27.39,12525905,26.4,28.0,26.285,27.39,12525905,0.0,1.0,36252361648.8,41680361648.8,330.0,5.1700458712,-0.6
24,2018-02-06 00:00:00+00:00,26.72,26.82,25.6,25.87,14077165,26.72,26.82,25.6,25.87,14077165,0.0,1.0,36691784214.24,42119784214.24,334.0,5.2327130939,-0.6072727273
25,2018-02-07 00:00:00+00:00,26.32,26.71,26.31,26.52,7960907,26.32,26.71,26.31,26.52,7960907,0.0,1.0,36142506007.44,41570506007.44,329.0,5.1543790655,-0.5981818182
26,2018-02-08 00:00:00+00:00,25.2,26.33,25.19,26.26,12317939,25.2,26.33,25.19,26.26,12317939,0.0,1.0,34604527028.4,40032527028.4,315.0,4.9350437861,-0.5727272727
27,2018-02-09 00:00:00+00:00,25.92,26.16,25.04,25.36,11039936,25.92,26.16,25.04,25.36,11039936,0.0,1.0,35593227800.64,41021227800.64,324.0,5.0760450372,-0.5890909091
28,2018-02-12 00:00:00+00:00,26.18,26.525,25.93,26.16,8439476,26.18,26.525,25.93,26.16,8439476,0.0,1.0,35950258635.06,41378258635.06,327.25,5.1269621556,-0.595
29,2018-02-13 00:00:00+00:00,26.11,26.11,25.84,25.96,6220098,26.11,26.11,25.84,25.96,6220098,0.0,1.0,35854134948.87,41282134948.87,326.375,5.1132537006,-0.5934090909
30,2018-02-14 00:00:00+00:00,26.81,26.905,25.93,25.98,7900042,26.81,26.905,25.93,25.98,7900042,0.0,1.0,36815371810.77,42243371810.77,335.125,5.2503382503,-0.6093181818
