,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,15281000000.0,9325000000.0,2064000000.0,16934000000.0,11979000000.0,-2574000000.0,11000000.0,1472000000.0,0.0,1598000000.0,151000000.0,6160000000.0,0.0,0.0,4346000000.0,30845000000.0,24685000000.0,3302000000.0,0.0,522000000.0,9336000000.0,452000000.0,0.0,2022000000.0,1430674668.0,15564000000.0,0.0,617000000.0,-129000000.0,643000000.0,1000000.0,57000000.0,0.0,0.0,-249000000.0,0.0,0.0,266000000.0,-26000000.0,-250000000.0,1430900000.0,-141000000.0,-141000000.0,-0.12,1996000000.0,1790000000.0,-0.12,-227000000.0,0.0,-206000000.0,-72000000.0,-155000000.0,86000000.0,1430900000.0,-155000000.0,869000000.0,984000000.0,2659000000.0,-169000000.0,14000000.0,315000000.0,0.0,5.0,-0.0177318064277798,0.673185408048138,1.86553603876439,15564000000.0,0.673185408048138,1.85856369688654,-2.33333333333333,0.599139038807505,0.250420482152869,10.8787835194968,0.120477988655126
1,2020,2,2020-06-30 00:00:00+00:00,15207000000.0,9278000000.0,2079000000.0,17261000000.0,12099000000.0,-2405000000.0,254000000.0,1516000000.0,0.0,1457000000.0,131000000.0,5803000000.0,0.0,0.0,4363000000.0,30823000000.0,25020000000.0,3108000000.0,0.0,585000000.0,9532000000.0,408000000.0,0.0,1724000000.0,1399350122.0,15616000000.0,0.0,224000000.0,-59000000.0,269000000.0,0.0,981000000.0,0.0,12000000.0,1105000000.0,0.0,0.0,1316000000.0,-45000000.0,-835000000.0,1410900000.0,-90000000.0,-90000000.0,-0.11,1282000000.0,1212000000.0,-0.11,-181000000.0,1000000.0,-70000000.0,-33000000.0,-148000000.0,91000000.0,1410900000.0,-147000000.0,791000000.0,798000000.0,2003000000.0,-153000000.0,5000000.0,242000000.0,0.0,5.0,-0.238692512352718,0.605092361457813,1.86711711711712,15616000000.0,0.605092361457813,1.43137872967577,-2.0,0.594134221311475,0.300400030190958,11.1594659224248,0.134622051971553
2,2020,1,2020-03-31 00:00:00+00:00,16309000000.0,9331000000.0,2098000000.0,17491000000.0,12333000000.0,-2252000000.0,1004000000.0,1628000000.0,0.0,1577000000.0,168000000.0,4823000000.0,0.0,0.0,4367000000.0,30113000000.0,25290000000.0,3976000000.0,0.0,589000000.0,10335000000.0,605000000.0,0.0,370000000.0,1396195349.0,13804000000.0,0.0,-151000000.0,-76000000.0,-77000000.0,-9000000.0,-15000000.0,0.0,0.0,256000000.0,0.0,0.0,93000000.0,-74000000.0,346000000.0,1413500000.0,111000000.0,111000000.0,0.01,1591000000.0,1737000000.0,0.01,23000000.0,0.0,146000000.0,12000000.0,11000000.0,88000000.0,1397400000.0,11000000.0,806000000.0,978000000.0,2543000000.0,11000000.0,0.0,300000000.0,0.0,2.0,0.0200561572402727,0.68305151395989,1.21302816901408,13804000000.0,0.68305151395989,1.82137836358027,-0.967741935483871,0.675963488843813,0.366371114197201,9.88686863187653,0.153459277091182
3,2019,4,2019-12-31 00:00:00+00:00,16688000000.0,8592000000.0,2079000000.0,18062000000.0,11822000000.0,-2253000000.0,1416000000.0,1579000000.0,0.0,1828000000.0,270000000.0,4699000000.0,0.0,0.0,4391000000.0,30565000000.0,25866000000.0,4866000000.0,0.0,595000000.0,10008000000.0,542000000.0,0.0,217000000.0,1393823592.0,13877000000.0,157000000.0,560000000.0,-49000000.0,692000000.0,2000000.0,9000000.0,1011000000.0,0.0,-724000000.0,95000000.0,0.0,-69000000.0,-132000000.0,-990000000.0,1413300000.0,1184000000.0,173000000.0,2.87,1843000000.0,2053000000.0,2.83,-6000000.0,0.0,210000000.0,-4002000000.0,3996000000.0,179000000.0,1394200000.0,3996000000.0,851000000.0,1092000000.0,2904000000.0,3996000000.0,0.0,308000000.0,0.0,4.0,0.133932057789926,0.706955922865014,0.965680230168516,13877000000.0,0.706955922865014,2.08347743334796,9.25,0.619153995820422,0.445138987545579,9.95606623366725,0.178313984369072
5,2019,3,2019-09-30 00:00:00+00:00,17057000000.0,9590000000.0,1942000000.0,18089000000.0,12803000000.0,-6249000000.0,1297000000.0,1566000000.0,0.0,1796000000.0,138000000.0,4847000000.0,0.0,0.0,189000000.0,26756000000.0,21909000000.0,4254000000.0,0.0,807000000.0,10887000000.0,512000000.0,0.0,277000000.0,1392973426.0,9699000000.0,0.0,384000000.0,-3962000000.0,502000000.0,-2000000.0,47000000.0,0.0,-3529000000.0,1314000000.0,-294000000.0,0.0,-2147000000.0,-118000000.0,1338000000.0,1412200000.0,186000000.0,186000000.0,0.09,1547000000.0,1930000000.0,0.09,91000000.0,0.0,383000000.0,-35000000.0,126000000.0,95000000.0,1393100000.0,126000000.0,777000000.0,1012000000.0,2707000000.0,126000000.0,0.0,306000000.0,0.0,4.0,0.131216046803176,0.712966383450314,1.13939821344617,9699000000.0,0.712966383450314,1.94332494035676,-0.709677419354839,0.988761728013197,0.117574090553623,6.96280332342822,0.0454801493751695
6,2019,2,2019-06-30 00:00:00+00:00,14884000000.0,7591000000.0,1820000000.0,14937000000.0,10034000000.0,-6375000000.0,1949000000.0,1300000000.0,0.0,1712000000.0,78000000.0,6334000000.0,0.0,0.0,175000000.0,24309000000.0,17975000000.0,4850000000.0,0.0,416000000.0,9540000000.0,524000000.0,0.0,123000000.0,1390652506.0,9425000000.0,0.0,201000000.0,-620000000.0,292000000.0,0.0,9000000.0,0.0,-442000000.0,256000000.0,0.0,0.0,-73000000.0,-91000000.0,305000000.0,1408600000.0,234000000.0,234000000.0,0.11,1489000000.0,1873000000.0,0.11,145000000.0,0.0,384000000.0,-9000000.0,154000000.0,89000000.0,1391000000.0,154000000.0,758000000.0,968000000.0,2631000000.0,154000000.0,0.0,280000000.0,0.0,4.0,0.0566265060240965,0.711896617255796,1.3059793814433,9425000000.0,0.711896617255796,1.89191763481423,-0.725,0.805411140583554,0.156532952092619,6.77739403577503,0.0623987305702377
7,2019,1,2019-03-31 00:00:00+00:00,14569000000.0,7590000000.0,1782000000.0,14627000000.0,10090000000.0,-6528000000.0,1638000000.0,1228000000.0,0.0,1621000000.0,87000000.0,6234000000.0,0.0,0.0,163000000.0,23802000000.0,17568000000.0,4479000000.0,0.0,441000000.0,9228000000.0,498000000.0,0.0,139000000.0,1385961926.0,9233000000.0,0.0,289000000.0,-410000000.0,350000000.0,0.0,-7000000.0,0.0,-321000000.0,2127000000.0,0.0,0.0,2067000000.0,-61000000.0,2141000000.0,1408400000.0,566000000.0,566000000.0,0.31,1222000000.0,1763000000.0,0.3,457000000.0,0.0,541000000.0,33000000.0,424000000.0,109000000.0,1387700000.0,424000000.0,730000000.0,869000000.0,2493000000.0,424000000.0,0.0,280000000.0,0.0,4.0,0.0479192938209332,0.707180104292018,1.39182853315472,9233000000.0,0.707180104292018,1.79875071113606,0.409090909090909,0.822051337593415,0.211461520357731,6.66179916402696,0.0847691491243587
8,2018,4,2018-12-31 00:00:00+00:00,12273000000.0,4803000000.0,1782000000.0,14283000000.0,7013000000.0,-6953000000.0,2253000000.0,1166000000.0,0.0,1608000000.0,33000000.0,4003000000.0,0.0,0.0,248000000.0,20999000000.0,16996000000.0,5260000000.0,0.0,328000000.0,7056000000.0,349000000.0,0.0,146000000.0,1383800781.0,8726000000.0,140000000.0,-73000000.0,-595000000.0,19000000.0,9000000.0,5000000.0,894000000.0,-480000000.0,425000000.0,0.0,0.0,-151000000.0,-92000000.0,422000000.0,1406200000.0,1254000000.0,360000000.0,0.28,1513000000.0,1832000000.0,0.27,296000000.0,0.0,319000000.0,-90000000.0,386000000.0,64000000.0,1384000000.0,386000000.0,729000000.0,953000000.0,2561000000.0,386000000.0,0.0,288000000.0,0.0,4.0,0.0635382059800664,0.715345568137446,0.761026615969582,8726000000.0,0.715345568137446,1.85069992383535,-1.62222222222222,0.550424020169608,0.210261411179968,6.30582098218949,0.0833468420724484
10,2018,3,2018-09-30 00:00:00+00:00,12090000000.0,4806000000.0,1730000000.0,13885000000.0,7008000000.0,-7339000000.0,1820000000.0,1134000000.0,0.0,1580000000.0,25000000.0,3971000000.0,0.0,0.0,43000000.0,20379000000.0,16408000000.0,5082000000.0,0.0,428000000.0,6626000000.0,453000000.0,0.0,168000000.0,1382924777.0,8289000000.0,0.0,425000000.0,-662000000.0,501000000.0,-4000000.0,39000000.0,0.0,-550000000.0,151000000.0,0.0,0.0,-14000000.0,-76000000.0,124000000.0,1403900000.0,514000000.0,514000000.0,0.31,1332000000.0,1721000000.0,0.31,456000000.0,0.0,389000000.0,24000000.0,432000000.0,58000000.0,1382800000.0,432000000.0,672000000.0,870000000.0,2393000000.0,432000000.0,0.0,289000000.0,0.0,5.0,0.076957695769577,0.719180944421229,0.781385281385281,8289000000.0,0.719180944421229,1.73039057496039,0.476190476190476,0.579804560260586,0.0891105569409809,5.9938184186572,0.0342544543572177
11,2018,2,2018-06-30 00:00:00+00:00,11871000000.0,4808000000.0,1715000000.0,13176000000.0,7118000000.0,-7770000000.0,1685000000.0,1087000000.0,0.0,1587000000.0,-16000000.0,3929000000.0,0.0,0.0,46000000.0,19615000000.0,15686000000.0,4753000000.0,0.0,364000000.0,6493000000.0,403000000.0,0.0,208000000.0,1379810502.0,7744000000.0,0.0,-477000000.0,-491000000.0,-403000000.0,-6000000.0,13000000.0,0.0,-409000000.0,726000000.0,0.0,0.0,-174000000.0,-74000000.0,717000000.0,1398900000.0,403000000.0,403000000.0,0.4,1360000000.0,1751000000.0,0.4,346000000.0,0.0,391000000.0,-209000000.0,555000000.0,57000000.0,1380500000.0,555000000.0,739000000.0,886000000.0,2490000000.0,555000000.0,0.0,275000000.0,0.0,4.0,0.103234381922906,0.703212851405623,0.82663580896276,7744000000.0,0.703212851405623,1.80459562845101,2.63636363636364,0.620867768595041,0.0709470960713556,5.61236487820267,0.0272436106935094
