,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,5974000000.0,2787000000.0,2824000000.0,2226000000.0,3775000000.0,5979000000.0,49000000.0,815000000.0,0.0,1977000000.0,-730000000.0,5165000000.0,305000000.0,305000000.0,0.0,10892000000.0,5727000000.0,2199000000.0,0.0,23000000.0,2836000000.0,2127000000.0,0.0,2121000000.0,207254182.0,4757000000.0,13000000.0,373000000.0,-102000000.0,481000000.0,27000000.0,0.0,115000000.0,0.0,-288000000.0,5000000.0,-35000000.0,118000000.0,-108000000.0,-248000000.0,207300000.0,389000000.0,274000000.0,0.54,233000000.0,517000000.0,0.53,254000000.0,18000000.0,284000000.0,143000000.0,111000000.0,20000000.0,206000000.0,129000000.0,2017000000.0,204000000.0,2534000000.0,111000000.0,0.0,0.0,0.0,4.0,0.0168539325842696,0.204025256511444,2.34879490677581,4918000000.0,0.204025256511444,12.2265325386776,-0.425531914893617,0.585873449653143,0.0770294712203426,23.7293161109772,0.0358123315113892
1,2020-06-30 00:00:00+00:00,2,2020,5574000000.0,2762000000.0,2781000000.0,2205000000.0,3604000000.0,5903000000.0,297000000.0,836000000.0,0.0,1535000000.0,-787000000.0,4641000000.0,315000000.0,315000000.0,0.0,10337000000.0,5696000000.0,1970000000.0,0.0,19000000.0,3059000000.0,1654000000.0,0.0,2003000000.0,207309940.0,4611000000.0,6000000.0,11000000.0,-27000000.0,64000000.0,4000000.0,0.0,112000000.0,0.0,1061000000.0,4000000.0,-35000000.0,1102000000.0,-53000000.0,1099000000.0,206000000.0,26000000.0,-86000000.0,-0.47,252000000.0,174000000.0,-0.47,-104000000.0,14000000.0,-78000000.0,-6000000.0,-98000000.0,18000000.0,206000000.0,-84000000.0,1252000000.0,184000000.0,1426000000.0,-98000000.0,0.0,0.0,0.0,4.0,-0.441003528028224,0.122019635343619,2.35583756345178,4763000000.0,0.122019635343619,6.87858961321392,-1.55952380952381,0.599002385599653,0.0962266190939561,22.9752610993954,0.0447911424257675
2,2020-03-31 00:00:00+00:00,1,2020,4638000000.0,1664000000.0,2839000000.0,2201000000.0,2514000000.0,6036000000.0,286000000.0,847000000.0,0.0,1735000000.0,-801000000.0,3741000000.0,315000000.0,315000000.0,0.0,9502000000.0,5761000000.0,2124000000.0,0.0,45000000.0,1950000000.0,1793000000.0,0.0,901000000.0,206409586.0,4724000000.0,10000000.0,144000000.0,-120000000.0,263000000.0,-12000000.0,0.0,112000000.0,-2000000.0,-62000000.0,1000000.0,-35000000.0,69000000.0,-119000000.0,-1000000.0,206200000.0,302000000.0,190000000.0,0.63,258000000.0,447000000.0,0.63,178000000.0,8000000.0,189000000.0,49000000.0,129000000.0,12000000.0,205700000.0,137000000.0,1832000000.0,213000000.0,2279000000.0,129000000.0,0.0,0.0,0.0,5.0,-0.111847233047545,0.196138657305836,1.76129943502825,4864000000.0,0.196138657305836,11.0411538735415,-0.181818181818182,0.352243861134632,0.156446583884908,23.5647970341843,0.0721602664379069
3,2019-12-31 00:00:00+00:00,4,2019,4858000000.0,1674000000.0,2925000000.0,2244000000.0,2529000000.0,5942000000.0,286000000.0,807000000.0,0.0,1921000000.0,-727000000.0,3836000000.0,318000000.0,318000000.0,0.0,9702000000.0,5866000000.0,2329000000.0,0.0,66000000.0,1960000000.0,1977000000.0,0.0,832000000.0,206493057.0,4706000000.0,12000000.0,49000000.0,-109000000.0,184000000.0,13000000.0,0.0,115000000.0,5000000.0,-172000000.0,21000000.0,-35000000.0,-84000000.0,-135000000.0,-132000000.0,206800000.0,585000000.0,470000000.0,1.07,142000000.0,545000000.0,1.07,458000000.0,17000000.0,403000000.0,238000000.0,220000000.0,12000000.0,205100000.0,237000000.0,2014000000.0,205000000.0,2559000000.0,220000000.0,0.0,0.0,0.0,6.0,-0.0058275058275058,0.212973817897616,1.64705882352941,4844000000.0,0.212973817897616,12.3926684857012,-0.0360360360360361,0.355716107097323,0.16734899893444,23.4584158439768,0.0741624415945919
5,2019-09-30 00:00:00+00:00,3,2019,5621000000.0,1656000000.0,2812000000.0,2222000000.0,3096000000.0,5757000000.0,419000000.0,810000000.0,0.0,1983000000.0,-779000000.0,3987000000.0,694000000.0,694000000.0,0.0,10199000000.0,6212000000.0,2525000000.0,0.0,58000000.0,2075000000.0,2048000000.0,0.0,916000000.0,206514592.0,4457000000.0,13000000.0,258000000.0,-103000000.0,357000000.0,-18000000.0,0.0,110000000.0,0.0,-30000000.0,-4000000.0,-35000000.0,206000000.0,-99000000.0,0.0,206300000.0,385000000.0,275000000.0,0.94,248000000.0,524000000.0,0.94,260000000.0,13000000.0,276000000.0,66000000.0,194000000.0,15000000.0,205300000.0,207000000.0,1968000000.0,230000000.0,2492000000.0,194000000.0,0.0,0.0,0.0,5.0,0.00564971751412435,0.210272873194221,1.5790099009901,4578000000.0,0.210272873194221,12.066943918423,-0.0408163265306123,0.371550370204173,0.174283902945075,22.1679250636197,0.0744295946245293
6,2019-06-30 00:00:00+00:00,2,2019,5729000000.0,1929000000.0,2891000000.0,2266000000.0,3416000000.0,5598000000.0,171000000.0,817000000.0,0.0,2063000000.0,-670000000.0,3849000000.0,690000000.0,690000000.0,0.0,10231000000.0,6382000000.0,2313000000.0,0.0,53000000.0,2100000000.0,2089000000.0,0.0,710000000.0,207266453.0,4394000000.0,9000000.0,300000000.0,-173000000.0,427000000.0,4000000.0,-33000000.0,107000000.0,1000000.0,-65000000.0,-47000000.0,-35000000.0,193000000.0,-127000000.0,6000000.0,206800000.0,366000000.0,259000000.0,0.84,228000000.0,513000000.0,0.83,245000000.0,10000000.0,285000000.0,73000000.0,172000000.0,14000000.0,205700000.0,182000000.0,2038000000.0,212000000.0,2551000000.0,172000000.0,0.0,0.0,0.0,6.0,-0.0530809205642168,0.20109760878087,1.66407263294423,4502000000.0,0.20109760878087,12.3078287058832,-0.353846153846154,0.439007737824306,0.180656116601024,21.720832941547,0.0763206663611183
7,2019-03-31 00:00:00+00:00,1,2019,5719000000.0,1923000000.0,2895000000.0,2281000000.0,3420000000.0,5461000000.0,164000000.0,807000000.0,0.0,2065000000.0,-675000000.0,3719000000.0,617000000.0,617000000.0,0.0,10104000000.0,6385000000.0,2299000000.0,0.0,57000000.0,2087000000.0,2056000000.0,0.0,517000000.0,207700721.0,4274000000.0,8000000.0,-76000000.0,-104000000.0,40000000.0,-5000000.0,-67000000.0,107000000.0,13000000.0,-153000000.0,-1000000.0,-35000000.0,-222000000.0,-116000000.0,-15000000.0,207100000.0,372000000.0,265000000.0,0.77,255000000.0,519000000.0,0.77,251000000.0,11000000.0,264000000.0,91000000.0,160000000.0,14000000.0,206500000.0,171000000.0,2047000000.0,226000000.0,2566000000.0,160000000.0,0.0,0.0,0.0,5.0,-0.0783045977011494,0.202260327357755,1.61765985210961,4385000000.0,0.202260327357755,12.3543143598428,-0.280373831775701,0.449929808142255,0.209600222669983,21.1121077427555,0.0872706751384389
8,2018-12-31 00:00:00+00:00,4,2018,5750000000.0,1941000000.0,2904000000.0,2292000000.0,3351000000.0,5336000000.0,173000000.0,781000000.0,0.0,1988000000.0,-674000000.0,3805000000.0,592000000.0,592000000.0,0.0,10095000000.0,6290000000.0,2399000000.0,0.0,59000000.0,2114000000.0,2144000000.0,0.0,739000000.0,208272716.0,4226000000.0,15000000.0,418000000.0,-121000000.0,570000000.0,-12000000.0,0.0,105000000.0,31000000.0,-60000000.0,0.0,-36000000.0,377000000.0,-152000000.0,-16000000.0,208600000.0,368000000.0,263000000.0,1.11,184000000.0,544000000.0,1.1,249000000.0,18000000.0,360000000.0,19000000.0,230000000.0,14000000.0,207300000.0,248000000.0,2030000000.0,226000000.0,2574000000.0,230000000.0,0.0,0.0,0.0,7.0,-0.00467886005954909,0.211344211344211,1.58607753230513,4345000000.0,0.211344211344211,12.3587959548192,-2.60869565217391,0.45929957406531,0.230397069923407,20.8620700946734,0.093984867527774
10,2018-09-30 00:00:00+00:00,3,2018,5546200000.0,2085600000.0,2827800000.0,2306600000.0,3446600000.0,5127300000.0,50700000.0,810300000.0,0.0,2061100000.0,-609200000.0,3490600000.0,610300000.0,610300000.0,0.0,9716400000.0,6225800000.0,2099600000.0,0.0,9800000.0,2136300000.0,2009200000.0,0.0,361800000.0,208867302.0,4066400000.0,16000000.0,126000000.0,-126000000.0,251000000.0,-17000000.0,-40000000.0,108000000.0,0.0,-108000000.0,-1000000.0,-35000000.0,0.0,-125000000.0,-31000000.0,208700000.0,393000000.0,285000000.0,0.98,237000000.0,515000000.0,0.98,271000000.0,12000000.0,278000000.0,67000000.0,204000000.0,14000000.0,207500000.0,216000000.0,1963000000.0,230000000.0,2478000000.0,204000000.0,0.0,0.0,0.0,7.0,0.02557735286814,0.207828894269572,1.66250714421795,4170200000.0,0.207828894269572,11.8639920000499,0.113636363636364,0.512886090891206,0.14178942392457,19.965786698389,0.0564553871197477
11,2018-06-30 00:00:00+00:00,2,2018,5723200000.0,2102500000.0,2825700000.0,2320000000.0,3486900000.0,4958800000.0,70500000.0,800200000.0,0.0,2131000000.0,-567600000.0,3543700000.0,610500000.0,610500000.0,0.0,9777200000.0,6233500000.0,2236300000.0,0.0,12400000.0,2173000000.0,2122100000.0,0.0,361900000.0,210101808.0,3960300000.0,7000000.0,161000000.0,-106000000.0,270000000.0,0.0,-55000000.0,109000000.0,5000000.0,-212000000.0,-2000000.0,-35000000.0,-48000000.0,-109000000.0,-114000000.0,209900000.0,426000000.0,317000000.0,1.3,267000000.0,580000000.0,1.3,302000000.0,12000000.0,313000000.0,30000000.0,272000000.0,15000000.0,208600000.0,284000000.0,2114000000.0,237000000.0,2694000000.0,272000000.0,0.0,0.0,0.0,7.0,0.127338159601624,0.215293244246474,1.5846263918079,4054000000.0,0.215293244246474,12.8223551507943,0.287128712871287,0.530894124182511,0.13904693937133,19.2954074912102,0.0543741342304355
