,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,-364720000.0,0.0,-52622000.0,0.0,17741337000.0,0.0,1764789000.0,6129568000.0,0.0,0.0,22959215000.0,0.0,345959000.0,1515121000.0,1187408000.0,14458573000.0,155633800.0,13482786000.0,-226866000.0,93000.0,-172333000.0,-187128000.0,0.0,-216165000.0,-267889000.0,-228000.0,166995000.0,228151000.0,-4318000.0,8253000.0,-51496000.0,11986000.0,92479000.0,30758000.0,92479000.0,370467000.0,2625000.0,261425000.0,155670000.0,234322000.0,431843000.0,203472000.0,0.58,0.0,693268000.0,25581000.0,0.0,92479000.0,110993000.0,0.0,0.58,155645000.0,118060000.0,197521000.0,0.0451400985881552,4.0,8500642000.0,-0.171428571428571,4.45448225256981,0.622909177980233,2.19963070806948,-0.067627996928262,54.6195106718463,0.622909177980233,0.167226940664413
1,2020,2,2020-06-30 00:00:00+00:00,-302511000.0,0.0,-54921000.0,0.0,17668420000.0,0.0,1991655000.0,6182067000.0,0.0,0.0,23000777000.0,0.0,328292000.0,1476572000.0,1151549000.0,14447628000.0,155369141.0,13479704000.0,1133077000.0,-166000.0,-172275000.0,800731000.0,0.0,-74976000.0,-46729000.0,-9995000.0,178733000.0,379075000.0,993860000.0,10374000.0,38242000.0,304099000.0,269150000.0,40227000.0,269150000.0,555025000.0,2625000.0,241760000.0,155407000.0,194266000.0,413013000.0,376292000.0,1.71,0.0,654773000.0,29430000.0,0.0,269150000.0,107142000.0,0.0,1.71,155386000.0,298580000.0,218747000.0,0.0468228697431369,4.0,8553149000.0,0.613207547169811,4.2143053362186,0.630772802177243,2.18045258972444,-0.107623807310754,55.0505006653799,0.630772802177243,0.173509895926386
2,2020,1,2020-03-31 00:00:00+00:00,-416740000.0,0.0,-55700000.0,0.0,17518173000.0,0.0,858578000.0,6047866000.0,0.0,0.0,21829698000.0,0.0,293831000.0,1484239000.0,1164902000.0,13402961000.0,155121560.0,12488864000.0,166692000.0,3349000.0,-171964000.0,65288000.0,0.0,13003000.0,-73793000.0,3201000.0,171677000.0,175197000.0,245788000.0,17525000.0,-89997000.0,188200000.0,500121000.0,39691000.0,500121000.0,773389000.0,2625000.0,269787000.0,155258000.0,271369000.0,482769000.0,601712000.0,3.2,0.0,752556000.0,77025000.0,0.0,500121000.0,101591000.0,0.0,3.2,155011000.0,577146000.0,211400000.0,0.0429977065989531,5.0,8426737000.0,4.07936507936508,4.85139525414778,0.641505748409421,2.06500342434836,0.036911295222847,54.3234415641514,0.641505748409421,0.159326065857106
3,2019,4,2019-12-31 00:00:00+00:00,-760523000.0,0.0,-48335000.0,0.0,17622212000.0,0.0,691886000.0,5684687000.0,0.0,0.0,21284905000.0,0.0,377553000.0,1088314000.0,1151595000.0,13262304000.0,154621676.0,12236028000.0,-112879000.0,11148000.0,-166667000.0,-195627000.0,0.0,-260081000.0,-278625000.0,3349000.0,170488000.0,361373000.0,-32109000.0,7705000.0,-21893000.0,101292000.0,143459000.0,34956000.0,143459000.0,416827000.0,2625000.0,277237000.0,154991000.0,274842000.0,480264000.0,246339000.0,0.91,0.0,757501000.0,32550000.0,0.0,143459000.0,102880000.0,0.0,0.91,154669000.0,176009000.0,205422000.0,0.0247335655673851,5.0,8022601000.0,-0.0618556701030927,4.89906085353777,0.634011044209843,2.15245412808128,0.0742302777962922,51.8853579106205,0.634011044209843,0.0910603606110966
5,2019,3,2019-09-30 00:00:00+00:00,-749666000.0,0.0,-51996000.0,0.0,17511072000.0,0.0,804765000.0,5671954000.0,0.0,0.0,21288575000.0,0.0,421269000.0,987474000.0,182155000.0,13285727000.0,154567750.0,12259522000.0,-358159000.0,301000.0,-166666000.0,-203833000.0,0.0,-399920000.0,-408514000.0,-858000.0,166470000.0,254188000.0,-32511000.0,7809000.0,-7736000.0,-145732000.0,110396000.0,33576000.0,110396000.0,383337000.0,2625000.0,274346000.0,154820000.0,269231000.0,469207000.0,216867000.0,0.7,0.0,743553000.0,30974000.0,0.0,110396000.0,106471000.0,0.0,0.7,154577000.0,141370000.0,199976000.0,0.0254074986871201,5.0,8002848000.0,-0.0909090909090909,4.8105313042339,0.631033699010023,2.161428319059,0.0834479603196345,51.7756647166049,0.631033699010023,0.0916072792686872
6,2019,2,2019-06-30 00:00:00+00:00,-710592000.0,0.0,-51340000.0,0.0,17229710000.0,0.0,1162924000.0,5715853000.0,0.0,0.0,21268275000.0,0.0,418429000.0,989964000.0,167727000.0,13247608000.0,154519867.0,12218487000.0,730626000.0,469000.0,-166599000.0,476693000.0,0.0,-186170000.0,-104437000.0,-194000.0,178019000.0,358370000.0,844213000.0,10394000.0,81927000.0,172200000.0,166943000.0,37474000.0,166943000.0,447319000.0,2625000.0,267051000.0,154874000.0,251388000.0,466690000.0,269300000.0,1.06,0.0,733741000.0,36518000.0,0.0,166943000.0,102357000.0,0.0,1.06,154555000.0,203461000.0,215302000.0,0.0263158541711055,5.0,8020667000.0,0.27710843373494,4.74852207839397,0.636041873086007,2.1376489213421,0.10422673834133,51.907027592769,0.636041873086007,0.0927502019542722
7,2019,1,2019-03-31 00:00:00+00:00,-728083000.0,0.0,-48734000.0,0.0,17116764000.0,0.0,432298000.0,5836618000.0,0.0,0.0,20501604000.0,0.0,328885000.0,1028225000.0,172462000.0,12331317000.0,154509216.0,11378334000.0,-206893000.0,1792000.0,-166362000.0,-190612000.0,0.0,-195635000.0,-223515000.0,-885000.0,165199000.0,207234000.0,-6115000.0,15050000.0,-26995000.0,11599000.0,100730000.0,45157000.0,100730000.0,366938000.0,2625000.0,265380000.0,154844000.0,250176000.0,460387000.0,201739000.0,0.63,0.0,725767000.0,30429000.0,0.0,100730000.0,101009000.0,0.0,0.63,154525000.0,131159000.0,210211000.0,0.0249783005107972,5.0,8170287000.0,-0.447368421052632,4.69724084290221,0.63434545797756,1.9494738219976,0.0977325905882318,52.8789622490868,0.63434545797756,0.0859826826760134
8,2018,4,2018-12-31 00:00:00+00:00,-675534000.0,0.0,-47741000.0,0.0,16752119000.0,0.0,639191000.0,5883171000.0,0.0,0.0,20256477000.0,0.0,276645000.0,1003975000.0,166629000.0,12042509000.0,154440500.0,11007757000.0,215407000.0,-397000.0,-166364000.0,-85402000.0,0.0,-27571000.0,-78809000.0,-141000.0,165439000.0,379618000.0,105610000.0,8417000.0,-31642000.0,352047000.0,151137000.0,29902000.0,151137000.0,416954000.0,2625000.0,261264000.0,154772000.0,248357000.0,443893000.0,251515000.0,0.97,0.0,705157000.0,34104000.0,0.0,151137000.0,100378000.0,0.0,0.96,154466000.0,185241000.0,195536000.0,0.029163809334451,5.0,8213968000.0,0.447761194029851,4.56588135884046,0.629495275520203,1.87105848189692,0.0761993135224479,53.185323797838,0.629495275520203,0.0990722052320698
10,2018,3,2018-09-30 00:00:00+00:00,-677312000.0,0.0,-45137000.0,0.0,16849143000.0,0.0,423784000.0,5876566000.0,0.0,0.0,20137498000.0,0.0,408271000.0,956807000.0,178502000.0,11931524000.0,154419806.0,10889702000.0,-303276000.0,351000.0,-140510000.0,21209000.0,0.0,-205203000.0,-534266000.0,-238000.0,157996000.0,209781000.0,164515000.0,8457000.0,-328825000.0,4578000.0,121743000.0,32193000.0,121743000.0,375105000.0,2625000.0,256817000.0,154678000.0,238364000.0,429467000.0,217109000.0,0.77,0.0,686284000.0,28702000.0,0.0,121743000.0,95366000.0,0.0,0.77,154440000.0,150445000.0,191103000.0,0.0272303655362854,5.0,8205974000.0,0.013157894736842,4.44427446049246,0.625786117700544,1.85307235552192,0.0434415063127935,53.140683261835,0.625786117700544,0.0917507512341773
11,2018,2,2018-06-30 00:00:00+00:00,-649747000.0,0.0,-47695000.0,0.0,16780930000.0,0.0,727060000.0,5892840000.0,0.0,0.0,19961163000.0,0.0,423911000.0,712570000.0,63660000.0,11747921000.0,154363964.0,10721878000.0,271931000.0,39000.0,-140466000.0,238876000.0,0.0,-285381000.0,-302013000.0,-205000.0,156417000.0,335068000.0,380628000.0,8471000.0,-16427000.0,49687000.0,131306000.0,30438000.0,131306000.0,379927000.0,2625000.0,246531000.0,154571000.0,230624000.0,417953000.0,223510000.0,0.83,0.0,664484000.0,29259000.0,0.0,131306000.0,92204000.0,0.0,0.83,154415000.0,160565000.0,187329000.0,0.0274278632666364,4.0,8213242000.0,-0.0459770114942529,4.30465753004373,0.628988809361851,1.81947549908024,0.0115343572225597,53.2069907196734,0.628988809361851,0.0916476895113131
