,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,108.93,110.96,108.47,110.53,1906737,98.0423291464,99.8694284594,97.628306642,99.4824074227,1906737,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,108.47,109.5,108.08,108.75,2078851,97.628306642,98.5553570323,97.2772875621,97.8803203403,2078851,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,107.21,108.76,107.1,108.29,2239363,96.4942449994,97.8893208295,96.3952396179,97.4662978359,2239363,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,108.03,108.41,107.26,107.43,1768453,97.232285116,97.5743037066,96.5392474455,96.6922557624,1768453,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,108.35,108.73,107.72,108.01,1523872,97.5203007712,97.8623193619,96.95326995,97.2142841375,1523872,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,107.68,108.67,107.63,108.3,1031856,96.9172679931,97.8083164265,96.8722655469,97.4752983251,1031856,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,104.92,106.53,103.34,105.95,4849431,94.4331329665,95.882211732,93.0110556687,95.3601833568,4849431,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,103.69,105.19,102.6,104.95,4373323,93.3260727916,94.6761461756,92.3450194659,94.4601344342,4373323,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,103.57,104.07,103.07,104.05,2430401,93.2180669209,93.6680913822,92.7680424595,93.6500904038,2430401,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,105.32,106.77,103.98,103.98,2838397,94.7931525356,96.0982234734,93.5870869792,93.5870869792,2838397,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,106.03,106.99,105.05,105.4,2616486,95.4321872707,96.2962342364,94.5501393264,94.8651564494,2616486,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,106.11,106.32,105.21,105.71,2011879,95.5041911845,95.6932014582,94.6941471541,95.1441716154,2011879,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,107.35,107.65,105.67,106.25,2867606,96.6202518486,96.8902665254,95.1081696585,95.6301980336,2867606,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,108.3,108.37,106.89,107.5,2811258,97.4752983251,97.5383017497,96.2062293441,96.755259187,2811258,0.0,1.0,39601785697.2867,55325785697.2867,133.7037037037,3.5658961306,-1.1739837398
14,2018-01-23 00:00:00+00:00,110.33,110.44,108.48,108.92,2972299,99.3023976381,99.4014030196,97.6373071312,98.0333286572,2972299,0.0,1.0,40344090636.9496,56068090636.9496,136.2098765432,3.6327361042,-1.1959891599
15,2018-01-24 00:00:00+00:00,109.59,110.91,109.35,110.48,2391636,98.6363614354,99.8244260133,98.4203496939,99.4374049765,2391636,0.0,1.0,40073496718.0577,55797496718.0577,135.2962962963,3.6083707936,-1.1879674797
16,2018-01-25 00:00:00+00:00,108.61,110.22,107.16,109.38,4369713,97.7543134911,99.2033922566,96.4492425533,98.4473511616,4369713,0.0,1.0,39715142609.2549,55439142609.2549,134.0864197531,3.5761032202,-1.1773441734
17,2018-01-26 00:00:00+00:00,110.63,110.87,108.75,110.35,3280621,99.5724123149,99.7884240564,97.8803203403,99.3203986166,3280621,0.0,1.0,40453790874.3382,56177790874.3382,136.5802469136,3.6426139328,-1.1992411924
18,2018-01-29 00:00:00+00:00,109.83,111.15,108.84,110.52,3177265,98.8523731768,100.0404377547,97.9613247434,99.4734069334,3177265,0.0,1.0,40161256907.9686,55885256907.9686,135.5925925926,3.6162730565,-1.1905691057
19,2018-01-30 00:00:00+00:00,110.03,110.41,108.66,109.02,2938161,99.0323829613,99.3744015519,97.7993159373,98.1233335494,2938161,0.0,1.0,40234390399.561,55958390399.561,135.8395061728,3.6228582756,-1.1927371274
20,2018-01-31 00:00:00+00:00,112.77,113.39,110.07,110.09,2793078,101.4985170094,102.0565473415,99.0683849182,99.0863858967,2793078,0.0,1.0,41236319234.3769,56960319234.3769,139.2222222222,3.713075777,-1.2224390244
21,2018-02-01 00:00:00+00:00,113.07,114.47,112.33,112.91,3168294,101.7685316862,103.028600178,101.1024954835,101.6245238586,3168294,0.0,1.0,41346019471.7656,57070019471.7656,139.5925925926,3.7229536056,-1.2256910569
22,2018-02-02 00:00:00+00:00,112.1,113.19,111.25,112.66,1802054,100.8954842313,101.876537557,100.130442647,101.399511628,1802054,0.0,1.0,40991322037.5422,56715322037.5422,138.3950617284,3.6910152931,-1.2151761518
23,2018-02-05 00:00:00+00:00,110.51,112.92,109.89,111.55,2841872,99.4644064442,101.6335243478,98.9063761122,100.4004573238,2841872,0.0,1.0,40409910779.3828,56133910779.3828,136.4320987654,3.6386628014,-1.1979403794
24,2018-02-06 00:00:00+00:00,108.55,110.29,106.93,109.06,4233183,97.7003105558,99.2663956812,96.2422313011,98.1593355063,4233183,0.0,1.0,39693202561.7772,55417202561.7772,134.012345679,3.5741276544,-1.1766937669
25,2018-02-07 00:00:00+00:00,108.75,109.91,107.82,108.3,2970920,97.8803203403,98.9243770906,97.0432748422,97.4752983251,2970920,0.0,1.0,39766336053.3696,55490336053.3696,134.2592592593,3.5807128735,-1.1788617886
26,2018-02-08 00:00:00+00:00,103.81,109.17,103.79,108.5,4295438,93.4340786623,98.2583408878,93.4160776839,97.6553081096,4295438,0.0,1.0,37959938811.0372,53683938811.0372,128.1604938272,3.4180579623,-1.1253116531
27,2018-02-09 00:00:00+00:00,103.86,104.75,100.76,104.15,3664093,93.4790811085,94.2801246496,90.6889294482,93.740095296,3664093,0.0,1.0,37978222183.9353,53702222183.9353,128.2222222222,3.4197042671,-1.1258536585
28,2018-02-12 00:00:00+00:00,105.11,105.66,103.83,104.5,3296677,94.6041422618,95.0991691693,93.4520796408,94.055112419,3296677,0.0,1.0,38435306506.3879,54159306506.3879,129.7654320988,3.4608618863,-1.139403794
29,2018-02-13 00:00:00+00:00,106.36,106.75,104.72,105.13,1867265,95.7292034151,96.080222495,94.253123182,94.6221432402,1867265,0.0,1.0,38892390828.8404,54616390828.8404,131.3086419753,3.5020195055,-1.1529539295
30,2018-02-14 00:00:00+00:00,105.36,106.26,104.01,106.07,2909155,94.8291544925,95.6391985229,93.6140884469,95.4681892276,2909155,0.0,1.0,38526723370.8784,54250723370.8784,130.0740740741,3.4690934101,-1.1421138211
31,2018-02-15 00:00:00+00:00,107.64,107.99,104.62,105.63,2654615,96.8812660361,97.1962831591,94.1631182897,95.0721677016,2654615,0.0,1.0,39360445175.0318,55084445175.0318,132.8888888889,3.5441649076,-1.1668292683
32,2018-02-16 00:00:00+00:00,109.12,110.09,107.53,107.53,2751605,98.2133384417,99.0863858967,96.7822606547,96.7822606547,2751605,0.0,1.0,39901633012.8155,55625633012.8155,134.7160493827,3.5928955288,-1.1828726287
33,2018-02-20 00:00:00+00:00,108.57,109.72,108.52,108.77,2474808,97.7183115342,98.7533677953,97.6733090881,97.8983213188,2474808,0.0,1.0,39700515910.9365,55424515910.9365,134.037037037,3.5747861763,-1.1769105691
34,2018-02-21 00:00:00+00:00,106.79,109.26,106.74,108.76,2441834,96.1162244519,98.3393452909,96.0712220057,97.8893208295,2441834,0.0,1.0,39049627835.7641,54773627835.7641,131.8395061728,3.5161777265,-1.1576151762
35,2018-02-22 00:00:00+00:00,108.46,109.51,106.9,107.39,2292683,97.6193061527,98.5643575215,96.2152298334,96.6562538055,2292683,0.0,1.0,39660292490.5606,55384292490.5606,133.9012345679,3.5711643058,-1.1757181572
36,2018-02-23 00:00:00+00:00,110.44,110.44,108.45,108.79,1707771,99.4014030196,99.4014030196,97.6103056635,97.9163222972,1707771,0.0,1.0,40384314057.3254,56108314057.3254,136.3456790123,3.6363579747,-1.1971815718
37,2018-02-26 00:00:00+00:00,111.54,111.56,109.85,110.57,1666855,100.3914568346,100.409457813,98.8703741552,99.5184093796,1666855,0.0,1.0,40849985723.0491,56573985723.0491,137.7037037037,3.6725766796,-1.2091056911
38,2018-02-27 00:00:00+00:00,110.36,111.78,108.6,111.41,3275423,99.3293991058,100.607468576,97.7453130019,100.2744504746,3275423,0.0,1.0,40417827007.3128,56141827007.3128,136.2469135802,3.6337238871,-1.1963143631
