,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,6456000000.0,4155000000.0,8008000000.0,2357000000.0,5775000000.0,1905000000.0,93000000.0,298000000.0,143000000.0,234000000.0,-388000000.0,1171000000.0,86000000.0,86000000.0,53000000.0,11931000000.0,10760000000.0,681000000.0,0.0,1204000000.0,4248000000.0,424000000.0,0.0,553000000.0,213879941.0,2826000000.0,7000000.0,138000000.0,-84000000.0,223000000.0,1000000.0,1000000.0,212000000.0,1000000.0,-150000000.0,0.0,-64000000.0,-10000000.0,-85000000.0,0.0,213900000.0,219000000.0,7000000.0,-0.13,45000000.0,83000000.0,-0.13,-41000000.0,32000000.0,38000000.0,-13000000.0,-28000000.0,48000000.0,213900000.0,4000000.0,764000000.0,49000000.0,847000000.0,-28000000.0,0.0,0.0,0.0,5.0,-0.184007707129094,0.0979929161747344,1.71953010279001,5475000000.0,0.0979929161747344,3.96016567070214,-1.44827586206897,1.47027600849257,0.100671140939597,25.5984734912565,0.0235080628531365
1,2020,2,2020-06-30 00:00:00+00:00,6374000000.0,4150000000.0,8070000000.0,2346000000.0,5759000000.0,1997000000.0,92000000.0,273000000.0,8000000.0,250000000.0,-426000000.0,1136000000.0,94000000.0,94000000.0,20000000.0,11950000000.0,10814000000.0,615000000.0,0.0,1284000000.0,4242000000.0,389000000.0,0.0,563000000.0,213797277.0,2873000000.0,6000000.0,374000000.0,-52000000.0,426000000.0,1000000.0,0.0,239000000.0,0.0,-565000000.0,0.0,-64000000.0,-190000000.0,-52000000.0,-500000000.0,214600000.0,511000000.0,272000000.0,0.89,57000000.0,334000000.0,0.89,223000000.0,28000000.0,277000000.0,33000000.0,190000000.0,49000000.0,214500000.0,218000000.0,870000000.0,51000000.0,1204000000.0,190000000.0,0.0,0.0,0.0,7.0,-0.198402130492676,0.277408637873754,1.84715447154472,5576000000.0,0.277408637873754,5.63150296811311,-0.3046875,1.44448311869126,0.131730266596968,26.0807811878727,0.0305670676235722
2,2020,1,2020-03-31 00:00:00+00:00,7038000000.0,4155000000.0,8225000000.0,2346000000.0,5803000000.0,1961000000.0,594000000.0,379000000.0,239000000.0,251000000.0,-440000000.0,1480000000.0,91000000.0,91000000.0,78000000.0,12441000000.0,10961000000.0,1235000000.0,0.0,1236000000.0,4749000000.0,378000000.0,0.0,753000000.0,216171177.0,2728000000.0,7000000.0,225000000.0,-65000000.0,292000000.0,-3000000.0,-97000000.0,211000000.0,0.0,242000000.0,0.0,-65000000.0,466000000.0,-67000000.0,500000000.0,216600000.0,336000000.0,125000000.0,0.31,60000000.0,204000000.0,0.31,81000000.0,23000000.0,144000000.0,13000000.0,68000000.0,44000000.0,216000000.0,91000000.0,767000000.0,54000000.0,971000000.0,68000000.0,0.0,0.0,0.0,4.0,-0.02997002997003,0.210092687950566,1.19838056680162,5403000000.0,0.210092687950566,4.49181067279844,-0.225,1.52309384164223,0.161425756147717,24.9940814264984,0.0373972765889873
3,2019,4,2019-12-31 00:00:00+00:00,6535000000.0,4150000000.0,8450000000.0,2365000000.0,5870000000.0,1958000000.0,90000000.0,351000000.0,119000000.0,242000000.0,-366000000.0,974000000.0,88000000.0,88000000.0,71000000.0,12172000000.0,11198000000.0,665000000.0,0.0,1247000000.0,4240000000.0,437000000.0,0.0,287000000.0,217431811.0,2897000000.0,4000000.0,194000000.0,-108000000.0,302000000.0,4000000.0,-88000000.0,212000000.0,0.0,-930000000.0,0.0,-65000000.0,-732000000.0,-108000000.0,-769000000.0,218900000.0,335000000.0,123000000.0,0.26,53000000.0,227000000.0,0.26,68000000.0,39000000.0,174000000.0,13000000.0,55000000.0,55000000.0,217200000.0,94000000.0,822000000.0,63000000.0,1049000000.0,55000000.0,0.0,0.0,0.0,7.0,-0.073321554770318,0.216396568160153,1.46466165413534,5637000000.0,0.216396568160153,4.82450104782506,0.181818181818182,1.43251639627201,0.165742141536393,25.9253693103812,0.0387586234006171
5,2019,3,2019-09-30 00:00:00+00:00,7221000000.0,4385000000.0,8511000000.0,2344000000.0,5976000000.0,2109000000.0,586000000.0,296000000.0,184000000.0,311000000.0,-374000000.0,1669000000.0,87000000.0,87000000.0,17000000.0,12902000000.0,11233000000.0,1245000000.0,0.0,1242000000.0,4971000000.0,459000000.0,0.0,1019000000.0,218325839.0,2980000000.0,7000000.0,375000000.0,-120000000.0,510000000.0,-2000000.0,-60000000.0,223000000.0,0.0,-227000000.0,0.0,-67000000.0,161000000.0,-135000000.0,0.0,220700000.0,370000000.0,147000000.0,0.29,26000000.0,228000000.0,0.29,84000000.0,49000000.0,202000000.0,19000000.0,65000000.0,63000000.0,219000000.0,114000000.0,810000000.0,56000000.0,1038000000.0,65000000.0,0.0,0.0,0.0,7.0,-0.00192307692307692,0.219653179190751,1.34056224899598,5681000000.0,0.219653179190751,4.75436166765401,1.23076923076923,1.47147651006711,0.162889873735262,26.0207404951276,0.0379224419872294
6,2019,2,2019-06-30 00:00:00+00:00,7045000000.0,4400000000.0,8617000000.0,2353000000.0,6003000000.0,2111000000.0,587000000.0,290000000.0,21000000.0,313000000.0,-344000000.0,1488000000.0,101000000.0,101000000.0,1000000.0,12863000000.0,11375000000.0,1042000000.0,0.0,1220000000.0,4987000000.0,416000000.0,0.0,858000000.0,221077667.0,3066000000.0,11000000.0,371000000.0,-16000000.0,387000000.0,0.0,-118000000.0,252000000.0,0.0,-184000000.0,0.0,-66000000.0,187000000.0,-16000000.0,0.0,222300000.0,696000000.0,444000000.0,1.28,25000000.0,499000000.0,1.28,385000000.0,37000000.0,474000000.0,102000000.0,283000000.0,59000000.0,221100000.0,320000000.0,1003000000.0,62000000.0,1502000000.0,283000000.0,0.0,0.0,0.0,8.0,0.155384615384615,0.332223701731025,1.42802303262956,5818000000.0,0.332223701731025,6.79399244791198,1.03174603174603,1.43509458577952,0.145630285944422,26.3165433168788,0.0350238270504824
7,2019,1,2019-03-31 00:00:00+00:00,7272000000.0,4903000000.0,8756000000.0,2360000000.0,6446000000.0,2047000000.0,85000000.0,446000000.0,301000000.0,264000000.0,-341000000.0,1412000000.0,100000000.0,100000000.0,1000000.0,12942000000.0,11530000000.0,826000000.0,0.0,1138000000.0,4988000000.0,432000000.0,0.0,671000000.0,222890557.0,2955000000.0,6000000.0,231000000.0,-75000000.0,306000000.0,0.0,-85000000.0,188000000.0,0.0,-242000000.0,0.0,-67000000.0,-11000000.0,-75000000.0,0.0,224600000.0,330000000.0,142000000.0,0.4,62000000.0,220000000.0,0.4,82000000.0,28000000.0,158000000.0,-8000000.0,90000000.0,60000000.0,223400000.0,118000000.0,781000000.0,58000000.0,1001000000.0,90000000.0,0.0,0.0,0.0,6.0,0.0459770114942528,0.21978021978022,1.70944309927361,5670000000.0,0.21978021978022,4.49099330843343,0.481481481481481,1.65922165820643,0.0982564897326618,25.4384935652523,0.0245043095118463
8,2018,4,2018-12-31 00:00:00+00:00,6930000000.0,4698000000.0,8623000000.0,2353000000.0,6225000000.0,2463000000.0,0.0,309000000.0,149000000.0,235000000.0,-371000000.0,1274000000.0,93000000.0,93000000.0,28000000.0,12661000000.0,11387000000.0,705000000.0,0.0,1122000000.0,4698000000.0,545000000.0,0.0,682000000.0,230791461.0,2958000000.0,5000000.0,117000000.0,-137000000.0,254000000.0,-1000000.0,-378000000.0,221000000.0,0.0,-456000000.0,0.0,-70000000.0,-340000000.0,-137000000.0,0.0,230500000.0,377000000.0,156000000.0,0.22,53000000.0,242000000.0,0.21,95000000.0,46000000.0,189000000.0,46000000.0,49000000.0,61000000.0,229000000.0,95000000.0,890000000.0,51000000.0,1132000000.0,49000000.0,0.0,0.0,0.0,6.0,0.0300272975432212,0.213780918727915,1.80709219858156,5731000000.0,0.213780918727915,4.90486084318345,-0.889447236180904,1.58823529411765,0.0856467808623745,24.831941247601,0.0221687115391966
10,2018,3,2018-09-30 00:00:00+00:00,6993000000.0,4697000000.0,8772000000.0,2361000000.0,6205000000.0,2474000000.0,0.0,264000000.0,313000000.0,273000000.0,-308000000.0,1597000000.0,96000000.0,96000000.0,17000000.0,13156000000.0,11559000000.0,788000000.0,0.0,1087000000.0,4697000000.0,467000000.0,0.0,1022000000.0,233468663.0,3436000000.0,6000000.0,515000000.0,-120000000.0,645000000.0,0.0,-81000000.0,233000000.0,0.0,-231000000.0,0.0,-70000000.0,294000000.0,-130000000.0,0.0,235200000.0,334000000.0,101000000.0,0.13,42000000.0,173000000.0,0.13,42000000.0,41000000.0,131000000.0,12000000.0,30000000.0,59000000.0,233500000.0,71000000.0,867000000.0,53000000.0,1040000000.0,30000000.0,0.0,0.0,0.0,7.0,0.195402298850575,0.166346153846154,2.02664974619289,6163000000.0,0.166346153846154,4.45455928275907,-1.35135135135135,1.36699650756694,0.199364631133074,26.3975469804271,0.0531546453847312
11,2018,2,2018-06-30 00:00:00+00:00,6665000000.0,4695000000.0,8841000000.0,2364000000.0,6183000000.0,2514000000.0,0.0,257000000.0,21000000.0,338000000.0,-309000000.0,1348000000.0,94000000.0,94000000.0,1000000.0,12987000000.0,11639000000.0,482000000.0,0.0,1074000000.0,4695000000.0,429000000.0,0.0,728000000.0,233359653.0,3556000000.0,5000000.0,247000000.0,-63000000.0,316000000.0,-5000000.0,2000000.0,241000000.0,6000000.0,-456000000.0,0.0,-70000000.0,-208000000.0,-69000000.0,0.0,234900000.0,494000000.0,253000000.0,0.63,56000000.0,312000000.0,0.63,192000000.0,26000000.0,256000000.0,44000000.0,148000000.0,61000000.0,234000000.0,174000000.0,988000000.0,53000000.0,1300000000.0,148000000.0,0.0,0.0,0.0,8.0,0.156583629893238,0.24,2.79668049792531,6322000000.0,0.24,5.57080019312507,62.0,1.320303712036,0.169545192861255,27.091229862259,0.0429699611519451
