,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,6189000000.0,142921000000.0,10000000.0,0.0,747000000.0,0.0,9544000000.0,22469000000.0,638000000.0,7050000000.0,179228000000.0,0.0,0.0,153397000000.0,0.0,156759000000.0,426828691.0,9361000000.0,1770000000.0,0.0,-168000000.0,-988000000.0,0.0,54000000.0,2100000000.0,2014000000.0,103000000.0,658000000.0,-96000000.0,11000000.0,0.0,712000000.0,289000000.0,744000000.0,350000000.0,453000000.0,0.0,0.0,427992349.0,375000000.0,1363000000.0,350000000.0,0.68,61000000.0,1363000000.0,25000000.0,0.0,289000000.0,0.0,0.0,0.68,426846096.0,314000000.0,988000000.0,0.00543365157920844,5.0,22469000000.0,-0.298969072164948,3.19331860472332,1.0,0.416618452089546,-0.113207547169811,52.6417283415468,1.0,0.0428131808890586
1,2020,2,2020-06-30 00:00:00+00:00,6068000000.0,143618000000.0,94000000.0,0.0,751000000.0,0.0,7921000000.0,22418000000.0,709000000.0,7050000000.0,179874000000.0,0.0,155000000.0,155984000000.0,51000000.0,157456000000.0,426619057.0,9457000000.0,3388000000.0,0.0,-168000000.0,2305000000.0,0.0,-37000000.0,1169000000.0,1261000000.0,112000000.0,-86000000.0,-8042000000.0,2000000.0,0.0,-123000000.0,225000000.0,726000000.0,279000000.0,391000000.0,0.0,0.0,427566920.0,307000000.0,1286000000.0,279000000.0,0.53,54000000.0,1286000000.0,28000000.0,0.0,225000000.0,0.0,0.0,0.53,426613053.0,253000000.0,979000000.0,0.00638426767323734,3.0,22418000000.0,-0.442105263157895,3.01439886216803,1.0,0.421848514586493,-0.160026126714566,52.5480510824907,1.0,0.0495815426374124
2,2020,1,2020-03-31 00:00:00+00:00,6011000000.0,133475000000.0,85000000.0,0.0,746000000.0,0.0,4338000000.0,21950000000.0,782000000.0,7050000000.0,176719000000.0,0.0,0.0,156938000000.0,0.0,154769000000.0,427434404.0,17496000000.0,672000000.0,-270000000.0,-168000000.0,10767000000.0,0.0,-16000000.0,-8768000000.0,-8694000000.0,204000000.0,-1327000000.0,3080000000.0,21000000.0,-3000000.0,-1343000000.0,12000000.0,768000000.0,23000000.0,227000000.0,0.0,0.0,429388855.0,45000000.0,1057000000.0,23000000.0,0.03,11000000.0,1057000000.0,22000000.0,0.0,12000000.0,0.0,0.0,0.03,427718421.0,34000000.0,1012000000.0,0.00780210376021375,2.0,21950000000.0,-0.967391304347826,2.4728940630619,1.0,0.797084282460137,-0.296739853626081,51.3529088781538,1.0,0.0593508219816176
3,2019,4,2019-12-31 00:00:00+00:00,6498000000.0,125313000000.0,-411000000.0,0.0,761000000.0,0.0,3683000000.0,22201000000.0,866000000.0,7044000000.0,165733000000.0,0.0,0.0,146642000000.0,0.0,143532000000.0,434718941.0,14321000000.0,-456000000.0,-400000000.0,-158000000.0,906000000.0,0.0,-138000000.0,-2089000000.0,-1810000000.0,193000000.0,727000000.0,445000000.0,-3000000.0,0.0,589000000.0,427000000.0,732000000.0,518000000.0,711000000.0,0.0,0.0,436198539.0,541000000.0,1527000000.0,518000000.0,0.98,91000000.0,1527000000.0,23000000.0,0.0,427000000.0,0.0,0.0,0.98,434519254.0,450000000.0,986000000.0,0.0105046576967407,5.0,22201000000.0,0.0103092783505154,3.51261437214441,1.0,0.645061033286789,0.0125994694960212,51.0697784387545,1.0,0.0784474885844749
5,2019,3,2019-09-30 00:00:00+00:00,6229000000.0,124714000000.0,-440000000.0,0.0,747000000.0,0.0,4000000000.0,21851000000.0,752000000.0,7044000000.0,164362000000.0,0.0,206000000.0,145261000000.0,257000000.0,142511000000.0,447086518.0,13883000000.0,807000000.0,-500000000.0,-162000000.0,912000000.0,0.0,-37000000.0,-498000000.0,-400000000.0,165000000.0,393000000.0,882000000.0,12000000.0,0.0,356000000.0,432000000.0,716000000.0,547000000.0,712000000.0,0.0,0.0,447134595.0,564000000.0,1537000000.0,547000000.0,0.97,115000000.0,1537000000.0,17000000.0,0.0,432000000.0,0.0,0.0,0.97,445703987.0,449000000.0,973000000.0,0.0107308338893417,4.0,21851000000.0,0.0543478260869565,3.43781334958528,1.0,0.63534849663631,0.0343203230148048,48.8742091748783,1.0,0.0807738702792985
6,2019,2,2019-06-30 00:00:00+00:00,5959000000.0,124004000000.0,-488000000.0,0.0,740000000.0,0.0,3221000000.0,22017000000.0,767000000.0,7040000000.0,162749000000.0,0.0,257000000.0,144547000000.0,249000000.0,140732000000.0,458355574.0,12979000000.0,599000000.0,-120000000.0,-148000000.0,311000000.0,0.0,-25000000.0,183000000.0,266000000.0,141000000.0,105000000.0,508000000.0,12000000.0,0.0,80000000.0,435000000.0,707000000.0,562000000.0,703000000.0,0.0,0.0,459304224.0,580000000.0,1531000000.0,562000000.0,0.95,127000000.0,1531000000.0,18000000.0,0.0,435000000.0,0.0,0.0,0.95,458154335.0,453000000.0,951000000.0,0.010851871947911,5.0,22017000000.0,0.0795454545454546,3.34020155277963,1.0,0.589499023481855,0.0751404494382022,48.0347600179942,1.0,0.0824659444004679
7,2019,1,2019-03-31 00:00:00+00:00,5672000000.0,123916000000.0,-793000000.0,0.0,746000000.0,0.0,2603000000.0,21531000000.0,676000000.0,7040000000.0,161342000000.0,0.0,93000000.0,143738000000.0,92000000.0,139811000000.0,460390006.0,12404000000.0,-1638000000.0,-200000000.0,-149000000.0,-639000000.0,0.0,15000000.0,-1471000000.0,-1304000000.0,134000000.0,472000000.0,-4890000000.0,20000000.0,-129000000.0,487000000.0,424000000.0,702000000.0,551000000.0,685000000.0,0.0,0.0,462520680.0,566000000.0,1503000000.0,551000000.0,0.92,127000000.0,1503000000.0,15000000.0,0.0,424000000.0,0.0,0.0,0.92,460713172.0,439000000.0,937000000.0,0.0109138544620209,6.0,21531000000.0,0.17948717948718,3.26462342885871,1.0,0.576099577353583,0.0859826589595376,46.766870955926,1.0,0.0835228845482664
8,2018,4,2018-12-31 00:00:00+00:00,5385000000.0,119575000000.0,-1096000000.0,0.0,791000000.0,0.0,4222000000.0,20817000000.0,573000000.0,6923000000.0,160518000000.0,0.0,0.0,142130000000.0,0.0,139701000000.0,467912054.0,17242000000.0,83000000.0,-300000000.0,-127000000.0,1537000000.0,0.0,-137000000.0,-2014000000.0,-1872000000.0,132000000.0,560000000.0,-826000000.0,1000000.0,0.0,423000000.0,450000000.0,710000000.0,542000000.0,674000000.0,0.0,0.0,468970435.0,557000000.0,1508000000.0,542000000.0,0.97,92000000.0,1508000000.0,15000000.0,0.0,450000000.0,0.0,0.0,0.95,467212636.0,465000000.0,951000000.0,0.0107770700636943,5.0,20817000000.0,-0.276119402985075,3.22282785217583,1.0,0.828265360042273,0.0763740185581727,44.4891295747641,1.0,0.0829218686825371
10,2018,3,2018-09-30 00:00:00+00:00,5062000000.0,117075000000.0,-1318000000.0,0.0,753000000.0,0.0,4133000000.0,20276000000.0,430000000.0,6946000000.0,158598000000.0,0.0,381000000.0,140466000000.0,0.0,138322000000.0,475946441.0,18019000000.0,126000000.0,-400000000.0,-129000000.0,2024000000.0,0.0,-122000000.0,-1690000000.0,-1019000000.0,114000000.0,-208000000.0,2551000000.0,12000000.0,-533000000.0,-330000000.0,436000000.0,662000000.0,569000000.0,683000000.0,0.0,0.0,477599917.0,576000000.0,1486000000.0,569000000.0,0.92,133000000.0,1486000000.0,7000000.0,0.0,436000000.0,0.0,0.0,0.91,475957526.0,443000000.0,910000000.0,0.0123132919663514,4.0,20276000000.0,0.352941176470588,3.12220004603417,1.0,0.888686131386861,0.0838803792851932,42.6014321220652,1.0,0.0941385435168739
11,2018,2,2018-06-30 00:00:00+00:00,4755000000.0,117073000000.0,-1210000000.0,0.0,720000000.0,0.0,3979000000.0,20467000000.0,456000000.0,6887000000.0,155431000000.0,0.0,0.0,138601000000.0,0.0,134964000000.0,484726571.0,15466000000.0,6000000.0,-150000000.0,-107000000.0,1550000000.0,0.0,-121000000.0,-2255000000.0,-2110000000.0,121000000.0,711000000.0,175000000.0,10000000.0,0.0,590000000.0,425000000.0,638000000.0,549000000.0,670000000.0,0.0,0.0,486141695.0,549000000.0,1424000000.0,549000000.0,0.88,124000000.0,1424000000.0,0.0,0.0,425000000.0,0.0,0.0,0.88,484744354.0,425000000.0,875000000.0,0.0118385310557384,6.0,20467000000.0,0.396825396825397,2.93773868649755,1.0,0.755655445351053,0.0739064856711915,42.2238045621807,1.0,0.0896359928310982
