,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,73.08,75.55,72.54,75.37,644408,67.303543644,69.5783076396,66.806226819,69.4125353646,644408,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,72.79,73.24,72.34,73.07,533543,67.0364660898,67.4508967773,66.6220354023,67.2943340731,533543,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,73.62,73.79,72.58,72.7,620176,67.8008604689,67.9574231731,66.8430651023,66.9535799523,620176,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,74.0,74.08,73.4,73.8,429502,68.1508241605,68.2245007272,67.5982499106,67.9666327439,429502,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,73.67,74.03,73.29,73.82,468386,67.8469083231,68.178452873,67.4969446314,67.9850518856,468386,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,73.21,74.61,73.11,73.76,679527,67.4232680648,68.7126079813,67.3311723565,67.9297944606,679527,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,72.19,73.61,72.15,73.11,539006,66.4838918399,67.7916508981,66.4470535565,67.3311723565,539006,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,72.77,72.97,72.18,72.29,550131,67.0180469481,67.2022383648,66.474682269,66.5759875482,550131,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,74.03,74.15,72.63,72.96,376665,68.178452873,68.288967723,66.8891129565,67.193028794,376665,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,74.2,74.62,73.85,74.27,585119,68.3350155772,68.7218175522,68.0126805981,68.399482573,585119,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,75.06,75.29,74.51,74.6,417864,69.1270386688,69.3388587979,68.620512273,68.7033984105,417864,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,74.86,75.3,74.76,74.91,382273,68.9428472521,69.3480683688,68.8507515438,68.9888951063,382273,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,75.16,75.6,74.69,75.1,433029,69.2191343771,69.6243554937,68.786284548,69.1638769521,433029,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,75.93,76.11,75.26,75.32,422822,69.9282713312,70.0940436062,69.3112300854,69.3664875104,422822,0.0,1.0,11473255599.9945,11667255599.9945,11.9386792453,1.5113393031,0.0220684677
14,2018-01-23 00:00:00+00:00,77.01,77.52,75.88,75.88,681833,70.9229049811,71.3925930936,69.8822234771,69.8822234771,681833,0.0,1.0,11636446908.4101,11830446908.4101,12.108490566,1.5328360297,0.0223823613
15,2018-01-24 00:00:00+00:00,77.24,78.04,76.98,77.87,530990,71.1347251103,71.8714907769,70.8952762686,71.7149280727,530990,0.0,1.0,11671200612.98,11865200612.98,12.1446540881,1.5374140363,0.0224492091
16,2018-01-25 00:00:00+00:00,77.22,77.65,76.82,77.27,378802,71.1163059686,71.5123175144,70.7479231353,71.1623538228,378802,0.0,1.0,11668178551.7131,11862178551.7131,12.141509434,1.5370159487,0.0224433962
17,2018-01-26 00:00:00+00:00,77.51,77.8,77.13,77.48,412864,71.3833835228,71.6504610769,71.0334198311,71.3557548103,412864,0.0,1.0,11711998440.0839,11905998440.0839,12.1871069182,1.5427882179,0.0225276825
18,2018-01-29 00:00:00+00:00,76.59,77.63,76.51,77.49,386770,70.5361030062,71.4938983727,70.4624264395,71.3649643811,386770,0.0,1.0,11572983621.804,11766983621.804,12.0424528302,1.5244761916,0.0222602916
19,2018-01-30 00:00:00+00:00,76.39,77.5,76.29,76.47,448822,70.3519115895,71.3741739519,70.2598158812,70.4255881562,448822,0.0,1.0,11542763009.1345,11736763009.1345,12.0110062893,1.5204953163,0.0222021631
20,2018-01-31 00:00:00+00:00,76.9,77.53,76.15,76.52,995817,70.821599702,71.4018026644,70.1308818895,70.4716360103,995817,0.0,1.0,11619825571.4418,11813825571.4418,12.0911949686,1.5306465483,0.0223503907
21,2018-02-01 00:00:00+00:00,77.17,77.28,76.31,76.63,470419,71.0702581144,71.1715633936,70.2782350229,70.5729412895,470419,0.0,1.0,11660623398.5457,11854623398.5457,12.1336477987,1.5360207299,0.0224288641
22,2018-02-02 00:00:00+00:00,76.38,77.68,76.31,76.95,437614,70.3427020187,71.5399462269,70.2782350229,70.8676475561,437614,0.0,1.0,11541251978.501,11735251978.501,12.0094339623,1.5202962725,0.0221992567
23,2018-02-05 00:00:00+00:00,73.39,76.4,73.08,75.93,764637,67.5890403398,70.3611211603,67.303543644,69.9282713312,764637,0.0,1.0,11089453819.0912,11283453819.0912,11.5393081761,1.460782187,0.0213302363
24,2018-02-06 00:00:00+00:00,72.6,73.13,69.98,72.35,1093445,66.861484244,67.3495914981,64.4485766859,66.6312449732,1093445,0.0,1.0,10970082399.0465,11164082399.0465,11.4150943396,1.4450577296,0.0211006289
25,2018-02-07 00:00:00+00:00,72.63,73.84,72.27,72.27,965244,66.8891129565,68.0034710272,66.5575684065,66.5575684065,965244,0.0,1.0,10974615490.9469,11168615490.9469,11.4198113208,1.4456548609,0.0211093482
26,2018-02-08 00:00:00+00:00,70.34,74.06,70.29,73.6,921727,64.7801212358,68.2060815855,64.7340733817,67.7824413272,921727,0.0,1.0,10628589475.8806,10822589475.8806,11.0597484277,1.4000738388,0.0204437774
27,2018-02-09 00:00:00+00:00,72.14,72.52,69.86,71.11,1179447,66.4378439857,66.7878076773,64.3380618359,65.4892581899,1179447,0.0,1.0,10900574989.9065,11094574989.9065,11.3427672956,1.4359017164,0.0209669335
28,2018-02-12 00:00:00+00:00,74.31,75.22,72.02,72.71,1060563,68.4363208564,69.2743918021,66.3273291357,66.9627895232,1060563,0.0,1.0,11228468637.3711,11422468637.3711,11.6839622642,1.4790942133,0.0215976272
29,2018-02-13 00:00:00+00:00,73.97,74.35,73.26,73.81,506684,68.123195448,68.4731591397,67.4693159189,67.9758423147,506684,0.0,1.0,11177093595.8329,11371093595.8329,11.6305031447,1.4723267253,0.0214988088
30,2018-02-14 00:00:00+00:00,75.57,75.67,72.59,73.71,565283,69.5967267812,69.6888224896,66.8522746732,67.8837466064,565283,0.0,1.0,11418858497.1893,11612858497.1893,11.8820754717,1.5041737276,0.0219638365
31,2018-02-15 00:00:00+00:00,76.19,76.37,75.37,75.86,501840,70.1677201729,70.3334924478,69.4125353646,69.8638043354,501840,0.0,1.0,11512542396.4649,11706542396.4649,11.9795597484,1.516514441,0.0221440347
32,2018-02-16 00:00:00+00:00,77.19,77.46,75.93,75.96,516763,71.0886772561,71.3373356686,69.9282713312,69.9559000437,516763,0.0,1.0,11663645459.8127,11857645459.8127,12.1367924528,1.5364188175,0.022434677
33,2018-02-20 00:00:00+00:00,75.69,77.2,75.36,76.85,375992,69.7072416312,71.0978868269,69.4033257938,70.7755518478,375992,0.0,1.0,11436990864.791,11630990864.791,11.9009433962,1.5065622528,0.0219987136
34,2018-02-21 00:00:00+00:00,75.54,76.82,75.51,75.78,397858,69.5690980687,70.7479231353,69.5414693563,69.7901277687,397858,0.0,1.0,11414325405.2889,11608325405.2889,11.8773584906,1.5035765963,0.0219551172
35,2018-02-22 00:00:00+00:00,74.92,76.8,74.76,75.65,396419,68.9981046771,70.7295039936,68.8507515438,69.6704033479,396419,0.0,1.0,11320641506.0133,11514641506.0133,11.7798742138,1.4912358829,0.021774919
36,2018-02-23 00:00:00+00:00,75.8,75.83,74.65,75.2,334751,69.8085469104,69.8361756229,68.7494462647,69.2559726604,334751,0.0,1.0,11447786189.8598,11641786189.8598,11.9182389937,1.5087517342,0.0220306842
37,2018-02-26 00:00:00+00:00,77.26,77.29,75.52,76.0,455262,71.1531442519,71.1807729644,69.5506789271,69.992738327,455262,0.0,1.0,11668284446.2872,11862284446.2872,12.1477987421,1.5378121238,0.0224550219
38,2018-02-27 00:00:00+00:00,75.88,77.8,75.87,77.08,592489,69.8822234771,71.6504610769,69.8730139062,70.987371977,592489,0.0,1.0,11459868286.1024,11653868286.1024,11.9308176101,1.5103440843,0.0220539356
39,2018-02-28 00:00:00+00:00,74.59,76.75,74.59,76.21,481327,68.6941888397,70.6834561395,68.6941888397,70.1861393145,481327,0.0,1.0,11265044484.1905,11459044484.1905,11.7279874214,1.4846674387,0.0216790071
40,2018-03-01 00:00:00+00:00,73.34,75.35,73.0,74.8,478941,67.5429924856,69.3941162229,67.2298670773,68.8875898271,478941,0.0,1.0,11076261730.4,11270261730.4,11.5314465409,1.4597869682,0.0213157042
41,2018-03-02 00:00:00+00:00,74.61,74.8,72.33,72.4,768601,68.7126079813,68.8875898271,66.6128258315,66.6772928273,768601,0.0,1.0,11268065008.2512,11462065008.2512,11.7311320755,1.4850655262,0.0216848199
42,2018-03-05 00:00:00+00:00,75.89,76.27,74.17,74.4,505538,69.8914330479,70.2413967395,68.3073868647,68.5192069938,505538,0.0,1.0,11461378548.1327,11655378548.1327,11.9323899371,1.5105431281,0.022056842
43,2018-03-06 00:00:00+00:00,76.04,76.11,75.15,76.01,415326,70.0295766104,70.0940436062,69.2099248063,70.0019478979,415326,0.0,1.0,11484032478.5876,11678032478.5876,11.9559748428,1.5135287845,0.0221004383
44,2018-03-07 00:00:00+00:00,75.72,76.06,75.31,75.34,577759,69.7348703437,70.047995752,69.3572779396,69.3849066521,577759,0.0,1.0,11435704093.6172,11629704093.6172,11.9056603774,1.5071593841,0.0220074328
45,2018-03-08 00:00:00+00:00,75.26,75.86,74.7,75.71,469072,69.3112300854,69.8638043354,68.7954941188,69.7256607729,469072,0.0,1.0,11366232040.2223,11560232040.2223,11.8333333333,1.4980033709,0.0218737374
46,2018-03-09 00:00:00+00:00,77.04,77.12,74.96,75.7,550841,70.9505336936,71.0242102603,69.0349429605,69.7164512021,550841,0.0,1.0,11635058681.62,11829058681.62,12.1132075472,1.533433161,0.0223910806
47,2018-03-12 00:00:00+00:00,75.24,77.05,74.62,77.05,552157,69.2928109438,70.9597432645,68.7218175522,70.9597432645,552157,0.0,1.0,11363211516.1616,11557211516.1616,11.8301886792,1.4976052834,0.0218679245
48,2018-03-13 00:00:00+00:00,75.08,75.88,74.84,75.66,491105,69.1454578105,69.8822234771,68.9244281105,69.6796129187,491105,0.0,1.0,11339047323.6764,11533047323.6764,11.8050314465,1.4944205832,0.0218214218
49,2018-03-14 00:00:00+00:00,74.05,75.47,73.74,75.47,518789,68.1968720147,69.5046310729,67.9113753189,69.5046310729,518789,0.0,1.0,11183490334.553,11377490334.553,11.643081761,1.4739190754,0.0215220602
50,2018-03-15 00:00:00+00:00,74.3,74.87,73.9,74.32,746592,68.4271112855,68.952056823,68.0587284522,68.4455304272,746592,0.0,1.0,11221246885.3111,11415246885.3111,11.6823899371,1.4788951695,0.0215947208
51,2018-03-16 00:00:00+00:00,75.13,75.64,74.3,74.38,2412106,69.1915056646,69.6611937771,68.4271112855,68.5007878522,2412106,0.0,1.0,11346598633.828,11540598633.828,11.8128930818,1.495415802,0.0218359539
52,2018-03-19 00:00:00+00:00,75.11,75.52,74.64,74.78,675756,69.173086523,69.5506789271,68.7402366938,68.8691706855,675756,0.0,1.0,11343578109.7674,11537578109.7674,11.8097484277,1.4950177145,0.021830141
53,2018-03-20 00:00:00+00:00,75.4,75.81,74.54,74.79,557607,69.9282713312,70.3085178995,69.1306809686,69.3625386321,557607,0.53,1.0,11467419596.254,11661419596.254,11.8553459119,1.5007899836,0.0219144273
54,2018-03-21 00:00:00+00:00,75.55,76.05,75.26,75.58,529611,70.0673859294,70.5311012565,69.7984310396,70.095208849,529611,0.0,1.0,11490232765.2121,11684232765.2121,11.8789308176,1.5037756401,0.0219580236
55,2018-03-22 00:00:00+00:00,73.44,75.36,73.39,74.89,531063,68.1105072489,69.891174105,68.0641357162,69.4552816975,531063,0.0,1.0,11169327521.8686,11363327521.8686,11.5471698113,1.4617774058,0.0213447684
