,year,quarter,date,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,0.0,26370000000.0,0.0,686000000.0,0.0,20299000000.0,3024000000.0,914000000.0,211000000.0,2748000000.0,9132000000.0,0.0,1077000000.0,0.0,967000000.0,160853505.0,9745000000.0,16625000000.0,-95000000.0,-148000000.0,0.0,499000000.0,1000000.0,-170000000.0,-6000000.0,8000000.0,20000000.0,505000000.0,0.0,1000000.0,208000000.0,-127000000.0,484000000.0,1143000000.0,3.01,484000000.0,2.99,627000000.0,0.0,647000000.0,160853505.0,0.0,0.0,457000000.0,457000000.0,1084000000.0,614000000.0,2227000000.0,13000000.0,130000000.0,484000000.0,627000000.0,0.0,0.0315323823251653,5.0,9745000000.0,0.993377483443708,13.8448957018375,0.486753480017961,0.0992303745510518,0.31,60.583075264664,0.486753480017961,0.0859410983770896
1,2020,2,2020-06-30 00:00:00+00:00,0.0,25450000000.0,0.0,597000000.0,0.0,19487000000.0,3107000000.0,706000000.0,209000000.0,2887000000.0,8745000000.0,0.0,979000000.0,0.0,967000000.0,160801531.0,9258000000.0,16192000000.0,-95000000.0,-146000000.0,0.0,441000000.0,0.0,-106000000.0,-6000000.0,7000000.0,20000000.0,447000000.0,0.0,8000000.0,220000000.0,-121000000.0,909000000.0,1086000000.0,5.65,909000000.0,5.63,1159000000.0,0.0,1179000000.0,160801531.0,0.0,0.0,469000000.0,469000000.0,1628000000.0,1145000000.0,2714000000.0,14000000.0,236000000.0,909000000.0,1159000000.0,0.0,0.0225125546899472,5.0,9258000000.0,1.15648854961832,16.8779487553511,0.599852616064849,0.104450205227911,0.41871406168322,57.5740786945617,0.599852616064849,0.060982619406049
2,2020,1,2020-03-31 00:00:00+00:00,0.0,23367000000.0,0.0,204000000.0,0.0,17876000000.0,2922000000.0,486000000.0,208000000.0,2724000000.0,7932000000.0,0.0,660000000.0,0.0,960000000.0,162686260.0,8042000000.0,15325000000.0,-90000000.0,-118000000.0,0.0,163000000.0,-252000000.0,-136000000.0,-4000000.0,9000000.0,22000000.0,167000000.0,0.0,75000000.0,-281000000.0,-312000000.0,-1226000000.0,1003000000.0,-7.56,-1226000000.0,-7.56,-1563000000.0,0.0,-1541000000.0,162686260.0,0.0,0.0,461000000.0,461000000.0,-1102000000.0,-1576000000.0,-99000000.0,13000000.0,-350000000.0,-1226000000.0,-1563000000.0,0.0,0.00310666911930018,5.0,8042000000.0,-2.77049180327869,-0.608533259047199,11.1313131313131,0.119373290226312,-1.04585456229736,49.4325703965412,11.1313131313131,0.00834981322786201
3,2019,4,2019-12-31 00:00:00+00:00,0.0,25408000000.0,0.0,448000000.0,0.0,19746000000.0,2788000000.0,767000000.0,207000000.0,2651000000.0,9257000000.0,0.0,1079000000.0,0.0,885000000.0,163374035.0,9864000000.0,15544000000.0,-90000000.0,-135000000.0,0.0,326000000.0,-60000000.0,-153000000.0,-2000000.0,7000000.0,18000000.0,328000000.0,0.0,1000000.0,-20000000.0,-195000000.0,626000000.0,910000000.0,3.84,626000000.0,3.8,794000000.0,0.0,812000000.0,163374035.0,0.0,0.0,448000000.0,448000000.0,1242000000.0,781000000.0,2152000000.0,13000000.0,155000000.0,626000000.0,794000000.0,0.0,0.0816443340590153,6.0,9864000000.0,-2.38628158844765,13.1722277655687,0.577137546468402,0.0897201946472019,2.03098591549296,60.3767912079787,0.577137546468402,0.21591523407936
5,2019,3,2019-09-30 00:00:00+00:00,0.0,24742000000.0,0.0,442000000.0,0.0,19059000000.0,2859000000.0,787000000.0,207000000.0,2626000000.0,8722000000.0,0.0,972000000.0,0.0,885000000.0,163336240.0,9371000000.0,15371000000.0,-90000000.0,-286000000.0,0.0,395000000.0,-3000000.0,-310000000.0,-9000000.0,7000000.0,18000000.0,404000000.0,0.0,1000000.0,-16000000.0,-110000000.0,248000000.0,932000000.0,1.51,248000000.0,1.49,308000000.0,0.0,326000000.0,163336240.0,0.0,0.0,460000000.0,460000000.0,768000000.0,294000000.0,1700000000.0,14000000.0,46000000.0,248000000.0,308000000.0,0.0,0.0389547082635695,7.0,9371000000.0,-0.555882352941176,10.4079780457785,0.451764705882353,0.0944402945256643,-0.112271540469974,57.372448392347,0.451764705882353,0.105133705133705
6,2019,2,2019-06-30 00:00:00+00:00,0.0,24337000000.0,0.0,364000000.0,0.0,18603000000.0,2896000000.0,803000000.0,207000000.0,2704000000.0,8566000000.0,0.0,932000000.0,0.0,884000000.0,163229828.0,9131000000.0,15206000000.0,-90000000.0,-147000000.0,0.0,268000000.0,4000000.0,-160000000.0,-8000000.0,7000000.0,17000000.0,276000000.0,0.0,5000000.0,1000000.0,-115000000.0,428000000.0,936000000.0,2.62,428000000.0,2.59,543000000.0,0.0,560000000.0,163229828.0,0.0,0.0,434000000.0,434000000.0,977000000.0,530000000.0,1913000000.0,13000000.0,102000000.0,428000000.0,543000000.0,0.0,0.0531573004429775,6.0,9131000000.0,0.969924812030075,11.7196717256848,0.510716152639833,0.0968130544299639,0.22785622593068,55.9395308558433,0.510716152639833,0.144305588304645
7,2019,1,2019-03-31 00:00:00+00:00,0.0,23352000000.0,0.0,210000000.0,0.0,17864000000.0,2717000000.0,802000000.0,202000000.0,2562000000.0,8229000000.0,0.0,817000000.0,0.0,877000000.0,162937899.0,8630000000.0,14722000000.0,-85000000.0,-15000000.0,0.0,195000000.0,3000000.0,-56000000.0,-5000000.0,9000000.0,19000000.0,200000000.0,0.0,0.0,18000000.0,-126000000.0,695000000.0,860000000.0,4.27,695000000.0,4.22,880000000.0,0.0,899000000.0,162937899.0,0.0,0.0,419000000.0,419000000.0,1299000000.0,867000000.0,2159000000.0,13000000.0,172000000.0,695000000.0,880000000.0,0.0,0.0452600891351213,6.0,8630000000.0,-23.4736842105263,13.2504470307427,0.601667438628995,0.10162224797219,0.763888888888889,52.9649642775865,0.601667438628995,0.123865130070614
8,2018,4,2018-12-31 00:00:00+00:00,0.0,21935000000.0,0.0,22000000.0,0.0,16732000000.0,2516000000.0,784000000.0,195000000.0,2375000000.0,7625000000.0,0.0,627000000.0,0.0,866000000.0,162737705.0,7833000000.0,14102000000.0,-85000000.0,-44000000.0,0.0,349000000.0,2000000.0,-71000000.0,-6000000.0,6000000.0,15000000.0,355000000.0,0.0,2000000.0,168000000.0,-116000000.0,-452000000.0,874000000.0,-2.77,-452000000.0,-2.74,-568000000.0,0.0,-553000000.0,162737705.0,0.0,0.0,404000000.0,404000000.0,-164000000.0,-581000000.0,710000000.0,13000000.0,-129000000.0,-452000000.0,-568000000.0,0.0,0.0130982942552342,4.0,7833000000.0,-1.70843989769821,4.36284879401488,-0.230985915492958,0.110557896080684,-0.496810772501772,48.13266845566,-0.230985915492958,0.0358425177183178
10,2018,3,2018-09-30 00:00:00+00:00,0.0,22480000000.0,0.0,-4000000.0,0.0,17433000000.0,2591000000.0,616000000.0,191000000.0,2375000000.0,8164000000.0,0.0,797000000.0,0.0,860000000.0,162652281.0,8334000000.0,14146000000.0,-85000000.0,-104000000.0,0.0,357000000.0,2000000.0,-115000000.0,-5000000.0,6000000.0,16000000.0,362000000.0,0.0,-31000000.0,95000000.0,-152000000.0,553000000.0,879000000.0,3.4,553000000.0,3.38,632000000.0,0.0,648000000.0,162652281.0,0.0,0.0,404000000.0,404000000.0,1036000000.0,618000000.0,1915000000.0,14000000.0,65000000.0,553000000.0,632000000.0,0.0,0.063093212111521,7.0,8334000000.0,4.48387096774194,11.7735821977191,0.540992167101828,0.103191744660427,0.356232294617564,51.2381378776975,0.540992167101828,0.17028884984124
11,2018,2,2018-06-30 00:00:00+00:00,0.0,21760000000.0,0.0,55000000.0,0.0,16944000000.0,2578000000.0,521000000.0,188000000.0,2388000000.0,7696000000.0,0.0,650000000.0,0.0,889000000.0,164145978.0,7916000000.0,13844000000.0,-86000000.0,-199000000.0,0.0,304000000.0,-109000000.0,-211000000.0,-6000000.0,7000000.0,14000000.0,310000000.0,0.0,37000000.0,-83000000.0,-182000000.0,217000000.0,883000000.0,1.33,217000000.0,1.32,277000000.0,0.0,291000000.0,164145978.0,0.0,0.0,398000000.0,398000000.0,675000000.0,264000000.0,1558000000.0,13000000.0,47000000.0,217000000.0,277000000.0,0.0,0.0429239023827381,5.0,7916000000.0,1.18032786885246,9.49155147742944,0.433247753530167,0.112304194037393,0.124098124098124,48.2253668134348,0.433247753530167,0.117617301125585
