,date,quarter,year,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.intangibles,statementData.balanceSheet.accoci,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.ppeq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.inventory,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.deposits,statementData.balanceSheet.debt,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.cashFlow.payDiv,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.ncff,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.costRev,statementData.incomeStatement.eps,statementData.incomeStatement.netinc,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebitda,statementData.incomeStatement.shareswa,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opex,statementData.incomeStatement.sga,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebt,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opinc,statementData.incomeStatement.rnd,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020-09-30 00:00:00+00:00,3,2020,0.0,83631000000.0,0.0,116000000.0,0.0,66641000000.0,0.0,11141000000.0,456000000.0,0.0,9511000000.0,0.0,0.0,68459000000.0,5764000000.0,139039348.0,7874000000.0,75757000000.0,-91000000.0,-1270000000.0,0.0,-46000000.0,-3000000.0,-1286000000.0,-22000000.0,6000000.0,27000000.0,-24000000.0,0.0,-1492000000.0,-2170000000.0,-860000000.0,203000000.0,0.0,1.45,211000000.0,1.44,259000000.0,0.0,286000000.0,139039348.0,0.0,8000000.0,446000000.0,309000000.0,705000000.0,259000000.0,705000000.0,0.0,48000000.0,211000000.0,259000000.0,0.0,0.00650791303061677,3.0,7874000000.0,-0.267676767676768,5.07050709127318,1.0,0.732029464058928,-0.12639405204461,56.6314508321774,1.0,0.0680151290906101
1,2020-06-30 00:00:00+00:00,2,2020,0.0,84397000000.0,0.0,158000000.0,0.0,65351000000.0,0.0,13311000000.0,450000000.0,0.0,9404000000.0,0.0,0.0,67720000000.0,7273000000.0,139034717.0,7802000000.0,76595000000.0,-96000000.0,201000000.0,0.0,31000000.0,2000000.0,190000000.0,-14000000.0,4000000.0,29000000.0,45000000.0,0.0,-2436000000.0,8456000000.0,8221000000.0,112000000.0,0.0,0.81,113000000.0,0.8,140000000.0,0.0,169000000.0,139034717.0,0.0,1000000.0,440000000.0,298000000.0,580000000.0,140000000.0,580000000.0,0.0,27000000.0,113000000.0,140000000.0,0.0,0.00787011700935554,4.0,7802000000.0,-0.584615384615385,4.17161995589922,1.0,0.93219687259677,-0.283065512978986,56.1154808550443,1.0,0.0812619824425684
2,2020-03-31 00:00:00+00:00,1,2020,0.0,76337000000.0,0.0,174000000.0,0.0,65721000000.0,0.0,4855000000.0,454000000.0,0.0,9389000000.0,0.0,0.0,57366000000.0,9697000000.0,141346049.0,7402000000.0,68935000000.0,-95000000.0,-3527000000.0,0.0,684000000.0,-196000000.0,-3534000000.0,-15000000.0,8000000.0,26000000.0,699000000.0,0.0,2192000000.0,-963000000.0,1872000000.0,-65000000.0,0.0,-0.46,-65000000.0,-0.46,-86000000.0,0.0,-60000000.0,141346049.0,0.0,0.0,425000000.0,291000000.0,339000000.0,-86000000.0,339000000.0,0.0,-21000000.0,-65000000.0,-86000000.0,0.0,0.0106938100595004,4.0,7402000000.0,-1.21495327102804,2.39836912597394,1.0,1.31005133747636,-0.604434072345391,52.3679300013543,1.0,0.107890058799398
3,2019-12-31 00:00:00+00:00,4,2019,0.0,73402000000.0,0.0,-235000000.0,0.0,62285000000.0,0.0,5818000000.0,457000000.0,0.0,9538000000.0,0.0,0.0,57295000000.0,7340000000.0,144154334.0,7327000000.0,66075000000.0,-99000000.0,1117000000.0,0.0,197000000.0,-146000000.0,1096000000.0,-24000000.0,2000000.0,30000000.0,221000000.0,0.0,20000000.0,1701000000.0,384000000.0,267000000.0,0.0,1.87,269000000.0,1.85,351000000.0,0.0,381000000.0,144154334.0,0.0,2000000.0,451000000.0,311000000.0,802000000.0,351000000.0,802000000.0,0.0,82000000.0,269000000.0,351000000.0,0.0,0.0164572660349527,3.0,7327000000.0,-0.0157894736842105,5.56348170565583,1.0,1.00177425958783,-0.0542452830188679,50.8274693981799,1.0,0.162821695888445
5,2019-09-30 00:00:00+00:00,3,2019,0.0,72848000000.0,0.0,-336000000.0,0.0,63414000000.0,0.0,4117000000.0,467000000.0,0.0,9369000000.0,0.0,0.0,56809000000.0,7362000000.0,149361136.0,7200000000.0,65648000000.0,-100000000.0,261000000.0,0.0,411000000.0,-369000000.0,231000000.0,-33000000.0,5000000.0,27000000.0,444000000.0,0.0,-982000000.0,536000000.0,-139000000.0,290000000.0,0.0,1.98,292000000.0,1.96,372000000.0,0.0,399000000.0,149361136.0,0.0,2000000.0,435000000.0,305000000.0,807000000.0,372000000.0,807000000.0,0.0,80000000.0,292000000.0,372000000.0,0.0,0.0171771357265601,5.0,7200000000.0,0.0476190476190477,5.40301193209993,1.0,1.0225,-0.0312124849939976,48.2053109183637,1.0,0.167396990386902
6,2019-06-30 00:00:00+00:00,2,2019,0.0,72537000000.0,0.0,-382000000.0,0.0,63622000000.0,0.0,3581000000.0,470000000.0,0.0,9176000000.0,0.0,0.0,55537000000.0,8291000000.0,154160837.0,7323000000.0,65214000000.0,-104000000.0,-1574000000.0,0.0,372000000.0,-424000000.0,-1582000000.0,-13000000.0,8000000.0,28000000.0,385000000.0,0.0,448000000.0,100000000.0,1297000000.0,297000000.0,0.0,1.95,298000000.0,1.94,385000000.0,0.0,413000000.0,154160837.0,0.0,1000000.0,424000000.0,294000000.0,809000000.0,385000000.0,809000000.0,0.0,87000000.0,298000000.0,385000000.0,0.0,0.0176256510667512,5.0,7323000000.0,0.0263157894736843,5.24776600687501,1.0,1.13218626246074,-0.0668973471741637,47.5023367964719,1.0,0.16759367194005
7,2019-03-31 00:00:00+00:00,1,2019,0.0,70690000000.0,0.0,-513000000.0,0.0,62003000000.0,0.0,3481000000.0,474000000.0,0.0,8979000000.0,0.0,0.0,54091000000.0,7783000000.0,159000514.0,7409000000.0,63281000000.0,-99000000.0,-225000000.0,0.0,24000000.0,-437000000.0,-239000000.0,-16000000.0,24000000.0,29000000.0,40000000.0,0.0,1241000000.0,-1080000000.0,-881000000.0,337000000.0,0.0,2.14,339000000.0,2.11,424000000.0,0.0,453000000.0,159000514.0,0.0,2000000.0,433000000.0,314000000.0,857000000.0,424000000.0,857000000.0,0.0,85000000.0,339000000.0,424000000.0,0.0,0.0180386954583899,5.0,7409000000.0,0.320987654320988,5.38991968290115,1.0,1.0504791469834,0.0973111395646606,46.5973336413239,1.0,0.166986127806114
8,2018-12-31 00:00:00+00:00,4,2018,0.0,70818000000.0,0.0,-609000000.0,0.0,61671000000.0,0.0,4561000000.0,475000000.0,0.0,8781000000.0,0.0,0.0,55561000000.0,6507000000.0,161698314.0,7507000000.0,63311000000.0,-102000000.0,-1164000000.0,0.0,624000000.0,-499000000.0,-1183000000.0,-25000000.0,7000000.0,30000000.0,649000000.0,0.0,-40000000.0,-1278000000.0,-744000000.0,308000000.0,0.0,1.9,310000000.0,1.88,400000000.0,0.0,430000000.0,161698314.0,0.0,2000000.0,448000000.0,303000000.0,848000000.0,400000000.0,848000000.0,0.0,90000000.0,310000000.0,400000000.0,0.0,0.0171256298239982,6.0,7507000000.0,1.92307692307692,5.24433421117798,1.0,0.866790995071267,0.0430504305043051,46.4259633529636,1.0,0.156445237791661
10,2018-09-30 00:00:00+00:00,3,2018,0.0,71448000000.0,0.0,-611000000.0,0.0,60344000000.0,0.0,5839000000.0,472000000.0,0.0,8587000000.0,0.0,0.0,56006000000.0,6502000000.0,171399203.0,7786000000.0,63662000000.0,-57000000.0,766000000.0,0.0,329000000.0,-496000000.0,743000000.0,-24000000.0,7000000.0,30000000.0,353000000.0,0.0,876000000.0,179000000.0,-917000000.0,316000000.0,0.0,1.89,318000000.0,1.86,381000000.0,0.0,411000000.0,171399203.0,0.0,2000000.0,452000000.0,304000000.0,833000000.0,381000000.0,833000000.0,0.0,63000000.0,318000000.0,381000000.0,0.0,0.0143524850610955,6.0,7786000000.0,0.465116279069767,4.85999926149015,1.0,0.835088620601079,0.0451693851944792,45.4261155461732,1.0,0.129571446525072
11,2018-06-30 00:00:00+00:00,2,2018,0.0,71987000000.0,0.0,-589000000.0,0.0,61164000000.0,0.0,5660000000.0,467000000.0,0.0,8374000000.0,0.0,0.0,57210000000.0,5641000000.0,171933253.0,8079000000.0,63908000000.0,-51000000.0,-552000000.0,0.0,235000000.0,-163000000.0,-569000000.0,-21000000.0,10000000.0,29000000.0,256000000.0,0.0,10000000.0,-1176000000.0,-863000000.0,324000000.0,0.0,1.9,326000000.0,1.87,419000000.0,0.0,448000000.0,171933253.0,0.0,2000000.0,448000000.0,261000000.0,867000000.0,419000000.0,867000000.0,0.0,93000000.0,326000000.0,419000000.0,0.0,0.0130459247115378,5.0,8079000000.0,0.652173913043478,5.04265454687814,1.0,0.698229978957792,0.142292490118577,46.9891650337122,1.0,0.117096894874673
