,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,3826054000.0,2891140000.0,4255435000.0,21939000.0,3024337000.0,3085204000.0,199815000.0,25464000.0,0.0,69366000.0,-5444000.0,1211280000.0,404293000.0,61474000.0,60436000.0,5631640000.0,4420360000.0,801717000.0,91467000.0,95221000.0,3090955000.0,157324000.0,342819000.0,689992000.0,27967625.0,1805586000.0,19817000.0,162487000.0,-187841000.0,243790000.0,481000.0,0.0,108093000.0,0.0,-39000.0,-106538000.0,0.0,56391000.0,-81303000.0,0.0,28454000.0,214594000.0,106501000.0,2.87,205129000.0,312225000.0,2.82,106501000.0,0.0,107096000.0,26257000.0,80244000.0,0.0,27973000.0,80244000.0,1289189000.0,133150000.0,1601414000.0,80244000.0,0.0,0.0,0.0,5.0,0.140854472154603,0.194968321745657,1.51085732247165,1805586000.0,0.194968321745657,57.2595635131692,-0.191549295774648,1.60121977020203,0.138219127159756,64.559861625719,0.0445220376560425
1,2020,2,2020-06-30 00:00:00+00:00,3665633000.0,2809178000.0,4132213000.0,21939000.0,2942455000.0,3004960000.0,197196000.0,24178000.0,0.0,68006000.0,-6149000.0,1150343000.0,301041000.0,0.0,97840000.0,5370129000.0,4219786000.0,723178000.0,88924000.0,96502000.0,3006374000.0,160523000.0,301041000.0,633601000.0,27890741.0,1704496000.0,23367000.0,35060000.0,-16144000.0,122862000.0,715000.0,69000.0,105202000.0,0.0,-2103000.0,71658000.0,0.0,105330000.0,-87802000.0,0.0,28333000.0,100886000.0,-4316000.0,0.29,171701000.0,166762000.0,0.29,-4316000.0,0.0,-4939000.0,-12491000.0,8175000.0,0.0,27911000.0,8175000.0,1197976000.0,102647000.0,1364738000.0,8175000.0,0.0,0.0,0.0,3.0,-0.0484531431826533,0.122193417344575,1.59067753720384,1704496000.0,0.122193417344575,48.9315791215443,-0.911585365853659,1.64809891017638,0.152984986955231,61.1133278961645,0.0495773881746287
2,2020,1,2020-03-31 00:00:00+00:00,3534468000.0,2764778000.0,4057082000.0,21939000.0,2868673000.0,2996785000.0,178358000.0,23335000.0,0.0,63461000.0,-7204000.0,1075501000.0,380978000.0,0.0,56631000.0,5206488000.0,4130987000.0,665795000.0,77499000.0,64851000.0,2943136000.0,130423000.0,380978000.0,528271000.0,27767965.0,1672020000.0,17395000.0,104418000.0,-59362000.0,182071000.0,-819000.0,-54470000.0,101335000.0,0.0,-102100000.0,18291000.0,0.0,19790000.0,-77653000.0,0.0,28323000.0,175199000.0,73864000.0,2.75,177746000.0,248867000.0,2.7,73864000.0,0.0,71121000.0,-2524000.0,76388000.0,0.0,27792000.0,76388000.0,1161905000.0,106470000.0,1410772000.0,76388000.0,0.0,0.0,0.0,4.0,0.0783929577432489,0.176404833665539,1.61536358789117,1672020000.0,0.176404833665539,50.8057396355837,-0.135220125786164,1.65355557947871,0.20775800386215,60.2139911945294,0.0679944320811142
3,2019,4,2019-12-31 00:00:00+00:00,3421578000.0,2678374000.0,3964156000.0,21939000.0,2754985000.0,2921448000.0,173139000.0,26096000.0,0.0,80545000.0,-5363000.0,1072204000.0,400156000.0,0.0,27705000.0,5104604000.0,4032400000.0,666593000.0,95195000.0,37814000.0,2851513000.0,115816000.0,400156000.0,508481000.0,27795204.0,1683026000.0,25739000.0,104611000.0,-54350000.0,186589000.0,9000.0,-39029000.0,101479000.0,0.0,-39029000.0,27628000.0,0.0,93219000.0,-81978000.0,0.0,28376000.0,202475000.0,100996000.0,2.6,178289000.0,276445000.0,2.55,100996000.0,0.0,98156000.0,28580000.0,72416000.0,0.0,27770000.0,72416000.0,1163779000.0,112416000.0,1440224000.0,72416000.0,0.0,0.0,0.0,4.0,0.175634519423931,0.191945836203257,1.60848373745299,1683026000.0,0.191945836203257,51.8155578206945,1.24137931034483,1.59140381669683,0.221362564029864,60.5509497249957,0.0724689856281235
5,2019,3,2019-09-30 00:00:00+00:00,3315490000.0,2642737000.0,3904910000.0,21939000.0,2681471000.0,2849032000.0,166802000.0,23871000.0,0.0,49489000.0,-5887000.0,954756000.0,428796000.0,0.0,13458000.0,4937937000.0,3983181000.0,634019000.0,61809000.0,0.0,2809539000.0,118483000.0,428796000.0,415262000.0,27722812.0,1622447000.0,25336000.0,138565000.0,-107369000.0,234528000.0,-97000.0,-40079000.0,92390000.0,0.0,-40256000.0,-11406000.0,0.0,86806000.0,-95963000.0,0.0,28388000.0,212422000.0,120032000.0,3.55,176267000.0,291888000.0,3.47,120032000.0,0.0,115621000.0,21450000.0,98582000.0,0.0,27775000.0,98582000.0,1111809000.0,115070000.0,1403697000.0,98582000.0,0.0,0.0,0.0,4.0,0.145868554220506,0.207942312336637,1.50587916135005,1622447000.0,0.207942312336637,50.6332835211666,1.59124087591241,1.62885875470817,0.203601465352665,58.5238972150444,0.0751471169398027
6,2019,2,2019-06-30 00:00:00+00:00,3121258000.0,2534769000.0,3758606000.0,21939000.0,2572990000.0,2750450000.0,161253000.0,21144000.0,0.0,49362000.0,-5261000.0,832402000.0,417867000.0,0.0,0.0,4659307000.0,3826905000.0,548268000.0,61794000.0,4942000.0,2696022000.0,99007000.0,417867000.0,328456000.0,27713556.0,1538049000.0,21167000.0,40158000.0,-36918000.0,117934000.0,316000.0,-58379000.0,90975000.0,0.0,-58919000.0,40858000.0,0.0,22413000.0,-77776000.0,0.0,28300000.0,214942000.0,123967000.0,3.28,179642000.0,299662000.0,3.22,123967000.0,0.0,120020000.0,32939000.0,91028000.0,0.0,27720000.0,91028000.0,1134569000.0,121395000.0,1434231000.0,91028000.0,0.0,0.0,0.0,5.0,0.132418753750434,0.208935659597373,1.51823925525473,1538049000.0,0.208935659597373,51.7519657167056,0.940828402366864,1.64804177240127,0.16910119368899,55.4980746606462,0.0723836472917158
7,2019,1,2019-03-31 00:00:00+00:00,3141683000.0,2513901000.0,3716677000.0,21939000.0,2560016000.0,2659422000.0,157665000.0,18780000.0,0.0,49725000.0,-5858000.0,837746000.0,457363000.0,0.0,0.0,4625482000.0,3787736000.0,581667000.0,57088000.0,33726000.0,2671566000.0,106214000.0,457363000.0,306043000.0,27659270.0,1483799000.0,19154000.0,118355000.0,-93337000.0,182581000.0,178000.0,-53163000.0,91886000.0,0.0,-63531000.0,-29111000.0,0.0,25891000.0,-64226000.0,0.0,28118000.0,205176000.0,113290000.0,3.18,164334000.0,274495000.0,3.13,113290000.0,0.0,110161000.0,25158000.0,88132000.0,0.0,27696000.0,88132000.0,1033722000.0,102671000.0,1308217000.0,88132000.0,0.0,0.0,0.0,5.0,0.13916790099591,0.209823752481431,1.44025017750706,1483799000.0,0.209823752481431,47.2975967912385,0.492957746478873,1.69423284420599,0.142700950567897,53.6456312838336,0.0729706624438003
8,2018,4,2018-12-31 00:00:00+00:00,824179000.0,0.0,1379254000.0,21939000.0,374189000.0,2573617000.0,0.0,21555000.0,0.0,62312000.0,-6236000.0,814794000.0,426845000.0,0.0,0.0,2265518000.0,1450724000.0,449990000.0,70474000.0,16695000.0,0.0,113071000.0,426845000.0,280152000.0,27787300.0,1441339000.0,20945000.0,51664000.0,-175362000.0,129055000.0,-792000.0,-44573000.0,53217000.0,0.0,-45357000.0,-97971000.0,0.0,-92456000.0,-77391000.0,0.0,27947000.0,96687000.0,43470000.0,1.16,168697000.0,208309000.0,1.14,43470000.0,0.0,39612000.0,11451000.0,32019000.0,0.0,27760000.0,32019000.0,1016752000.0,103720000.0,1225061000.0,32019000.0,0.0,0.0,0.0,6.0,0.103559138816323,0.170039695982486,1.81069357096824,1441339000.0,0.170039695982486,44.0870829479654,-0.256410256410256,0.0,0.125365421033908,51.8704228190576,0.0809648108285098
10,2018,3,2018-09-30 00:00:00+00:00,795035000.0,0.0,1361440000.0,21939000.0,392249000.0,2541598000.0,0.0,18285000.0,0.0,26868000.0,-4855000.0,793071000.0,327787000.0,0.0,21697000.0,2230872000.0,1437801000.0,402786000.0,0.0,27322000.0,0.0,103486000.0,327787000.0,372608000.0,27804105.0,1435837000.0,24574000.0,115585000.0,-60417000.0,197079000.0,50000.0,-18968000.0,52654000.0,0.0,-19322000.0,21077000.0,0.0,117390000.0,-81494000.0,0.0,28017000.0,113138000.0,60484000.0,1.37,170759000.0,228750000.0,1.36,60484000.0,0.0,57991000.0,22280000.0,38204000.0,0.0,27802000.0,38204000.0,996257000.0,109524000.0,1225007000.0,38204000.0,0.0,0.0,0.0,8.0,0.0859278735260276,0.186733626828255,1.96896366805202,1435837000.0,0.186733626828255,44.0584942403289,0.985507246376812,0.0,0.135576443028803,51.6411875152967,0.0885970576162905
11,2018,2,2018-06-30 00:00:00+00:00,736615000.0,0.0,1333949000.0,21939000.0,381454000.0,2503394000.0,0.0,20851000.0,0.0,23702000.0,-5126000.0,720674000.0,348269000.0,0.0,32334000.0,2128622000.0,1407948000.0,355161000.0,0.0,17845000.0,0.0,95597000.0,348269000.0,225658000.0,27793354.0,1392007000.0,11548000.0,23321000.0,-70526000.0,94302000.0,-691000.0,-28923000.0,49193000.0,0.0,-29208000.0,455000.0,0.0,-6123000.0,-70981000.0,0.0,27935000.0,119473000.0,70280000.0,1.69,181682000.0,249639000.0,1.68,70280000.0,0.0,67957000.0,23396000.0,46884000.0,0.0,27819000.0,46884000.0,1016881000.0,85153000.0,1266520000.0,46884000.0,0.0,0.0,0.0,7.0,0.0830428019623588,0.19710624388087,2.02914734444379,1392007000.0,0.19710624388087,45.5691673628163,-0.274678111587983,0.0,0.123271327757909,50.0841676035213,0.081444458373095
