,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,42485000000.0,16737000000.0,2669000000.0,26094000000.0,20690000000.0,6804000000.0,89000000.0,0.0,0.0,11670000000.0,293000000.0,27275000000.0,11356000000.0,9859000000.0,0.0,68364000000.0,41089000000.0,21795000000.0,582000000.0,0.0,16826000000.0,7102000000.0,1497000000.0,12198000000.0,579469539.0,25725000000.0,54000000.0,-1203000000.0,332000000.0,-952000000.0,5000000.0,-9000000.0,298000000.0,0.0,4000000.0,578000000.0,0.0,-611000000.0,-251000000.0,0.0,587971000.0,1257000000.0,959000000.0,0.98,3047000000.0,3908000000.0,0.97,775000000.0,-3000000.0,861000000.0,207000000.0,568000000.0,184000000.0,579510000.0,565000000.0,25182000000.0,2507000000.0,29090000000.0,568000000.0,0.0,0.0,0.0,3.0,0.532989038785835,0.134341698178068,1.25143381509521,25879000000.0,0.134341698178068,50.2010857209183,3.26086956521739,0.650612244897959,0.0934151310413094,44.6598108412391,0.0332437657698987
1,2020-06-30 00:00:00+00:00,2,2020,43142000000.0,16708000000.0,2544000000.0,26136000000.0,21224000000.0,6236000000.0,106000000.0,0.0,0.0,10339000000.0,245000000.0,26822000000.0,11789000000.0,10231000000.0,0.0,68347000000.0,41525000000.0,21918000000.0,448000000.0,0.0,16814000000.0,8704000000.0,1558000000.0,12798000000.0,579129418.0,25056000000.0,47000000.0,3479000000.0,240000000.0,3714000000.0,4000000.0,-3000000.0,330000000.0,58000000.0,-460000000.0,417000000.0,0.0,3498000000.0,-235000000.0,-472000000.0,587498000.0,2465000000.0,2135000000.0,2.08,2831000000.0,4849000000.0,2.05,1948000000.0,-4000000.0,2018000000.0,742000000.0,1206000000.0,187000000.0,579189000.0,1202000000.0,22863000000.0,2255000000.0,27712000000.0,1206000000.0,0.0,0.0,0.0,6.0,0.50969710176509,0.174978348729792,1.22374304224838,25205000000.0,0.174978348729792,47.8511350635619,0.733333333333333,0.666826309067688,0.0847183089005948,43.5222235593634,0.0296347084142765
2,2020-03-31 00:00:00+00:00,1,2020,42739000000.0,17150000000.0,2439000000.0,26315000000.0,21088000000.0,5030000000.0,129000000.0,0.0,0.0,11304000000.0,-5000000.0,24696000000.0,11907000000.0,10521000000.0,0.0,66431000000.0,41735000000.0,21651000000.0,526000000.0,0.0,17279000000.0,8531000000.0,1386000000.0,9308000000.0,586768957.0,23549000000.0,117000000.0,-417000000.0,-3272000000.0,-240000000.0,-1000000.0,-558000000.0,288000000.0,-2592000000.0,839000000.0,-498000000.0,0.0,-2674000000.0,-177000000.0,1390000000.0,552062000.0,599000000.0,311000000.0,0.08,2967000000.0,3155000000.0,0.08,131000000.0,0.0,188000000.0,85000000.0,46000000.0,180000000.0,544436000.0,46000000.0,22870000000.0,2384000000.0,26025000000.0,46000000.0,0.0,0.0,0.0,4.0,0.411027976577749,0.121229586935639,1.14064015518914,23692000000.0,0.121229586935639,44.3530621201558,-0.936507936507937,0.728268716293686,0.0558078097911335,40.3770508261568,0.0191996364565878
3,2019-12-31 00:00:00+00:00,4,2019,28302000000.0,13638000000.0,2121000000.0,8926000000.0,15370000000.0,4984000000.0,88000000.0,0.0,0.0,6247000000.0,134000000.0,20323000000.0,8580000000.0,7717000000.0,0.0,40994000000.0,20671000000.0,12932000000.0,383000000.0,0.0,13726000000.0,4164000000.0,863000000.0,12123000000.0,413796072.0,12551000000.0,71000000.0,-851000000.0,-144000000.0,-651000000.0,-6000000.0,-34000000.0,168000000.0,-5000000.0,6704000000.0,61000000.0,0.0,5903000000.0,-200000000.0,6713000000.0,422536000.0,548000000.0,380000000.0,0.5,1797000000.0,2074000000.0,0.49,267000000.0,-7000000.0,277000000.0,58000000.0,209000000.0,113000000.0,414042000.0,202000000.0,16789000000.0,1733000000.0,18863000000.0,209000000.0,0.0,0.0,0.0,3.0,0.139138836886285,0.109950697131951,1.57152799257655,12692000000.0,0.109950697131951,45.5852563047046,-0.152542372881356,1.08660664488885,0.108822802537277,30.6721132915926,0.0369038223811486
5,2019-09-30 00:00:00+00:00,3,2019,21816000000.0,6975000000.0,1993000000.0,8958000000.0,8536000000.0,4775000000.0,66000000.0,0.0,0.0,5606000000.0,145000000.0,13457000000.0,8719000000.0,7915000000.0,0.0,34252000000.0,20795000000.0,13280000000.0,381000000.0,0.0,7041000000.0,4010000000.0,804000000.0,6215000000.0,413605377.0,12311000000.0,34000000.0,-293000000.0,-459000000.0,-99000000.0,2000000.0,-4000000.0,162000000.0,1000000.0,-108000000.0,-266000000.0,0.0,-664000000.0,-194000000.0,-107000000.0,419956000.0,435000000.0,273000000.0,0.23,1953000000.0,2129000000.0,0.23,174000000.0,1000000.0,176000000.0,79000000.0,95000000.0,99000000.0,413616000.0,96000000.0,16847000000.0,1617000000.0,18976000000.0,95000000.0,0.0,0.0,0.0,4.0,0.172660981337288,0.112194350758853,1.01332831325301,12436000000.0,0.112194350758853,45.8794809140018,3.6,0.566566485257087,0.115340352073654,30.0673073696525,0.0406642121872417
6,2019-06-30 00:00:00+00:00,2,2019,22098000000.0,7047000000.0,1878000000.0,9289000000.0,9445000000.0,4680000000.0,87000000.0,0.0,0.0,5194000000.0,119000000.0,13596000000.0,8397000000.0,7632000000.0,0.0,34368000000.0,20772000000.0,12653000000.0,253000000.0,0.0,7134000000.0,4032000000.0,765000000.0,6875000000.0,413320160.0,12154000000.0,34000000.0,757000000.0,-556000000.0,917000000.0,2000000.0,-2000000.0,158000000.0,-32000000.0,178000000.0,-364000000.0,0.0,541000000.0,-160000000.0,173000000.0,419671000.0,924000000.0,766000000.0,1.2,1638000000.0,2281000000.0,1.18,665000000.0,-3000000.0,643000000.0,170000000.0,495000000.0,101000000.0,413370000.0,492000000.0,16075000000.0,1574000000.0,18356000000.0,495000000.0,0.0,0.0,0.0,6.0,0.294408010718567,0.124264545652648,1.07452777997313,12270000000.0,0.124264545652648,44.4110928438622,0.558441558441558,0.5798091163403,0.112849063273241,29.6864300062208,0.0392938189930382
7,2019-03-31 00:00:00+00:00,1,2019,21925000000.0,6775000000.0,1800000000.0,9189000000.0,8782000000.0,4185000000.0,40000000.0,0.0,0.0,5819000000.0,38000000.0,13616000000.0,7883000000.0,7186000000.0,0.0,33569000000.0,19953000000.0,13143000000.0,363000000.0,0.0,6815000000.0,4641000000.0,697000000.0,6345000000.0,413170382.0,11540000000.0,38000000.0,1140000000.0,-373000000.0,1316000000.0,0.0,-35000000.0,155000000.0,0.0,58000000.0,-197000000.0,0.0,1001000000.0,-176000000.0,91000000.0,419752000.0,942000000.0,787000000.0,1.26,1674000000.0,2359000000.0,1.24,688000000.0,-3000000.0,685000000.0,166000000.0,522000000.0,99000000.0,412924000.0,519000000.0,16085000000.0,1609000000.0,18444000000.0,522000000.0,0.0,0.0,0.0,7.0,0.397908140063665,0.127900672305357,1.03598873925283,11644000000.0,0.127900672305357,44.640179459911,0.285714285714286,0.587088388214905,0.0989935956084172,28.1820781626114,0.0347993889201576
8,2018-12-31 00:00:00+00:00,4,2018,19878000000.0,6648000000.0,1706000000.0,9254000000.0,7907000000.0,3663000000.0,38000000.0,0.0,0.0,5150000000.0,-56000000.0,11998000000.0,7583000000.0,6861000000.0,0.0,30901000000.0,18903000000.0,11971000000.0,385000000.0,0.0,6686000000.0,4051000000.0,722000000.0,5342000000.0,410710734.0,10917000000.0,40000000.0,-820000000.0,-1022000000.0,-634000000.0,0.0,-54000000.0,141000000.0,-97000000.0,152000000.0,-739000000.0,0.0,-1504000000.0,-186000000.0,206000000.0,420226000.0,596000000.0,455000000.0,0.59,1795000000.0,2183000000.0,0.58,357000000.0,0.0,388000000.0,116000000.0,241000000.0,98000000.0,411221000.0,241000000.0,14376000000.0,1556000000.0,16559000000.0,241000000.0,0.0,0.0,0.0,4.0,0.293065750429486,0.131831632344948,1.00225545067246,11023000000.0,0.131831632344948,40.3179138726869,-0.112781954887218,0.608958505083814,0.0907189476602071,26.8388407886121,0.0310422433194506
10,2018-09-30 00:00:00+00:00,3,2018,20396000000.0,6379000000.0,1584000000.0,9226000000.0,7655000000.0,3422000000.0,4000000.0,0.0,0.0,4647000000.0,-79000000.0,13088000000.0,6866000000.0,6272000000.0,0.0,31157000000.0,18069000000.0,12741000000.0,286000000.0,0.0,6383000000.0,4550000000.0,594000000.0,6847000000.0,410513342.0,10653000000.0,38000000.0,421000000.0,-2310000000.0,548000000.0,0.0,-5000000.0,139000000.0,-1721000000.0,82000000.0,-462000000.0,0.0,-1680000000.0,-127000000.0,88000000.0,419043000.0,263000000.0,124000000.0,0.05,2177000000.0,2218000000.0,0.05,27000000.0,-3000000.0,41000000.0,8000000.0,19000000.0,97000000.0,410591000.0,16000000.0,13964000000.0,1934000000.0,16182000000.0,19000000.0,0.0,0.0,0.0,7.0,0.360060514372163,0.137065875664318,1.02723491091751,10761000000.0,0.137065875664318,39.4189380573165,-0.915966386554622,0.598798460527551,0.0998427672955975,26.2135207288829,0.0332569558101473
11,2018-06-30 00:00:00+00:00,2,2018,18035000000.0,6275000000.0,1327000000.0,6847000000.0,8173000000.0,3403000000.0,4000000.0,0.0,0.0,4067000000.0,-67000000.0,12377000000.0,6348000000.0,5746000000.0,0.0,28743000000.0,16366000000.0,9862000000.0,523000000.0,0.0,6279000000.0,3803000000.0,602000000.0,6707000000.0,357066518.0,10610000000.0,34000000.0,-670000000.0,-489000000.0,-526000000.0,0.0,2776000000.0,111000000.0,-11000000.0,3865000000.0,-334000000.0,0.0,2850000000.0,-144000000.0,1151000000.0,398902000.0,666000000.0,555000000.0,0.77,1465000000.0,1954000000.0,0.75,475000000.0,-1000000.0,489000000.0,175000000.0,300000000.0,80000000.0,391037000.0,299000000.0,12227000000.0,1237000000.0,14181000000.0,300000000.0,0.0,0.0,0.0,5.0,0.186297473648988,0.137790000705169,1.25501926586899,10708000000.0,0.137790000705169,39.7152891271648,0.0476190476190477,0.591423185673893,0.136063031990634,29.9888100961625,0.0439816708943622
