,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,55.32,55.51,54.82,55.09,3962373,51.0728852737,51.2482982926,50.6112720663,50.8605431983,3962373,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,56.34,56.39,55.33,55.38,4102331,52.014576217,52.0607375377,51.0821175379,51.1282788586,4102331,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,56.99,57.19,56.09,56.41,4894264,52.6146733867,52.7993186697,51.7837696132,52.079202066,4894264,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,56.88,56.91,56.18,56.68,3756383,52.513118481,52.5408152735,51.8668599906,52.328473198,3756383,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,57.46,57.46,56.59,56.76,4517880,53.0485898017,53.0485898017,52.2453828207,52.4023313112,4517880,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,57.93,58.32,57.41,57.47,5505021,53.4825062167,53.8425645185,53.0024284809,53.0578220658,5505021,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,57.65,58.28,57.56,58.14,4626262,53.2240028205,53.8056354619,53.1409124432,53.6763837638,4626262,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,59.18,59.48,57.54,58.17,7324118,54.6365392354,54.9135071598,53.1224479149,53.7040805563,7324118,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,60.05,60.24,59.12,59.39,6733775,55.4397462164,55.6151592352,54.5811456505,54.8304167825,6733775,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,58.84,60.22,58.8,60.0,5447814,54.3226422543,55.5966947069,54.2857131977,55.3935848956,5447814,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,59.86,60.19,58.78,58.97,5744307,55.2643331975,55.5689979144,54.2672486694,54.4426616882,5744307,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,59.76,60.06,59.15,59.62,4372354,55.172010556,55.4489784805,54.6088424429,55.0427588579,4372354,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,59.75,59.81,59.27,59.68,5015267,55.1627782919,55.2181718768,54.7196296127,55.0981524428,5015267,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,60.67,60.68,59.79,59.86,5701784,56.0121465936,56.0213788578,55.1997073485,55.2643331975,5701784,0.0,1.0,66963407588.8622,80341407588.8622,-89.2205882353,2.3548568242,0.0204321958
14,2018-01-23 00:00:00+00:00,60.47,60.7,60.03,60.61,5429213,55.8275013106,56.0398433861,55.4212816881,55.9567530087,5429213,0.0,1.0,66742661231.2264,80120661231.2264,-88.9264705882,2.3470939865,0.0203648406
15,2018-01-24 00:00:00+00:00,60.49,61.32,60.45,60.54,4879342,55.8459658389,56.6122437633,55.8090367823,55.8921271597,4879342,0.0,1.0,66764735866.9899,80142735866.9899,-88.9558823529,2.3478702702,0.0203715761
16,2018-01-25 00:00:00+00:00,59.48,60.9,59.4,60.75,5467102,54.9135071598,56.224488669,54.8396490466,56.0860047068,5467102,0.0,1.0,65649966760.9284,79027966760.9284,-87.4705882353,2.3086679397,0.0200314324
17,2018-01-26 00:00:00+00:00,60.39,60.52,59.61,59.7,5148504,55.7536431974,55.8736626314,55.0335265938,55.1166169711,5148504,0.0,1.0,66654362688.1719,80032362688.1719,-88.8088235294,2.3439888514,0.0203378985
18,2018-01-29 00:00:00+00:00,59.66,60.53,59.56,59.92,3987680,55.0796879145,55.8828948955,54.987365273,55.3197267824,3987680,0.0,1.0,65848638482.8007,79226638482.8007,-87.7352941176,2.3156544937,0.0200920521
