,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,32374000000.0,14905000000.0,41269000000.0,0.0,27734000000.0,36448000000.0,482000000.0,1034000000.0,0.0,2119000000.0,-5666000000.0,11059000000.0,13250000000.0,8409000000.0,0.0,63157000000.0,52098000000.0,4640000000.0,0.0,4193000000.0,15387000000.0,2239000000.0,4841000000.0,2490000000.0,1072566210.0,30783000000.0,0.0,-264000000.0,-1116000000.0,868000000.0,31000000.0,-4000000.0,1411000000.0,50000000.0,-177000000.0,-59000000.0,-454000000.0,-394000000.0,-1132000000.0,280000000.0,1077377000.0,1099000000.0,-312000000.0,-0.42,1654000000.0,1399000000.0,-0.42,-512000000.0,0.0,-255000000.0,-62000000.0,-450000000.0,200000000.0,1077377000.0,-450000000.0,2981000000.0,96000000.0,4380000000.0,-450000000.0,0.0,125000000.0,0.0,3.0,-0.566035866442089,0.319406392694064,2.38340517241379,30783000000.0,0.319406392694064,4.08366398191865,-1.15217391304348,0.48419582236949,-0.0376131661637059,28.7003261085393,-0.0184756446991404
1,2020-06-30 00:00:00+00:00,2,2020,31553000000.0,14852000000.0,41120000000.0,0.0,27448000000.0,37351000000.0,146000000.0,982000000.0,0.0,1532000000.0,-5825000000.0,11053000000.0,13457000000.0,8501000000.0,0.0,63046000000.0,51993000000.0,4105000000.0,0.0,4213000000.0,14998000000.0,2080000000.0,4956000000.0,2907000000.0,1072425162.0,31493000000.0,0.0,-719000000.0,-530000000.0,157000000.0,29000000.0,0.0,1158000000.0,0.0,-649000000.0,-95000000.0,-455000000.0,-993000000.0,-876000000.0,-190000000.0,1077606000.0,1363000000.0,205000000.0,0.24,1402000000.0,1698000000.0,0.24,3000000.0,18000000.0,296000000.0,-257000000.0,260000000.0,202000000.0,1076659000.0,278000000.0,2318000000.0,156000000.0,4016000000.0,260000000.0,0.0,97000000.0,0.0,4.0,-0.520763723150358,0.422808764940239,2.6925700365408,31493000000.0,0.422808764940239,3.74478345184519,-0.828571428571429,0.471596862794907,0.0691164855004325,29.3661517054185,0.0341646432382787
2,2020-03-31 00:00:00+00:00,1,2020,33646000000.0,14847000000.0,40645000000.0,0.0,27571000000.0,37545000000.0,126000000.0,726000000.0,0.0,2264000000.0,-6145000000.0,13144000000.0,13160000000.0,8874000000.0,0.0,65033000000.0,51889000000.0,6075000000.0,0.0,4994000000.0,14973000000.0,2921000000.0,4286000000.0,3908000000.0,1081132415.0,31315000000.0,0.0,456000000.0,-1932000000.0,2105000000.0,-122000000.0,-724000000.0,1411000000.0,66000000.0,-1230000000.0,-935000000.0,-458000000.0,-1179000000.0,-1649000000.0,-24000000.0,1084561000.0,22000000.0,-1389000000.0,-1.6,2111000000.0,727000000.0,-1.6,-1591000000.0,28000000.0,-1384000000.0,148000000.0,-1739000000.0,202000000.0,1084561000.0,-1711000000.0,4084000000.0,-3000000.0,4811000000.0,-1739000000.0,0.0,188000000.0,0.0,4.0,-0.521626727652381,0.151112034919975,2.16362139917695,31387000000.0,0.151112034919975,4.44996369847999,-1.99378881987578,0.474117834903401,0.107634394203157,29.0315964673023,0.0522031549930001
3,2019-12-31 00:00:00+00:00,4,2019,35464000000.0,14790000000.0,42269000000.0,0.0,28421000000.0,39742000000.0,105000000.0,1026000000.0,0.0,3401000000.0,-5357000000.0,16913000000.0,14045000000.0,8906000000.0,0.0,70514000000.0,53601000000.0,7043000000.0,0.0,5664000000.0,14895000000.0,3200000000.0,5139000000.0,5088000000.0,1097268667.0,34981000000.0,0.0,1387000000.0,-3830000000.0,2982000000.0,22000000.0,-740000000.0,1488000000.0,0.0,-1270000000.0,-2245000000.0,-463000000.0,-2096000000.0,-1595000000.0,-21000000.0,1101042000.0,2947000000.0,1459000000.0,0.68,2212000000.0,3808000000.0,0.68,1263000000.0,23000000.0,1596000000.0,543000000.0,720000000.0,196000000.0,1095366000.0,743000000.0,4332000000.0,187000000.0,8140000000.0,720000000.0,0.0,151000000.0,0.0,8.0,-0.214361548113116,0.467813267813268,2.40139145250603,35050000000.0,0.467813267813268,7.41842015980941,-0.580246913580247,0.422800949086647,0.211500272134861,31.9429516709238,0.101391685148424
5,2019-09-30 00:00:00+00:00,3,2019,35101000000.0,14799000000.0,43814000000.0,0.0,29159000000.0,39484000000.0,121000000.0,955000000.0,0.0,3616000000.0,-5654000000.0,15217000000.0,11994000000.0,9135000000.0,0.0,70340000000.0,55123000000.0,5942000000.0,0.0,5770000000.0,14920000000.0,3171000000.0,2859000000.0,7193000000.0,1110141595.0,35146000000.0,0.0,662000000.0,150000000.0,2337000000.0,-94000000.0,-752000000.0,1566000000.0,65000000.0,-1132000000.0,-180000000.0,-341000000.0,1261000000.0,-1675000000.0,-21000000.0,1113250000.0,5228000000.0,3662000000.0,2.76,2073000000.0,5815000000.0,2.74,3478000000.0,15000000.0,3742000000.0,422000000.0,3056000000.0,184000000.0,1108555000.0,3071000000.0,4278000000.0,87000000.0,10093000000.0,3056000000.0,0.0,360000000.0,0.0,7.0,-0.00708312838170189,0.576141880511245,2.56092224840121,35239000000.0,0.576141880511245,9.09163303623444,0.725,0.421072099243157,0.250887752031297,31.7427976383499,0.117804570455597
6,2019-06-30 00:00:00+00:00,2,2019,38187000000.0,14809000000.0,44334000000.0,0.0,29191000000.0,36769000000.0,114000000.0,1089000000.0,0.0,3651000000.0,-5827000000.0,15800000000.0,11583000000.0,9016000000.0,0.0,71261000000.0,55461000000.0,8996000000.0,0.0,6038000000.0,14923000000.0,3635000000.0,2567000000.0,5941000000.0,1130175935.0,32976000000.0,0.0,1162000000.0,-1461000000.0,2891000000.0,-49000000.0,-1248000000.0,1490000000.0,0.0,-1654000000.0,-484000000.0,-346000000.0,-273000000.0,-1729000000.0,-19000000.0,1131242000.0,3696000000.0,2206000000.0,1.4,1756000000.0,4094000000.0,1.4,2041000000.0,17000000.0,2338000000.0,461000000.0,1580000000.0,165000000.0,1125995000.0,1597000000.0,4286000000.0,129000000.0,8380000000.0,1580000000.0,0.0,122000000.0,0.0,7.0,-0.0930735930735931,0.48854415274463,1.75633614939973,33074000000.0,0.48854415274463,7.41477476247979,0.0,0.449084182435711,0.220221393111529,29.2644702260449,0.100841878607106
7,2019-03-31 00:00:00+00:00,1,2019,38517000000.0,14832000000.0,45942000000.0,0.0,31147000000.0,35534000000.0,113000000.0,1014000000.0,0.0,3869000000.0,-5914000000.0,13683000000.0,11624000000.0,9570000000.0,0.0,71498000000.0,57815000000.0,7370000000.0,0.0,6582000000.0,14945000000.0,3846000000.0,2054000000.0,6218000000.0,1134404094.0,32859000000.0,0.0,1257000000.0,-1477000000.0,2894000000.0,75000000.0,-790000000.0,1546000000.0,62000000.0,-1173000000.0,-1000000.0,-350000000.0,319000000.0,-1637000000.0,-19000000.0,1146515000.0,4453000000.0,2907000000.0,1.61,1818000000.0,4836000000.0,1.6,2674000000.0,13000000.0,3018000000.0,841000000.0,1833000000.0,233000000.0,1139463000.0,1846000000.0,5221000000.0,153000000.0,10057000000.0,1833000000.0,0.0,110000000.0,0.0,8.0,0.12230777814976,0.48085910311226,1.85658073270014,32981000000.0,0.48085910311226,8.86544755364749,1.14666666666667,0.451383182689674,0.225432349949135,29.0734141162223,0.10253051927252
8,2018-12-31 00:00:00+00:00,4,2018,37916000000.0,14856000000.0,45698000000.0,0.0,30521000000.0,34010000000.0,112000000.0,1007000000.0,0.0,4067000000.0,-6063000000.0,13274000000.0,11374000000.0,9664000000.0,0.0,69980000000.0,56706000000.0,7395000000.0,0.0,6341000000.0,14968000000.0,3895000000.0,1710000000.0,5915000000.0,1151241888.0,31939000000.0,0.0,2166000000.0,-178000000.0,3783000000.0,-77000000.0,-926000000.0,1612000000.0,0.0,-1317000000.0,624000000.0,-354000000.0,2211000000.0,-1617000000.0,-25000000.0,1159830000.0,4462000000.0,2850000000.0,1.62,1810000000.0,4733000000.0,1.6,2662000000.0,10000000.0,2923000000.0,794000000.0,1868000000.0,188000000.0,1150977000.0,1878000000.0,5628000000.0,65000000.0,10361000000.0,1868000000.0,0.0,102000000.0,0.0,9.0,0.186011904761905,0.456809188302287,1.79499661933739,32064000000.0,0.456809188302287,8.99984625993734,0.265625,0.465136666771032,0.199462849765296,27.8516620479327,0.0893222316996135
10,2018-09-30 00:00:00+00:00,3,2018,38477000000.0,14902000000.0,44736000000.0,0.0,31076000000.0,32495000000.0,95000000.0,1239000000.0,0.0,4499000000.0,-5442000000.0,14723000000.0,12849000000.0,9888000000.0,0.0,70556000000.0,55833000000.0,7401000000.0,0.0,7117000000.0,14997000000.0,3918000000.0,2961000000.0,3716000000.0,1162095308.0,31950000000.0,0.0,1811000000.0,-1638000000.0,3410000000.0,-26000000.0,-848000000.0,1494000000.0,60000000.0,-1263000000.0,-261000000.0,-334000000.0,483000000.0,-1599000000.0,-18000000.0,1172694000.0,4574000000.0,3080000000.0,1.6,1770000000.0,4956000000.0,1.59,2894000000.0,12000000.0,3186000000.0,1033000000.0,1861000000.0,186000000.0,1163033000.0,1873000000.0,5209000000.0,119000000.0,10165000000.0,1861000000.0,0.0,103000000.0,0.0,9.0,0.412786657400973,0.487555336940482,1.98932576678827,32079000000.0,0.487555336940482,8.74713109159202,3.57142857142857,0.46641627543036,0.192291272302549,27.6044484296291,0.0841805339567884
11,2018-06-30 00:00:00+00:00,2,2018,37714000000.0,14885000000.0,46306000000.0,0.0,31076000000.0,30967000000.0,89000000.0,1093000000.0,0.0,3930000000.0,-5637000000.0,11608000000.0,12605000000.0,9834000000.0,0.0,68936000000.0,57328000000.0,6638000000.0,0.0,6835000000.0,14974000000.0,3666000000.0,2771000000.0,3234000000.0,1170066208.0,31042000000.0,0.0,1343000000.0,-1949000000.0,3342000000.0,-139000000.0,-586000000.0,1438000000.0,0.0,-3003000000.0,-336000000.0,-337000000.0,-1749000000.0,-1999000000.0,-2064000000.0,1181167000.0,4220000000.0,2782000000.0,1.4,1733000000.0,4590000000.0,1.39,2605000000.0,14000000.0,2857000000.0,965000000.0,1640000000.0,177000000.0,1172378000.0,1654000000.0,4650000000.0,118000000.0,9240000000.0,1640000000.0,0.0,69000000.0,0.0,8.0,0.0403062373339338,0.496753246753247,1.74871949382344,31222000000.0,0.496753246753247,7.89698902235112,-1.50359712230216,0.479511629405322,0.147585476180773,26.6839600926241,0.0628998978762427
