,date,quarter,year,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.equity,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.cashFlow.ncfi,statementData.cashFlow.capex,statementData.cashFlow.ncfx,statementData.cashFlow.ncff,statementData.cashFlow.sbcomp,statementData.cashFlow.ncf,statementData.cashFlow.payDiv,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfo,statementData.cashFlow.depamor,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.epsDil,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.incomeStatement.eps,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.shareswa,statementData.incomeStatement.opex,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.revenue,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2020-10-31 00:00:00+00:00,1,2021,25604000.0,1127000.0,0.0,3741188000.0,359816000.0,-128494000.0,28244000.0,1030355000.0,407897000.0,388440000.0,2184334000.0,9476000.0,605732000.0,2603012000.0,134813000.0,0.0,2710833000.0,2137649000.0,0.0,1138176000.0,0.0,525939000.0,500335000.0,622819000.0,407536000.0,235971920.0,-146822000.0,-146822000.0,-2895000.0,19198000.0,8913000.0,128014000.0,0.0,0.0,-327000.0,20014000.0,0.0,111711000.0,258533000.0,29227000.0,281074000.0,200285000.0,0.83,200285000.0,0.0,239968000.0,5032000.0,0.0,0.85,0.0,296769000.0,235791000.0,48175000.0,246815000.0,200285000.0,592940000.0,251847000.0,46530000.0,248594000.0,48175000.0,296171000.0,0.0,0.203484885881523,0.0694702971011356,2710833000.0,2.79282321071022,-0.0957446808510638,0.500504266873545,2.51275660256525,0.184568728505223,0.500504266873545,11.4879473795018,6.0,0.283991539116492
1,2020-07-31 00:00:00+00:00,4,2020,25572000.0,26953000.0,0.0,3455261000.0,318530000.0,-121088000.0,20080000.0,965745000.0,350207000.0,391394000.0,2060174000.0,8233000.0,477718000.0,2491502000.0,120360000.0,0.0,2489516000.0,1937853000.0,0.0,963759000.0,0.0,518192000.0,492620000.0,609701000.0,356044000.0,234777526.0,-112363000.0,-103929000.0,1611000.0,15166000.0,6093000.0,171331000.0,0.0,-8434000.0,-1065000.0,20305000.0,0.0,162988000.0,266917000.0,27501000.0,234286000.0,165533000.0,0.69,165533000.0,0.0,238932000.0,4902000.0,0.0,0.7,0.0,250431000.0,234867000.0,44716000.0,201883000.0,165533000.0,525659000.0,206785000.0,36350000.0,205715000.0,44716000.0,275228000.0,0.0,0.223587672548762,-0.03117725660047,2489516000.0,2.70685364730202,0.044776119402985,0.476413416302204,2.23896643326926,0.197877820427746,0.476413416302204,10.6037236289814,6.0,0.317351396049924
3,2020-04-30 00:00:00+00:00,3,2020,26938000.0,31888000.0,0.0,3161583000.0,250841000.0,-138923000.0,19809000.0,880572000.0,346244000.0,386710000.0,1944931000.0,7884000.0,306387000.0,2367431000.0,105424000.0,0.0,2281011000.0,1773580000.0,0.0,794152000.0,0.0,516289000.0,489351000.0,594004000.0,286568000.0,233705480.0,-90132000.0,-86864000.0,267000.0,8693000.0,5555000.0,212876000.0,0.0,-3268000.0,-13600000.0,23062000.0,0.0,207184000.0,294048000.0,28659000.0,226262000.0,147487000.0,0.62,147487000.0,0.0,238591000.0,5803000.0,0.0,0.63,0.0,242613000.0,234133000.0,47512000.0,191800000.0,147487000.0,550360000.0,197603000.0,44313000.0,195101000.0,47512000.0,307747000.0,0.0,0.236915847292656,-0.0049826799441709,2281011000.0,2.77125150051646,-0.258823529411765,0.44082600479686,2.35492980310089,0.214532503350488,0.44082600479686,9.76019475452608,5.0,0.339239919513927
4,2020-01-31 00:00:00+00:00,2,2020,37529000.0,68763000.0,0.0,3048605000.0,296977000.0,-119870000.0,18515000.0,923876000.0,445963000.0,388553000.0,1893686000.0,7603000.0,93511000.0,2316642000.0,99877000.0,0.0,2124729000.0,1626862000.0,0.0,731963000.0,0.0,519281000.0,481752000.0,581039000.0,342837000.0,232454206.0,-267203000.0,-267203000.0,-2311000.0,37461000.0,6141000.0,-87591000.0,0.0,0.0,13600000.0,23929000.0,0.0,-122741000.0,144462000.0,24393000.0,234381000.0,168707000.0,0.71,168707000.0,0.0,238470000.0,4914000.0,0.0,0.73,0.0,259889000.0,232671000.0,49997000.0,205074000.0,168707000.0,575140000.0,209988000.0,36367000.0,209892000.0,49997000.0,315251000.0,0.0,0.270427568470602,0.186105119014721,2124729000.0,2.13501751561238,0.280701754385965,0.451870848836805,2.47420775858106,0.226735739004833,0.451870848836805,9.14041968335045,3.0,0.393699668969617
5,2019-10-31 00:00:00+00:00,1,2020,27645000.0,48774000.0,0.0,2855939000.0,289247000.0,-119290000.0,19482000.0,929340000.0,394309000.0,389796000.0,1682082000.0,5113000.0,181102000.0,2111863000.0,93956000.0,0.0,1926599000.0,1458223000.0,0.0,744076000.0,0.0,540887000.0,513242000.0,606022000.0,323318000.0,232250144.0,-131510000.0,-131510000.0,2569000.0,-88734000.0,5533000.0,-5217000.0,0.0,0.0,0.0,12620000.0,0.0,80948000.0,212458000.0,23704000.0,229812000.0,218180000.0,0.91,218180000.0,0.0,238662000.0,4026000.0,0.0,0.94,0.0,254869000.0,231169000.0,49478000.0,202082000.0,218180000.0,554424000.0,206108000.0,-16098000.0,205391000.0,49478000.0,299555000.0,0.0,0.275772713724943,0.201695826325189,1926599000.0,2.30137511675811,0.918367346938775,0.459700518015093,2.38718474163788,0.266397937505418,0.459700518015093,8.29536191805332,6.0,0.410266539992055
6,2019-07-31 00:00:00+00:00,4,2019,1138000.0,19937000.0,0.0,2547617000.0,270918000.0,-132529000.0,20941000.0,769236000.0,367265000.0,388477000.0,1427726000.0,6466000.0,186319000.0,1860450000.0,87281000.0,0.0,1778381000.0,1338328000.0,0.0,687167000.0,0.0,401229000.0,400091000.0,487232000.0,282004000.0,229112884.0,-114114000.0,-114114000.0,-8068000.0,12525000.0,5845000.0,83493000.0,0.0,0.0,-7000000.0,20819000.0,0.0,79036000.0,193150000.0,21625000.0,213297000.0,153496000.0,0.64,153496000.0,0.0,238338000.0,4602000.0,0.0,0.67,0.0,242619000.0,229190000.0,49817000.0,187070000.0,153496000.0,542575000.0,191672000.0,33574000.0,192802000.0,49817000.0,299956000.0,0.0,0.246075487262365,0.20780770352364,1778381000.0,2.43672784783195,0.425531914893617,0.447162143482468,2.36815577774317,0.224974850720965,0.447162143482468,7.76202965521572,8.0,0.362504453245593
8,2019-04-30 00:00:00+00:00,3,2019,7556000.0,19235000.0,0.0,2391763000.0,279779000.0,-113191000.0,22309000.0,772911000.0,376564000.0,395352000.0,1340692000.0,7988000.0,102826000.0,1778178000.0,75382000.0,0.0,1618852000.0,1186125000.0,0.0,613585000.0,0.0,406391000.0,398835000.0,476005000.0,296906000.0,228205906.0,-122914000.0,-122169000.0,-900000.0,-119826000.0,5650000.0,-5348000.0,0.0,-745000.0,-86300000.0,12041000.0,0.0,116123000.0,238292000.0,21222000.0,230675000.0,192741000.0,0.81,192741000.0,0.0,237892000.0,5324000.0,0.0,0.85,0.0,251579000.0,227984000.0,44085000.0,204129000.0,192741000.0,553116000.0,209453000.0,11388000.0,207494000.0,44085000.0,301537000.0,0.0,0.23371123997324,0.156667321904316,1618852000.0,2.06659683536203,0.545454545454545,0.454839491173642,2.4237584806416,0.246369031881852,0.454839491173642,7.09382166472063,7.0,0.346161767270026
9,2019-01-31 00:00:00+00:00,2,2019,94122000.0,373000.0,0.0,2296905000.0,266126000.0,-107223000.0,28315000.0,836952000.0,393561000.0,398310000.0,1237117000.0,7344000.0,108174000.0,1668439000.0,67145000.0,0.0,1459953000.0,1037051000.0,0.0,628466000.0,0.0,492862000.0,398740000.0,464919000.0,372033000.0,234015480.0,-57713000.0,-57713000.0,2287000.0,-264230000.0,5929000.0,-212135000.0,0.0,0.0,93300000.0,-357505000.0,0.0,49808000.0,107521000.0,20509000.0,190708000.0,131373000.0,0.55,131373000.0,0.0,240660000.0,5233000.0,0.0,0.57,0.0,208226000.0,230798000.0,43487000.0,164966000.0,131373000.0,484898000.0,170199000.0,33593000.0,164739000.0,43487000.0,276672000.0,0.0,0.210915181459297,0.0561787473916699,1459953000.0,1.68927487615346,0.266666666666667,0.429422270250651,2.0720765993771,0.273118381208162,0.429422270250651,6.23870267043872,6.0,0.312688453465389
10,2018-10-31 00:00:00+00:00,1,2019,999000.0,492000.0,0.0,2381788000.0,235982000.0,-115646000.0,19734000.0,710028000.0,336004000.0,398017000.0,1188088000.0,4934000.0,320309000.0,1618566000.0,65962000.0,0.0,1671760000.0,1253275000.0,0.0,763222000.0,0.0,399641000.0,398642000.0,455220000.0,254808000.0,233916190.0,-61526000.0,-61526000.0,-1595000.0,1227000.0,6021000.0,45789000.0,0.0,0.0,0.0,1229000.0,0.0,46157000.0,107683000.0,21978000.0,175415000.0,114083000.0,0.47,114083000.0,0.0,244826000.0,4651000.0,0.0,0.49,0.0,195918000.0,233888000.0,44478000.0,148786000.0,114083000.0,461368000.0,153437000.0,34703000.0,151440000.0,44478000.0,265450000.0,0.0,0.202011064410517,0.100675624093442,1671760000.0,2.99528272267747,0.441176470588235,0.424645835862045,1.97236454646427,0.238456477006269,0.424645835862045,7.14683323116711,6.0,0.300743296254003
11,2018-07-31 00:00:00+00:00,4,2018,1151000.0,15782000.0,0.0,2307698000.0,270944000.0,-107928000.0,16734000.0,726599000.0,351601000.0,402127000.0,1163425000.0,4488000.0,274520000.0,1598582000.0,47683000.0,0.0,1581099000.0,1162146000.0,0.0,709116000.0,0.0,399898000.0,398747000.0,449343000.0,277256000.0,232278137.0,-103362000.0,-105158000.0,-6746000.0,22481000.0,5982000.0,70245000.0,0.0,1796000.0,0.0,23773000.0,0.0,52714000.0,157872000.0,28362000.0,165697000.0,109748000.0,0.45,109741000.0,-7000.0,244418000.0,4599000.0,0.0,0.47,0.0,188425000.0,233011000.0,53588000.0,132736000.0,109748000.0,449223000.0,137335000.0,22988000.0,134837000.0,52457000.0,260798000.0,0.0,0.192585361941823,0.186549778655876,1581099000.0,2.55762183685835,0.566666666666667,0.4194464664543,1.93398744196058,0.252196099042501,0.4194464664543,6.80692130744961,7.0,0.300584329860347
