,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,19725000000.0,2403000000.0,75719000000.0,5048000000.0,16477000000.0,5759000000.0,79076000000.0,746000000.0,1305000000.0,327000000.0,55994000000.0,54046000000.0,637856746.0,8290000000.0,1503000000.0,7089000000.0,15767000000.0,32483000000.0,41440000000.0,35681000000.0,0.0,-7939000000.0,25030000000.0,3242000000.0,3357000000.0,0.0,0.0,-133000000.0,6528000000.0,0.0,-2575000000.0,0.0,0.0,10247000000.0,-2708000000.0,-1144000000.0,-980000000.0,10128000000.0,0.0,0.0,0.0,1956000000.0,0.0,3062000000.0,-6859000000.0,291000000.0,-5379000000.0,-5379000000.0,0.0,-8.47,-6568000000.0,-1480000000.0,-6386000000.0,7818000000.0,-8.47,-6568000000.0,-5379000000.0,1432000000.0,1630000000.0,637856746.0,0.0,3.0,-0.756210191082803,0.467668190725016,1.26894803548796,3357000000.0,0.467668190725016,4.80045091503979,-4.65086206896552,10.6288352695859,-1.00992472551182,5.26293720502566,-0.148021657935328
1,2020-06-30 00:00:00+00:00,2,2020,20150000000.0,2332000000.0,63571000000.0,4302000000.0,11366000000.0,5962000000.0,72261000000.0,847000000.0,0.0,5706000000.0,43421000000.0,53346000000.0,637836206.0,6274000000.0,1375000000.0,6981000000.0,15770000000.0,34123000000.0,30745000000.0,24783000000.0,447000000.0,-7937000000.0,18915000000.0,1972000000.0,8690000000.0,0.0,0.0,-281000000.0,5357000000.0,0.0,-290000000.0,0.0,0.0,9722000000.0,-571000000.0,-4075000000.0,-3836000000.0,7690000000.0,0.0,0.0,0.0,2086000000.0,0.0,1468000000.0,-7014000000.0,194000000.0,-5717000000.0,-5717000000.0,0.0,-9.01,-6820000000.0,-1297000000.0,-4815000000.0,4945000000.0,-9.01,-6820000000.0,-5717000000.0,130000000.0,1338000000.0,637836206.0,0.0,3.0,-0.882897255902999,0.0885558583106267,0.938709677419355,8690000000.0,0.0885558583106267,2.30153131194312,-5.05855855855856,2.85189873417722,-0.273879270004679,13.6241873983554,-0.0544446511627907
2,2020-03-31 00:00:00+00:00,1,2020,19392000000.0,3337000000.0,54429000000.0,0.0,5967000000.0,5105000000.0,68738000000.0,974000000.0,0.0,11423000000.0,35037000000.0,58463000000.0,640093995.0,4139000000.0,2280000000.0,6817000000.0,15772000000.0,37132000000.0,22971000000.0,17866000000.0,1502000000.0,-7898000000.0,10275000000.0,4139000000.0,14309000000.0,0.0,-260000000.0,-937000000.0,2731000000.0,-344000000.0,358000000.0,0.0,0.0,5344000000.0,-579000000.0,-2971000000.0,0.0,5606000000.0,0.0,-2099000000.0,0.0,2771000000.0,0.0,8592000000.0,-607000000.0,79000000.0,-534000000.0,-534000000.0,0.0,-0.84,-528000000.0,-73000000.0,-410000000.0,5081000000.0,-0.84,-528000000.0,-534000000.0,4671000000.0,3921000000.0,640093995.0,0.0,5.0,-0.179526355996944,0.543645251396648,0.529857673267327,14309000000.0,0.543645251396648,13.4230285975421,-1.76363636363636,1.24858480676497,0.238665598964101,22.354529353146,0.0540834803692564
3,2019-12-31 00:00:00+00:00,4,2019,20204000000.0,3266000000.0,49174000000.0,0.0,2882000000.0,3088000000.0,64532000000.0,1251000000.0,120000000.0,12454000000.0,28970000000.0,56283000000.0,646742854.0,3204000000.0,2854000000.0,6728000000.0,14944000000.0,36937000000.0,17255000000.0,14167000000.0,1456000000.0,-7989000000.0,8249000000.0,3204000000.0,15358000000.0,0.0,-259000000.0,-1072000000.0,1032000000.0,-225000000.0,957000000.0,0.0,0.0,842000000.0,-115000000.0,-767000000.0,279000000.0,1042000000.0,2581000000.0,0.0,0.0,2950000000.0,0.0,11439000000.0,1398000000.0,73000000.0,1098000000.0,1098000000.0,0.0,1.71,1471000000.0,300000000.0,1399000000.0,5598000000.0,1.71,4052000000.0,1098000000.0,6997000000.0,4442000000.0,646742854.0,0.0,7.0,0.0648854961832062,0.611679342599878,0.408285488022174,15358000000.0,0.611679342599878,17.687091444848,0.147651006711409,0.922450839953119,0.332734095470809,23.7466868091595,0.0756177858871128
5,2019-09-30 00:00:00+00:00,3,2019,20211000000.0,3470000000.0,48151000000.0,0.0,1899000000.0,3040000000.0,63219000000.0,1072000000.0,0.0,11772000000.0,27940000000.0,56275000000.0,650200617.0,753000000.0,2836000000.0,6696000000.0,14602000000.0,36611000000.0,16404000000.0,13364000000.0,1245000000.0,-7645000000.0,6944000000.0,753000000.0,15068000000.0,0.0,-260000000.0,-944000000.0,-331000000.0,-209000000.0,2244000000.0,0.0,0.0,-1451000000.0,1300000000.0,-1124000000.0,0.0,-355000000.0,0.0,-81000000.0,0.0,2884000000.0,0.0,12560000000.0,1947000000.0,70000000.0,1495000000.0,1495000000.0,0.0,2.32,2017000000.0,452000000.0,2071000000.0,5687000000.0,2.31,2017000000.0,1495000000.0,7758000000.0,4802000000.0,650200617.0,0.0,9.0,0.0507822304024095,0.617675159235669,0.34357528078769,15068000000.0,0.617675159235669,19.3171148590282,0.202072538860104,0.88691266259623,0.337048755932691,23.1743858834265,0.0756443569342005
6,2019-06-30 00:00:00+00:00,2,2019,21164000000.0,3359000000.0,48560000000.0,0.0,2009000000.0,3122000000.0,62518000000.0,1083000000.0,0.0,10686000000.0,27396000000.0,55384000000.0,654996477.0,893000000.0,2844000000.0,6654000000.0,14605000000.0,36071000000.0,16371000000.0,13249000000.0,0.0,-7694000000.0,7134000000.0,893000000.0,13958000000.0,0.0,-228000000.0,-1560000000.0,44000000.0,-268000000.0,3269000000.0,0.0,0.0,-1662000000.0,1709000000.0,-1563000000.0,0.0,-1165000000.0,0.0,-89000000.0,0.0,2752000000.0,0.0,12536000000.0,1907000000.0,75000000.0,1443000000.0,1443000000.0,0.0,2.22,1982000000.0,464000000.0,2128000000.0,5617000000.0,2.21,1982000000.0,1443000000.0,7745000000.0,4791000000.0,654996477.0,0.0,8.0,0.0646284501061571,0.617820676451819,0.337081837081837,13958000000.0,0.617820676451819,19.1390342394162,0.48993288590604,0.949204757128528,0.332768153335791,21.3100382828471,0.0753501260286778
7,2019-03-31 00:00:00+00:00,1,2019,21323000000.0,3214000000.0,48930000000.0,0.0,1910000000.0,3996000000.0,61841000000.0,1071000000.0,0.0,9656000000.0,27607000000.0,54645000000.0,678950098.0,1018000000.0,3154000000.0,6624000000.0,14608000000.0,35175000000.0,17511000000.0,13515000000.0,0.0,-7766000000.0,7196000000.0,1018000000.0,12911000000.0,0.0,-233000000.0,-1360000000.0,237000000.0,-1325000000.0,1942000000.0,0.0,0.0,-609000000.0,582000000.0,-1096000000.0,206000000.0,965000000.0,0.0,0.0,0.0,2639000000.0,0.0,10472000000.0,946000000.0,83000000.0,730000000.0,730000000.0,0.0,1.1,1029000000.0,216000000.0,1020000000.0,5147000000.0,1.09,1029000000.0,730000000.0,6167000000.0,4305000000.0,678950098.0,0.0,6.0,0.050561797752809,0.588903743315508,0.337475964920508,12911000000.0,0.588903743315508,15.4238139604775,0.392405063291139,1.04678181395709,0.309040972196095,19.0161250996682,0.0705348939056959
8,2018-12-31 00:00:00+00:00,4,2018,18578000000.0,2976000000.0,46579000000.0,0.0,1565000000.0,2473000000.0,60266000000.0,1055000000.0,0.0,10039000000.0,28001000000.0,53926000000.0,685618701.0,1136000000.0,2314000000.0,6641000000.0,14611000000.0,34329000000.0,16527000000.0,14054000000.0,163000000.0,-7825000000.0,6340000000.0,1136000000.0,13687000000.0,0.0,-239000000.0,-1363000000.0,100000000.0,-325000000.0,1245000000.0,0.0,0.0,-125000000.0,-118000000.0,-1020000000.0,304000000.0,310000000.0,2329000000.0,0.0,0.0,2739000000.0,0.0,10742000000.0,1345000000.0,67000000.0,1019000000.0,1019000000.0,0.0,1.49,1412000000.0,326000000.0,1091000000.0,5188000000.0,1.49,3741000000.0,1019000000.0,6279000000.0,4463000000.0,685618701.0,0.0,5.0,0.050254204145483,0.584528020852728,0.341263860480138,13687000000.0,0.584528020852728,15.6676006420659,2.38636363636364,1.02681376488639,0.298007726687372,19.9629910619956,0.0698933566666519
10,2018-09-30 00:00:00+00:00,3,2018,18158000000.0,3265000000.0,41299000000.0,478000000.0,2594000000.0,1176000000.0,55003000000.0,1170000000.0,432000000.0,9696000000.0,23141000000.0,48277000000.0,691331319.0,478000000.0,2517000000.0,6542000000.0,14629000000.0,28565000000.0,9291000000.0,8115000000.0,0.0,-7535000000.0,6726000000.0,0.0,13704000000.0,0.0,-240000000.0,-962000000.0,-612000000.0,-325000000.0,1499000000.0,0.0,0.0,-1208000000.0,537000000.0,-903000000.0,42000000.0,-648000000.0,0.0,0.0,0.0,2753000000.0,0.0,11953000000.0,1688000000.0,73000000.0,1322000000.0,1322000000.0,0.0,1.93,1761000000.0,366000000.0,1645000000.0,5475000000.0,1.92,1761000000.0,1322000000.0,7120000000.0,4833000000.0,691331319.0,0.0,5.0,0.0806437031009855,0.595666359909646,0.3704152439696,13704000000.0,0.595666359909646,17.289828583623,0.191358024691358,0.592162872154116,0.248843108021763,19.8226228486547,0.0588063034207588
11,2018-06-30 00:00:00+00:00,2,2018,19269000000.0,3749000000.0,42940000000.0,520000000.0,3212000000.0,1342000000.0,55796000000.0,1589000000.0,804000000.0,8851000000.0,23671000000.0,48155000000.0,702478205.0,520000000.0,2427000000.0,6491000000.0,14633000000.0,28124000000.0,9904000000.0,8562000000.0,0.0,-7606000000.0,7641000000.0,0.0,12856000000.0,0.0,-213000000.0,-1578000000.0,1778000000.0,-600000000.0,2898000000.0,0.0,0.0,423000000.0,1320000000.0,-1543000000.0,3000000.0,1275000000.0,0.0,0.0,0.0,2668000000.0,0.0,11775000000.0,1386000000.0,79000000.0,1036000000.0,1036000000.0,0.0,1.49,1465000000.0,350000000.0,1684000000.0,5450000000.0,1.49,1465000000.0,1036000000.0,7134000000.0,4641000000.0,702478205.0,0.0,5.0,0.0956546012840793,0.605859872611465,0.396543671181691,12856000000.0,0.605859872611465,16.762085878522,-0.0858895705521472,0.665992532669571,0.234868319728939,18.3009236564144,0.056619622876184
