,year,quarter,date,statementData.balanceSheet.acctPay,statementData.balanceSheet.acctRec,statementData.balanceSheet.inventory,statementData.balanceSheet.accoci,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.debt,statementData.balanceSheet.deposits,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.investments,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.assetsNonCurrent,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncfx,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.ncf,statementData.cashFlow.depamor,statementData.cashFlow.ncfi,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.sbcomp,statementData.cashFlow.capex,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.intexp,statementData.incomeStatement.costRev,statementData.incomeStatement.opex,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswa,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.netinc,statementData.incomeStatement.eps,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.grossProfit,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.ebit,statementData.incomeStatement.sga,statementData.overview.roa,statementData.overview.revenueQoQ,statementData.overview.bookVal,statementData.overview.currentRatio,statementData.overview.epsQoQ,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.longTermDebtEquity,statementData.overview.profitMargin,statementData.overview.bvps,statementData.overview.piotroskiFScore,statementData.overview.roe
0,2021,3,2020-10-30 00:00:00+00:00,3770528000.0,0.0,5025810000.0,-2406000.0,12416600000.0,13460968000.0,0.0,2199443000.0,697407000.0,0.0,3346821000.0,0.0,6985519000.0,1044368000.0,26153442000.0,13045157000.0,111139000.0,19167923000.0,7533432000.0,13281712000.0,0.0,0.0,5538489000.0,5886211000.0,249033698.0,18620010000.0,476205000.0,-1527000.0,0.0,203310000.0,-963471000.0,-760161000.0,145849000.0,-272895000.0,-873582000.0,0.0,-88362000.0,16889000.0,-272895000.0,0.0,40298000.0,5631385000.0,1795110000.0,0.0,773130000.0,247131000.0,249063000.0,2.31,732832000.0,574260000.0,2.32,574260000.0,2568240000.0,574260000.0,0.0,8199625000.0,0.0,158572000.0,918979000.0,0.0,773130000.0,1795110000.0,0.102242793406106,0.172817062350808,6985519000.0,1.2798440286969,0.622377622377622,0.313214323825785,32.9257649300136,1.77747709225327,0.313214323825785,28.0504970054294,6.0,0.360697263323851
1,2021,2,2020-07-31 00:00:00+00:00,3400642000.0,0.0,4391157000.0,-2649000.0,12213885000.0,13229618000.0,0.0,2959604000.0,706139000.0,0.0,3758995000.0,0.0,7356071000.0,1015733000.0,25847433000.0,12675787000.0,36176000.0,18491362000.0,7597408000.0,13080174000.0,0.0,0.0,5538520000.0,5411188000.0,251721828.0,18250025000.0,1171009000.0,-482000.0,0.0,942861000.0,-657169000.0,285692000.0,140962000.0,-228148000.0,-567085000.0,0.0,-89651000.0,15509000.0,-228148000.0,0.0,39326000.0,5866006000.0,1775608000.0,0.0,1042627000.0,250281000.0,252190000.0,3.12,1003301000.0,787601000.0,3.15,787601000.0,2818235000.0,787601000.0,0.0,8684241000.0,0.0,215700000.0,1183589000.0,0.0,1042627000.0,1775608000.0,0.0975271859854762,0.243848214051686,7356071000.0,1.40401848910073,0.909090909090909,0.324522891522702,34.4993561702563,1.66038160860601,0.324522891522702,29.2230159714238,8.0,0.335149332003645
2,2021,1,2020-05-01 00:00:00+00:00,2954361000.0,0.0,4107331000.0,-2892000.0,11923980000.0,12915614000.0,0.0,2673912000.0,805963000.0,0.0,3659804000.0,0.0,7209454000.0,991634000.0,24848313000.0,12280946000.0,17191000.0,17638859000.0,6992483000.0,12795631000.0,0.0,0.0,5538550000.0,4843228000.0,251941312.0,17855830000.0,1736326000.0,1068560000.0,0.0,1541358000.0,892234000.0,2433592000.0,137655000.0,-194968000.0,-72086000.0,0.0,-90617000.0,18968000.0,-194968000.0,0.0,30493000.0,5852757000.0,1728908000.0,0.0,866784000.0,251780000.0,253627000.0,2.56,836291000.0,650446000.0,2.58,650446000.0,2595692000.0,650446000.0,0.0,8448449000.0,0.0,185845000.0,1004439000.0,0.0,866784000.0,1728908000.0,0.0859960047700682,0.275587047621348,7209454000.0,1.44376498484069,0.731543624161074,0.307238878994239,33.5334008263004,1.65393662266241,0.307238878994239,28.6156087017599,8.0,0.289715240633732
3,2020,4,2020-01-31 00:00:00+00:00,2860682000.0,0.0,4676848000.0,-3135000.0,10731676000.0,11696481000.0,0.0,240320000.0,683589000.0,0.0,3162660000.0,0.0,6702500000.0,964805000.0,22825084000.0,12074542000.0,76537000.0,16122584000.0,5177868000.0,11579579000.0,0.0,0.0,5538595000.0,4543005000.0,254600137.0,17647216000.0,576888000.0,148160000.0,0.0,310544000.0,-346300000.0,-35756000.0,132426000.0,-266344000.0,-413668000.0,0.0,-80792000.0,12984000.0,-266344000.0,0.0,25567000.0,4884879000.0,1551888000.0,0.0,720875000.0,253358000.0,255146000.0,2.1,695308000.0,535437000.0,2.11,535437000.0,2272763000.0,535437000.0,0.0,7157642000.0,0.0,159871000.0,853301000.0,0.0,720875000.0,1551888000.0,0.0774388903275229,0.0763680580900894,6702500000.0,1.1397451686714,0.146739130434782,0.317529571889737,28.1132684543685,1.60114524431182,0.317529571889737,26.3255946323391,6.0,0.256825875099503
5,2020,3,2019-11-01 00:00:00+00:00,2844171000.0,0.0,4496377000.0,-3378000.0,10451413000.0,11392472000.0,0.0,276076000.0,637382000.0,0.0,3120738000.0,0.0,6648295000.0,941059000.0,22412790000.0,11770451000.0,103188000.0,15764495000.0,5068542000.0,11258457000.0,0.0,0.0,5538648000.0,4506038000.0,257068296.0,17344248000.0,530589000.0,189900000.0,0.0,306041000.0,-289533000.0,16508000.0,126470000.0,-224548000.0,-396118000.0,0.0,-81640000.0,11100000.0,-224548000.0,0.0,24264000.0,4926307000.0,1573669000.0,0.0,491417000.0,256041000.0,257699000.0,1.42,467153000.0,365550000.0,1.43,365550000.0,2065086000.0,365550000.0,0.0,6991393000.0,0.0,101603000.0,617887000.0,0.0,491417000.0,1573669000.0,0.0842408737106465,0.0894327071979546,6648295000.0,1.12483339021997,0.134920634920635,0.295375470954072,27.1966364922729,1.57204411055767,0.295375470954072,25.86197949513,5.0,0.251688554099274
6,2020,2,2019-08-02 00:00:00+00:00,2727079000.0,0.0,4419628000.0,-3621000.0,10054354000.0,10969984000.0,0.0,259568000.0,631075000.0,0.0,3234944000.0,0.0,6749160000.0,915630000.0,21917529000.0,11425752000.0,61692000.0,15168369000.0,4919138000.0,10856099000.0,0.0,0.0,5538700000.0,4312270000.0,258322808.0,16998391000.0,556326000.0,-159400000.0,0.0,409037000.0,-420580000.0,-11543000.0,123423000.0,-147289000.0,-178800000.0,0.0,-82380000.0,10874000.0,-147289000.0,0.0,24810000.0,4832817000.0,1571161000.0,0.0,577775000.0,257793000.0,259102000.0,1.65,552965000.0,426555000.0,1.65,426555000.0,2148936000.0,426555000.0,0.0,6981753000.0,0.0,126410000.0,701198000.0,0.0,577775000.0,1571161000.0,0.0936893897974304,0.0835663787038616,6749160000.0,1.14073052012049,0.0784313725490196,0.307793186037948,27.0272418221778,1.48971931321824,0.307793186037948,26.1268451371123,5.0,0.249694444667986
7,2020,1,2019-05-03 00:00:00+00:00,2452898000.0,0.0,4109759000.0,-3864000.0,9971050000.0,10866074000.0,0.0,271111000.0,678651000.0,0.0,3074584000.0,0.0,6572669000.0,895024000.0,21304284000.0,11148751000.0,25164000.0,14731615000.0,4583769000.0,10774899000.0,0.0,0.0,5538753000.0,3956716000.0,259518801.0,16720515000.0,574195000.0,-121825000.0,0.0,429891000.0,-394267000.0,35624000.0,122485000.0,-144304000.0,-189686000.0,0.0,-82756000.0,13631000.0,-144304000.0,0.0,25933000.0,4620909000.0,1490039000.0,0.0,512237000.0,259021000.0,260265000.0,1.48,486304000.0,385013000.0,1.49,385013000.0,2002276000.0,385013000.0,0.0,6623185000.0,0.0,101291000.0,634722000.0,0.0,512237000.0,1490039000.0,0.106293248846373,0.0831997838567344,6572669000.0,1.1584781419743,0.0955882352941175,0.302313162020991,25.521021885424,1.51704733647777,0.302313162020991,25.3263693215044,5.0,0.250284121698159
8,2019,4,2019-02-01 00:00:00+00:00,2385469000.0,0.0,4097004000.0,-3207000.0,2862740000.0,2864690000.0,0.0,235487000.0,619720000.0,0.0,2941107000.0,0.0,6417393000.0,1950000.0,13204038000.0,2970806000.0,57804000.0,6786645000.0,4663020000.0,3770788000.0,0.0,0.0,5538806000.0,3015857000.0,262884331.0,8541018000.0,629433000.0,-40444000.0,0.0,446911000.0,-472112000.0,-25201000.0,117771000.0,-182522000.0,-356373000.0,0.0,-75295000.0,9688000.0,-182522000.0,0.0,25061000.0,4578120000.0,1433186000.0,0.0,638503000.0,261408000.0,262538000.0,1.83,613442000.0,483241000.0,1.84,483241000.0,2071689000.0,483241000.0,0.0,6649809000.0,0.0,130201000.0,756274000.0,0.0,638503000.0,1433186000.0,0.122828692221538,0.0848982556455893,6417393000.0,1.54616747412095,-0.297709923664122,0.311541128474517,25.295570012501,0.446090803539693,0.311541128474517,24.4114701533885,7.0,0.250423527685187
10,2019,3,2018-11-02 00:00:00+00:00,2336772000.0,0.0,3979105000.0,-3451000.0,2902439000.0,2904368000.0,0.0,260688000.0,587903000.0,0.0,2890147000.0,0.0,6355888000.0,1929000.0,13121021000.0,2921943000.0,114647000.0,6765133000.0,4630344000.0,3782951000.0,0.0,0.0,5538859000.0,2982182000.0,265534401.0,8490677000.0,416828000.0,124887000.0,0.0,237366000.0,-241966000.0,-4600000.0,114852000.0,-179462000.0,-290333000.0,0.0,-76520000.0,9412000.0,-179462000.0,0.0,24586000.0,4522403000.0,1452916000.0,0.0,442143000.0,264490000.0,265522000.0,1.26,417557000.0,334142000.0,1.26,334142000.0,1895059000.0,334142000.0,0.0,6417462000.0,0.0,83415000.0,556995000.0,0.0,442143000.0,1452916000.0,0.14240877518602,0.0870410389853253,6355888000.0,1.5526698236392,0.354838709677419,0.29529726860868,24.1681001626603,0.456653578540088,0.29529726860868,23.9362130709384,8.0,0.289818169734121
11,2019,2,2018-08-03 00:00:00+00:00,2294996000.0,0.0,3896432000.0,-3695000.0,2776811000.0,2778720000.0,0.0,265288000.0,576940000.0,0.0,2928064000.0,0.0,6378942000.0,1909000.0,12943949000.0,2857274000.0,68353000.0,6565007000.0,4517826000.0,3649463000.0,0.0,0.0,5538911000.0,2915544000.0,267557504.0,8426123000.0,548641000.0,-87534000.0,0.0,343021000.0,-361703000.0,-18682000.0,112176000.0,-205620000.0,-197178000.0,0.0,-77051000.0,9373000.0,-205620000.0,0.0,25451000.0,4468436000.0,1429397000.0,0.0,545476000.0,266457000.0,267226000.0,1.52,519006000.0,407237000.0,1.53,407237000.0,1974873000.0,407237000.0,0.0,6443309000.0,0.0,111769000.0,656633000.0,0.0,544457000.0,1429397000.0,0.138034319324548,0.105520215568677,6378942000.0,1.54956536413102,0.416666666666667,0.306499812441092,24.0819595925069,0.435309021464688,0.306499812441092,23.8413870089026,9.0,0.283726950198342
