,year,quarter,date,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.deferredRev,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.nonControllingInterests,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,4,2020-10-03 00:00:00+00:00,201549000000.0,86658000000.0,17914000000.0,58628000000.0,83583000000.0,4116000000.0,1583000000.0,166298000000.0,0.0,35251000000.0,1807063365.0,52917000000.0,0.0,26628000000.0,7288000000.0,113286000000.0,12708000000.0,32078000000.0,121884000000.0,3903000000.0,-8322000000.0,38315000000.0,5711000000.0,3903000000.0,0.0,16801000000.0,938000000.0,-6439000000.0,-5873000000.0,1335000000.0,87000000.0,-729000000.0,0.0,137000000.0,-515000000.0,0.0,0.0,67000000.0,1667000000.0,-5200000000.0,11013000000.0,2812000000.0,-165000000.0,1811000000.0,496000000.0,49000000.0,14707000000.0,0.0,4540000000.0,-710000000.0,-846000000.0,1811000000.0,0.0,-710000000.0,-0.4,-661000000.0,-629000000.0,-0.4,0.0,3694000000.0,1170000000.0,81000000.0,3.0,-0.2307249712313,0.251172910858775,1.3238320564819,88263000000.0,0.251172910858775,8.13861886907325,-1.8695652173913,0.633107210796454,-0.032767660241467,48.8433342789836,-0.0140316496007055
2,2020,3,2020-06-27 00:00:00+00:00,207649000000.0,86269000000.0,23115000000.0,64421000000.0,85866000000.0,3707000000.0,1559000000.0,166319000000.0,0.0,41330000000.0,1806266743.0,54197000000.0,0.0,30917000000.0,7055000000.0,117186000000.0,12622000000.0,31891000000.0,122382000000.0,3611000000.0,-6617000000.0,39004000000.0,10224000000.0,3611000000.0,0.0,16986000000.0,452000000.0,8303000000.0,8945000000.0,1379000000.0,27000000.0,-708000000.0,0.0,142000000.0,-714000000.0,0.0,0.0,31000000.0,1160000000.0,8776000000.0,7896000000.0,2455000000.0,-4640000000.0,1809000000.0,412000000.0,-331000000.0,11779000000.0,0.0,8879000000.0,-4721000000.0,-4996000000.0,1809000000.0,0.0,-4721000000.0,-2.61,-5052000000.0,-4512000000.0,-2.61,3000000.0,3883000000.0,-3261000000.0,209000000.0,3.0,-0.418665482183397,0.32965446981917,1.33680499401624,90463000000.0,0.32965446981917,6.52118522673813,-3.69072164948454,0.631181142710735,-0.0123976140228285,50.082857557213,-0.00543965384021017
3,2020,2,2020-03-28 00:00:00+00:00,206294000000.0,75944000000.0,14339000000.0,55446000000.0,90407000000.0,4891000000.0,1531000000.0,173020000000.0,0.0,33274000000.0,1805438643.0,42770000000.0,0.0,35473000000.0,7965000000.0,111417000000.0,14532000000.0,32151000000.0,129114000000.0,3180000000.0,-6637000000.0,43721000000.0,12676000000.0,3180000000.0,0.0,17906000000.0,1933000000.0,5499000000.0,6984000000.0,1333000000.0,-117000000.0,-1247000000.0,0.0,131000000.0,-1058000000.0,0.0,-1587000000.0,81000000.0,3180000000.0,7504000000.0,11918000000.0,3388000000.0,1285000000.0,1808000000.0,300000000.0,525000000.0,18009000000.0,0.0,4866000000.0,460000000.0,1225000000.0,1816000000.0,0.0,460000000.0,0.25,985000000.0,520000000.0,0.25,15000000.0,6091000000.0,2618000000.0,60000000.0,4.0,0.206875753920386,0.338219778999389,0.938009190088236,94877000000.0,0.338219778999389,9.97486127253564,-0.929775280898876,0.473082836506023,0.0598698795314773,52.5506642764376,0.0265498624030314
4,2020,1,2019-12-28 00:00:00+00:00,200948000000.0,71378000000.0,6833000000.0,48075000000.0,89757000000.0,5024000000.0,1571000000.0,173172000000.0,0.0,27776000000.0,1802398289.0,38057000000.0,0.0,34797000000.0,8364000000.0,106175000000.0,17100000000.0,31895000000.0,129522000000.0,3312000000.0,-6533000000.0,43202000000.0,10018000000.0,3312000000.0,0.0,19755000000.0,273000000.0,1117000000.0,1177000000.0,1298000000.0,41000000.0,-1338000000.0,0.0,115000000.0,-1350000000.0,0.0,0.0,126000000.0,1611000000.0,1419000000.0,13016000000.0,3703000000.0,2849000000.0,1805000000.0,283000000.0,459000000.0,20858000000.0,0.0,5151000000.0,2107000000.0,2691000000.0,1817000000.0,0.0,2107000000.0,1.17,2566000000.0,2147000000.0,1.16,26000000.0,7842000000.0,4147000000.0,40000000.0,2.0,0.363000718813305,0.375970850512993,0.7982297324482,94773000000.0,0.375970850512993,11.5723589659932,-0.374331550802139,0.424000356518155,0.115562438029879,52.5816078379555,0.0506773138043527
5,2019,4,2019-09-28 00:00:00+00:00,193984000000.0,68754000000.0,5418000000.0,46986000000.0,88877000000.0,4722000000.0,1649000000.0,165860000000.0,0.0,28124000000.0,1801379029.0,38129000000.0,0.0,31341000000.0,7902000000.0,100095000000.0,15481000000.0,31603000000.0,126318000000.0,3224000000.0,-6617000000.0,42494000000.0,8857000000.0,3224000000.0,0.0,17762000000.0,711000000.0,-13444000000.0,-11605000000.0,1301000000.0,-145000000.0,-1309000000.0,0.0,120000000.0,9667000000.0,0.0,-1585000000.0,40000000.0,2020000000.0,-1902000000.0,11844000000.0,3699000000.0,1756000000.0,1803000000.0,361000000.0,341000000.0,19118000000.0,0.0,5314000000.0,1054000000.0,1960000000.0,1816000000.0,0.0,1054000000.0,0.46,1395000000.0,1205000000.0,0.45,-299000000.0,7274000000.0,3057000000.0,151000000.0,3.0,0.336362365441074,0.380479129616069,0.897354902523851,93889000000.0,0.380479129616069,10.6129802180572,-0.705128205128205,0.42900862990425,0.138346636295654,52.1206245262668,0.0616043090692756
7,2019,3,2019-06-29 00:00:00+00:00,209475000000.0,68526000000.0,6728000000.0,58234000000.0,90472000000.0,4730000000.0,1516000000.0,178105000000.0,0.0,31370000000.0,1799698922.0,36311000000.0,0.0,44593000000.0,10404000000.0,113119000000.0,15673000000.0,31392000000.0,102915000000.0,3872000000.0,-3721000000.0,41382000000.0,21923000000.0,3872000000.0,0.0,17647000000.0,-2570000000.0,-342000000.0,1159000000.0,1306000000.0,-28000000.0,-1177000000.0,0.0,135000000.0,-1102000000.0,0.0,0.0,195000000.0,-1393000000.0,-2865000000.0,12837000000.0,3368000000.0,2564000000.0,1802000000.0,411000000.0,393000000.0,20262000000.0,0.0,4881000000.0,1760000000.0,2544000000.0,1814000000.0,0.0,1760000000.0,0.97,2153000000.0,1982000000.0,0.97,-366000000.0,7425000000.0,3870000000.0,222000000.0,1.0,0.330487884956333,0.366449511400651,0.703473639360438,96356000000.0,0.366449511400651,11.2585498342594,-0.505102040816326,0.401350694137413,0.176344101410023,53.5400665200821,0.0791958300393987
8,2019,2,2019-03-30 00:00:00+00:00,214342000000.0,65627000000.0,10108000000.0,56961000000.0,89938000000.0,4281000000.0,1445000000.0,180065000000.0,0.0,34277000000.0,1490776763.0,37803000000.0,0.0,44376000000.0,11208000000.0,110003000000.0,14593000000.0,31017000000.0,102042000000.0,4080000000.0,-3786000000.0,41212000000.0,19158000000.0,4080000000.0,0.0,20503000000.0,2685000000.0,13107000000.0,14425000000.0,828000000.0,119000000.0,-1195000000.0,0.0,364000000.0,-11347000000.0,-9901000000.0,-1310000000.0,46000000.0,3880000000.0,5759000000.0,8376000000.0,2330000000.0,7242000000.0,1530000000.0,143000000.0,1647000000.0,14922000000.0,0.0,3820000000.0,5452000000.0,2726000000.0,1537000000.0,0.0,5452000000.0,3.56,7099000000.0,5611000000.0,3.55,-21000000.0,6546000000.0,8070000000.0,159000000.0,3.0,0.0257080010998076,0.438681141938078,0.772422029926086,104339000000.0,0.438681141938078,10.0095469491833,0.825641025641026,0.420322889101381,0.22930055504753,69.9896876511752,0.105364168130818
9,2019,1,2018-12-29 00:00:00+00:00,99941000000.0,27929000000.0,4455000000.0,20665000000.0,50316000000.0,3434000000.0,1357000000.0,82404000000.0,0.0,17537000000.0,1488670964.0,17176000000.0,0.0,17619000000.0,3177000000.0,45548000000.0,10123000000.0,29797000000.0,38036000000.0,2970000000.0,-3782000000.0,84887000000.0,3489000000.0,2970000000.0,0.0,10696000000.0,904000000.0,-411000000.0,-302000000.0,732000000.0,-44000000.0,-1195000000.0,0.0,92000000.0,-1336000000.0,0.0,0.0,37000000.0,2099000000.0,308000000.0,9001000000.0,2152000000.0,3496000000.0,1490000000.0,63000000.0,645000000.0,15303000000.0,0.0,2884000000.0,2788000000.0,3418000000.0,1498000000.0,0.0,2788000000.0,1.87,3433000000.0,2786000000.0,1.86,0.0,6302000000.0,4228000000.0,-2000000.0,5.0,-0.00312683212820009,0.411814676860746,0.995345933367388,54393000000.0,0.411814676860746,10.2796389330262,-0.361774744027304,0.341362588441053,0.230402252952797,36.5379599087821,0.110940765140131
10,2018,4,2018-09-29 00:00:00+00:00,98598000000.0,27906000000.0,4150000000.0,20874000000.0,48773000000.0,4591000000.0,1392000000.0,81773000000.0,0.0,16825000000.0,1487242596.0,17084000000.0,0.0,17860000000.0,3109000000.0,45766000000.0,9334000000.0,29540000000.0,38081000000.0,2899000000.0,-3097000000.0,82679000000.0,3790000000.0,2899000000.0,0.0,9479000000.0,2652000000.0,-3862000000.0,-2736000000.0,794000000.0,26000000.0,-1201000000.0,0.0,86000000.0,-193000000.0,0.0,-1249000000.0,81000000.0,3853000000.0,-176000000.0,8108000000.0,2321000000.0,3264000000.0,1490000000.0,159000000.0,783000000.0,14306000000.0,0.0,3120000000.0,2322000000.0,3078000000.0,1498000000.0,0.0,2322000000.0,1.56,3105000000.0,2419000000.0,1.55,0.0,6198000000.0,4058000000.0,97000000.0,8.0,0.119492918068707,0.433244792394799,0.942049272116461,52832000000.0,0.433244792394799,9.61914353346023,0.356521739130435,0.350275767330285,0.274913939367488,35.5234580707235,0.128202062243841
12,2018,3,2018-06-30 00:00:00+00:00,98792000000.0,28507000000.0,4326000000.0,23673000000.0,46088000000.0,4459000000.0,1322000000.0,81063000000.0,0.0,17729000000.0,1490523320.0,17681000000.0,0.0,20214000000.0,3222000000.0,48721000000.0,10071000000.0,29373000000.0,38198000000.0,3155000000.0,-3262000000.0,80364000000.0,5992000000.0,3155000000.0,0.0,9763000000.0,2459000000.0,-2099000000.0,-917000000.0,744000000.0,-106000000.0,-1220000000.0,0.0,113000000.0,-1338000000.0,0.0,0.0,-931000000.0,3679000000.0,136000000.0,8348000000.0,2213000000.0,3854000000.0,1491000000.0,143000000.0,795000000.0,15229000000.0,0.0,2957000000.0,2916000000.0,3924000000.0,1498000000.0,0.0,2916000000.0,1.96,3711000000.0,3059000000.0,1.95,0.0,6881000000.0,4598000000.0,143000000.0,8.0,0.0696024722573396,0.451835314203165,0.877065400217671,50071000000.0,0.451835314203165,10.217216863135,0.298013245033113,0.383635653532373,0.273493969051938,33.592899438836,0.12323129826935
