,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,22774975000.0,12062819000.0,2339345000.0,802286000.0,16244846000.0,7642343000.0,2092638000.0,516216000.0,0.0,1143500000.0,-1583000.0,5005471000.0,1240493000.0,256634000.0,0.0,36100437000.0,31094966000.0,6530129000.0,1408370000.0,3635500000.0,14155457000.0,747533000.0,983859000.0,1811308000.0,525305181.0,12691256000.0,13135000.0,893963000.0,-2742942000.0,1006795000.0,0.0,12936000.0,199083000.0,-1312500000.0,969562000.0,-956277000.0,0.0,-766585000.0,-112832000.0,956626000.0,583957000.0,970418000.0,771335000.0,0.96,715731000.0,1526979000.0,0.86,778113000.0,28360000.0,811248000.0,273514000.0,504599000.0,-6778000.0,525532000.0,532959000.0,3004612000.0,516648000.0,4531591000.0,504599000.0,0.0,0.0,0.0,5.0,0.430262567767645,0.336963110748521,0.766519466920179,13325462000.0,0.336963110748521,8.62658729421517,0.297297297297297,0.950482678782935,0.118102398247607,25.367086566009,0.041594805461696
1,2020-06-30 00:00:00+00:00,2,2020,20732122000.0,11063565000.0,2385277000.0,0.0,14951912000.0,7137744000.0,2073410000.0,315369000.0,0.0,531827000.0,-2664000.0,4108574000.0,249414000.0,209212000.0,0.0,33497474000.0,29388900000.0,5780210000.0,1555701000.0,2992146000.0,13136975000.0,372266000.0,40202000.0,2589817000.0,524157534.0,12159505000.0,18393000.0,735390000.0,43585000.0,834943000.0,0.0,3551000.0,152124000.0,0.0,-1115313000.0,519608000.0,0.0,-236785000.0,-99553000.0,-1118863000.0,582619000.0,767305000.0,615181000.0,0.86,563972000.0,1201622000.0,0.78,603687000.0,28063000.0,637650000.0,151344000.0,452343000.0,11494000.0,524292000.0,480406000.0,1985468000.0,411848000.0,3187090000.0,452343000.0,0.0,0.0,0.0,5.0,-0.00754271151479524,0.377027947124179,0.710800126638997,12765352000.0,0.377027947124179,6.0804048273014,0.264705882352941,0.909869686307132,0.111354646196109,24.354037044138,0.0383784469861744
2,2020-03-31 00:00:00+00:00,1,2020,21435715000.0,13061484000.0,2436377000.0,0.0,16804728000.0,6685401000.0,1171741000.0,329386000.0,0.0,544106000.0,198000.0,4642289000.0,783730000.0,223010000.0,0.0,33673295000.0,29031006000.0,4630987000.0,1526750000.0,2899549000.0,14233225000.0,356555000.0,560720000.0,2827051000.0,523047356.0,11659779000.0,16418000.0,778789000.0,-481136000.0,875953000.0,0.0,5525000.0,166820000.0,0.0,-11186000.0,-144212000.0,0.0,383631000.0,-97164000.0,-16713000.0,581381000.0,300531000.0,133711000.0,0.14,996083000.0,1140161000.0,0.13,118105000.0,26175000.0,144078000.0,45006000.0,73099000.0,15606000.0,523152000.0,99274000.0,2077228000.0,472845000.0,3217389000.0,73099000.0,0.0,0.0,0.0,5.0,0.00948968731880329,0.354374618673713,1.0024405164601,12237580000.0,0.354374618673713,6.15123843585589,-0.808219178082192,1.12021711560742,0.106058127596349,23.3966960345365,0.0346014615509527
3,2019-12-31 00:00:00+00:00,4,2019,21114788000.0,13053024000.0,2850512000.0,136415000.0,16618697000.0,6612302000.0,1171366000.0,322898000.0,0.0,588358000.0,-18000.0,4015100000.0,637845000.0,221141000.0,0.0,33230935000.0,29215835000.0,4496091000.0,1376502000.0,2870655000.0,14224390000.0,280645000.0,416704000.0,2443643000.0,493058488.0,11564521000.0,5968000.0,514093000.0,-575627000.0,633772000.0,0.0,1002812000.0,173555000.0,0.0,982356000.0,-223107000.0,0.0,1040501000.0,-119679000.0,-20436000.0,561733000.0,685034000.0,511479000.0,0.78,665476000.0,1188428000.0,0.69,505390000.0,24143000.0,522952000.0,115986000.0,389404000.0,6089000.0,503420000.0,413547000.0,2052437000.0,491921000.0,3240865000.0,389404000.0,0.0,0.0,0.0,6.0,-0.0199478110298416,0.366700865355391,0.893020181308608,12116147000.0,0.366700865355391,6.5729828790616,0.0833333333333335,1.12871289697169,0.139886852048058,24.5734477650854,0.0434048500805611
5,2019-09-30 00:00:00+00:00,3,2019,21074207000.0,13053575000.0,2910202000.0,0.0,16507553000.0,6222898000.0,1173427000.0,314620000.0,0.0,577797000.0,-252000.0,2731392000.0,411475000.0,220441000.0,0.0,31771440000.0,29040048000.0,4566654000.0,1327033000.0,2817260000.0,14227002000.0,317690000.0,191034000.0,1403358000.0,469963870.0,10169750000.0,-15348000.0,502630000.0,219361000.0,682310000.0,0.0,4615000.0,154181000.0,0.0,-1353571000.0,637888000.0,0.0,-451900000.0,-179680000.0,-1304613000.0,535746000.0,629725000.0,475544000.0,0.74,602140000.0,1071032000.0,0.66,469517000.0,23853000.0,468892000.0,116213000.0,353304000.0,6027000.0,477495000.0,377157000.0,2097331000.0,447959000.0,3168363000.0,353304000.0,0.0,0.0,0.0,5.0,-0.0667948694914291,0.338039549129945,0.598116695506163,10697233000.0,0.338039549129945,6.74171612383735,-0.195652173913044,1.28356891762334,0.145447097937744,22.7618199671392,0.0426565107466068
6,2019-06-30 00:00:00+00:00,2,2019,22448909000.0,13202927000.0,2574750000.0,0.0,16253408000.0,5869594000.0,2416453000.0,331138000.0,0.0,584116000.0,149000.0,3917855000.0,1063650000.0,232332000.0,0.0,32284116000.0,28366261000.0,6195501000.0,1128474000.0,2589197000.0,15619380000.0,361048000.0,831318000.0,1901064000.0,469167311.0,9331577000.0,12105000.0,452527000.0,-321302000.0,613390000.0,0.0,22666000.0,149702000.0,0.0,38293000.0,-12544000.0,0.0,330381000.0,-160863000.0,-4874000.0,527983000.0,578219000.0,428517000.0,0.68,590538000.0,1021270000.0,0.6,422867000.0,23523000.0,430732000.0,105824000.0,317043000.0,5650000.0,469655000.0,340566000.0,2190042000.0,440836000.0,3211312000.0,317043000.0,0.0,0.0,0.0,4.0,-0.0721017554961288,0.31802266487965,0.632370973711408,9835207000.0,0.31802266487965,6.84470534222705,-0.276595744680851,1.41486556881007,0.162349519548402,20.9631122403581,0.0457313916930775
7,2019-03-31 00:00:00+00:00,1,2019,22253718000.0,14317260000.0,2588772000.0,0.0,17298662000.0,5552551000.0,1316414000.0,309251000.0,0.0,581685000.0,-57000.0,3592217000.0,1046091000.0,229716000.0,0.0,31686377000.0,28094160000.0,4955056000.0,1098712000.0,2529065000.0,15633674000.0,277367000.0,816375000.0,1576672000.0,467884165.0,8952552000.0,11537000.0,612070000.0,-40268000.0,732929000.0,0.0,4750000.0,153139000.0,0.0,4753000.0,367871000.0,0.0,697414000.0,-120859000.0,-28997000.0,526219000.0,612156000.0,459017000.0,0.73,545952000.0,1002252000.0,0.65,453096000.0,21538000.0,456300000.0,113335000.0,339761000.0,5921000.0,467953000.0,361299000.0,2184892000.0,392813000.0,3187144000.0,339761000.0,0.0,0.0,0.0,5.0,-0.0784571403622452,0.314467121661274,0.724959919726437,9432659000.0,0.314467121661274,6.81182275104352,-0.0759493670886077,1.59923784860451,0.184219126766107,20.1602441493185,0.0507056109925404
8,2018-12-31 00:00:00+00:00,4,2018,21532755000.0,13810784000.0,1928180000.0,0.0,16756623000.0,5212790000.0,1341993000.0,290733000.0,0.0,639855000.0,-874000.0,3289205000.0,1368060000.0,186589000.0,0.0,30587012000.0,27297807000.0,4776132000.0,1126244000.0,2474907000.0,15152777000.0,233753000.0,1181471000.0,887346000.0,467673887.0,8595688000.0,11364000.0,390974000.0,-817248000.0,502107000.0,0.0,3681000.0,171065000.0,0.0,-27042000.0,-546926000.0,0.0,-342183000.0,-111133000.0,-30213000.0,526072000.0,647613000.0,476548000.0,0.72,570121000.0,1052873000.0,0.65,472777000.0,20206000.0,482752000.0,135697000.0,337080000.0,3771000.0,467752000.0,357286000.0,2253956000.0,399056000.0,3306829000.0,337080000.0,0.0,0.0,0.0,6.0,-0.0508331400648923,0.318393542575077,0.68867548049342,9054257000.0,0.318393542575077,7.07080102592942,-0.757575757575758,1.60671071355777,0.197077034713771,19.3601936128625,0.0522724391309547
10,2018-09-30 00:00:00+00:00,3,2018,21454201000.0,13790114000.0,1990034000.0,0.0,16576604000.0,4875711000.0,1367116000.0,304944000.0,0.0,670826000.0,-537000.0,3038909000.0,812177000.0,176745000.0,0.0,30137410000.0,27098501000.0,4877597000.0,1143162000.0,2329011000.0,15157230000.0,269515000.0,635432000.0,1229717000.0,467516301.0,8244845000.0,6125000.0,575710000.0,-460562000.0,690396000.0,0.0,4570000.0,175285000.0,0.0,-7929000.0,-63958000.0,0.0,221905000.0,-114686000.0,-12499000.0,525995000.0,753122000.0,577837000.0,0.92,531462000.0,1094165000.0,0.82,572424000.0,20864000.0,562703000.0,140690000.0,431734000.0,5413000.0,467570000.0,452598000.0,2300976000.0,356177000.0,3395141000.0,431734000.0,0.0,0.0,0.0,6.0,-0.0525506955021607,0.322273802472416,0.62303404729829,8683209000.0,0.322273802472416,7.26208047235555,0.4375,1.67257407507358,0.346212804637613,18.5730614770585,0.0876571669073708
11,2018-06-30 00:00:00+00:00,2,2018,21423305000.0,15109600000.0,2047928000.0,0.0,17791789000.0,4443977000.0,34824000.0,329507000.0,0.0,641888000.0,735000.0,2743710000.0,735846000.0,188842000.0,0.0,29650012000.0,26906302000.0,3631516000.0,1174162000.0,2217077000.0,15144424000.0,284767000.0,547004000.0,1007784000.0,467380140.0,7803687000.0,9712000.0,476189000.0,-640866000.0,573787000.0,0.0,3739000.0,172702000.0,0.0,-1040475000.0,-367110000.0,0.0,-1107554000.0,-97598000.0,-1041613000.0,525849000.0,755844000.0,583142000.0,0.94,546589000.0,1119249000.0,0.83,580277000.0,21569000.0,572660000.0,141560000.0,438717000.0,2865000.0,467425000.0,460286000.0,2341596000.0,373887000.0,3460845000.0,438717000.0,0.0,0.0,0.0,7.0,-0.0501661528935963,0.323403388478825,0.75552744363511,8226707000.0,0.323403388478825,7.40477547890674,9.44444444444444,1.93621297215022,0.360512573570032,17.6017470489867,0.0835984574452606
