,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,186.94,188.98,186.9,188.52,925692,181.9846314139,183.9705554969,181.945691726,183.522749086,925692,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,191.66,191.82,187.58,187.65,646387,186.5795145864,186.735273338,182.6076664203,182.6758108741,646387,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,197.29,202.27,197.01,197.25,1533882,192.0602756587,196.9082668026,191.7876978434,192.0213359708,1533882,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,200.3,201.97,197.73,198.21,1157501,194.9904871734,196.6162191434,192.4886122257,192.9558884805,1157501,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,203.61,203.74,198.68,200.14,1068256,198.2127463474,198.3393003331,193.4134298133,194.8347284218,1068256,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,206.71,207.52,203.13,204.48,1149864,201.2305721598,202.0191008399,197.7454700925,199.0596845593,1149864,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,200.09,201.2,196.18,198.5,2400708,194.7860538119,195.8666301512,190.9796993194,193.2382012178,2400708,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,209.85,209.92,201.04,201.04,1463603,204.2873376602,204.355482114,195.7108713996,195.7108713996,1463603,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,211.15,212.79,209.21,209.5,1014968,205.5528775171,207.1494047211,203.6643026538,203.9466153911,1014968,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,209.29,213.95,208.79,213.95,1104437,203.7421820296,208.2786556702,203.2554359308,208.2786556702,1104437,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,207.89,209.7,207.29,209.29,836404,202.379292953,204.1413138306,201.7951976344,203.7421820296,836404,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,210.91,210.99,207.51,208.0,762974,205.3192393896,205.3971187654,202.0093659179,202.4863770947,762974,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,213.54,214.97,211.25,211.47,615633,207.8795238692,209.2716177118,205.6502267368,205.8643950203,615633,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,216.29,216.29,211.88,213.47,839562,210.5566274126,210.5566274126,206.2635268213,207.8113794154,839562,0.0,1.0,9208514073.972,12134798073.972,35.7504132231,-3.4581098018,0.843486312
14,2018-01-23 00:00:00+00:00,219.57,221.65,215.98,216.29,1143945,213.7496818206,215.7745455915,210.2548448313,210.5566274126,1143945,0.0,1.0,9348159578.44576,12274443578.4458,36.2925619835,-3.5105514318,0.8562776343
15,2018-01-24 00:00:00+00:00,218.72,220.7,217.52,220.05,835946,212.9222134527,214.8497280039,211.7540228156,214.2169580754,835946,0.0,1.0,9311970956.85958,12238254956.8596,36.1520661157,-3.4969613752,0.8529628099
16,2018-01-25 00:00:00+00:00,219.33,221.92,218.9,220.9,760617,213.5160436932,216.0373884849,213.0974420482,215.0444264434,760617,0.0,1.0,9337941614.70378,12264225614.7038,36.252892562,-3.5067142393,0.8553416839
17,2018-01-26 00:00:00+00:00,216.78,219.64,215.25,219.33,765848,211.0336385894,213.8178262744,209.5441955271,213.5160436932,765848,0.0,1.0,9229375749.94523,12155659749.9452,35.8314049587,-3.4659440697,0.8453972107
18,2018-01-29 00:00:00+00:00,215.33,218.67,214.55,215.7,705162,209.6220749029,212.8735388428,208.8627509888,209.982267016,705162,0.0,1.0,9167642219.00407,12093926219.0041,35.5917355372,-3.442761032,0.8397425103
19,2018-01-30 00:00:00+00:00,215.95,216.51,213.45,214.02,614399,210.2256400654,210.770795696,207.7919095715,208.3468001241,614399,0.0,1.0,9194038625.33753,12120322625.3375,35.694214876,-3.4526737792,0.8421603822
20,2018-01-31 00:00:00+00:00,216.85,218.0,215.22,216.81,696964,211.1017830432,212.2212990704,209.5149907612,211.0628433553,696964,0.0,1.0,9232355989.36998,12158639989.37,35.8429752066,-3.4670632508,0.8456701963
21,2018-02-01 00:00:00+00:00,218.67,219.52,215.7,215.7,686970,212.8735388428,213.7010072107,209.982267016,209.982267016,686970,0.0,1.0,9309842214.41332,12236126214.4133,36.1438016529,-3.4961619601,0.8527678202
22,2018-02-02 00:00:00+00:00,214.38,218.88,214.11,217.13,774612,208.6972573152,213.0779722043,208.4344144219,211.3743608585,774612,0.0,1.0,9127196112.5254,12053480112.5254,35.4347107438,-3.4275721453,0.8360377066
23,2018-02-05 00:00:00+00:00,208.02,215.38,205.73,210.39,940352,202.5058469387,209.6707495128,200.2765498062,204.8130234469,940352,0.0,1.0,8856420073.3629,11782704073.3629,34.3834710744,-3.3258865457,0.8112350207
24,2018-02-06 00:00:00+00:00,208.46,210.84,200.51,202.15,1394157,202.9341835056,205.2510949358,195.1949205349,196.7914477389,1394157,0.0,1.0,8875153006.88986,11801437006.8899,34.4561983471,-3.3329213985,0.8129509298
25,2018-02-07 00:00:00+00:00,211.31,213.11,207.68,207.83,882295,205.7086362687,207.4609222243,202.1748595915,202.3208834211,882295,0.0,1.0,8996491326.32588,11922775326.3259,34.9272727273,-3.3784880587,0.8240653409
26,2018-02-08 00:00:00+00:00,198.57,210.75,198.51,210.65,1442727,193.3063456716,205.163480638,193.2479361398,205.0661314183,1442727,0.0,1.0,8454087751.02236,11380371751.0224,32.8214876033,-3.1747970934,0.7743819731
27,2018-02-09 00:00:00+00:00,206.09,207.55,199.0,200.28,1226757,200.6270069973,202.0483056058,193.7249473166,194.9710173295,1226757,0.0,1.0,8774250614.93777,11700534614.9378,34.0644628099,-3.2950291232,0.8037084194
