,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,marketCap,enterpriseVal,peRatio,pbRatio,trailingPEG1Y
0,2018-01-02 00:00:00+00:00,95.05,95.55,94.55,94.9,1046521,79.2584543332,79.6753846558,78.8415240105,79.1333752364,1202620,0.0,1.0,,,,,
1,2018-01-03 00:00:00+00:00,96.85,97.23,95.4,95.48,1435667,80.7594034947,81.0762705399,79.550305559,79.6170144107,1649812,0.0,1.0,,,,,
2,2018-01-04 00:00:00+00:00,99.18,99.99,97.33,97.41,2094193,82.7022987982,83.3777259208,81.1596566044,81.226365456,2406564,0.0,1.0,,,,,
3,2018-01-05 00:00:00+00:00,100.63,100.72,98.77,99.5,1243687,83.9113967338,83.9864441919,82.3604159336,82.9691342046,1429196,0.0,1.0,,,,,
4,2018-01-08 00:00:00+00:00,100.55,101.16,100.04,100.59,979696,83.8446878822,84.3533428758,83.4194189531,83.878042308,1125828,0.0,1.0,,,,,
5,2018-01-09 00:00:00+00:00,101.63,102.71,100.16,100.7,1674759,84.7452573791,85.645826876,83.5194822305,83.969766979,1924567,0.0,1.0,,,,,
6,2018-01-10 00:00:00+00:00,101.23,101.36,100.11,100.86,1034277,84.411713121,84.5201150049,83.4777891983,84.1031846822,1188550,0.0,1.0,,,,,
7,2018-01-11 00:00:00+00:00,101.09,101.75,100.66,101.52,1218906,84.2949726306,84.8453206565,83.9364125532,84.6535327081,1400718,0.0,1.0,,,,,
8,2018-01-12 00:00:00+00:00,101.29,101.56,100.39,101.38,1152990,84.4617447597,84.6868871339,83.7112701789,84.5367922178,1324970,0.0,1.0,,,,,
9,2018-01-16 00:00:00+00:00,101.06,102.95,100.47,101.79,1601544,84.2699568113,85.8459534308,83.7779790306,84.8786750823,1840431,0.0,1.0,,,,,
10,2018-01-17 00:00:00+00:00,100.61,101.69,100.51,101.4,1722949,83.8947195209,84.7952890178,83.8113334564,84.5534694307,1979945,0.0,1.0,,,,,
11,2018-01-18 00:00:00+00:00,100.48,100.88,100.21,100.38,1324280,83.786317637,84.1198618951,83.5611752628,83.7029315725,1521810,0.0,1.0,,,,,
12,2018-01-19 00:00:00+00:00,100.98,101.41,100.24,101.0,1929337,84.2032479597,84.5618080371,83.5861910821,84.2199251726,2217118,0.0,1.0,,,,,
13,2018-01-22 00:00:00+00:00,101.71,101.83,100.25,100.75,1507028,84.8119662307,84.9120295081,83.5945296886,84.0114600112,1731817,0.0,1.0,24194203167.6144,29808203167.6144,32.5993589744,2.197749133,0.0286874359
14,2018-01-23 00:00:00+00:00,101.95,102.69,101.16,101.76,989396,85.0120927856,85.6291496631,84.3533428758,84.853659263,1136974,0.0,1.0,24251293018.7621,29865293018.7621,32.6762820513,2.2029350517,0.0287551282
15,2018-01-24 00:00:00+00:00,101.19,102.69,100.8,102.0,1365711,84.3783586952,85.6291496631,84.0531530435,85.0537858178,1569421,0.0,1.0,24070508490.1278,29684508490.1278,32.4326923077,2.1865129758,0.0285407692
16,2018-01-25 00:00:00+00:00,101.86,102.72,101.52,101.52,1427129,84.9370453275,85.6541654824,84.6535327081,84.6535327081,1640000,0.0,1.0,24229884324.5817,29843884324.5817,32.6474358974,2.2009903322,0.0287297436
17,2018-01-26 00:00:00+00:00,102.5,102.73,101.79,102.21,1158912,85.4707161405,85.6625040889,84.8786750823,85.2288965533,1331776,0.0,1.0,24382123927.6421,29996123927.6421,32.8525641026,2.2148194488,0.0289102564
18,2018-01-29 00:00:00+00:00,100.12,102.57,99.97,102.44,1145517,83.4861278047,85.5290863856,83.3610487079,85.4206845017,1316383,0.0,1.0,23815982903.7612,29429982903.7612,32.0897435897,2.1633924216,0.0282389744
19,2018-01-30 00:00:00+00:00,99.0,99.92,98.4,99.84,1691720,82.552203882,83.3193556757,82.0518874948,83.252646824,1944058,0.0,1.0,23549563598.4055,29163563598.4055,31.7307692308,2.1391914676,0.0279230769
