,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,2333900000.0,1749000000.0,556100000.0,19000000.0,1827500000.0,-557300000.0,15800000.0,200700000.0,0.0,370000000.0,2800000.0,3237100000.0,1930300000.0,0.0,0.0,3833200000.0,596100000.0,506400000.0,1500000.0,0.0,1764800000.0,397000000.0,1930300000.0,673500000.0,95742207.0,1499300000.0,30700000.0,100200000.0,-9300000.0,147600000.0,1000000.0,8600000.0,18400000.0,0.0,4500000.0,45900000.0,0.0,143800000.0,-47400000.0,0.0,99500000.0,117900000.0,99500000.0,0.75,246300000.0,340400000.0,0.73,75100000.0,0.0,94100000.0,2900000.0,72200000.0,24400000.0,95800000.0,72200000.0,160500000.0,158600000.0,500900000.0,72200000.0,0.0,87700000.0,0.0,7.0,0.263941458491042,0.679576761828708,6.3923775671406,1499300000.0,0.679576761828708,5.23175740036993,0.5,1.16654438738078,0.197931610389054,15.6597601724389,0.0757835365103829
1,2020,2,2020-06-30 00:00:00+00:00,2167900000.0,1732500000.0,455900000.0,18700000.0,1767800000.0,-629500000.0,15100000.0,165300000.0,0.0,296500000.0,3500000.0,3033000000.0,1978800000.0,0.0,0.0,3521800000.0,488800000.0,400100000.0,1700000.0,0.0,1747600000.0,315900000.0,1978800000.0,530000000.0,92344878.0,1353900000.0,30700000.0,95900000.0,-1115300000.0,154100000.0,300000.0,0.0,15300000.0,0.0,906000000.0,-1054700000.0,0.0,-54900000.0,-58200000.0,906200000.0,97000000.0,81800000.0,66500000.0,0.49,216300000.0,284100000.0,0.48,46200000.0,0.0,67800000.0,-100000.0,46300000.0,20300000.0,93800000.0,46300000.0,167700000.0,136400000.0,451800000.0,46300000.0,0.0,79900000.0,0.0,6.0,0.343043995243757,0.628818061088977,7.5806048487878,1353900000.0,0.628818061088977,4.89252906912715,-5.08333333333333,1.27963660536229,0.208065458796026,14.6613437509766,0.077608431907795
2,2020,1,2020-03-31 00:00:00+00:00,1513400000.0,1149700000.0,419900000.0,18600000.0,1170600000.0,-675800000.0,14500000.0,141900000.0,0.0,300700000.0,3700000.0,1995700000.0,925900000.0,0.0,0.0,2447900000.0,452200000.0,342800000.0,1800000.0,0.0,1164200000.0,267500000.0,925900000.0,584600000.0,91594142.0,934500000.0,23900000.0,-31300000.0,130600000.0,1900000.0,-500000.0,6700000.0,13000000.0,0.0,6500000.0,164200000.0,0.0,138500000.0,-33200000.0,0.0,94100000.0,50800000.0,37800000.0,0.22,222900000.0,256500000.0,0.21,22400000.0,0.0,33600000.0,2500000.0,19900000.0,15400000.0,91800000.0,19900000.0,148600000.0,149800000.0,405100000.0,19900000.0,0.0,73100000.0,0.0,5.0,0.444206773618538,0.633176993334979,5.82176196032672,934500000.0,0.633176993334979,4.42277192792526,-1.73333333333333,1.2302835741038,0.180934030645013,10.2026175429429,0.0650503051294739
3,2019,4,2019-12-31 00:00:00+00:00,1512400000.0,1132100000.0,392800000.0,18600000.0,1152200000.0,-695700000.0,13600000.0,119800000.0,0.0,286300000.0,2300000.0,1969400000.0,1087100000.0,0.0,0.0,2395000000.0,425600000.0,360200000.0,1700000.0,0.0,1145700000.0,256400000.0,1087100000.0,446200000.0,91528588.0,882600000.0,23600000.0,99600000.0,-94300000.0,143700000.0,1000000.0,0.0,14300000.0,0.0,-100000.0,-50200000.0,0.0,50300000.0,-44100000.0,0.0,92600000.0,123900000.0,109600000.0,1.02,207800000.0,309300000.0,1.01,94300000.0,0.0,101500000.0,1600000.0,92700000.0,15300000.0,91700000.0,92700000.0,153500000.0,129000000.0,462800000.0,92700000.0,0.0,78800000.0,0.0,6.0,0.369230769230769,0.668323249783924,5.46751804553026,882600000.0,0.668323249783924,5.05634370760751,-1.5,1.2826875141627,0.134629469338837,9.64288884255485,0.0469108878732339
5,2019,3,2019-09-30 00:00:00+00:00,1421400000.0,1081400000.0,335600000.0,18400000.0,1099000000.0,-788400000.0,14800000.0,120400000.0,0.0,234900000.0,1000000.0,1815700000.0,1034300000.0,0.0,0.0,2185700000.0,370000000.0,322400000.0,4300000.0,0.0,1096200000.0,232400000.0,1034300000.0,395600000.0,91185989.0,764300000.0,24400000.0,44800000.0,-412800000.0,94500000.0,-1400000.0,6800000.0,12900000.0,0.0,6000000.0,-363100000.0,0.0,-313700000.0,-49700000.0,0.0,92500000.0,73800000.0,60900000.0,0.5,190900000.0,246900000.0,0.5,45800000.0,0.0,56000000.0,0.0,45800000.0,15100000.0,91300000.0,45800000.0,149400000.0,124200000.0,396300000.0,45800000.0,0.0,66700000.0,0.0,4.0,0.485939257592801,0.623012869038607,5.63182382133995,764300000.0,0.623012869038607,4.34606241974302,-0.0566037735849058,1.41488944131885,-0.246076494882385,8.38177014234062,-0.0841603615996856
6,2019,2,2019-06-30 00:00:00+00:00,1377600000.0,1071900000.0,289000000.0,18700000.0,1089400000.0,-834200000.0,14100000.0,117900000.0,0.0,217300000.0,2000000.0,1744200000.0,668300000.0,0.0,0.0,2065900000.0,321700000.0,288200000.0,3500000.0,0.0,1086000000.0,196700000.0,668300000.0,709200000.0,91050405.0,688300000.0,29700000.0,17600000.0,-639400000.0,64500000.0,-900000.0,100000.0,11600000.0,0.0,-100000.0,-591300000.0,0.0,-575900000.0,-46900000.0,0.0,91100000.0,17300000.0,5700000.0,-0.12,207300000.0,206500000.0,-0.12,-9300000.0,0.0,-800000.0,1200000.0,-10500000.0,15000000.0,91100000.0,-10500000.0,129900000.0,138300000.0,336400000.0,-10500000.0,0.0,69000000.0,0.0,3.0,0.387216494845361,0.613852556480381,6.05204718945177,688300000.0,0.613852556480381,3.6946568222294,-1.35294117647059,1.55731512421909,-0.26409541511772,7.55954902122621,-0.0964612033605839
7,2019,1,2019-03-31 00:00:00+00:00,1305400000.0,1051900000.0,249100000.0,18600000.0,1070000000.0,-823700000.0,12300000.0,101100000.0,0.0,204700000.0,1600000.0,1690800000.0,72900000.0,0.0,0.0,1974000000.0,283200000.0,235400000.0,2700000.0,0.0,1064200000.0,169100000.0,72900000.0,1285100000.0,90001767.0,668600000.0,25000000.0,-27500000.0,131300000.0,11800000.0,600000.0,5000000.0,9900000.0,0.0,4900000.0,170600000.0,0.0,148600000.0,-39300000.0,0.0,90300000.0,-1800000.0,-11700000.0,-0.3,183200000.0,168800000.0,-0.3,-26600000.0,0.0,-14400000.0,300000.0,-26900000.0,14900000.0,90300000.0,-26900000.0,111700000.0,124200000.0,280500000.0,-26900000.0,0.0,59000000.0,0.0,3.0,0.521149674620391,0.601782531194296,7.18266779949023,668600000.0,0.601782531194296,3.11660547731246,0.0714285714285714,1.57328746634759,-0.218500126251999,7.42874303790058,-0.0863634851458798
8,2018,4,2018-12-31 00:00:00+00:00,1252700000.0,1010300000.0,183100000.0,18700000.0,1030300000.0,-798900000.0,0.0,70700000.0,0.0,226700000.0,1500000.0,1699500000.0,248600000.0,0.0,0.0,1916000000.0,216500000.0,222400000.0,2900000.0,0.0,1010300000.0,147100000.0,248600000.0,1137000000.0,88844345.0,663300000.0,24600000.0,16000000.0,30900000.0,33700000.0,3200000.0,84000000.0,8600000.0,0.0,701600000.0,48600000.0,0.0,769400000.0,-17700000.0,617700000.0,84900000.0,-160100000.0,-168700000.0,-2.04,387400000.0,222800000.0,-2.03,-176900000.0,0.0,-164600000.0,2800000.0,-179700000.0,8200000.0,88800000.0,-179700000.0,115200000.0,112100000.0,338000000.0,-179700000.0,0.0,57600000.0,0.0,3.0,0.529411764705882,0.659171597633136,7.64163669064748,663300000.0,0.659171597633136,3.80440645940943,17.5454545454545,1.52314186642545,-0.238763913023059,7.4658662855807,-0.103027601021359
10,2018,3,2018-09-30 00:00:00+00:00,552100000.0,338800000.0,169600000.0,18400000.0,358200000.0,-619200000.0,0.0,55200000.0,0.0,169800000.0,-300000.0,914100000.0,301300000.0,0.0,0.0,1114300000.0,200200000.0,193900000.0,3500000.0,0.0,338800000.0,135400000.0,301300000.0,367400000.0,88355733.0,562200000.0,27100000.0,33000000.0,4600000.0,56800000.0,400000.0,5400000.0,7800000.0,-11300000.0,5400000.0,39700000.0,0.0,67200000.0,-23800000.0,0.0,90300000.0,57500000.0,49700000.0,0.53,154700000.0,168600000.0,0.52,44800000.0,0.0,13900000.0,-1800000.0,46600000.0,4900000.0,88500000.0,46600000.0,98100000.0,104600000.0,266700000.0,46600000.0,0.0,50100000.0,0.0,5.0,0.444745395449621,0.632170978627672,4.71428571428571,562200000.0,0.632170978627672,3.01847985348048,-27.5,0.602632515119175,0.0916516389095152,6.36291478675187,0.0440512912024881
11,2018,2,2018-06-30 00:00:00+00:00,525400000.0,335000000.0,156800000.0,11900000.0,354600000.0,-665800000.0,0.0,46200000.0,0.0,162000000.0,-1300000.0,836000000.0,305900000.0,0.0,0.0,1007500000.0,171500000.0,170800000.0,6800000.0,0.0,335000000.0,117900000.0,305900000.0,300200000.0,88084933.0,482100000.0,25600000.0,31100000.0,-159900000.0,41400000.0,-900000.0,1000000.0,6700000.0,0.0,-800000.0,-149600000.0,0.0,-120200000.0,-10300000.0,0.0,89400000.0,44500000.0,37800000.0,0.34,158500000.0,153600000.0,0.34,29600000.0,0.0,-4900000.0,-600000.0,30200000.0,8200000.0,88200000.0,30200000.0,88900000.0,111300000.0,242500000.0,30200000.0,0.0,47200000.0,0.0,4.0,0.421453692848769,0.63340206185567,4.89461358313817,482100000.0,0.63340206185567,2.75302474260836,10.3333333333333,0.69487658162207,-0.0126522961574508,5.47312671509894,-0.00591570125708652
