,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,12047700000.0,6978400000.0,3580100000.0,8981400000.0,8941300000.0,8079900000.0,247300000.0,1287800000.0,0.0,2320700000.0,-1945900000.0,4992000000.0,0.0,0.0,0.0,18097100000.0,13105100000.0,3106400000.0,0.0,633900000.0,7225700000.0,1108400000.0,0.0,1034700000.0,285384775.0,6014700000.0,11400000.0,340900000.0,-173800000.0,451800000.0,10400000.0,-19900000.0,209000000.0,-200000.0,-690300000.0,0.0,-138600000.0,-401900000.0,-110900000.0,-471900000.0,288400000.0,632400000.0,423400000.0,0.86,837600000.0,1249000000.0,0.85,288600000.0,0.0,411400000.0,42400000.0,246200000.0,134800000.0,285400000.0,246200000.0,1769600000.0,802600000.0,3018600000.0,246200000.0,0.0,0.0,0.0,4.0,-0.0637096774193548,0.413767971907507,1.60700489312387,6049400000.0,0.413767971907507,10.5772986663357,-0.46583850931677,1.1602241175786,-0.146480445786372,21.1973466349072,-0.0542045291365719
1,2020-06-30 00:00:00+00:00,2,2020,12192200000.0,7071400000.0,3578800000.0,8779100000.0,8964500000.0,7967800000.0,534900000.0,1228700000.0,0.0,2255500000.0,-1989700000.0,5166200000.0,0.0,0.0,0.0,18082400000.0,12916200000.0,3227700000.0,0.0,687100000.0,7606300000.0,1087700000.0,0.0,1369000000.0,289201752.0,5855200000.0,24600000.0,297200000.0,-13200000.0,386800000.0,-52100000.0,-9700000.0,146600000.0,-429900000.0,-546800000.0,0.0,-137700000.0,-225300000.0,-89600000.0,-501200000.0,291500000.0,-1815600000.0,-1962200000.0,-7.06,858000000.0,1050000000.0,-6.98,-2020900000.0,0.0,192000000.0,14100000.0,-2035000000.0,58700000.0,288200000.0,-2035000000.0,1635700000.0,788600000.0,2685700000.0,-2035000000.0,0.0,0.0,2163900000.0,4.0,-0.152535420150831,0.390959526380459,1.6005824580971,5890200000.0,0.390959526380459,9.28659657635822,-6.515625,1.2077128022954,-0.107459059263458,20.3670965312824,-0.0417793482509342
2,2020-03-31 00:00:00+00:00,1,2020,13479000000.0,7150900000.0,4479200000.0,10823400000.0,9221600000.0,10136900000.0,1038300000.0,1529700000.0,0.0,2855900000.0,-2113700000.0,6437100000.0,0.0,0.0,0.0,22339600000.0,15902500000.0,4257400000.0,0.0,878200000.0,8189200000.0,1279500000.0,0.0,1661900000.0,288166440.0,8822100000.0,29100000.0,212500000.0,-165700000.0,371800000.0,3600000.0,-95000000.0,249600000.0,-1500000.0,1265800000.0,0.0,-145500000.0,1475500000.0,-159300000.0,1424500000.0,292600000.0,655200000.0,405600000.0,0.98,1067400000.0,1464600000.0,0.97,357500000.0,6800000.0,397200000.0,74100000.0,283400000.0,48100000.0,288800000.0,290200000.0,2116800000.0,1015000000.0,3581400000.0,283400000.0,0.0,0.0,0.0,4.0,0.0216808352827067,0.408946222147763,1.51197914219946,8860600000.0,0.408946222147763,12.4282341829951,-0.0485436893203884,0.810566645129844,0.180265593796009,30.7482023236294,0.0728533236560039
3,2019-12-31 00:00:00+00:00,4,2019,12143300000.0,6319100000.0,3695000000.0,8496600000.0,8512700000.0,9993700000.0,380500000.0,1081600000.0,0.0,2382000000.0,-2089700000.0,4828400000.0,0.0,0.0,0.0,20869100000.0,16040700000.0,3630600000.0,0.0,674200000.0,6699600000.0,1075300000.0,0.0,118800000.0,288244379.0,8685300000.0,17900000.0,573200000.0,-269900000.0,821000000.0,1500000.0,-5100000.0,244800000.0,-4800000.0,-502100000.0,0.0,-136900000.0,50500000.0,-247800000.0,-401500000.0,292500000.0,813900000.0,569100000.0,1.49,1045000000.0,1605400000.0,1.47,522900000.0,4700000.0,560400000.0,93300000.0,429600000.0,46200000.0,288400000.0,434300000.0,2218200000.0,984000000.0,3823600000.0,429600000.0,0.0,0.0,0.0,7.0,0.016779683552719,0.419866094779789,1.32991791990305,8725800000.0,0.419866094779789,13.2651329169545,0.0875912408759123,0.727562663350719,0.185037582606064,30.2722295236848,0.0747137247947817
5,2019-09-30 00:00:00+00:00,3,2019,12223200000.0,6385800000.0,4431800000.0,10948900000.0,8303700000.0,9699700000.0,779100000.0,1586700000.0,0.0,2722500000.0,-1884700000.0,4870100000.0,0.0,0.0,0.0,20835600000.0,15965500000.0,3919500000.0,0.0,896600000.0,7164900000.0,1269400000.0,0.0,135900000.0,287751846.0,8567700000.0,12300000.0,522700000.0,-271700000.0,682100000.0,11600000.0,-1100000.0,194300000.0,-91400000.0,-371900000.0,0.0,-136300000.0,50100000.0,-159400000.0,-285500000.0,292800000.0,788000000.0,593700000.0,1.61,894100000.0,1443100000.0,1.59,547600000.0,0.0,549000000.0,83400000.0,464200000.0,46100000.0,288100000.0,464200000.0,1780900000.0,869200000.0,3224000000.0,464200000.0,0.0,0.0,-28300000.0,6.0,-0.139624252775406,0.447611662531017,1.24253093506825,8612400000.0,0.447611662531017,11.204098409155,0.066225165562914,0.745334220385868,0.184680619075022,29.9299556882773,0.0737625097834279
6,2019-06-30 00:00:00+00:00,2,2019,12558200000.0,6385700000.0,4416700000.0,11010300000.0,8430500000.0,9368000000.0,1069400000.0,1625300000.0,0.0,2747100000.0,-1836400000.0,4853500000.0,0.0,0.0,0.0,20827600000.0,15974100000.0,4127700000.0,0.0,872700000.0,7455100000.0,1297900000.0,0.0,85700000.0,288242150.0,8225400000.0,23200000.0,387100000.0,-180100000.0,539500000.0,5500000.0,-216100000.0,145900000.0,-6600000.0,-358100000.0,0.0,-138400000.0,6800000.0,-152400000.0,-53200000.0,292100000.0,652500000.0,506600000.0,1.28,924400000.0,1388800000.0,1.26,457400000.0,0.0,464400000.0,88800000.0,368600000.0,49200000.0,287600000.0,368600000.0,1780300000.0,900000000.0,3169100000.0,368600000.0,0.0,0.0,-25200000.0,7.0,-0.141072202948829,0.438231674607933,1.17583642222061,8269400000.0,0.438231674607933,10.994575220869,0.0491803278688525,0.776339144600871,0.184763440162823,28.6890727119542,0.0731413592722053
7,2019-03-31 00:00:00+00:00,1,2019,12660700000.0,6420400000.0,4449500000.0,11201500000.0,8504700000.0,9131800000.0,1132300000.0,1645600000.0,0.0,2691600000.0,-1734900000.0,4751000000.0,0.0,0.0,0.0,20927600000.0,16176600000.0,4156000000.0,0.0,881900000.0,7552700000.0,1237700000.0,0.0,79000000.0,287853232.0,8220700000.0,32200000.0,192500000.0,-477400000.0,378100000.0,1800000.0,-131400000.0,238800000.0,-281800000.0,-117500000.0,0.0,-141400000.0,-215000000.0,-185600000.0,87600000.0,292300000.0,623300000.0,384500000.0,1.03,1048600000.0,1415800000.0,1.01,335100000.0,3900000.0,367200000.0,38600000.0,296500000.0,49400000.0,288200000.0,300400000.0,2089600000.0,1008300000.0,3505400000.0,296500000.0,0.0,0.0,0.0,5.0,0.00993978507015481,0.403891139384949,1.14316650625602,8266900000.0,0.403891139384949,12.1777336861724,0.197674418604651,0.781004050749936,0.184771332508406,28.7191494865689,0.0730779830516225
8,2018-12-31 00:00:00+00:00,4,2018,12020900000.0,6301600000.0,3836000000.0,10875700000.0,8335300000.0,8909500000.0,743600000.0,1546400000.0,0.0,2662500000.0,-1761700000.0,4677700000.0,0.0,0.0,0.0,20074500000.0,15396800000.0,3685600000.0,0.0,865200000.0,7045200000.0,1255600000.0,0.0,114700000.0,288873052.0,8003200000.0,18900000.0,614800000.0,-381100000.0,827300000.0,-2600000.0,-241000000.0,237900000.0,-152200000.0,-353200000.0,0.0,-125700000.0,90400000.0,-212500000.0,-23700000.0,291900000.0,834600000.0,596700000.0,1.37,961800000.0,1543700000.0,1.35,542800000.0,5100000.0,581900000.0,147700000.0,395100000.0,53900000.0,288000000.0,400200000.0,2216800000.0,948800000.0,3760500000.0,395100000.0,0.0,0.0,0.0,6.0,0.030556316799123,0.410503922350751,1.26918276535707,8053600000.0,0.410503922350751,13.0178290220024,-0.297435897435897,0.787385045981607,0.182148991017458,27.8793745011563,0.0713008119940628
10,2018-09-30 00:00:00+00:00,3,2018,11979600000.0,6334800000.0,3778000000.0,10898800000.0,8389800000.0,8646900000.0,769400000.0,1587900000.0,0.0,2652700000.0,-1765400000.0,4822300000.0,0.0,0.0,0.0,19962600000.0,15140300000.0,3589800000.0,0.0,762100000.0,7104200000.0,1195300000.0,0.0,203600000.0,288903662.0,7929400000.0,13700000.0,448100000.0,-204500000.0,664700000.0,2200000.0,-105600000.0,234600000.0,1300000.0,-313000000.0,0.0,-118500000.0,149400000.0,-216600000.0,-108200000.0,293400000.0,768900000.0,534300000.0,1.51,1040300000.0,1556500000.0,1.48,478600000.0,2900000.0,516200000.0,43200000.0,435400000.0,55700000.0,288800000.0,438300000.0,2190700000.0,964700000.0,3747200000.0,435400000.0,0.0,0.0,0.0,8.0,0.0512554355449573,0.415376814688301,1.34333389046744,7983000000.0,0.415376814688301,12.9704136460548,0.110294117647059,0.798900295104295,0.206255752741131,27.6320484992676,0.0797681796607629
11,2018-06-30 00:00:00+00:00,2,2018,12043100000.0,6343100000.0,3758700000.0,11100700000.0,8419300000.0,8329900000.0,874500000.0,1557600000.0,0.0,2635400000.0,-1592700000.0,4607900000.0,0.0,0.0,0.0,19951600000.0,15343700000.0,3623800000.0,0.0,732900000.0,7217600000.0,1242100000.0,0.0,54200000.0,288520477.0,7849500000.0,28100000.0,113300000.0,-188600000.0,298500000.0,10300000.0,-700000.0,234700000.0,-2600000.0,-241500000.0,0.0,-128900000.0,-121300000.0,-185200000.0,-131600000.0,293300000.0,746600000.0,511900000.0,1.22,1048900000.0,1543500000.0,1.2,455600000.0,2300000.0,494600000.0,104300000.0,351300000.0,56300000.0,288800000.0,353600000.0,2146100000.0,1036800000.0,3689600000.0,351300000.0,0.0,0.0,0.0,5.0,0.0663583815028901,0.418338031222897,1.27156575969976,7908500000.0,0.418338031222897,12.788000485664,0.196078431372549,0.808089687241226,0.205497018812549,27.4105328059609,0.0777626722664062
12,2018-03-31 00:00:00+00:00,1,2018,12514400000.0,6397700000.0,3779900000.0,11315200000.0,8531600000.0,8097000000.0,1017800000.0,1541800000.0,0.0,2574300000.0,-1558300000.0,4596800000.0,0.0,0.0,0.0,20184300000.0,15587500000.0,3982800000.0,0.0,822800000.0,7415500000.0,1229100000.0,0.0,175500000.0,288858441.0,7601000000.0,33700000.0,284400000.0,-255800000.0,487200000.0,-2300000.0,-215100000.0,231100000.0,-67100000.0,-265000000.0,14100000.0,-123400000.0,-35900000.0,-202800000.0,53700000.0,292700000.0,603900000.0,372800000.0,0.86,1044300000.0,1398600000.0,0.84,316400000.0,900000.0,354300000.0,69100000.0,247300000.0,56400000.0,288600000.0,248200000.0,2072300000.0,1018300000.0,3470900000.0,247300000.0,0.0,0.0,0.0,5.0,0.0975524917783961,0.402950243452707,1.15416290047203,7669900000.0,0.402950243452707,12.0159202825581,-0.0114942528735632,0.84169188264702,0.204305988420069,26.5524523827226,0.0753395978015263
