,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,50274000000.0,16725000000.0,47573000000.0,0.0,41969000000.0,9043000000.0,2990000000.0,387000000.0,259000000.0,2499000000.0,-35000000.0,5798000000.0,4716000000.0,4716000000.0,90000000.0,68453000000.0,62655000000.0,8305000000.0,0.0,6600000000.0,19715000000.0,1690000000.0,0.0,30000000.0,378220989.0,16234000000.0,0.0,-851000000.0,-1302000000.0,446000000.0,0.0,12000000.0,507000000.0,0.0,424000000.0,61000000.0,-237000000.0,-432000000.0,-1297000000.0,993000000.0,378000000.0,212000000.0,-295000000.0,-0.76,1958000000.0,1579000000.0,-0.76,-517000000.0,0.0,-379000000.0,-275000000.0,-242000000.0,222000000.0,378000000.0,-242000000.0,3065000000.0,0.0,4644000000.0,-288000000.0,46000000.0,0.0,0.0,5.0,0.241379310344828,0.340008613264427,0.698133654425045,18179000000.0,0.340008613264427,12.2785359222885,-1.55882352941176,1.03024516446963,0.022196935451187,48.0644927931274,0.00538307129923299
1,2020,2,2020-06-30 00:00:00+00:00,47955000000.0,16711000000.0,46216000000.0,0.0,42354000000.0,9575000000.0,1568000000.0,382000000.0,281000000.0,1561000000.0,-36000000.0,4528000000.0,4631000000.0,4631000000.0,122000000.0,66736000000.0,62208000000.0,5601000000.0,0.0,6708000000.0,18279000000.0,1657000000.0,0.0,254000000.0,363560677.0,16536000000.0,0.0,-936000000.0,-1114000000.0,310000000.0,0.0,811000000.0,504000000.0,0.0,-8000000.0,76000000.0,-228000000.0,-812000000.0,-1246000000.0,-567000000.0,376000000.0,1085000000.0,581000000.0,0.85,657000000.0,1157000000.0,0.85,352000000.0,0.0,500000000.0,4000000.0,348000000.0,229000000.0,375000000.0,348000000.0,1830000000.0,0.0,2987000000.0,318000000.0,30000000.0,0.0,0.0,3.0,0.0622332859174966,0.387345162370271,0.808427066595251,18781000000.0,0.387345162370271,8.21596005554803,-0.291666666666667,1.01058297048863,0.0704369936354017,51.6585021102268,0.0171735296609191
2,2020,1,2020-03-31 00:00:00+00:00,47025000000.0,16597000000.0,45494000000.0,0.0,41867000000.0,9463000000.0,1449000000.0,363000000.0,298000000.0,1194000000.0,-37000000.0,4037000000.0,4373000000.0,4322000000.0,158000000.0,65071000000.0,61034000000.0,5158000000.0,0.0,6559000000.0,18046000000.0,1454000000.0,51000000.0,451000000.0,362570075.0,15801000000.0,0.0,-953000000.0,-1278000000.0,315000000.0,0.0,87000000.0,501000000.0,0.0,2231000000.0,-14000000.0,-226000000.0,1268000000.0,-1268000000.0,2404000000.0,364000000.0,855000000.0,354000000.0,0.5,679000000.0,981000000.0,0.5,129000000.0,0.0,302000000.0,-84000000.0,213000000.0,225000000.0,363000000.0,213000000.0,1809000000.0,0.0,2790000000.0,183000000.0,30000000.0,0.0,0.0,4.0,-0.0120396600566572,0.351612903225806,0.78266770065917,18046000000.0,0.351612903225806,7.69506418862616,-0.411764705882353,1.05037655844567,0.0792270531400966,49.7724474365404,0.0188578248474443
3,2019,4,2019-12-31 00:00:00+00:00,46446000000.0,15742000000.0,44970000000.0,0.0,41387000000.0,9514000000.0,708000000.0,364000000.0,302000000.0,1265000000.0,-39000000.0,3530000000.0,4608000000.0,4608000000.0,148000000.0,64273000000.0,60743000000.0,5059000000.0,0.0,6451000000.0,16450000000.0,1779000000.0,0.0,24000000.0,358601135.0,15582000000.0,0.0,-870000000.0,-1333000000.0,510000000.0,0.0,233000000.0,487000000.0,0.0,345000000.0,-8000000.0,-216000000.0,-478000000.0,-1380000000.0,343000000.0,362000000.0,816000000.0,329000000.0,0.35,992000000.0,1279000000.0,0.35,107000000.0,0.0,287000000.0,-66000000.0,173000000.0,222000000.0,361000000.0,173000000.0,1691000000.0,0.0,2970000000.0,143000000.0,30000000.0,0.0,0.0,7.0,-0.0129611166500498,0.430639730639731,0.697766356987547,17827000000.0,0.430639730639731,8.28218237513387,-1.07972665148064,1.01026825824669,0.093799652999726,49.7126145459634,0.0208844159804819
5,2019,3,2019-09-30 00:00:00+00:00,45977000000.0,15740000000.0,43932000000.0,0.0,41651000000.0,9520000000.0,169000000.0,348000000.0,302000000.0,1725000000.0,-25000000.0,4179000000.0,4602000000.0,4553000000.0,131000000.0,63622000000.0,59443000000.0,4326000000.0,0.0,6360000000.0,15909000000.0,1663000000.0,49000000.0,86000000.0,325811206.0,15400000000.0,0.0,-2673000000.0,-1209000000.0,-1415000000.0,0.0,2191000000.0,479000000.0,0.0,2907000000.0,42000000.0,-195000000.0,283000000.0,-1258000000.0,967000000.0,349000000.0,1173000000.0,694000000.0,1.36,623000000.0,1259000000.0,1.35,480000000.0,0.0,636000000.0,-22000000.0,502000000.0,214000000.0,347000000.0,502000000.0,2482000000.0,0.0,3741000000.0,471000000.0,31000000.0,0.0,0.0,4.0,-0.123682361208714,0.336541031809677,0.966019417475728,17645000000.0,0.336541031809677,11.4821096730479,-0.133757961783439,1.02207792207792,-0.0227949440971743,54.1571304947688,-0.00485253498778471
6,2019,2,2019-06-30 00:00:00+00:00,43745000000.0,14577000000.0,43148000000.0,0.0,39738000000.0,9219000000.0,399000000.0,331000000.0,302000000.0,1342000000.0,-26000000.0,3761000000.0,4543000000.0,4488000000.0,211000000.0,59237000000.0,55476000000.0,4007000000.0,0.0,6184000000.0,14976000000.0,1577000000.0,55000000.0,26000000.0,325811206.0,13247000000.0,0.0,-773000000.0,-1150000000.0,388000000.0,0.0,3000000.0,339000000.0,0.0,642000000.0,-1000000.0,-199000000.0,-120000000.0,-1161000000.0,873000000.0,327000000.0,894000000.0,555000000.0,1.2,582000000.0,1082000000.0,1.2,344000000.0,0.0,500000000.0,-78000000.0,422000000.0,211000000.0,326000000.0,422000000.0,1730000000.0,0.0,2812000000.0,392000000.0,30000000.0,0.0,0.0,5.0,-0.00106571936056843,0.384779516358464,0.938607436985276,15492000000.0,0.384779516358464,8.63076514317313,0.411764705882353,1.10040009058655,-0.0208399249087726,47.549009103143,-0.00433016167982224
7,2019,1,2019-03-31 00:00:00+00:00,46074000000.0,16459000000.0,42697000000.0,0.0,40699000000.0,8034000000.0,1168000000.0,312000000.0,303000000.0,1175000000.0,-58000000.0,3999000000.0,4468000000.0,4367000000.0,192000000.0,58793000000.0,54794000000.0,5375000000.0,0.0,4789000000.0,17627000000.0,1366000000.0,101000000.0,328000000.0,325811206.0,10526000000.0,0.0,-864000000.0,-986000000.0,210000000.0,0.0,22000000.0,498000000.0,0.0,1009000000.0,73000000.0,-200000000.0,233000000.0,-1074000000.0,1259000000.0,327000000.0,888000000.0,390000000.0,0.85,585000000.0,937000000.0,0.85,196000000.0,0.0,352000000.0,-112000000.0,308000000.0,194000000.0,326000000.0,308000000.0,1887000000.0,0.0,2824000000.0,278000000.0,30000000.0,0.0,0.0,4.0,0.101404056162246,0.331798866855524,0.744,12719000000.0,0.331798866855524,8.66759628887657,0.26865671641791,1.56365190955729,-0.0316057552077665,39.0379451835061,-0.00654791431792559
8,2018,4,2018-12-31 00:00:00+00:00,42789000000.0,12892000000.0,41344000000.0,0.0,37643000000.0,8715000000.0,799000000.0,282000000.0,299000000.0,1193000000.0,-23000000.0,3325000000.0,4336000000.0,4165000000.0,312000000.0,56574000000.0,53249000000.0,5146000000.0,0.0,5898000000.0,13691000000.0,1519000000.0,171000000.0,21000000.0,325811206.0,11540000000.0,0.0,-362000000.0,-1226000000.0,906000000.0,0.0,6000000.0,301000000.0,0.0,393000000.0,23000000.0,-197000000.0,73000000.0,-1268000000.0,617000000.0,323000000.0,-1685000000.0,-1986000000.0,-4.39,3259000000.0,1218000000.0,-4.38,-2182000000.0,0.0,-2041000000.0,-782000000.0,-1400000000.0,196000000.0,326000000.0,-1400000000.0,1791000000.0,0.0,3009000000.0,-1430000000.0,30000000.0,0.0,-34000000.0,5.0,-0.065527950310559,0.404785643070788,0.646132918771862,13785000000.0,0.404785643070788,9.23540978513796,1.61309523809524,1.11715771230503,-0.0359151790452336,42.3097786268284,-0.007873429502094
10,2018,3,2018-09-30 00:00:00+00:00,39274000000.0,14629000000.0,40412000000.0,0.0,34555000000.0,9597000000.0,182000000.0,261000000.0,297000000.0,1549000000.0,-42000000.0,3383000000.0,4466000000.0,4389000000.0,167000000.0,53563000000.0,50180000000.0,4719000000.0,0.0,5145000000.0,14811000000.0,1288000000.0,77000000.0,71000000.0,325811206.0,12096000000.0,0.0,-28000000.0,-1025000000.0,1054000000.0,0.0,11000000.0,565000000.0,0.0,-57000000.0,13000000.0,-197000000.0,-28000000.0,-1082000000.0,182000000.0,327000000.0,1380000000.0,815000000.0,1.57,550000000.0,1289000000.0,1.57,627000000.0,0.0,739000000.0,83000000.0,544000000.0,188000000.0,326000000.0,544000000.0,2980000000.0,0.0,4269000000.0,513000000.0,31000000.0,0.0,0.0,6.0,0.162581699346405,0.301944249238698,0.716889171434626,14289000000.0,0.301944249238698,13.1026800839993,0.0902777777777779,1.20940806878307,0.0391177342195504,43.856686746373,0.00876219737703053
11,2018,2,2018-06-30 00:00:00+00:00,38848000000.0,13845000000.0,39831000000.0,0.0,33926000000.0,9286000000.0,779000000.0,252000000.0,291000000.0,1420000000.0,-44000000.0,3257000000.0,4463000000.0,4378000000.0,132000000.0,52820000000.0,49563000000.0,4922000000.0,0.0,4800000000.0,14624000000.0,1255000000.0,85000000.0,99000000.0,325811206.0,11779000000.0,0.0,-664000000.0,-891000000.0,358000000.0,0.0,7000000.0,595000000.0,78000000.0,491000000.0,49000000.0,-197000000.0,1000000.0,-1022000000.0,692000000.0,327000000.0,1072000000.0,477000000.0,0.85,564000000.0,984000000.0,0.84,297000000.0,-8000000.0,420000000.0,-9000000.0,306000000.0,180000000.0,326000000.0,298000000.0,1831000000.0,0.0,2815000000.0,276000000.0,30000000.0,0.0,0.0,5.0,-0.0505902192242833,0.34955595026643,0.661722876879317,13972000000.0,0.34955595026643,8.63997292959899,0.0,1.17539689277528,0.0352382153820277,42.8837306473737,0.00794557565126698
