,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,676134000.0,256452000.0,49674000.0,51622000.0,419615000.0,-124177000.0,103670000.0,37535000.0,0.0,122386000.0,-356000.0,850234000.0,0.0,0.0,88812000.0,1092340000.0,242106000.0,256519000.0,157495000.0,0.0,360122000.0,48148000.0,0.0,661792000.0,126007389.0,416206000.0,14399000.0,63598000.0,-3903000.0,67501000.0,104000.0,-138000.0,4765000.0,0.0,-9164000.0,0.0,0.0,54538000.0,-3903000.0,-636000.0,141820000.0,55603000.0,50838000.0,0.31,43222000.0,94981000.0,0.28,44845000.0,0.0,51759000.0,5483000.0,39362000.0,5993000.0,126109000.0,39362000.0,83522000.0,28170000.0,178503000.0,39362000.0,0.0,15052000.0,0.0,5.0,-0.00863060030990181,0.532097499761909,3.31450691761624,416206000.0,0.532097499761909,1.41660740228496,0.24,0.616166033166269,0.516932996120893,3.3030285231924,0.185349154482057
1,2020,2,2020-06-30 00:00:00+00:00,627751000.0,253174000.0,44434000.0,52869000.0,404228000.0,-163539000.0,102271000.0,31186000.0,0.0,89504000.0,-1153000.0,757201000.0,0.0,0.0,93872000.0,997927000.0,240726000.0,223523000.0,151233000.0,0.0,355445000.0,24135000.0,0.0,607254000.0,125211569.0,370176000.0,12300000.0,20980000.0,-4451000.0,25431000.0,24000.0,2867000.0,4141000.0,0.0,-7594000.0,0.0,0.0,13410000.0,-4451000.0,-1076000.0,125603000.0,-43762000.0,-47903000.0,-0.38,37533000.0,48387000.0,-0.38,-53855000.0,0.0,10854000.0,-6561000.0,-47294000.0,5952000.0,125603000.0,-47294000.0,77151000.0,24341000.0,125538000.0,-47294000.0,0.0,13192000.0,0.0,5.0,-0.063805986845049,0.38543707881279,3.38757532781861,370176000.0,0.38543707881279,1.00260703545692,-5.22222222222222,0.683928725795297,0.609989881931867,2.95640413227311,0.2075045183038
2,2020,1,2020-03-31 00:00:00+00:00,714580000.0,295216000.0,42486000.0,54115000.0,480958000.0,-116245000.0,100567000.0,34617000.0,0.0,95484000.0,-1091000.0,751697000.0,0.0,0.0,86806000.0,1030787000.0,279090000.0,233622000.0,145227000.0,0.0,395783000.0,34538000.0,0.0,593844000.0,123179271.0,316207000.0,7515000.0,35869000.0,-3353000.0,39222000.0,-205000.0,1979000.0,3844000.0,0.0,262071000.0,0.0,0.0,297735000.0,-3353000.0,311863000.0,138104000.0,64067000.0,60223000.0,0.56,35963000.0,80675000.0,0.5,57068000.0,0.0,44712000.0,-11868000.0,68936000.0,3155000.0,123531000.0,68936000.0,124870000.0,24087000.0,205545000.0,68936000.0,0.0,11876000.0,0.0,5.0,1.05237144283575,0.392493128025493,3.21757796782837,316207000.0,0.392493128025493,1.66866550135696,17.6666666666667,0.933616270354546,1.05978817663369,2.5670471779298,0.330742394961147
3,2019,4,2019-12-31 00:00:00+00:00,441011000.0,102659000.0,39053000.0,55362000.0,241700000.0,-185181000.0,2884000.0,32056000.0,0.0,145413000.0,-923000.0,499657000.0,0.0,0.0,74531000.0,713223000.0,213566000.0,199311000.0,181987000.0,0.0,105543000.0,57474000.0,0.0,296109000.0,122385775.0,272212000.0,6176000.0,94851000.0,-7420000.0,102271000.0,178000.0,2060000.0,2568000.0,0.0,-1966000.0,0.0,0.0,93063000.0,-7420000.0,-265000.0,133234000.0,49292000.0,46724000.0,0.99,33439000.0,77881000.0,0.88,44421000.0,0.0,44442000.0,-72245000.0,116666000.0,2303000.0,122692000.0,116666000.0,132151000.0,21140000.0,210032000.0,116666000.0,0.0,11168000.0,0.0,7.0,1.275807517689,0.37080540108174,2.50692134403018,272212000.0,0.37080540108174,1.71614715844223,98.0,0.377128855450899,1.15955502468088,2.22421274041039,0.316339019915963
5,2019,3,2019-09-30 00:00:00+00:00,371380000.0,100978000.0,34939000.0,56544000.0,224561000.0,-301847000.0,3084000.0,30231000.0,0.0,133689000.0,569000.0,391517000.0,0.0,0.0,0.0,523669000.0,132152000.0,146819000.0,120041000.0,0.0,104062000.0,60692000.0,0.0,203046000.0,121974905.0,152289000.0,5776000.0,769000.0,-4192000.0,4961000.0,-542000.0,303000.0,3857000.0,0.0,-3140000.0,0.0,0.0,-2913000.0,-4192000.0,-1095000.0,133611000.0,37514000.0,33657000.0,0.25,31000000.0,64706000.0,0.23,31371000.0,0.0,33706000.0,272000.0,31099000.0,2286000.0,122123000.0,31099000.0,115351000.0,19446000.0,180057000.0,31099000.0,0.0,11085000.0,0.0,7.0,1.30836388810543,0.359363979184369,2.66666439629748,152289000.0,0.359363979184369,1.47618069470929,-9.33333333333333,0.66306824524424,0.62020174294929,1.24852730977737,0.108607670382173
6,2019,2,2019-06-30 00:00:00+00:00,364247000.0,99890000.0,33836000.0,57726000.0,220634000.0,-332946000.0,3043000.0,20094000.0,0.0,97537000.0,414000.0,349851000.0,0.0,0.0,0.0,481518000.0,131667000.0,143613000.0,115865000.0,0.0,102933000.0,65989000.0,0.0,205959000.0,110226728.0,117271000.0,4934000.0,12254000.0,-2518000.0,14772000.0,240000.0,958000.0,4122000.0,0.0,115378000.0,0.0,0.0,127872000.0,-2518000.0,127649000.0,130737000.0,16682000.0,12560000.0,0.09,27872000.0,45319000.0,0.08,11209000.0,0.0,17447000.0,591000.0,10618000.0,1351000.0,113677000.0,10618000.0,88775000.0,17637000.0,134094000.0,10618000.0,0.0,9604000.0,0.0,8.0,0.766812480236112,0.3379644130237,2.43606776545299,117271000.0,0.3379644130237,1.21652889850817,-3.25,0.851787739509342,0.296441005532803,1.0639071133455,0.0289582249933036
7,2019,1,2019-03-31 00:00:00+00:00,305128000.0,65406000.0,28141000.0,58907000.0,176382000.0,-343563000.0,2985000.0,12971000.0,0.0,81715000.0,663000.0,195442000.0,0.0,0.0,0.0,319252000.0,123810000.0,128746000.0,111309000.0,0.0,68391000.0,52489000.0,0.0,78087000.0,108519598.0,14124000.0,3290000.0,16405000.0,-658000.0,17063000.0,-133000.0,1664000.0,3572000.0,0.0,-44422000.0,0.0,0.0,-28150000.0,-658000.0,-44731000.0,115863000.0,10436000.0,6864000.0,0.03,26205000.0,33339000.0,0.02,3113000.0,0.0,7134000.0,348000.0,2765000.0,3751000.0,108195000.0,2765000.0,66811000.0,17313000.0,100150000.0,2765000.0,0.0,8524000.0,0.0,6.0,0.431286800434459,0.332890664003994,1.51804327901449,14124000.0,0.332890664003994,0.922874778802627,-1.5,4.63084112149533,3.67972406996797,0.13015160634856,-0.0124028947838254
8,2018,4,2018-12-31 00:00:00+00:00,332161000.0,81628000.0,20998000.0,60089000.0,185000000.0,-346302000.0,28155000.0,16267000.0,0.0,78938000.0,742000.0,222302000.0,0.0,0.0,0.0,339937000.0,117635000.0,147161000.0,110030000.0,0.0,109783000.0,48794000.0,0.0,106237000.0,106328107.0,7776000.0,1521000.0,108000.0,-7767000.0,1875000.0,-39000.0,644000.0,2717000.0,-6000000.0,-3996000.0,0.0,0.0,-9927000.0,-1767000.0,-4640000.0,106705000.0,7097000.0,4380000.0,0.01,23161000.0,28164000.0,0.01,1286000.0,0.0,5003000.0,577000.0,709000.0,3094000.0,106705000.0,709000.0,64125000.0,14280000.0,92289000.0,709000.0,0.0,7340000.0,0.0,5.0,0.158332705776037,0.305171797288951,1.51060403231835,7776000.0,0.305171797288951,0.867964290947078,-1.5,10.4974279835391,0.942716990310942,0.0731321211239094,-0.0423917214549982
10,2018,3,2018-09-30 00:00:00+00:00,322354000.0,87907000.0,20331000.0,60861000.0,187432000.0,-347011000.0,24125000.0,17886000.0,0.0,54117000.0,-7000.0,209798000.0,0.0,0.0,0.0,326510000.0,116712000.0,134922000.0,106080000.0,0.0,112032000.0,28103000.0,0.0,116164000.0,96848549.0,4156000.0,4051000.0,5907000.0,-9909000.0,6816000.0,-80000.0,629000.0,2481000.0,-9000000.0,60866000.0,0.0,0.0,57693000.0,-909000.0,60237000.0,102798000.0,2049000.0,-432000.0,-0.03,25638000.0,25264000.0,-0.03,-3222000.0,0.0,-374000.0,248000.0,-3470000.0,2790000.0,102798000.0,-3470000.0,52738000.0,14885000.0,78002000.0,-3470000.0,0.0,8165000.0,0.0,5.0,0.0125133051221475,0.323889131047922,1.55495767925172,4156000.0,0.323889131047922,0.805401844481945,-0.625,21.1518286814244,0.922519475813757,0.0429123620633697,-0.0659648865229928
11,2018,2,2018-06-30 00:00:00+00:00,248651000.0,33559000.0,23100000.0,4027000.0,134003000.0,-343541000.0,18429000.0,17471000.0,0.0,58696000.0,-353000.0,155379000.0,0.0,0.0,0.0,218536000.0,63157000.0,114648000.0,110061000.0,0.0,51988000.0,21895000.0,0.0,58471000.0,96848549.0,-30115000.0,4289000.0,3648000.0,-432000.0,4080000.0,-446000.0,1101000.0,2193000.0,0.0,2014000.0,0.0,0.0,5216000.0,-432000.0,913000.0,97321000.0,1217000.0,-976000.0,-0.04,23259000.0,22701000.0,-0.04,-3399000.0,0.0,-558000.0,339000.0,-3738000.0,2423000.0,97321000.0,-3738000.0,53195000.0,13797000.0,75896000.0,-3738000.0,0.0,9462000.0,0.0,4.0,0.0159563075605054,0.299106672288395,1.35527004396064,-30115000.0,0.299106672288395,0.783656552252528,-0.714285714285714,-1.11436161381371,0.954548942374095,-0.310949418560726,-0.0960763668098888
