,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,15880748000.0,11362952000.0,14546891000.0,7172352000.0,12084565000.0,-3170310000.0,2379067000.0,0.0,0.0,705509000.0,-1101801000.0,4044028000.0,14186000.0,0.0,0.0,26436714000.0,22392686000.0,3796183000.0,0.0,0.0,13742019000.0,822062000.0,14186000.0,2645045000.0,88557118.0,10555814000.0,75248000.0,-75018000.0,-603211000.0,532162000.0,18513000.0,228204000.0,360688000.0,0.0,-2088517000.0,3969000.0,-240690000.0,-2141053000.0,-607180000.0,-2076031000.0,89519000.0,557014000.0,196326000.0,0.75,463438000.0,751788000.0,0.74,96590000.0,144000.0,288350000.0,29903000.0,66687000.0,99736000.0,88806000.0,66831000.0,767979000.0,452077000.0,1519767000.0,66687000.0,0.0,0.0,0.0,5.0,0.0880270043885711,0.494673196615007,1.06528794844716,10555966000.0,0.494673196615007,17.1614324666708,-0.471830985915493,1.07646383310657,0.0461618829156783,119.1995204722,0.0174397066572946
1,2020-06-30 00:00:00+00:00,2,2020,17404372000.0,12924476000.0,14059928000.0,7091039000.0,13548601000.0,-2996420000.0,2545606000.0,0.0,0.0,691589000.0,-1140291000.0,5981417000.0,22069000.0,0.0,0.0,27792630000.0,21811213000.0,3855771000.0,0.0,0.0,15470082000.0,745517000.0,22069000.0,4785050000.0,85927044.0,10388280000.0,75844000.0,46544000.0,-529444000.0,574686000.0,12411000.0,1683106000.0,348593000.0,39000.0,3562977000.0,-1341000.0,-236008000.0,3620630000.0,-528142000.0,2115879000.0,87901000.0,635130000.0,286537000.0,1.53,448289000.0,730777000.0,1.52,178057000.0,46000.0,282488000.0,44753000.0,133304000.0,108480000.0,87303000.0,133350000.0,739344000.0,435014000.0,1470121000.0,133304000.0,0.0,0.0,0.0,6.0,0.0614768331892876,0.497086294257411,1.55128948270009,10388258000.0,0.497086294257411,17.1089441875831,-0.1,1.24414012714328,0.054331661700268,120.896257061979,0.020284531183809
2,2020-03-31 00:00:00+00:00,1,2020,14921404000.0,12474849000.0,13591755000.0,7035998000.0,13082931000.0,-2890210000.0,604732000.0,0.0,0.0,687153000.0,-1206669000.0,2320109000.0,25833000.0,0.0,0.0,23590698000.0,21270589000.0,1838473000.0,0.0,0.0,13079581000.0,717574000.0,25833000.0,1171339000.0,85443883.0,8669364000.0,64499000.0,79516000.0,-954541000.0,516830000.0,-25287000.0,132183000.0,335869000.0,-478287000.0,-237104000.0,-38940000.0,-233479000.0,-700102000.0,-437314000.0,-135808000.0,86144000.0,592190000.0,256321000.0,1.39,454776000.0,708260000.0,1.38,148983000.0,165000.0,253484000.0,30191000.0,118792000.0,107338000.0,85551000.0,118957000.0,736282000.0,442047000.0,1444542000.0,118792000.0,0.0,0.0,0.0,5.0,0.0596559024308658,0.490300731996716,1.26197610734561,8669294000.0,0.490300731996716,16.90632435326,-0.0347222222222222,1.43895780590133,0.0580421831060782,101.461844846166,0.0217897058450385
3,2019-12-31 00:00:00+00:00,4,2019,15125233000.0,12345645000.0,13627964000.0,6884247000.0,12967370000.0,-2777044000.0,941672000.0,0.0,0.0,689134000.0,-934613000.0,2872616000.0,10362000.0,0.0,0.0,23965615000.0,21092999000.0,2157863000.0,0.0,0.0,13287317000.0,760718000.0,10362000.0,1869577000.0,85278859.0,8840606000.0,62126000.0,-289756000.0,-466546000.0,529670000.0,21883000.0,0.0,330544000.0,358656000.0,381473000.0,-5776000.0,-210360000.0,466480000.0,-819426000.0,591833000.0,86047000.0,610788000.0,280244000.0,1.46,378525000.0,691499000.0,1.45,162627000.0,-160000.0,312974000.0,37632000.0,124995000.0,117617000.0,85301000.0,124835000.0,725636000.0,406060000.0,1417135000.0,124995000.0,0.0,0.0,0.0,7.0,0.0817139066761419,0.487955628786248,1.33123187153216,8840382000.0,0.487955628786248,16.6176590144106,0.0656934306569341,1.39647044557805,0.0583677207238276,103.664402920775,0.0220186366747481
5,2019-09-30 00:00:00+00:00,3,2019,14081302000.0,11685907000.0,12712688000.0,6776756000.0,12244819000.0,-2689888000.0,573775000.0,0.0,0.0,746571000.0,-1040236000.0,2853257000.0,19567000.0,0.0,0.0,22842333000.0,19989076000.0,1836483000.0,0.0,0.0,12259682000.0,755150000.0,19567000.0,1402400000.0,84819213.0,8761111000.0,63871000.0,-74680000.0,-576462000.0,498994000.0,-13528000.0,123846000.0,321891000.0,117000.0,-126163000.0,-2905000.0,-212752000.0,-217159000.0,-573674000.0,-37257000.0,85571000.0,619242000.0,297351000.0,1.42,407103000.0,692471000.0,1.41,178677000.0,-39000.0,285368000.0,57827000.0,120850000.0,118674000.0,85012000.0,120811000.0,704339000.0,403386000.0,1396810000.0,120850000.0,0.0,0.0,0.0,7.0,0.0880692595370909,0.495751748627229,1.5536528244476,8761031000.0,0.495751748627229,16.4680848901534,-0.0897435897435899,1.33383848235686,0.0594155696089827,103.290642416123,0.0222677628660071
6,2019-06-30 00:00:00+00:00,2,2019,14137276000.0,11692221000.0,12461118000.0,6973285000.0,12252871000.0,-2598289000.0,575551000.0,0.0,0.0,752680000.0,-958443000.0,2988501000.0,17219000.0,0.0,0.0,22886505000.0,19898004000.0,1884405000.0,0.0,0.0,12267772000.0,768670000.0,17219000.0,1613529000.0,84070037.0,8749242000.0,61519000.0,57037000.0,-523092000.0,542923000.0,2106000.0,348121000.0,319224000.0,-34143000.0,-40160000.0,-3063000.0,-208449000.0,-18223000.0,-485886000.0,-179832000.0,84767000.0,630622000.0,311398000.0,1.7,395017000.0,686798000.0,1.69,190851000.0,325000.0,291781000.0,47324000.0,143527000.0,120547000.0,84399000.0,143852000.0,698179000.0,391857000.0,1384977000.0,143527000.0,0.0,0.0,0.0,7.0,0.0974956872061574,0.495891267508414,1.58591226408336,8749229000.0,0.495891267508414,16.4740857673228,1.0,1.33636959636046,0.0629340245040487,104.070716657351,0.0231148987307169
7,2019-03-31 00:00:00+00:00,1,2019,14066303000.0,11836890000.0,12356032000.0,7051191000.0,12380952000.0,-2530862000.0,561470000.0,0.0,0.0,703835000.0,-942365000.0,2625771000.0,13833000.0,0.0,0.0,22491091000.0,19865320000.0,1685351000.0,0.0,0.0,12398360000.0,746771000.0,13833000.0,1633844000.0,80865431.0,8425112000.0,49023000.0,51453000.0,-378467000.0,421141000.0,-1695000.0,1241027000.0,313178000.0,0.0,986932000.0,-8779000.0,-204603000.0,1027911000.0,-369688000.0,-49492000.0,82090000.0,596671000.0,283493000.0,1.44,401680000.0,681188000.0,1.44,160647000.0,-331000.0,279508000.0,42569000.0,118078000.0,122846000.0,81814000.0,117747000.0,682030000.0,384761000.0,1363218000.0,118078000.0,0.0,0.0,0.0,8.0,0.121180843128047,0.499691171918211,1.55799652416618,8424788000.0,0.499691171918211,16.8578585823651,0.822784810126582,1.40495342969921,0.0565833647587812,104.182812059704,0.0202441839183553
8,2018-12-31 00:00:00+00:00,4,2018,13025359000.0,10880525000.0,11026020000.0,7169684000.0,11510288000.0,-2441252000.0,451972000.0,0.0,0.0,630119000.0,-945702000.0,1515682000.0,4540000.0,0.0,0.0,20244638000.0,18728956000.0,1515071000.0,0.0,0.0,11332497000.0,756692000.0,4540000.0,606166000.0,80390499.0,7219279000.0,40867000.0,-167842000.0,-725571000.0,558629000.0,-2963000.0,114332000.0,306864000.0,-502000.0,-100895000.0,1402000.0,-183858000.0,-270800000.0,-726471000.0,-32094000.0,80920000.0,572918000.0,266054000.0,1.37,368431000.0,639148000.0,1.37,136076000.0,0.0,270717000.0,26054000.0,110022000.0,129978000.0,80517000.0,110022000.0,670935000.0,367950000.0,1310083000.0,110022000.0,0.0,0.0,0.0,5.0,0.091534809006008,0.487868325899962,1.00040328143038,7219279000.0,0.487868325899962,16.29649045965,0.650602409638555,1.50714842853421,0.0513784548382413,89.8026394885296,0.0181443585675944
10,2018-09-30 00:00:00+00:00,3,2018,13127898000.0,11032519000.0,10682826000.0,7235926000.0,11666579000.0,-2365504000.0,322064000.0,0.0,0.0,662401000.0,-922148000.0,1806987000.0,15415000.0,0.0,0.0,20288071000.0,18481084000.0,1461319000.0,0.0,0.0,11354583000.0,739117000.0,15415000.0,870486000.0,79508038.0,7160173000.0,47588000.0,-223209000.0,-619957000.0,417162000.0,-5104000.0,290494000.0,305726000.0,13962000.0,104064000.0,6452000.0,-185983000.0,-103835000.0,-640371000.0,133000.0,80283000.0,579627000.0,273901000.0,1.56,357689000.0,623442000.0,1.55,143335000.0,0.0,265753000.0,18510000.0,124825000.0,130566000.0,79872000.0,124825000.0,660309000.0,364822000.0,1283751000.0,124825000.0,0.0,0.0,0.0,5.0,0.114114770872224,0.48564090699832,1.23654520334027,7160173000.0,0.48564090699832,16.1461788303718,0.529411764705882,1.5408173796918,0.0456707436331081,90.0559639014108,0.0162321773779295
11,2018-06-30 00:00:00+00:00,2,2018,13145761000.0,11078691000.0,10378915000.0,7310387000.0,11712141000.0,-2305082000.0,311315000.0,0.0,0.0,616472000.0,-877994000.0,1850825000.0,22399000.0,4200000.0,0.0,20070288000.0,18219463000.0,1433620000.0,0.0,0.0,11390006000.0,710584000.0,18199000.0,966308000.0,79457772.0,6924527000.0,49725000.0,-8593000.0,-1365074000.0,538728000.0,-33743000.0,7635000.0,307331000.0,-830993000.0,-206282000.0,13240000.0,-181760000.0,-1066371000.0,-547321000.0,-32737000.0,79752000.0,515978000.0,208647000.0,0.85,395104000.0,610142000.0,0.85,73974000.0,0.0,215038000.0,6356000.0,67618000.0,134673000.0,79479000.0,67618000.0,651801000.0,364691000.0,1261943000.0,67618000.0,0.0,0.0,0.0,4.0,0.183344101438363,0.483494103933379,1.29101505280339,6924527000.0,0.483494103933379,15.8819328586258,0.440677966101695,1.59992025448092,0.0401538619267122,87.1472585463383,0.014316023224849
