,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,1371938000.0,61453000.0,-61478000.0,0.0,20076455000.0,0.0,235214000.0,10517480000.0,0.0,0.0,20623978000.0,0.0,390848000.0,54828000.0,0.0,9575906000.0,372210138.0,8726414000.0,-10319000.0,1301000.0,-224241000.0,-260668000.0,0.0,-148851000.0,-148889000.0,0.0,203480000.0,399238000.0,-27985000.0,0.0,-38000.0,250387000.0,90513000.0,10859000.0,91548000.0,375902000.0,773000.0,228534000.0,385652000.0,182435000.0,393899000.0,172422000.0,0.24,262000.0,622433000.0,3376000.0,0.0,91286000.0,80874000.0,0.0,0.24,371869000.0,95365000.0,211464000.0,0.045424545710914,4.0,11048072000.0,-0.666666666666667,1.67226234982348,0.632837590551915,0.829705785035959,-0.0914978397944886,29.6823511024302,0.632837590551915,0.0903175246477529
1,2020,2,2020-06-30 00:00:00+00:00,1505694000.0,64005000.0,-67355000.0,0.0,20131760000.0,0.0,245533000.0,10597673000.0,0.0,0.0,20714951000.0,0.0,341984000.0,55310000.0,0.0,9540780000.0,372125616.0,8751994000.0,104763000.0,1661000.0,-224188000.0,-447210000.0,0.0,300014000.0,299338000.0,-508000.0,208844000.0,252635000.0,-211016000.0,0.0,-168000.0,552649000.0,260116000.0,11835000.0,261075000.0,551804000.0,772000.0,223098000.0,385913000.0,212623000.0,430434000.0,342960000.0,0.7,187000.0,653532000.0,9713000.0,0.0,260888000.0,81885000.0,0.0,0.7,371795000.0,271481000.0,217811000.0,0.0535778367022019,4.0,11174171000.0,-0.156626506024096,1.75621341799808,0.658627274563449,0.825841106816562,-0.0236668887647264,30.0279543238969,0.658627274563449,0.107939181162471
2,2020,1,2020-03-31 00:00:00+00:00,1469821000.0,69074000.0,-72896000.0,0.0,20496636000.0,0.0,140770000.0,10530367000.0,0.0,0.0,20919318000.0,0.0,397882000.0,55866000.0,0.0,9795290000.0,371978449.0,8963417000.0,23771000.0,12020000.0,-211239000.0,-624689000.0,0.0,271468000.0,266009000.0,-1000.0,215411000.0,382451000.0,-407045000.0,0.0,-5458000.0,653919000.0,307833000.0,14518000.0,308659000.0,609660000.0,773000.0,241257000.0,386949000.0,214132000.0,441072000.0,394249000.0,0.83,53000.0,682329000.0,11535000.0,0.0,308606000.0,85590000.0,0.0,0.83,371582000.0,332671000.0,226940000.0,0.0556880341639586,5.0,11124028000.0,1.96428571428571,1.83432400945357,0.64642130116117,0.85119701905926,0.0299398937952646,29.9050335574683,0.64642130116117,0.11377329116155
3,2019,4,2019-12-31 00:00:00+00:00,1386495000.0,70062000.0,-77563000.0,0.0,20769595000.0,0.0,116999000.0,10315506000.0,0.0,0.0,21172769000.0,0.0,312676000.0,52238000.0,0.0,10164843000.0,371354411.0,9368290000.0,32403000.0,11512000.0,-210720000.0,-216757000.0,0.0,-113113000.0,-113644000.0,0.0,216662000.0,362804000.0,41585000.0,0.0,-531000.0,249691000.0,288992000.0,11630000.0,286734000.0,603696000.0,772000.0,226692000.0,386801000.0,230715000.0,457227000.0,387034000.0,0.78,-3030000.0,683919000.0,10695000.0,0.0,289764000.0,100300000.0,0.0,0.78,371163000.0,301306000.0,226512000.0,0.0460687735352985,6.0,11007926000.0,1.4375,1.84168810102003,0.668539695490255,0.908175517517027,0.047761523294773,29.6426423759377,0.668539695490255,0.0950684320331062
5,2019,3,2019-09-30 00:00:00+00:00,1308423000.0,70398000.0,-84092000.0,0.0,20666995000.0,0.0,84596000.0,10182636000.0,0.0,0.0,21054056000.0,0.0,369816000.0,52474000.0,0.0,10152058000.0,370852718.0,9325248000.0,-224872000.0,19250000.0,-210448000.0,-339254000.0,0.0,-288524000.0,-289025000.0,0.0,214474000.0,403407000.0,-127832000.0,0.0,-501000.0,114883000.0,266333000.0,11417000.0,267371000.0,567781000.0,773000.0,224452000.0,386896000.0,237773000.0,460668000.0,353307000.0,0.72,265000.0,685120000.0,9910000.0,0.0,267106000.0,85936000.0,0.0,0.71,370768000.0,277846000.0,222895000.0,0.0382036359169124,6.0,10901998000.0,0.241379310344828,1.84741803618115,0.672390238206446,0.915799013143551,0.0494020987429293,29.3971096094272,0.672390238206446,0.0783810043604864
6,2019,2,2019-06-30 00:00:00+00:00,1252809000.0,69027000.0,-89849000.0,0.0,20400906000.0,0.0,309468000.0,10153529000.0,0.0,0.0,20990711000.0,0.0,327271000.0,52907000.0,0.0,10175125000.0,370535630.0,9412041000.0,215962000.0,19153000.0,-210194000.0,-79146000.0,0.0,-98073000.0,-22120000.0,-18000.0,203421000.0,317228000.0,163145000.0,0.0,75971000.0,219155000.0,308196000.0,14329000.0,309214000.0,621537000.0,772000.0,224276000.0,386107000.0,230261000.0,445098000.0,418116000.0,0.83,246000.0,669374000.0,11510000.0,0.0,308968000.0,108902000.0,0.0,0.83,370342000.0,321299000.0,214837000.0,0.0359167102893553,6.0,10815586000.0,1.67741935483871,1.80650373622639,0.664946651647659,0.926972385660198,0.0462107382214665,29.1890580131255,0.664946651647659,0.0731404579024431
7,2019,1,2019-03-31 00:00:00+00:00,1155032000.0,68335000.0,-75013000.0,0.0,20371323000.0,0.0,93506000.0,10046886000.0,0.0,0.0,20768811000.0,0.0,371302000.0,62853000.0,0.0,10069744000.0,369933743.0,9234907000.0,-22807000.0,30986000.0,-199749000.0,-49317000.0,0.0,-340503000.0,-347035000.0,-251000.0,208219000.0,373545000.0,132162000.0,0.0,-6281000.0,33042000.0,103766000.0,15381000.0,104777000.0,407934000.0,773000.0,232908000.0,385184000.0,209990000.0,429586000.0,199715000.0,0.28,238000.0,662494000.0,3919000.0,0.0,104539000.0,94938000.0,0.0,0.28,369558000.0,109257000.0,219596000.0,0.0266551370137614,4.0,10699067000.0,-0.508771929824561,1.79084501626552,0.648437570755358,0.919181027832903,0.0465675433164408,28.9215763699609,0.648437570755358,0.0538240861051598
8,2018,4,2018-12-31 00:00:00+00:00,1261763000.0,67258000.0,-64986000.0,0.0,19814741000.0,0.0,116313000.0,10173204000.0,0.0,0.0,20394209000.0,0.0,309072000.0,58349000.0,0.0,9615454000.0,368440623.0,8817939000.0,27563000.0,25460000.0,-198938000.0,-176527000.0,0.0,-106303000.0,-108014000.0,0.0,202954000.0,312104000.0,-5656000.0,0.0,-1711000.0,205801000.0,116415000.0,12393000.0,117298000.0,412158000.0,772000.0,219188000.0,384481000.0,219306000.0,433555000.0,209204000.0,0.32,111000.0,652743000.0,4422000.0,0.0,117187000.0,91906000.0,0.0,0.31,368448000.0,122388000.0,214249000.0,0.0320308594935877,6.0,10778755000.0,-0.0588235294117647,1.7716368914076,0.664204748269993,0.866780907961739,0.0349434917171922,29.2550666976806,0.664204748269993,0.063994642186227
10,2018,3,2018-09-30 00:00:00+00:00,1344825000.0,67177000.0,-50689000.0,0.0,19930730000.0,0.0,88750000.0,10235424000.0,0.0,0.0,20542150000.0,0.0,389345000.0,57576000.0,0.0,9693820000.0,368281975.0,8823793000.0,-127000.0,4276000.0,-198869000.0,-174220000.0,0.0,-182883000.0,-184644000.0,0.0,195716000.0,358737000.0,29595000.0,0.0,-1761000.0,175854000.0,214164000.0,12640000.0,215217000.0,522152000.0,773000.0,220176000.0,383884000.0,224731000.0,432691000.0,326436000.0,0.58,280000.0,652867000.0,8159000.0,0.0,214937000.0,111219000.0,0.0,0.58,368028000.0,223846000.0,207960000.0,0.032364986565055,6.0,10848330000.0,0.567567567567568,1.77273677322926,0.662755201289083,0.862083778844921,0.0460567004527961,29.4565868992095,0.662755201289083,0.064692223257231
11,2018,2,2018-06-30 00:00:00+00:00,1329600000.0,66800000.0,-67310000.0,0.0,19826554000.0,0.0,88877000.0,10208437000.0,0.0,0.0,20406582000.0,0.0,353244000.0,58124000.0,0.0,9600313000.0,368213717.0,8772769000.0,-5834000.0,1517000.0,-198831000.0,-98796000.0,0.0,-231174000.0,-231474000.0,0.0,194040000.0,324436000.0,109936000.0,0.0,-300000.0,93262000.0,112830000.0,12502000.0,113876000.0,402047000.0,772000.0,216710000.0,383423000.0,217654000.0,423098000.0,208007000.0,0.31,274000.0,639808000.0,4299000.0,0.0,113602000.0,94131000.0,0.0,0.31,367930000.0,118410000.0,205444000.0,0.0285644635381588,5.0,10806269000.0,-0.415094339622642,1.73759957997437,0.661289011703511,0.859364562861092,0.0446185997910136,29.3478175882296,0.661289011703511,0.0571708687422349
12,2018,1,2018-03-31 00:00:00+00:00,1415638000.0,64748000.0,-77734000.0,0.0,19785570000.0,0.0,94711000.0,10289172000.0,0.0,0.0,20383870000.0,0.0,374275000.0,59091000.0,0.0,9504210000.0,368169571.0,8659477000.0,-6051000.0,3281000.0,-185484000.0,-514367000.0,0.0,150097000.0,147298000.0,0.0,197407000.0,361018000.0,-295788000.0,0.0,-2799000.0,511115000.0,211036000.0,16278000.0,212022000.0,525533000.0,773000.0,223560000.0,383018000.0,196869000.0,409456000.0,328126000.0,0.57,213000.0,633016000.0,8059000.0,0.0,211809000.0,116104000.0,0.0,0.57,367800000.0,220548000.0,212587000.0,0.03249187614992,6.0,10879660000.0,0.461538461538461,1.71935990875248,0.646833571347328,0.841610675766719,0.047866247310048,29.5506767994143,0.646833571347328,0.0650834525884092
