,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,8728926000.0,4697587000.0,15557417000.0,3573000.0,6889409000.0,984571000.0,927981000.0,0.0,0.0,428439000.0,-5043000.0,1342154000.0,717652000.0,214004000.0,50753000.0,17574735000.0,16232581000.0,1839517000.0,0.0,1336629000.0,5625568000.0,693141000.0,503648000.0,13668000.0,255603156.0,8845809000.0,7103000.0,-91833000.0,-273738000.0,184456000.0,0.0,0.0,361127000.0,2299000.0,99982000.0,0.0,0.0,10700000.0,-276289000.0,100274000.0,255589000.0,-396116000.0,-757243000.0,-2.35,464961000.0,-295234000.0,-2.35,-826397000.0,0.0,-760195000.0,-225757000.0,-600640000.0,69154000.0,255589000.0,-600640000.0,467361000.0,56330000.0,172127000.0,-600640000.0,0.0,3160000.0,0.0,3.0,-0.819113764954139,-1.71521028078105,0.729623047789175,8845809000.0,-1.71521028078105,0.673415002747462,0.666666666666667,0.531052275716105,-0.234109753480864,34.6075891175616,-0.120928835056818
1,2020-06-30 00:00:00+00:00,2,2020,8570041000.0,4604031000.0,15704073000.0,11050000.0,7009455000.0,1585211000.0,642117000.0,0.0,0.0,341461000.0,-5115000.0,1541795000.0,1125682000.0,210241000.0,201934000.0,18008868000.0,16467073000.0,1560586000.0,0.0,1550249000.0,5246148000.0,686512000.0,915441000.0,2968000.0,255523995.0,9438827000.0,3439000.0,190920000.0,-145277000.0,446859000.0,0.0,0.0,339884000.0,110937000.0,-317265000.0,0.0,0.0,-15683000.0,-255939000.0,-317265000.0,255524000.0,39192000.0,-300692000.0,-1.03,470021000.0,83109000.0,-1.03,-366078000.0,0.0,-386912000.0,-103003000.0,-263075000.0,65386000.0,255524000.0,-263075000.0,443965000.0,43341000.0,527074000.0,-263075000.0,0.0,876000.0,0.0,3.0,-0.597730818193752,0.157679946269404,0.987959010269219,9438827000.0,0.157679946269404,2.06271821947681,-3.10204081632653,0.487775758576781,-0.197935340440939,36.9391023336184,-0.104117779334446
2,2020-03-31 00:00:00+00:00,1,2020,9000639000.0,5020608000.0,15965542000.0,18528000.0,7527407000.0,1848286000.0,542857000.0,0.0,0.0,441137000.0,-5187000.0,1948043000.0,1180760000.0,127258000.0,391663000.0,18634517000.0,16686474000.0,1473232000.0,0.0,1612894000.0,5563465000.0,692268000.0,1053502000.0,18651000.0,255454000.0,9633878000.0,4684000.0,244106000.0,-203693000.0,500262000.0,0.0,0.0,368307000.0,52323000.0,-282514000.0,0.0,-7664000.0,14055000.0,-256156000.0,-274546000.0,255435000.0,296364000.0,-71943000.0,-0.65,503485000.0,626843000.0,-0.65,-134317000.0,0.0,123358000.0,32822000.0,-167139000.0,62374000.0,255435000.0,-167139000.0,480214000.0,34938000.0,1107057000.0,-167139000.0,0.0,923000.0,0.0,6.0,-0.0315927685485924,0.566224684004527,1.3222920761971,9633878000.0,0.566224684004527,4.3336843423865,-1.86666666666667,0.521140915423675,-0.151937426434279,37.7127702052033,-0.0809146204180804
3,2019-12-31 00:00:00+00:00,4,2019,9005639000.0,5276775000.0,16155490000.0,26006000.0,7659737000.0,2023089000.0,328900000.0,0.0,0.0,610088000.0,-5199000.0,1754855000.0,1488673000.0,676009000.0,298854000.0,18809227000.0,17054372000.0,1345902000.0,0.0,1485814000.0,5605675000.0,796438000.0,812664000.0,4596000.0,255643475.0,9803588000.0,1780000.0,-127271000.0,-344932000.0,217850000.0,0.0,0.0,395614000.0,0.0,124136000.0,0.0,-7670000.0,-2946000.0,-345121000.0,131810000.0,255357000.0,-1102776000.0,-1498390000.0,-4.61,1998730000.0,536663000.0,-4.61,-1543456000.0,0.0,-1462067000.0,-366532000.0,-1176924000.0,45066000.0,255357000.0,-1176924000.0,474820000.0,38444000.0,1011483000.0,-1176924000.0,0.0,867000.0,0.0,5.0,-0.18765389860401,0.530570459414543,1.30385050323129,9803588000.0,0.530570459414543,3.95661575168308,0.858870967741936,0.53824936339634,-0.113410585037446,38.3486728929811,-0.0612465112231169
5,2019-09-30 00:00:00+00:00,3,2019,9262824000.0,5154479000.0,17569994000.0,33483000.0,7813114000.0,3117015000.0,344911000.0,0.0,0.0,552260000.0,-5546000.0,1495220000.0,1507857000.0,736223000.0,127789000.0,20160449000.0,18665229000.0,1449710000.0,0.0,1809650000.0,5499390000.0,755102000.0,771634000.0,7542000.0,255498928.0,10897625000.0,19952000.0,-172531000.0,-491581000.0,319021000.0,0.0,0.0,405725000.0,0.0,149932000.0,0.0,-7668000.0,-22628000.0,-491552000.0,159827000.0,255235000.0,6063000.0,-399662000.0,-1.41,637342000.0,475813000.0,-1.41,-447371000.0,0.0,-161529000.0,-86343000.0,-361028000.0,47709000.0,255235000.0,-361028000.0,475763000.0,79376000.0,951576000.0,-361028000.0,0.0,3492000.0,0.0,5.0,-0.0937768440620697,0.500026272205268,1.03139248539363,10897625000.0,0.500026272205268,3.72438353244284,8.4,0.472991041626042,-0.0616091925134025,42.652331598041,-0.0333635798659316
6,2019-06-30 00:00:00+00:00,2,2019,9230872000.0,4992966000.0,17505652000.0,56649000.0,7697584000.0,3485711000.0,383664000.0,0.0,0.0,639020000.0,-5666000.0,1598091000.0,1785682000.0,997316000.0,127387000.0,20479347000.0,18881256000.0,1533288000.0,0.0,1897455000.0,5376630000.0,850847000.0,788366000.0,30170000.0,255284426.0,11248475000.0,5648000.0,48793000.0,-394298000.0,443546000.0,0.0,0.0,390539000.0,0.0,-59924000.0,0.0,-7665000.0,-10676000.0,-394753000.0,-52070000.0,255223000.0,605473000.0,214934000.0,0.49,540922000.0,836952000.0,0.49,164431000.0,0.0,296030000.0,38865000.0,125566000.0,50503000.0,255099000.0,125566000.0,473300000.0,86208000.0,1310252000.0,125566000.0,0.0,1857000.0,0.0,7.0,0.37827250464946,0.638771778253344,1.04226407563354,11248475000.0,0.638771778253344,5.13251834641883,6.0,0.443879370314643,-0.0324826778196333,44.0625195052048,-0.0159696759612249
7,2019-03-31 00:00:00+00:00,1,2019,9200097000.0,4343426000.0,17453212000.0,66991000.0,7014607000.0,3367810000.0,1013284000.0,0.0,0.0,817535000.0,-5784000.0,1380041000.0,1472311000.0,1102057000.0,130567000.0,20339685000.0,18959644000.0,2185490000.0,0.0,1859578000.0,5356710000.0,877498000.0,370254000.0,40846000.0,254762000.0,11139588000.0,3853000.0,500259000.0,-370331000.0,871287000.0,0.0,0.0,406079000.0,0.0,-463597000.0,0.0,-7652000.0,37359000.0,-371028000.0,-451141000.0,255226000.0,691577000.0,285498000.0,0.75,485063000.0,660519000.0,0.75,228925000.0,0.0,175456000.0,38234000.0,190691000.0,56573000.0,254879000.0,190691000.0,482654000.0,48978000.0,1143173000.0,190691000.0,0.0,1007000.0,0.0,5.0,-0.128703023392651,0.577794437062457,0.63145610366554,11139588000.0,0.577794437062457,4.48721944403011,-1.12520868113523,0.389909034337715,-0.0417964693027881,43.7254692615068,-0.0189645932689704
8,2018-12-31 00:00:00+00:00,4,2018,9763115000.0,4792991000.0,17392507000.0,77333000.0,7408114000.0,3184275000.0,1040441000.0,0.0,0.0,1241843000.0,-5406000.0,1969664000.0,1494656000.0,1013002000.0,131573000.0,20721344000.0,18751680000.0,2355001000.0,0.0,1823381000.0,5833432000.0,1059873000.0,481654000.0,3487000.0,254426000.0,10958229000.0,2052000.0,-350868000.0,-1259644000.0,530866000.0,0.0,0.0,454505000.0,-375408000.0,727410000.0,0.0,-7639000.0,-1368000.0,-881734000.0,965906000.0,255280000.0,-224223000.0,-678728000.0,-2.48,1337757000.0,767066000.0,-2.48,-736475000.0,-125286000.0,-570691000.0,-99788000.0,-636687000.0,57747000.0,255280000.0,-761973000.0,478072000.0,129630000.0,1245138000.0,-636687000.0,0.0,291000.0,537673000.0,5.0,0.467118968393865,0.616048984128667,0.836375016401267,10958229000.0,0.616048984128667,4.8939102135788,-1.36849925705795,0.437387373452407,-0.197959831952232,43.0703976794824,-0.0847180648307949
10,2018-09-30 00:00:00+00:00,3,2018,12443937000.0,7808570000.0,23129894000.0,2672901000.0,9797861000.0,2369271000.0,883204000.0,0.0,0.0,882386000.0,-3251000.0,1234658000.0,1615994000.0,1300430000.0,0.0,28661329000.0,27426671000.0,2646076000.0,0.0,1212867000.0,8691774000.0,978757000.0,315564000.0,4855000.0,264000000.0,11000175000.0,8589000.0,-252360000.0,-957222000.0,904266000.0,0.0,-500208000.0,438270000.0,200149000.0,-640221000.0,0.0,-7838000.0,-693177000.0,-1156626000.0,-31954000.0,259560000.0,382796000.0,-55474000.0,-0.15,734016000.0,586565000.0,-0.15,-111654000.0,103141000.0,-147451000.0,-71961000.0,-39693000.0,56180000.0,259560000.0,63448000.0,463481000.0,51816000.0,1050046000.0,-39693000.0,0.0,3596000.0,-190795000.0,3.0,0.592395054389283,0.55860886094514,0.466599598802151,16217392000.0,0.55860886094514,3.97744696969697,-2.15384615384615,0.709858706793301,-0.0274804372374721,61.4295151515152,-0.0114239905212348
11,2018-06-30 00:00:00+00:00,2,2018,12260609000.0,7833587000.0,23164666000.0,2693629000.0,9904366000.0,2416802000.0,845385000.0,0.0,0.0,774702000.0,-2959000.0,1780812000.0,1273587000.0,1003299000.0,0.0,28963228000.0,27182416000.0,2356243000.0,0.0,1324352000.0,8678972000.0,754120000.0,270288000.0,698032000.0,265000000.0,11679283000.0,8656000.0,-327365000.0,-912802000.0,636712000.0,0.0,-38686000.0,422678000.0,54716000.0,763740000.0,0.0,-7956000.0,487650000.0,-964077000.0,1077705000.0,265154000.0,402682000.0,-19996000.0,0.07,589366000.0,474716000.0,0.07,-77116000.0,118540000.0,-114650000.0,-94922000.0,17806000.0,57120000.0,265030000.0,136346000.0,475932000.0,62959000.0,950648000.0,17806000.0,0.0,1653000.0,-213324000.0,3.0,0.380267211815164,0.4993604362498,0.75578452646862,16702619000.0,0.4993604362498,3.58735094339623,-0.708333333333333,0.670724992279064,-0.024743841496882,63.0287509433962,-0.0103729548093018
