,date,quarter,year,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.acctPay,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.intangibles,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctRec,statementData.balanceSheet.deposits,statementData.balanceSheet.totalAssets,statementData.balanceSheet.ppeq,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.deferredRev,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.cashFlow.ncf,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.capex,statementData.cashFlow.ncfo,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfx,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfi,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.sga,statementData.incomeStatement.costRev,statementData.incomeStatement.rnd,statementData.incomeStatement.revenue,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.intexp,statementData.incomeStatement.opex,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebit,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.ebt,statementData.incomeStatement.eps,statementData.incomeStatement.opinc,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.taxExp,statementData.overview.bvps,statementData.overview.roe,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.epsQoQ,statementData.overview.profitMargin,statementData.overview.grossMargin,statementData.overview.bookVal,statementData.overview.revenueQoQ,statementData.overview.rps,statementData.overview.longTermDebtEquity
0,2020-06-30 00:00:00+00:00,2,2020,0.0,1412000000.0,6820000000.0,17195000000.0,6006000000.0,2914000000.0,221046419.0,0.0,0.0,10550000000.0,43667000000.0,70371000000.0,356000000.0,63551000000.0,0.0,48782000000.0,-42000000.0,1843000000.0,-3429000000.0,0.0,73000000.0,-43000000.0,-1077000000.0,11000000.0,0.0,0.0,0.0,-3841000000.0,1489000000.0,-3305000000.0,-31000000.0,-1120000000.0,342000000.0,0.0,0.0,716000000.0,0.0,716000000.0,0.88,221438000.0,196000000.0,196000000.0,0.0,453000000.0,221693000.0,264000000.0,0.0,264000000.0,0.89,263000000.0,337000000.0,196000000.0,0.0,68000000.0,30.8532480682259,0.118407621640014,0.0119839295963268,4.0,-0.0111111111111111,1.0,1.0,6820000000.0,0.0452554744525548,3.23913865349703,0.207038123167155
1,2020-03-31 00:00:00+00:00,1,2020,0.0,1411000000.0,6519000000.0,16736000000.0,6835000000.0,2928000000.0,221750841.0,0.0,0.0,8375000000.0,42146000000.0,67856000000.0,339000000.0,61337000000.0,0.0,48164000000.0,-168000000.0,1678000000.0,4206000000.0,0.0,57000000.0,-34000000.0,4821000000.0,8000000.0,0.0,0.0,-95000000.0,-3997000000.0,3382000000.0,-3876000000.0,-31000000.0,4787000000.0,312000000.0,0.0,0.0,707000000.0,20000000.0,707000000.0,0.72,222295000.0,181000000.0,161000000.0,0.0,445000000.0,222742000.0,256000000.0,0.0,256000000.0,0.73,262000000.0,313000000.0,181000000.0,0.0,75000000.0,29.3978591945904,0.121655786574092,0.0127648286210897,5.0,-0.336363636363636,1.0,1.0,6519000000.0,-0.0635761589403974,3.18826299287857,0.216444239914097
2,2019-12-31 00:00:00+00:00,4,2019,0.0,1410000000.0,6543000000.0,13742000000.0,2629000000.0,2943000000.0,225915870.0,0.0,0.0,11070000000.0,38606000000.0,61416000000.0,339000000.0,54873000000.0,0.0,43065000000.0,-28000000.0,1464000000.0,771000000.0,0.0,57000000.0,-32000000.0,1878000000.0,15000000.0,0.0,-29000000.0,-177000000.0,879000000.0,-1986000000.0,1023000000.0,-32000000.0,1846000000.0,320000000.0,0.0,0.0,679000000.0,0.0,679000000.0,0.78,224613000.0,172000000.0,172000000.0,0.0,427000000.0,225127000.0,252000000.0,0.0,252000000.0,0.78,252000000.0,309000000.0,172000000.0,0.0,80000000.0,28.9621087708447,0.136750859363324,0.0145105082246036,4.0,-0.264150943396226,1.0,1.0,6543000000.0,-0.0761904761904761,3.00554361231905,0.215497478221
4,2019-09-30 00:00:00+00:00,3,2019,0.0,1410000000.0,6569000000.0,12274000000.0,1858000000.0,2931000000.0,239813983.0,0.0,0.0,10897000000.0,40382000000.0,61707000000.0,338000000.0,55138000000.0,0.0,44309000000.0,-24000000.0,1324000000.0,530000000.0,-300000000.0,56000000.0,-36000000.0,743000000.0,12000000.0,0.0,0.0,-566000000.0,617000000.0,-830000000.0,754000000.0,-34000000.0,707000000.0,295000000.0,0.0,0.0,767000000.0,20000000.0,767000000.0,1.08,235829000.0,274000000.0,254000000.0,0.0,387000000.0,236313000.0,380000000.0,0.0,380000000.0,1.08,380000000.0,436000000.0,274000000.0,0.0,106000000.0,27.3920641233001,0.151289997386402,0.0158393858133517,7.0,0.0693069306930694,1.0,1.0,6569000000.0,0.0652777777777778,3.19831225187565,0.214644542548333
5,2019-06-30 00:00:00+00:00,2,2019,0.0,1710000000.0,6870000000.0,11775000000.0,1328000000.0,2946000000.0,244670688.0,0.0,0.0,10832000000.0,40289000000.0,61590000000.0,325000000.0,54720000000.0,0.0,44961000000.0,-58000000.0,1104000000.0,128000000.0,0.0,58000000.0,-43000000.0,41000000.0,13000000.0,0.0,0.0,-222000000.0,6386000000.0,-6299000000.0,6499000000.0,-34000000.0,-2000000.0,303000000.0,0.0,0.0,685000000.0,0.0,685000000.0,0.9,243007000.0,219000000.0,219000000.0,0.0,398000000.0,243465000.0,295000000.0,0.0,295000000.0,0.9,287000000.0,353000000.0,219000000.0,0.0,76000000.0,28.0785575753153,0.151223128243143,0.0157640340472226,4.0,-0.0526315789473684,1.0,1.0,6870000000.0,-0.0352112676056338,2.79968150496229,0.248908296943231
6,2019-03-31 00:00:00+00:00,1,2019,0.0,1709000000.0,6782000000.0,11762000000.0,1200000000.0,2961000000.0,246312066.0,0.0,0.0,10864000000.0,46328000000.0,67518000000.0,308000000.0,60736000000.0,0.0,50863000000.0,-170000000.0,919000000.0,-2144000000.0,300000000.0,54000000.0,-38000000.0,185000000.0,13000000.0,0.0,0.0,-120000000.0,-3454000000.0,1125000000.0,-3373000000.0,-35000000.0,147000000.0,287000000.0,0.0,0.0,755000000.0,20000000.0,755000000.0,1.09,246252000.0,290000000.0,270000000.0,0.0,375000000.0,246934000.0,392000000.0,0.0,392000000.0,1.1,380000000.0,446000000.0,290000000.0,0.0,102000000.0,27.534176908735,0.155628771332321,0.0160715651043658,5.0,0.25,1.0,1.0,6782000000.0,0.0663841807909604,3.06521727603876,0.251990563255677
7,2018-12-31 00:00:00+00:00,4,2018,0.0,1409000000.0,6562000000.0,11065000000.0,3344000000.0,2976000000.0,254239061.0,0.0,0.0,10320000000.0,45313000000.0,65003000000.0,281000000.0,58441000000.0,0.0,47140000000.0,-275000000.0,684000000.0,1892000000.0,-550000000.0,52000000.0,-34000000.0,463000000.0,11000000.0,0.0,-114000000.0,-501000000.0,277000000.0,1152000000.0,392000000.0,-36000000.0,429000000.0,288000000.0,0.0,0.0,735000000.0,0.0,735000000.0,1.06,252524000.0,270000000.0,270000000.0,0.0,370000000.0,253377000.0,365000000.0,0.0,365000000.0,1.06,365000000.0,417000000.0,270000000.0,0.0,95000000.0,25.8103533508567,0.149852507374631,0.0157367501907074,7.0,1.16326530612245,1.0,1.0,6562000000.0,0.153846153846154,2.89097984042664,0.214721121609265
9,2018-09-30 00:00:00+00:00,3,2018,0.0,1958000000.0,6766000000.0,12379000000.0,1452000000.0,2876000000.0,259675020.0,0.0,0.0,11970000000.0,43074000000.0,64706000000.0,261000000.0,57940000000.0,0.0,47141000000.0,-329000000.0,450000000.0,300000000.0,-300000000.0,63000000.0,-29000000.0,747000000.0,13000000.0,0.0,0.0,-309000000.0,197000000.0,-644000000.0,45000000.0,0.0,718000000.0,284000000.0,0.0,0.0,720000000.0,24000000.0,720000000.0,1.0,259498000.0,285000000.0,261000000.0,0.0,342000000.0,260661000.0,374000000.0,0.0,374000000.0,1.01,378000000.0,437000000.0,285000000.0,0.0,89000000.0,26.0556444743896,0.127323656735421,0.0136393217749824,6.0,1.06122448979592,1.0,1.0,6766000000.0,0.202003338898164,2.77269642647953,0.289388117055868
10,2018-06-30 00:00:00+00:00,2,2018,0.0,2667000000.0,6903000000.0,11625000000.0,1152000000.0,2888000000.0,263909776.0,0.0,0.0,11581000000.0,42664000000.0,64353000000.0,259000000.0,57450000000.0,0.0,47384000000.0,-235000000.0,189000000.0,182000000.0,770000000.0,64000000.0,-28000000.0,-70000000.0,12000000.0,0.0,-36000000.0,-189000000.0,706000000.0,-454000000.0,779000000.0,0.0,-98000000.0,290000000.0,0.0,0.0,710000000.0,0.0,710000000.0,0.95,263809000.0,250000000.0,250000000.0,0.0,365000000.0,264929000.0,345000000.0,0.0,345000000.0,0.95,345000000.0,409000000.0,250000000.0,0.0,95000000.0,26.1566665116642,0.109458916371342,0.0118756936736959,4.0,0.357142857142857,1.0,1.0,6903000000.0,0.23050259965338,2.69031337437079,0.386353759235115
11,2018-03-31 00:00:00+00:00,1,2018,0.0,1902000000.0,6889000000.0,11839000000.0,970000000.0,2645000000.0,266334340.0,0.0,0.0,11250000000.0,42902000000.0,64187000000.0,251000000.0,57298000000.0,0.0,47998000000.0,-176000000.0,-61000000.0,-833000000.0,0.0,65000000.0,-21000000.0,546000000.0,10000000.0,0.0,0.0,-140000000.0,-1370000000.0,-9000000.0,-1364000000.0,0.0,525000000.0,295000000.0,0.0,0.0,708000000.0,12000000.0,708000000.0,0.88,266558000.0,247000000.0,235000000.0,0.0,374000000.0,267699000.0,334000000.0,0.0,334000000.0,0.88,334000000.0,399000000.0,247000000.0,0.0,87000000.0,25.8659848369534,0.101948362859563,0.0112210150802659,6.0,0.833333333333333,1.0,1.0,6889000000.0,0.280289330922242,2.65831285593889,0.276092321091595
