,year,quarter,date,statementData.balanceSheet.acctPay,statementData.balanceSheet.equity,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.acctRec,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.accoci,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.sbcomp,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncff,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.cashFlow.payDiv,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.shareswa,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebt,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,1788000000.0,14476000000.0,8671000000.0,16856000000.0,10662000000.0,429000000.0,2876000000.0,6741000000.0,1253000000.0,2096000000.0,400100000.0,334000000.0,0.0,5805000000.0,0.0,376000000.0,30985000000.0,22314000000.0,3337000000.0,0.0,7271000000.0,306000000.0,8524000000.0,-4533000000.0,16467000000.0,334000000.0,-5000000.0,-139000000.0,137000000.0,-89000000.0,0.0,206000000.0,921000000.0,-8000000.0,-164000000.0,-585000000.0,-191000000.0,-125000000.0,832000000.0,-292000000.0,754000000.0,4526000000.0,132000000.0,0.0,400400000.0,886000000.0,446000000.0,41000000.0,1475000000.0,1.11,446000000.0,402300000.0,524000000.0,565000000.0,1.11,1000000.0,0.0,589000000.0,78000000.0,771000000.0,447000000.0,3051000000.0,6.0,-0.148287542340986,0.325894829871852,1.49371231696813,14518000000.0,0.325894829871852,11.3121719570107,-0.229166666666667,0.502279635258359,0.0940482446474886,36.2859285178705,0.0443900370450381
1,2020,2,2020-06-30 00:00:00+00:00,1620000000.0,14188000000.0,8213000000.0,16738000000.0,10624000000.0,292000000.0,2647000000.0,6767000000.0,1362000000.0,2138000000.0,400000000.0,204000000.0,0.0,5489000000.0,0.0,356000000.0,30348000000.0,22135000000.0,3323000000.0,0.0,7226000000.0,310000000.0,8588000000.0,-4809000000.0,16113000000.0,204000000.0,6000000.0,-200000000.0,53000000.0,-90000000.0,0.0,198000000.0,757000000.0,1000000.0,0.0,-504000000.0,-200000000.0,-26000000.0,667000000.0,-301000000.0,691000000.0,3856000000.0,126000000.0,0.0,400400000.0,817000000.0,51000000.0,38000000.0,979000000.0,0.13,51000000.0,401300000.0,44000000.0,82000000.0,0.13,3000000.0,0.0,162000000.0,-7000000.0,280000000.0,54000000.0,2877000000.0,4.0,-0.303090547623351,0.253890041493776,1.4962652577883,14235000000.0,0.253890041493776,9.64,-0.913907284768212,0.509303636876233,0.102181800109338,35.5875,0.0489939869571779
2,2020,1,2020-03-31 00:00:00+00:00,1785000000.0,14245000000.0,8670000000.0,16716000000.0,11613000000.0,239000000.0,2951000000.0,7007000000.0,587000000.0,2346000000.0,413400000.0,178000000.0,0.0,4944000000.0,0.0,346000000.0,30845000000.0,22175000000.0,3373000000.0,0.0,8176000000.0,354000000.0,8763000000.0,-4966000000.0,16557000000.0,178000000.0,1207000000.0,79000000.0,-131000000.0,-112000000.0,0.0,199000000.0,323000000.0,-23000000.0,-1300000000.0,-1530000000.0,1100000000.0,30000000.0,211000000.0,-291000000.0,865000000.0,4789000000.0,153000000.0,0.0,409300000.0,1018000000.0,438000000.0,34000000.0,1487000000.0,1.07,438000000.0,411100000.0,621000000.0,655000000.0,1.07,0.0,0.0,469000000.0,183000000.0,854000000.0,438000000.0,3302000000.0,4.0,-0.0972667295004712,0.310503236583838,1.75364077669903,14288000000.0,0.310503236583838,11.5844218674407,-0.130081300813008,0.573955773955774,0.136169395496231,34.5621673923561,0.0665785004969129
3,2019,4,2019-12-31 00:00:00+00:00,2114000000.0,16082000000.0,8728000000.0,18094000000.0,11540000000.0,370000000.0,3437000000.0,8170000000.0,503000000.0,2805000000.0,413400000.0,221000000.0,0.0,5132000000.0,0.0,372000000.0,32805000000.0,24077000000.0,3932000000.0,0.0,8150000000.0,396000000.0,8653000000.0,-4290000000.0,16672000000.0,221000000.0,-939000000.0,250000000.0,-179000000.0,-146000000.0,0.0,216000000.0,937000000.0,-11000000.0,-51000000.0,-71000000.0,-1034000000.0,62000000.0,791000000.0,-294000000.0,874000000.0,5238000000.0,152000000.0,0.0,413900000.0,1026000000.0,452000000.0,53000000.0,1682000000.0,1.09,452000000.0,415700000.0,531000000.0,584000000.0,1.1,1000000.0,0.0,656000000.0,79000000.0,800000000.0,453000000.0,3556000000.0,6.0,-0.040483605055871,0.321114929362352,1.70070148090413,16133000000.0,0.321114929362352,12.6705370101597,-0.246575342465753,0.506777763959707,0.137182211605578,39.0251572327044,0.06877512772857
5,2019,3,2019-09-30 00:00:00+00:00,2290000000.0,15848000000.0,8012000000.0,17994000000.0,11334000000.0,549000000.0,3787000000.0,8062000000.0,8000000.0,2901000000.0,420000000.0,281000000.0,0.0,4661000000.0,0.0,294000000.0,31895000000.0,23883000000.0,3927000000.0,0.0,8346000000.0,309000000.0,8354000000.0,-4367000000.0,15995000000.0,281000000.0,-34000000.0,0.0,137000000.0,-143000000.0,0.0,226000000.0,1083000000.0,0.0,-538000000.0,-824000000.0,-122000000.0,89000000.0,940000000.0,-298000000.0,885000000.0,5314000000.0,147000000.0,0.0,416600000.0,1032000000.0,601000000.0,47000000.0,1802000000.0,1.44,601000000.0,418400000.0,717000000.0,764000000.0,1.44,1000000.0,0.0,770000000.0,116000000.0,990000000.0,602000000.0,3512000000.0,7.0,-0.0181079083518108,0.339104252916824,1.71894443252521,15900000000.0,0.339104252916824,12.652380952381,0.5,0.526627965673902,0.14823084317921,37.8571428571429,0.0753467843631778
6,2019,2,2019-06-30 00:00:00+00:00,2268000000.0,16306000000.0,8126000000.0,18229000000.0,11433000000.0,412000000.0,3944000000.0,8300000000.0,7000000.0,2853000000.0,423100000.0,385000000.0,0.0,4450000000.0,0.0,303000000.0,32244000000.0,24118000000.0,3929000000.0,0.0,8390000000.0,389000000.0,8397000000.0,-4108000000.0,15883000000.0,385000000.0,-243000000.0,448000000.0,109000000.0,-149000000.0,0.0,221000000.0,880000000.0,-1000000.0,-260000000.0,-128000000.0,-642000000.0,-237000000.0,731000000.0,-307000000.0,907000000.0,5533000000.0,151000000.0,0.0,421600000.0,1058000000.0,636000000.0,50000000.0,1836000000.0,1.5,636000000.0,423100000.0,738000000.0,788000000.0,1.51,0.0,0.0,778000000.0,102000000.0,1009000000.0,636000000.0,3697000000.0,8.0,0.00838345179515221,0.331827218507139,1.82606741573034,16361000000.0,0.331827218507139,13.0772866934531,0.0785714285714287,0.514534527167914,0.134862385321101,38.6693453084377,0.0696610932526676
7,2019,1,2019-03-31 00:00:00+00:00,2274000000.0,16233000000.0,7744000000.0,18072000000.0,10096000000.0,303000000.0,3865000000.0,8225000000.0,783000000.0,2897000000.0,423600000.0,143000000.0,0.0,5286000000.0,0.0,309000000.0,31649000000.0,23905000000.0,3893000000.0,0.0,7090000000.0,360000000.0,7873000000.0,-4078000000.0,15382000000.0,143000000.0,0.0,27000000.0,20000000.0,-149000000.0,0.0,221000000.0,551000000.0,8000000.0,-180000000.0,-471000000.0,-68000000.0,16000000.0,402000000.0,-302000000.0,917000000.0,5305000000.0,156000000.0,0.0,424000000.0,1073000000.0,522000000.0,60000000.0,1732000000.0,1.23,522000000.0,425900000.0,603000000.0,663000000.0,1.23,0.0,0.0,659000000.0,81000000.0,884000000.0,522000000.0,3573000000.0,5.0,0.0102837554751476,0.326484448633365,1.46500189178963,16267000000.0,0.326484448633365,12.5236071765817,0.108108108108108,0.436764615289842,0.132494223519397,38.4017941454202,0.0690463741939573
8,2018,4,2018-12-31 00:00:00+00:00,2130000000.0,16107000000.0,7590000000.0,18174000000.0,9796000000.0,283000000.0,3858000000.0,8161000000.0,753000000.0,2785000000.0,433400000.0,157000000.0,0.0,5154000000.0,0.0,293000000.0,31092000000.0,23502000000.0,3467000000.0,0.0,6768000000.0,349000000.0,7521000000.0,-4145000000.0,14950000000.0,157000000.0,0.0,242000000.0,-44000000.0,-154000000.0,0.0,223000000.0,820000000.0,-9000000.0,-671000000.0,-713000000.0,-142000000.0,26000000.0,666000000.0,-285000000.0,869000000.0,5459000000.0,145000000.0,0.0,429800000.0,1014000000.0,631000000.0,66000000.0,1789000000.0,1.46,631000000.0,432400000.0,725000000.0,791000000.0,1.46,1000000.0,0.0,775000000.0,94000000.0,1014000000.0,632000000.0,3670000000.0,6.0,0.0471897180126606,0.327715698845942,1.47264260768335,16142000000.0,0.327715698845942,12.5957544993078,0.0138888888888888,0.420189979512013,0.128416200197563,37.2450392247347,0.0674247365484507
10,2018,3,2018-09-30 00:00:00+00:00,2165000000.0,16754000000.0,7867000000.0,18334000000.0,9572000000.0,327000000.0,4027000000.0,8161000000.0,508000000.0,2835000000.0,433300000.0,178000000.0,0.0,5267000000.0,0.0,241000000.0,31628000000.0,23761000000.0,3446000000.0,0.0,6737000000.0,347000000.0,7245000000.0,0.0,14839000000.0,178000000.0,0.0,-420000000.0,71000000.0,-131000000.0,0.0,223000000.0,1000000000.0,-10000000.0,0.0,-700000000.0,-219000000.0,45000000.0,869000000.0,-286000000.0,889000000.0,5412000000.0,138000000.0,0.0,433500000.0,1302000000.0,416000000.0,67000000.0,1815000000.0,0.95,416000000.0,436300000.0,439000000.0,506000000.0,0.96,0.0,0.0,513000000.0,23000000.0,729000000.0,416000000.0,3597000000.0,7.0,0.0385722510074842,0.335365853658537,1.49363964306057,16789000000.0,0.335365853658537,12.4901915531964,-0.69620253164557,0.402112928255939,0.12642731018246,38.7468266789753,0.0667163622810287
11,2018,2,2018-06-30 00:00:00+00:00,2192000000.0,16690000000.0,7913000000.0,18477000000.0,9753000000.0,256000000.0,4092000000.0,8161000000.0,932000000.0,2753000000.0,437300000.0,236000000.0,0.0,5387000000.0,0.0,296000000.0,31865000000.0,23952000000.0,3462000000.0,0.0,6753000000.0,486000000.0,7685000000.0,0.0,15140000000.0,236000000.0,0.0,-132000000.0,-61000000.0,-149000000.0,0.0,227000000.0,499000000.0,65000000.0,-300000000.0,-725000000.0,100000000.0,253000000.0,350000000.0,-294000000.0,901000000.0,5487000000.0,145000000.0,0.0,435200000.0,1046000000.0,610000000.0,68000000.0,1816000000.0,1.39,610000000.0,437300000.0,693000000.0,761000000.0,1.4,1000000.0,0.0,770000000.0,83000000.0,988000000.0,611000000.0,3671000000.0,7.0,0.069173811379579,0.330964096956443,1.46890662706516,16725000000.0,0.330964096956443,12.5474502629774,0.206896551724138,0.40461354104254,0.184840484372926,38.2460553395838,0.0964883239272873
