,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,45263412000.0,19612664000.0,38342186000.0,377172000.0,38387886000.0,9699435000.0,2448220000.0,1065046000.0,408764000.0,1347420000.0,-390420000.0,4062805000.0,0.0,0.0,76247000.0,56070251000.0,52007446000.0,6875526000.0,0.0,6915367000.0,22060884000.0,2872447000.0,0.0,1239664000.0,200211323.0,10771839000.0,0.0,-132199000.0,-1057689000.0,921859000.0,0.0,31000.0,563692000.0,0.0,440026000.0,335861000.0,-186207000.0,304196000.0,-1054058000.0,628275000.0,201115768.0,1435566000.0,871874000.0,2.6,471814000.0,1249830000.0,2.59,675143000.0,0.0,778016000.0,149444000.0,525699000.0,196731000.0,200220018.0,525699000.0,1653738000.0,0.0,2903568000.0,521119000.0,4580000.0,0.0,0.0,7.0,-0.0754661168735025,0.430446264733597,0.590908244692842,10806839000.0,0.430446264733597,14.5025164236091,0.41304347826087,1.82073497385173,0.133065232138459,53.9771619210568,0.025929752803757
1,2020-06-30 00:00:00+00:00,2,2020,42904314000.0,18278358000.0,36644991000.0,377172000.0,36788413000.0,9364523000.0,3151234000.0,1036308000.0,408251000.0,1177420000.0,-388604000.0,3546996000.0,0.0,0.0,76855000.0,53365302000.0,49818306000.0,6115901000.0,0.0,6647897000.0,21429592000.0,1509355000.0,0.0,935468000.0,200161934.0,10425988000.0,0.0,-380697000.0,-1152706000.0,789247000.0,0.0,1789000.0,562616000.0,0.0,-164906000.0,562058000.0,-186151000.0,-528365000.0,-1169944000.0,31727000.0,200886749.0,1221500000.0,658884000.0,1.8,480710000.0,920021000.0,1.79,454228000.0,0.0,439311000.0,89115000.0,365113000.0,204656000.0,200178010.0,365113000.0,1492767000.0,0.0,2412788000.0,360533000.0,4580000.0,0.0,0.0,5.0,-0.0950491878168591,0.381310334766254,0.579962952310706,10460988000.0,0.381310334766254,12.0541800920049,0.475409836065574,1.75315356204131,0.119668382148172,52.2626245208042,0.023489952423758
2,2020-03-31 00:00:00+00:00,1,2020,42296062000.0,18228528000.0,36116435000.0,377172000.0,36278123000.0,9190141000.0,3171831000.0,998720000.0,408803000.0,1076073000.0,-398987000.0,3973951000.0,0.0,0.0,76680000.0,52555029000.0,48581078000.0,6017939000.0,0.0,6443277000.0,21400359000.0,1502392000.0,0.0,1463833000.0,199726738.0,10223967000.0,0.0,-494515000.0,-1045487000.0,659060000.0,0.0,39964000.0,568596000.0,0.0,1424538000.0,689752000.0,-185763000.0,1038111000.0,-1153575000.0,1575856000.0,200901349.0,810841000.0,242245000.0,0.59,490810000.0,890566000.0,0.59,52100000.0,0.0,399756000.0,-71194000.0,123294000.0,190145000.0,199790016.0,123294000.0,1536613000.0,0.0,2427179000.0,118714000.0,4580000.0,0.0,0.0,5.0,-0.0698981140289027,0.366914018290369,0.660350827750165,10258967000.0,0.366914018290369,12.1524990810194,-0.559701492537313,1.78292124769182,0.108121111748842,51.3650155343748,0.0212857115451637
3,2019-12-31 00:00:00+00:00,4,2019,41465237000.0,17078643000.0,35515557000.0,377172000.0,35844774000.0,9257609000.0,2741739000.0,970465000.0,409171000.0,1208592000.0,-446920000.0,3045992000.0,0.0,0.0,64461000.0,51723912000.0,48677920000.0,5620463000.0,0.0,6551374000.0,19820382000.0,1499861000.0,0.0,425722000.0,199102083.0,10223675000.0,0.0,-788792000.0,-1485316000.0,698680000.0,0.0,4559000.0,547636000.0,0.0,256527000.0,602684000.0,-185165000.0,-530109000.0,-1487472000.0,440098000.0,200939583.0,881928000.0,334292000.0,1.94,486293000.0,734833000.0,1.92,146350000.0,0.0,248540000.0,-243255000.0,389605000.0,187942000.0,199153761.0,389605000.0,1727473000.0,0.0,2462306000.0,385025000.0,4580000.0,0.0,0.0,6.0,-0.019970690337284,0.298432851156599,0.541946811143495,10258675000.0,0.298432851156599,12.3670529353528,-6.10526315789474,1.67049940456832,0.12140702829462,51.5246995180859,0.0239971408195111
5,2019-09-30 00:00:00+00:00,3,2019,41465237000.0,17078643000.0,35515557000.0,377172000.0,35844774000.0,9257609000.0,2741739000.0,970465000.0,409171000.0,1208592000.0,-446920000.0,3045992000.0,0.0,0.0,64461000.0,51723912000.0,48677920000.0,5620463000.0,0.0,6551374000.0,19820382000.0,1499861000.0,0.0,425722000.0,198829751.0,10223675000.0,0.0,79998000.0,-999925000.0,1064857000.0,0.0,31506000.0,565870000.0,0.0,254990000.0,1009998000.0,-180956000.0,319922000.0,-984859000.0,379132000.0,200492935.0,1151169000.0,585299000.0,1.84,683897000.0,1203826000.0,1.82,398660000.0,0.0,519929000.0,29201000.0,369459000.0,186639000.0,198932387.0,369459000.0,1936749000.0,0.0,3140575000.0,365240000.0,4219000.0,0.0,0.0,6.0,0.0116792120912832,0.383313883604117,0.541946811143495,10258675000.0,0.383313883604117,15.7952971534929,-0.378378378378378,1.67049940456832,0.0799995343579315,51.5952715748258,0.0155382535823787
6,2019-06-30 00:00:00+00:00,2,2019,41465237000.0,17078643000.0,35515557000.0,377172000.0,35844774000.0,9257609000.0,2741739000.0,970465000.0,409171000.0,1208592000.0,-446920000.0,3045992000.0,0.0,0.0,64461000.0,51723912000.0,48677920000.0,5620463000.0,0.0,6551374000.0,19820382000.0,1499861000.0,0.0,425722000.0,189926451.0,10223675000.0,0.0,-588267000.0,-1074043000.0,551901000.0,0.0,22220000.0,538583000.0,0.0,174555000.0,1192396000.0,-172861000.0,-347587000.0,-1140168000.0,-275183000.0,194238315.0,964875000.0,426292000.0,1.22,458010000.0,796785000.0,1.22,241991000.0,0.0,338775000.0,1458000.0,240533000.0,184301000.0,193019269.0,240533000.0,1869424000.0,0.0,2666209000.0,236424000.0,4109000.0,0.0,0.0,7.0,-0.000959618101222692,0.29884566438715,0.541946811143495,10258675000.0,0.29884566438715,14.0381131009498,-0.102941176470588,1.67049940456832,0.100843508331769,54.0139351100706,0.0192290165205488
7,2019-03-31 00:00:00+00:00,1,2019,41465237000.0,17078643000.0,35515557000.0,377172000.0,35844774000.0,9257609000.0,2741739000.0,970465000.0,409171000.0,1208592000.0,-446920000.0,3045992000.0,0.0,0.0,64461000.0,51723912000.0,48677920000.0,5620463000.0,0.0,6551374000.0,19820382000.0,1499861000.0,0.0,425722000.0,189580512.0,10223675000.0,0.0,-488885000.0,-950958000.0,501189000.0,0.0,35577000.0,530224000.0,0.0,952290000.0,1346592000.0,-172591000.0,502521000.0,-990074000.0,1145358000.0,192234191.0,1015185000.0,484961000.0,1.34,516426000.0,799680000.0,1.32,301417000.0,0.0,283254000.0,42771000.0,258646000.0,183544000.0,189575187.0,258646000.0,1809904000.0,0.0,2609584000.0,254537000.0,4109000.0,0.0,0.0,7.0,-0.0419610842030177,0.306439647085512,0.541946811143495,10258675000.0,0.306439647085512,13.7650435293687,0.835616438356165,1.67049940456832,0.105606967349256,54.1124975967994,0.0197495272301157
8,2018-12-31 00:00:00+00:00,4,2018,39430761000.0,15518303000.0,32278828000.0,377172000.0,33987217000.0,8721150000.0,2592348000.0,870147000.0,411505000.0,1114405000.0,-557173000.0,2958064000.0,0.0,0.0,54593000.0,48275066000.0,45317002000.0,5443544000.0,0.0,6639642000.0,18110651000.0,1496058000.0,0.0,480975000.0,181142215.0,8844305000.0,0.0,-679621000.0,-1105506000.0,525743000.0,0.0,78669000.0,523211000.0,0.0,72757000.0,2288512000.0,-164839000.0,-507006000.0,-1205364000.0,-356852000.0,185437077.0,123977000.0,-399234000.0,-0.38,762889000.0,533957000.0,-0.38,-579211000.0,0.0,-228932000.0,-516889000.0,-62322000.0,179977000.0,183102068.0,-62322000.0,1978525000.0,0.0,2512482000.0,-65899000.0,3577000.0,0.0,0.0,5.0,-0.0424426747769019,0.212521721548652,0.543407750538987,8844305000.0,0.212521721548652,13.8702179389824,-0.857677902621723,1.75460966124529,0.0959557591014783,48.8252006855497,0.017579717032391
10,2018-09-30 00:00:00+00:00,3,2018,39430761000.0,15518303000.0,32278828000.0,377172000.0,33987217000.0,8721150000.0,2592348000.0,870147000.0,411505000.0,1114405000.0,-557173000.0,2958064000.0,0.0,0.0,54593000.0,48275066000.0,45317002000.0,5443544000.0,0.0,6639642000.0,18110651000.0,1496058000.0,0.0,480975000.0,180855032.0,8844305000.0,0.0,-294793000.0,-1070789000.0,779581000.0,0.0,20955000.0,489735000.0,0.0,466402000.0,2351378000.0,-161044000.0,175194000.0,-1074374000.0,594824000.0,183664583.0,926614000.0,436879000.0,2.96,610769000.0,881804000.0,2.92,256812000.0,0.0,271035000.0,-283006000.0,539818000.0,180067000.0,181002303.0,539818000.0,2222515000.0,0.0,3104319000.0,536379000.0,3439000.0,0.0,0.0,7.0,-0.0429485132080497,0.284057147477434,0.543407750538987,8844305000.0,0.284057147477434,17.1646813786193,0.333333333333333,1.75460966124529,0.0504494223533204,48.9027311111808,0.00909396259839076
11,2018-06-30 00:00:00+00:00,2,2018,39430761000.0,15518303000.0,32278828000.0,377172000.0,33987217000.0,8721150000.0,2592348000.0,870147000.0,411505000.0,1114405000.0,-557173000.0,2958064000.0,0.0,0.0,54593000.0,48275066000.0,45317002000.0,5443544000.0,0.0,6639642000.0,18110651000.0,1496058000.0,0.0,480975000.0,180823624.0,8844305000.0,0.0,-462921000.0,-955254000.0,522530000.0,0.0,1739000.0,502428000.0,0.0,39915000.0,699475000.0,-160934000.0,-392809000.0,-985451000.0,197308000.0,182982630.0,648338000.0,145910000.0,1.36,660327000.0,751924000.0,1.34,-31736000.0,0.0,91597000.0,-280596000.0,248860000.0,177646000.0,180823203.0,248860000.0,1916846000.0,0.0,2668770000.0,245421000.0,3439000.0,0.0,0.0,6.0,0.019178553015982,0.28174927026308,0.543407750538987,8844305000.0,0.28174927026308,14.7589675561419,-0.403508771929824,1.75460966124529,0.0353114186645697,48.9112252279603,0.00625940340515327
