,date,quarter,year,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,1547838000.0,1101751000.0,118141000.0,328860000.0,1206896000.0,-217866000.0,8345000.0,0.0,0.0,129681000.0,-1888000.0,1697831000.0,416265000.0,36679000.0,1819000.0,2214505000.0,516674000.0,340942000.0,10508000.0,63448000.0,1110096000.0,135500000.0,379586000.0,1150315000.0,119327613.0,666667000.0,17128000.0,183373000.0,18911000.0,185194000.0,4268000.0,-159861000.0,15754000.0,0.0,259077000.0,20732000.0,0.0,467450000.0,-1821000.0,500955000.0,137560385.0,116762000.0,101008000.0,0.75,213141000.0,331310000.0,0.7,90393000.0,0.0,118169000.0,-1368000.0,91761000.0,10615000.0,121978272.0,91761000.0,120168000.0,167233000.0,451478000.0,91761000.0,0.0,45908000.0,0.0,8.0,1.28080243701597,0.733834206760905,4.9798235477002,666667000.0,0.733834206760905,3.78351656125058,5.25,1.65262567368716,0.462997231484147,5.58686278254808,0.13188261827918
1,2020-06-30 00:00:00+00:00,2,2020,1237856000.0,852485000.0,126187000.0,330442000.0,958277000.0,-143458000.0,8073000.0,0.0,0.0,120384000.0,-7699000.0,1194335000.0,438802000.0,73143000.0,8336000.0,1762031000.0,567696000.0,279579000.0,9181000.0,66301000.0,860558000.0,119835000.0,365659000.0,682865000.0,118677964.0,524175000.0,16725000.0,220007000.0,16639000.0,220431000.0,3925000.0,7281000.0,14171000.0,0.0,-5825000.0,17063000.0,0.0,235170000.0,-424000.0,-2361000.0,134408041.0,136513000.0,122342000.0,0.81,198216000.0,317356000.0,0.75,112316000.0,0.0,119140000.0,15891000.0,96425000.0,10026000.0,118865885.0,96425000.0,111381000.0,152983000.0,428737000.0,96425000.0,0.0,45233000.0,0.0,7.0,1.36747011237196,0.740211365009318,4.27190525754796,524175000.0,0.740211365009318,3.61260831876084,4.4,1.62633662421901,0.359111434358783,4.41678456836351,0.0981069644276116
2,2020-03-31 00:00:00+00:00,1,2020,1110795000.0,845587000.0,134519000.0,333179000.0,951946000.0,-239883000.0,8000000.0,0.0,0.0,66884000.0,-10699000.0,906952000.0,455720000.0,94080000.0,15232000.0,1517642000.0,610690000.0,158849000.0,8250000.0,63126000.0,853587000.0,65729000.0,361640000.0,447695000.0,117949068.0,406847000.0,13811000.0,27836000.0,6093000.0,29664000.0,-4018000.0,-20096000.0,15163000.0,0.0,-32678000.0,7921000.0,0.0,-939000.0,-1828000.0,-2580000.0,123119053.0,34823000.0,19660000.0,0.11,120274000.0,145639000.0,0.1,9693000.0,0.0,25365000.0,-2829000.0,12522000.0,9967000.0,118138186.0,12522000.0,82416000.0,82492000.0,228055000.0,12522000.0,0.0,37782000.0,0.0,5.0,0.346736428111658,0.638613492359299,5.70952288021958,406847000.0,0.638613492359299,1.93350404430495,-0.576923076923077,2.07839064808147,0.190973277237092,3.44934476294463,0.0503721680938464
3,2019-12-31 00:00:00+00:00,4,2019,1135718000.0,838737000.0,144864000.0,337967000.0,947190000.0,-227414000.0,8275000.0,0.0,0.0,65172000.0,-8699000.0,921038000.0,463302000.0,89343000.0,14257000.0,1542352000.0,621314000.0,188528000.0,7617000.0,64497000.0,847012000.0,76110000.0,373959000.0,448634000.0,118488696.0,406634000.0,13339000.0,75434000.0,-280118000.0,78581000.0,1642000.0,-21338000.0,15271000.0,879000.0,-28581000.0,-277850000.0,0.0,-228476000.0,-3147000.0,-3418000.0,123466200.0,47934000.0,32663000.0,0.26,154136000.0,179174000.0,0.25,22751000.0,0.0,25038000.0,-8540000.0,31291000.0,9912000.0,118390119.0,31291000.0,90824000.0,118435000.0,269998000.0,31291000.0,0.0,35701000.0,0.0,4.0,0.3498010278561,0.663612323054245,4.88541755070865,406634000.0,0.663612323054245,2.27868150393013,-0.235294117647059,2.06263371975782,0.238369737329446,3.43183791979616,0.0626118342465069
5,2019-09-30 00:00:00+00:00,3,2019,1109936000.0,831703000.0,153262000.0,340576000.0,955229000.0,-236510000.0,8770000.0,0.0,0.0,49967000.0,-11523000.0,945840000.0,184935000.0,4765000.0,22380000.0,1499198000.0,553358000.0,154707000.0,7434000.0,83130000.0,840473000.0,60889000.0,180170000.0,677110000.0,120459900.0,389262000.0,12137000.0,43330000.0,-160300000.0,47045000.0,-2927000.0,-126204000.0,12808000.0,-273251000.0,428792000.0,116666000.0,0.0,312610000.0,-3715000.0,637548000.0,126243168.0,27974000.0,15166000.0,0.12,114766000.0,128998000.0,0.12,10089000.0,0.0,14232000.0,-4712000.0,14801000.0,5077000.0,120351095.0,14801000.0,68949000.0,82301000.0,197947000.0,14801000.0,0.0,32465000.0,0.0,4.0,0.316434566324834,0.651679489964485,6.11375050902674,389262000.0,0.651679489964485,1.64326053732404,-0.294117647058824,2.13661492773505,0.264069231671145,3.23146540882069,0.07718466361865
6,2019-06-30 00:00:00+00:00,2,2019,1135718000.0,838737000.0,144864000.0,337967000.0,947190000.0,-227414000.0,8275000.0,0.0,0.0,65172000.0,-8699000.0,921038000.0,463302000.0,89343000.0,14257000.0,1542352000.0,621314000.0,188528000.0,7617000.0,64497000.0,847012000.0,76110000.0,373959000.0,448634000.0,120184386.0,406634000.0,10837000.0,45493000.0,-25951000.0,49836000.0,897000.0,1910000.0,9810000.0,0.0,-11297000.0,-21608000.0,0.0,13485000.0,-4343000.0,-2930000.0,130807743.0,30857000.0,21047000.0,0.15,104642000.0,122490000.0,0.14,16369000.0,0.0,17848000.0,-1854000.0,18223000.0,4678000.0,120198526.0,18223000.0,58605000.0,75877000.0,181095000.0,18223000.0,0.0,28765000.0,0.0,4.0,0.367921321579914,0.676385322620724,4.88541755070865,406634000.0,0.676385322620724,1.50680971153774,4.0,2.06263371975782,0.274780442137278,3.38341787592941,0.090783785143869
7,2019-03-31 00:00:00+00:00,1,2019,1135718000.0,838737000.0,144864000.0,337967000.0,947190000.0,-227414000.0,8275000.0,0.0,0.0,65172000.0,-8699000.0,921038000.0,463302000.0,89343000.0,14257000.0,1542352000.0,621314000.0,188528000.0,7617000.0,64497000.0,847012000.0,76110000.0,373959000.0,448634000.0,119566393.0,406634000.0,8082000.0,27385000.0,-22004000.0,31458000.0,-1458000.0,-21562000.0,10142000.0,0.0,-29307000.0,-17931000.0,0.0,-21311000.0,-4073000.0,-3937000.0,130237875.0,46232000.0,36090000.0,0.26,85038000.0,116681000.0,0.24,31437000.0,0.0,31643000.0,-142000.0,31579000.0,4653000.0,119679149.0,31579000.0,52658000.0,60091000.0,169339000.0,31579000.0,0.0,24947000.0,0.0,3.0,0.400514423713114,0.689037965264942,4.88541755070865,406634000.0,0.689037965264942,1.41627589284223,1.36363636363636,2.06263371975782,0.238864917530795,3.40090547015163,0.090494490813707
8,2018-12-31 00:00:00+00:00,4,2018,500953000.0,338572000.0,120179000.0,72071000.0,388891000.0,-153442000.0,3884000.0,0.0,0.0,33316000.0,-7813000.0,680289000.0,257302000.0,0.0,23464000.0,901851000.0,221562000.0,112062000.0,7478000.0,30455000.0,342456000.0,47617000.0,257302000.0,372326000.0,120460043.0,400898000.0,14244000.0,95609000.0,-41215000.0,102049000.0,420000.0,-42306000.0,7626000.0,-171000.0,-56996000.0,-34604000.0,0.0,4258000.0,-6440000.0,-3656000.0,128847297.0,36656000.0,29030000.0,0.34,113428000.0,142917000.0,0.32,22876000.0,0.0,29489000.0,-18375000.0,41251000.0,6154000.0,119177106.0,41251000.0,57111000.0,84886000.0,200028000.0,41251000.0,0.0,28542000.0,0.0,6.0,0.467901488243755,0.714484972103905,6.07064839106923,400898000.0,0.714484972103905,1.66053402454787,-0.081081081081081,0.84453402112258,0.195292156345118,3.32805791875734,0.0866858068785066
10,2018-09-30 00:00:00+00:00,3,2018,500953000.0,338572000.0,120179000.0,72071000.0,388891000.0,-153442000.0,3884000.0,0.0,0.0,33316000.0,-7813000.0,680289000.0,257302000.0,0.0,23464000.0,901851000.0,221562000.0,112062000.0,7478000.0,30455000.0,342456000.0,47617000.0,257302000.0,372326000.0,119753433.0,400898000.0,8916000.0,24449000.0,-16728000.0,30115000.0,-2968000.0,4848000.0,6439000.0,0.0,-5512000.0,-11062000.0,0.0,4907000.0,-5666000.0,-4076000.0,129086137.0,27170000.0,20731000.0,0.17,84682000.0,103419000.0,0.15,14596000.0,0.0,18737000.0,-5298000.0,19894000.0,6135000.0,119870711.0,19894000.0,46947000.0,60264000.0,150366000.0,19894000.0,0.0,24418000.0,0.0,6.0,0.413479977439368,0.687781812377798,6.07064839106923,400898000.0,0.687781812377798,1.25562997429894,-0.227272727272727,0.84453402112258,0.204626519965866,3.34769525980938,0.0987848572169114
11,2018-06-30 00:00:00+00:00,2,2018,500953000.0,338572000.0,120179000.0,72071000.0,388891000.0,-153442000.0,3884000.0,0.0,0.0,33316000.0,-7813000.0,680289000.0,257302000.0,0.0,23464000.0,901851000.0,221562000.0,112062000.0,7478000.0,30455000.0,342456000.0,47617000.0,257302000.0,372326000.0,119475520.0,400898000.0,8617000.0,35431000.0,-181797000.0,40592000.0,-7508000.0,-20599000.0,6357000.0,-35323000.0,-27322000.0,-141313000.0,0.0,-176035000.0,-5161000.0,-4352000.0,125551759.0,17107000.0,10750000.0,0.03,74216000.0,86978000.0,0.03,4625000.0,0.0,12762000.0,1246000.0,3379000.0,6125000.0,119450194.0,3379000.0,45409000.0,50648000.0,132387000.0,3379000.0,0.0,23568000.0,0.0,5.0,0.301842819494159,0.656998043614554,6.07064839106923,400898000.0,0.656998043614554,1.10806799585388,-0.7,0.84453402112258,0.227110985080634,3.35548236157499,0.117761490902919
