,year,quarter,date,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.inventory,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.deferredRev,statementData.balanceSheet.equity,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.taxAssets,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.issrepayEquity,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.cashFlow.sbcomp,statementData.cashFlow.payDiv,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.sga,statementData.incomeStatement.shareswa,statementData.incomeStatement.netinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.costRev,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.grossProfit,statementData.incomeStatement.opex,statementData.incomeStatement.ebt,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.revenue,statementData.incomeStatement.intexp,statementData.incomeStatement.rnd,statementData.overview.bvps,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.revenueQoQ,statementData.overview.roe,statementData.overview.roa,statementData.overview.longTermDebtEquity,statementData.overview.rps,statementData.overview.profitMargin,statementData.overview.epsQoQ,statementData.overview.piotroskiFScore,statementData.overview.currentRatio
0,2020,3,2020-09-30 00:00:00+00:00,2177000000.0,1773500000.0,2336600000.0,15998800000.0,967300000.0,0.0,361600000.0,24966500000.0,713500000.0,19780800000.0,512100000.0,9276400000.0,1914700000.0,0.0,226827540.0,0.0,0.0,-48400000.0,0.0,8802100000.0,18097000000.0,2098200000.0,26881200000.0,10243700000.0,358900000.0,53900000.0,-422500000.0,-169500000.0,218000000.0,-285100000.0,0.0,0.0,0.0,500000.0,899200000.0,185400000.0,3400000.0,-114600000.0,476700000.0,-428700000.0,3000000.0,227500000.0,0.0,227300000.0,364500000.0,50000000.0,521700000.0,1.6,509300000.0,0.0,686900000.0,0.0,367500000.0,1.6,727300000.0,830700000.0,309000000.0,414500000.0,364500000.0,1517600000.0,94800000.0,0.0,38.7263380804641,8784200000.0,0.547377438060095,-0.0380324543610547,0.0732866970479812,0.0239789841982597,1.05388486838368,6.69054560129691,0.547377438060095,0.0256410256410258,7.0,0.912544085406539
1,2020,2,2020-06-30 00:00:00+00:00,1990600000.0,1524100000.0,2336600000.0,15637400000.0,1133600000.0,0.0,176200000.0,24460000000.0,693000000.0,19350300000.0,520300000.0,9281200000.0,1790400000.0,0.0,226740469.0,0.0,0.0,-49800000.0,0.0,8547800000.0,17723500000.0,2086100000.0,26250400000.0,10414800000.0,332800000.0,112700000.0,-281200000.0,56600000.0,221600000.0,-62300000.0,0.0,0.0,0.0,-2800000.0,201900000.0,-128200000.0,4100000.0,-114500000.0,-79300000.0,-267800000.0,2900000.0,227600000.0,0.0,227200000.0,133400000.0,33700000.0,271700000.0,0.59,266600000.0,0.0,600500000.0,0.0,136300000.0,0.59,488200000.0,584200000.0,312500000.0,167100000.0,133400000.0,1184700000.0,99500000.0,0.0,37.6064318716744,8526900000.0,0.493120621254326,-0.0302856675124826,0.0739461074698992,0.0242909934479503,1.08579985493343,5.22491642195554,0.493120621254326,0.0350877192982457,7.0,0.85825224102392
2,2020,1,2020-03-31 00:00:00+00:00,2396200000.0,1505700000.0,2336600000.0,15281600000.0,1396900000.0,0.0,304400000.0,24451900000.0,511200000.0,19383500000.0,498900000.0,8993500000.0,1732800000.0,0.0,226659013.0,0.0,0.0,-48700000.0,0.0,8529200000.0,17679300000.0,2397700000.0,26184700000.0,10390400000.0,298100000.0,110500000.0,-354400000.0,414900000.0,218500000.0,294000000.0,0.0,0.0,0.0,-3800000.0,320600000.0,281200000.0,4600000.0,-114500000.0,-33800000.0,-333400000.0,2800000.0,227500000.0,0.0,227100000.0,69400000.0,10100000.0,197500000.0,0.31,175700000.0,0.0,608400000.0,0.0,72200000.0,0.31,394200000.0,508300000.0,310800000.0,79500000.0,69400000.0,1116700000.0,96200000.0,0.0,37.5250906082433,8505400000.0,0.455180442374854,-0.0823403730791356,0.0739578366350225,0.0246583129790483,1.05443652394128,4.92678400571699,0.455180442374854,-0.205128205128205,6.0,0.72269258038954
3,2019,4,2019-12-31 00:00:00+00:00,2264900000.0,1551500000.0,2336600000.0,15094700000.0,1184300000.0,0.0,23200000.0,24508200000.0,567500000.0,19346400000.0,481600000.0,8765500000.0,1467700000.0,0.0,227903192.0,0.0,0.0,-50000000.0,0.0,8571900000.0,17430600000.0,2335900000.0,25975900000.0,9949800000.0,528800000.0,85500000.0,-361000000.0,96100000.0,216600000.0,-20400000.0,0.0,0.0,0.0,-3400000.0,301700000.0,-26900000.0,3400000.0,-115000000.0,-59300000.0,-308200000.0,2800000.0,228200000.0,0.0,227500000.0,63900000.0,-2200000.0,165800000.0,0.31,158400000.0,0.0,660100000.0,0.0,66700000.0,0.3,375000000.0,471500000.0,305700000.0,61700000.0,63900000.0,1131600000.0,96700000.0,0.0,37.4953063404219,8545300000.0,0.416666666666667,-0.0568428071345224,0.0754876440958723,0.0258492704690703,1.02258542446832,4.96526612931336,0.416666666666667,-3.81818181818182,6.0,0.628323130270988
5,2019,3,2019-09-30 00:00:00+00:00,2387800000.0,1603100000.0,2336600000.0,15242500000.0,1039000000.0,0.0,50100000.0,24395200000.0,663800000.0,19139900000.0,454400000.0,8768000000.0,1512300000.0,0.0,235467484.0,0.0,0.0,-50700000.0,0.0,8619300000.0,17317600000.0,2075100000.0,25907500000.0,9807000000.0,311300000.0,65300000.0,-276700000.0,60300000.0,216100000.0,-627900000.0,0.0,0.0,-500000000.0,-2600000.0,813600000.0,-56900000.0,3500000.0,-111900000.0,536900000.0,-242600000.0,4100000.0,235000000.0,0.0,234600000.0,366800000.0,65500000.0,538700000.0,1.56,523100000.0,0.0,731300000.0,0.0,370900000.0,1.56,739200000.0,846300000.0,307600000.0,432300000.0,366800000.0,1577600000.0,90800000.0,0.0,36.4801961361255,8589900000.0,0.536447768762678,-0.00309636650868883,0.0675984683453529,0.02418557637288,1.01725198101934,6.69986349367881,0.536447768762678,0.181818181818182,7.0,0.728784154980483
6,2019,2,2019-06-30 00:00:00+00:00,2197800000.0,1349100000.0,2336600000.0,13380900000.0,2584400000.0,0.0,107000000.0,24179000000.0,590400000.0,19092600000.0,488700000.0,7141300000.0,1539400000.0,0.0,244098475.0,0.0,0.0,-29000000.0,0.0,8883100000.0,16863700000.0,3482800000.0,25718400000.0,9725700000.0,278100000.0,30400000.0,-263400000.0,214600000.0,215400000.0,-454400000.0,0.0,0.0,-550400000.0,0.0,271600000.0,-440900000.0,4000000.0,-115800000.0,8200000.0,-258100000.0,4900000.0,243400000.0,0.0,243200000.0,139700000.0,24400000.0,271700000.0,0.57,259500000.0,0.0,643000000.0,0.0,144600000.0,0.57,474900000.0,578700000.0,307000000.0,164100000.0,139700000.0,1221700000.0,95400000.0,0.0,36.2751139678361,8854700000.0,0.473684210526316,0.367472576673383,0.0628038264515121,0.0236901222204608,0.803919802771555,5.00494728613114,0.473684210526316,0.0178571428571426,4.0,0.442000689100724
7,2019,1,2019-03-31 00:00:00+00:00,2198700000.0,1325700000.0,2338900000.0,13333600000.0,2403400000.0,0.0,547900000.0,24133100000.0,523800000.0,19009200000.0,466500000.0,7144700000.0,1927600000.0,0.0,254630033.0,0.0,0.0,-13200000.0,0.0,9422900000.0,16669000000.0,3335400000.0,26060700000.0,9548100000.0,293700000.0,56700000.0,-309000000.0,999500000.0,213600000.0,296900000.0,0.0,0.0,-578300000.0,-2500000.0,362100000.0,387600000.0,5400000.0,-119800000.0,53100000.0,-271400000.0,3900000.0,253000000.0,0.0,252800000.0,99500000.0,9300000.0,209600000.0,0.39,199900000.0,0.0,700400000.0,0.0,103400000.0,0.39,413500000.0,516500000.0,306900000.0,108800000.0,99500000.0,1216900000.0,91100000.0,0.0,36.8837088435676,9391700000.0,0.424439148656422,1.02749083638787,0.0559714300320609,0.0220244019491672,0.758227297328848,4.77909061104351,0.424439148656422,-0.0714285714285714,4.0,0.577921688553097
8,2018,4,2018-12-31 00:00:00+00:00,2106000000.0,1346000000.0,2338900000.0,12740200000.0,1839300000.0,0.0,160300000.0,23917100000.0,558700000.0,18951700000.0,511000000.0,6687400000.0,1681000000.0,0.0,263455083.0,0.0,0.0,-3000000.0,0.0,10028200000.0,15607400000.0,2867200000.0,25598100000.0,8526700000.0,451500000.0,68000000.0,-371400000.0,233700000.0,207200000.0,-448300000.0,0.0,0.0,-556200000.0,-3000000.0,306200000.0,-519500000.0,4700000.0,-124600000.0,-65200000.0,-377400000.0,2600000.0,214100000.0,0.0,213900000.0,18500000.0,30700000.0,150100000.0,-0.11,137500000.0,0.0,756900000.0,0.0,21100000.0,-0.11,344700000.0,442900000.0,292800000.0,49200000.0,18500000.0,1199800000.0,88300000.0,0.0,37.9218342885417,9990700000.0,0.369144857476246,1.01714862138534,0.0602643736661109,0.023824716253321,0.666859456333141,4.5540969881382,0.369144857476246,-1.45833333333333,4.0,0.586286272321429
10,2018,3,2018-09-30 00:00:00+00:00,2197000000.0,1452500000.0,2333500000.0,12767200000.0,1610800000.0,0.0,679700000.0,23756200000.0,691500000.0,19006900000.0,520900000.0,6690900000.0,2319000000.0,0.0,271687849.0,0.0,0.0,0.0,0.0,10688900000.0,15426400000.0,2659200000.0,26075200000.0,8301700000.0,303700000.0,20800000.0,-263100000.0,-513500000.0,193900000.0,-1122700000.0,0.0,0.0,-486100000.0,-1900000.0,794400000.0,-600400000.0,5200000.0,-122100000.0,531300000.0,-272100000.0,2600000.0,268800000.0,0.0,268600000.0,355000000.0,64100000.0,533100000.0,1.32,508200000.0,0.0,772500000.0,0.0,357600000.0,1.32,702100000.0,810000000.0,276900000.0,419100000.0,355000000.0,1582500000.0,89100000.0,0.0,39.1949807074368,10648800000.0,0.511848341232227,0.992320282009316,0.0602643736661109,0.023824716253321,0.625967124774299,5.8246992120726,0.511848341232227,0.189189189189189,4.0,0.87206678700361
11,2018,2,2018-06-30 00:00:00+00:00,2026500000.0,1220000000.0,2333700000.0,12686000000.0,2123900000.0,0.0,1280100000.0,23722000000.0,683700000.0,18992600000.0,539900000.0,6692200000.0,2937300000.0,0.0,271687849.0,0.0,0.0,0.0,0.0,10938100000.0,15763900000.0,3077900000.0,26659300000.0,8816100000.0,327600000.0,0.0,-260400000.0,295400000.0,128100000.0,110300000.0,0.0,1154200000.0,0.0,145000000.0,137600000.0,1268900000.0,17500000.0,-170900000.0,-122800000.0,1021000000.0,2600000.0,181000000.0,0.0,180900000.0,101800000.0,-45000000.0,126900000.0,0.56,115200000.0,0.0,581900000.0,0.0,104400000.0,0.56,243300000.0,311500000.0,184600000.0,56800000.0,101800000.0,893400000.0,58400000.0,0.0,40.1026399969768,10895400000.0,0.348668009850011,0.466272772033481,0.0602643736661109,0.023824716253321,0.611824722758066,3.28833255991511,0.348668009850011,0.12,4.0,0.95431950355762
