,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,92664000000.0,35902000000.0,82561000000.0,6677000000.0,81402000000.0,16749000000.0,3258000000.0,1716000000.0,0.0,4293000000.0,-3104000000.0,12312000000.0,1299000000.0,827000000.0,0.0,127767000000.0,115455000000.0,11262000000.0,0.0,13058000000.0,39160000000.0,3187000000.0,472000000.0,2343000000.0,974503895.0,32884000000.0,0.0,-291000000.0,-393000000.0,1542000000.0,0.0,16000000.0,1678000000.0,46000000.0,-1349000000.0,-16000000.0,-373000000.0,-200000000.0,-1833000000.0,-972000000.0,977000000.0,2799000000.0,1121000000.0,0.51,1286000000.0,2055000000.0,0.51,717000000.0,68000000.0,769000000.0,216000000.0,501000000.0,404000000.0,976000000.0,569000000.0,6798000000.0,0.0,8853000000.0,501000000.0,0.0,0.0,0.0,6.0,-0.00851159144361069,0.232124703490342,1.09323388385722,35103000000.0,0.232124703490342,9.08462248886137,-0.354430379746835,1.09177715606374,0.0729432893555295,36.0214055378404,0.0188671004935144
1,2020,2,2020-06-30 00:00:00+00:00,91442000000.0,36502000000.0,81748000000.0,6677000000.0,80377000000.0,16622000000.0,3633000000.0,1781000000.0,0.0,4302000000.0,-3132000000.0,12533000000.0,1463000000.0,890000000.0,0.0,126313000000.0,113780000000.0,11065000000.0,0.0,12720000000.0,40135000000.0,3052000000.0,573000000.0,2502000000.0,974407848.0,32703000000.0,0.0,-157000000.0,-644000000.0,1600000000.0,0.0,16000000.0,1363000000.0,0.0,-268000000.0,-1000000.0,-373000000.0,688000000.0,-1757000000.0,152000000.0,976000000.0,2530000000.0,1167000000.0,0.53,989000000.0,1554000000.0,0.53,740000000.0,53000000.0,565000000.0,219000000.0,521000000.0,427000000.0,976000000.0,574000000.0,5768000000.0,0.0,7322000000.0,521000000.0,0.0,0.0,0.0,5.0,-0.0477305241253739,0.212237093690249,1.13267058291911,34871000000.0,0.212237093690249,7.51430729445438,0.0600000000000001,1.11616671253402,0.0818035725322949,35.7868628332312,0.0212309882595923
2,2020,1,2020-03-31 00:00:00+00:00,90061000000.0,35198000000.0,81017000000.0,6677000000.0,78287000000.0,16475000000.0,4827000000.0,1687000000.0,0.0,5381000000.0,-3173000000.0,12476000000.0,1699000000.0,1043000000.0,0.0,124677000000.0,112201000000.0,11774000000.0,0.0,12242000000.0,40025000000.0,2888000000.0,656000000.0,1871000000.0,974319565.0,32482000000.0,0.0,-936000000.0,-2075000000.0,1080000000.0,0.0,30000000.0,1378000000.0,0.0,1865000000.0,-51000000.0,-373000000.0,870000000.0,-2016000000.0,2229000000.0,976000000.0,2076000000.0,698000000.0,0.6,1019000000.0,2239000000.0,0.6,288000000.0,-206000000.0,1220000000.0,-294000000.0,582000000.0,410000000.0,975000000.0,376000000.0,6508000000.0,0.0,8747000000.0,582000000.0,0.0,0.0,0.0,7.0,-0.0770285955471141,0.255973476620556,1.05962289791065,34616000000.0,0.255973476620556,8.97754732042151,-0.354838709677419,1.08361554091497,0.0813863747982881,35.5283843653494,0.0211341166182174
3,2019,4,2019-12-31 00:00:00+00:00,90404000000.0,31719000000.0,80233000000.0,6677000000.0,76219000000.0,16267000000.0,6080000000.0,1768000000.0,0.0,6175000000.0,-3194000000.0,12037000000.0,1651000000.0,972000000.0,0.0,124977000000.0,112940000000.0,14185000000.0,0.0,12351000000.0,37799000000.0,3565000000.0,679000000.0,945000000.0,972108865.0,32224000000.0,0.0,-729000000.0,-2045000000.0,1260000000.0,0.0,18000000.0,1387000000.0,-5000000.0,-271000000.0,-42000000.0,-353000000.0,-1056000000.0,-1989000000.0,83000000.0,977000000.0,2702000000.0,1315000000.0,0.79,1002000000.0,1964000000.0,0.79,920000000.0,36000000.0,962000000.0,148000000.0,772000000.0,395000000.0,976000000.0,808000000.0,6378000000.0,0.0,8342000000.0,772000000.0,0.0,0.0,0.0,6.0,-0.0529064486830154,0.235435147446655,0.848572435671484,34573000000.0,0.235435147446655,8.58134340745879,4.26666666666667,0.984328450844091,0.0923304391594312,35.564946730529,0.0239150628228737
5,2019,3,2019-09-30 00:00:00+00:00,88386000000.0,32446000000.0,78593000000.0,6677000000.0,75301000000.0,15871000000.0,5267000000.0,1783000000.0,0.0,5273000000.0,-2963000000.0,12206000000.0,1559000000.0,958000000.0,0.0,122738000000.0,110532000000.0,13085000000.0,0.0,12133000000.0,37713000000.0,3353000000.0,601000000.0,1992000000.0,971584496.0,32023000000.0,0.0,814000000.0,-1756000000.0,2501000000.0,0.0,19000000.0,1471000000.0,3000000.0,255000000.0,-67000000.0,-351000000.0,1000000000.0,-1687000000.0,616000000.0,974000000.0,2824000000.0,1353000000.0,0.79,1100000000.0,2453000000.0,0.79,944000000.0,-12000000.0,1353000000.0,172000000.0,772000000.0,409000000.0,973000000.0,760000000.0,6476000000.0,0.0,8929000000.0,772000000.0,0.0,0.0,0.0,6.0,-0.0504094437945337,0.274722813304961,0.932823844096293,34352000000.0,0.274722813304961,9.19014253187507,0.0394736842105263,1.01320925584736,0.0735264862456135,35.3566778200215,0.0190295349091051
6,2019,2,2019-06-30 00:00:00+00:00,87689000000.0,32299000000.0,78030000000.0,6677000000.0,74755000000.0,15452000000.0,4835000000.0,1670000000.0,0.0,5133000000.0,-2990000000.0,11655000000.0,1681000000.0,1155000000.0,0.0,121596000000.0,109941000000.0,12934000000.0,0.0,11826000000.0,37134000000.0,3253000000.0,526000000.0,987000000.0,970954879.0,31548000000.0,0.0,155000000.0,-1673000000.0,1854000000.0,0.0,24000000.0,1462000000.0,6000000.0,-317000000.0,26000000.0,-352000000.0,-136000000.0,-1699000000.0,31000000.0,974000000.0,2499000000.0,1037000000.0,0.5,1046000000.0,1887000000.0,0.5,628000000.0,10000000.0,841000000.0,144000000.0,484000000.0,409000000.0,972000000.0,494000000.0,5802000000.0,0.0,7689000000.0,484000000.0,0.0,0.0,0.0,6.0,-0.0479197622585439,0.245415528677331,0.901113344672955,33907000000.0,0.245415528677331,7.91900856187984,-0.107142857142857,1.02380499556232,0.0728666998219242,34.9212931860658,0.0188344377451753
7,2019,1,2019-03-31 00:00:00+00:00,87889000000.0,33350000000.0,77460000000.0,6677000000.0,75660000000.0,15321000000.0,3762000000.0,1559000000.0,0.0,4564000000.0,-3012000000.0,12476000000.0,1726000000.0,1074000000.0,0.0,121593000000.0,109117000000.0,12229000000.0,0.0,11642000000.0,37112000000.0,3332000000.0,652000000.0,1103000000.0,969745933.0,31357000000.0,0.0,-829000000.0,-1786000000.0,1044000000.0,0.0,51000000.0,1460000000.0,8000000.0,275000000.0,47000000.0,-352000000.0,-467000000.0,-1873000000.0,590000000.0,972000000.0,3080000000.0,1620000000.0,0.93,1072000000.0,2290000000.0,0.93,1217000000.0,59000000.0,1218000000.0,310000000.0,907000000.0,403000000.0,971000000.0,966000000.0,7187000000.0,0.0,9477000000.0,907000000.0,0.0,0.0,0.0,7.0,-0.0222841225626741,0.241637649045056,1.02019789026086,33704000000.0,0.241637649045056,9.77266279496735,0.524590163934426,1.06355837612016,0.0752549885548357,34.7554950766677,0.0194660233784765
8,2018,4,2018-12-31 00:00:00+00:00,86587000000.0,34465000000.0,76707000000.0,6677000000.0,75183000000.0,14743000000.0,2063000000.0,1685000000.0,0.0,5863000000.0,-2995000000.0,13328000000.0,1881000000.0,1077000000.0,0.0,119634000000.0,106306000000.0,11404000000.0,0.0,11321000000.0,36528000000.0,3805000000.0,804000000.0,1596000000.0,967009746.0,30741000000.0,0.0,-128000000.0,-2225000000.0,1969000000.0,0.0,38000000.0,1460000000.0,-96000000.0,-284000000.0,-61000000.0,-333000000.0,-540000000.0,-2097000000.0,25000000.0,969000000.0,1879000000.0,419000000.0,0.15,1068000000.0,1770000000.0,0.15,3000000.0,-47000000.0,702000000.0,-144000000.0,147000000.0,416000000.0,967000000.0,100000000.0,7038000000.0,0.0,8808000000.0,147000000.0,0.0,0.0,0.0,5.0,0.0513248985438053,0.200953678474114,1.16871273237461,33047000000.0,0.200953678474114,9.10849144637266,-0.923469387755102,1.12114114700237,0.0654329956655538,34.1744228914938,0.0169333271368397
10,2018,3,2018-09-30 00:00:00+00:00,86097000000.0,34909000000.0,75840000000.0,6677000000.0,75957000000.0,14949000000.0,1605000000.0,1665000000.0,0.0,4239000000.0,-2869000000.0,13473000000.0,1794000000.0,1098000000.0,0.0,119485000000.0,106012000000.0,10140000000.0,0.0,11702000000.0,36514000000.0,3353000000.0,696000000.0,2158000000.0,965906701.0,31020000000.0,0.0,1116000000.0,-1763000000.0,2806000000.0,0.0,40000000.0,1511000000.0,1000000.0,250000000.0,-72000000.0,-333000000.0,1293000000.0,-1690000000.0,587000000.0,970000000.0,2774000000.0,1263000000.0,0.76,1110000000.0,2256000000.0,0.76,870000000.0,67000000.0,1146000000.0,137000000.0,733000000.0,393000000.0,968000000.0,800000000.0,7147000000.0,0.0,9403000000.0,733000000.0,0.0,0.0,0.0,5.0,0.0724224452554745,0.23992342869297,1.32869822485207,33388000000.0,0.23992342869297,9.73489467488434,-0.116279069767442,1.12537072856222,0.122601962815012,34.5664855264318,0.0317009619103889
11,2018,2,2018-06-30 00:00:00+00:00,84410000000.0,33568000000.0,75284000000.0,6677000000.0,74784000000.0,14551000000.0,2410000000.0,1590000000.0,0.0,4094000000.0,-2921000000.0,11489000000.0,1892000000.0,1093000000.0,0.0,117249000000.0,105760000000.0,9626000000.0,0.0,11484000000.0,35978000000.0,3118000000.0,799000000.0,900000000.0,965381919.0,30515000000.0,0.0,440000000.0,-1989000000.0,2367000000.0,0.0,15000000.0,1499000000.0,-47000000.0,-449000000.0,-43000000.0,-333000000.0,-71000000.0,-1927000000.0,-111000000.0,969000000.0,2477000000.0,978000000.0,0.56,1084000000.0,2026000000.0,0.56,605000000.0,3000000.0,942000000.0,66000000.0,539000000.0,373000000.0,967000000.0,542000000.0,6050000000.0,0.0,8076000000.0,539000000.0,0.0,0.0,0.0,6.0,0.0536203522504892,0.250866765725607,1.19353833367962,32839000000.0,0.250866765725607,8.36560105493337,4.6,1.10004915615271,0.128648666857557,34.0165890345415,0.0325360482204852
