,date,quarter,year,statementData.balanceSheet.totalAssets,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debt,statementData.balanceSheet.equity,statementData.balanceSheet.deferredRev,statementData.balanceSheet.inventory,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.deposits,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.acctRec,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.investments,statementData.balanceSheet.accoci,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.acctPay,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncff,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.sbcomp,statementData.cashFlow.ncfi,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncf,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.ebit,statementData.incomeStatement.shareswa,statementData.incomeStatement.intexp,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.rnd,statementData.incomeStatement.opex,statementData.incomeStatement.netinc,statementData.incomeStatement.opinc,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.eps,statementData.incomeStatement.ebt,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.epsDil,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebitda,statementData.incomeStatement.nonControllingInterests,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,4,2020,4677920000.0,1157373000.0,849556000.0,727037000.0,2232268000.0,1272632000.0,27898000.0,2884444000.0,45173000.0,1793476000.0,61173109.0,707762000.0,0.0,1288279000.0,602000.0,2445652000.0,296183000.0,529919000.0,1858966000.0,463272000.0,-18716000.0,1945531000.0,19275000.0,102939000.0,360333000.0,64472000.0,163821000.0,-56707000.0,-5000000.0,35928000.0,289000.0,-12083000.0,27897000.0,52633000.0,15814000.0,0.0,0.0,-49171000.0,175904000.0,135011000.0,111967000.0,283936000.0,97523000.0,61151000.0,0.0,19860000.0,614816000.0,120300000.0,404236000.0,77663000.0,98613000.0,61966000.0,0.0,77663000.0,1.27,97523000.0,77663000.0,1.25,0.0,502849000.0,133451000.0,0.0,3.0,0.0413761797326504,0.817885351064384,1.39214875038714,2232268000.0,0.817885351064384,10.0504291844967,-0.191082802547771,0.317059600370565,0.147918062685752,36.4910012992801,0.0700017657491791
2,2020-06-30 00:00:00+00:00,3,2020,4573357000.0,1156142000.0,714268000.0,738718000.0,2153899000.0,1275052000.0,28826000.0,2907923000.0,47919000.0,1665434000.0,60896541.0,719443000.0,0.0,1263316000.0,444000.0,2419458000.0,304874000.0,545054000.0,1858966000.0,492231000.0,-18495000.0,1867868000.0,19275000.0,112928000.0,379303000.0,54389000.0,146780000.0,25556000.0,-5000000.0,36986000.0,234000.0,-12394000.0,-34409000.0,50868000.0,-46803000.0,0.0,0.0,30556000.0,159174000.0,137927000.0,106040000.0,273600000.0,87762000.0,60978000.0,0.0,17890000.0,583252000.0,115991000.0,389591000.0,69872000.0,87621000.0,61415000.0,0.0,69872000.0,1.15,87762000.0,69872000.0,1.14,0.0,477212000.0,124748000.0,0.0,3.0,0.0352470917333163,0.81819179359865,1.31830357566911,2153899000.0,0.81819179359865,9.57775253605948,-0.195804195804196,0.334018911750272,0.165555534021977,35.3698086070275,0.0797581371315879
3,2020-03-31 00:00:00+00:00,2,2020,4440977000.0,1190777000.0,572888000.0,755605000.0,1998194000.0,1281104000.0,30942000.0,3032246000.0,47230000.0,1408731000.0,60804090.0,736330000.0,0.0,1252006000.0,221000.0,2442783000.0,338655000.0,559442000.0,1864991000.0,453226000.0,-22903000.0,1797996000.0,19275000.0,204969000.0,248257000.0,56200000.0,168649000.0,347435000.0,396960000.0,34400000.0,-1910000.0,-13159000.0,282120000.0,50786000.0,-686613000.0,-955574000.0,0.0,-49525000.0,181808000.0,-157370000.0,101238000.0,289485000.0,83557000.0,60869000.0,0.0,22178000.0,583449000.0,109028000.0,398513000.0,61379000.0,83698000.0,61084000.0,0.0,61379000.0,1.01,83557000.0,61379000.0,1.0,0.0,482211000.0,117957000.0,0.0,3.0,0.0707549160847503,0.826483548690631,1.12517911256016,1998194000.0,0.826483548690631,9.59555516742377,-0.479381443298969,0.368497753471385,0.186326385412361,32.8628222213341,0.0915481285231472
4,2019-12-31 00:00:00+00:00,1,2020,3875360000.0,795395000.0,735457000.0,342303000.0,1929458000.0,1237973000.0,32381000.0,2137889000.0,29380000.0,1737471000.0,60793880.0,342303000.0,0.0,1150507000.0,258000.0,1945902000.0,354668000.0,533235000.0,1065379000.0,738805000.0,-18376000.0,1736617000.0,0.0,312044000.0,426761000.0,52407000.0,121708000.0,20959000.0,0.0,27682000.0,820000.0,-22304000.0,-7096000.0,47661000.0,-29400000.0,0.0,0.0,20959000.0,144012000.0,135571000.0,88642000.0,254523000.0,127555000.0,60649000.0,0.0,29028000.0,569305000.0,96005000.0,358328000.0,98527000.0,122335000.0,60815000.0,0.0,98527000.0,1.62,127555000.0,98527000.0,1.62,0.0,480663000.0,155237000.0,0.0,4.0,0.0469591923055703,0.844297871966696,1.51017855606268,1929458000.0,0.844297871966696,9.36451169097942,-0.253456221198157,0.177408888921137,0.233174607738407,31.7377012291369,0.117725512698217
5,2019-09-30 00:00:00+00:00,4,2019,3390275000.0,523252000.0,599219000.0,0.0,1761497000.0,1198116000.0,34401000.0,1878689000.0,27701000.0,1511586000.0,60130021.0,0.0,0.0,1105526000.0,313000.0,1628778000.0,322029000.0,223426000.0,1065379000.0,731465000.0,-19190000.0,1638090000.0,0.0,358402000.0,373063000.0,62627000.0,185552000.0,143000.0,0.0,21862000.0,-1289000.0,-20534000.0,-273515000.0,43732000.0,-294049000.0,0.0,0.0,143000.0,206086000.0,-87820000.0,90918000.0,281944000.0,118111000.0,60287000.0,0.0,23274000.0,590388000.0,102812000.0,384756000.0,94837000.0,114714000.0,60708000.0,0.0,94837000.0,1.57,118111000.0,94837000.0,1.57,0.0,499470000.0,139973000.0,0.0,4.0,0.0491888347262972,0.846002967539991,1.36730027154495,1761497000.0,0.846002967539991,9.81852309680717,-0.286363636363636,0.0,0.273230621818545,29.2948010112952,0.137428088524671
7,2019-06-30 00:00:00+00:00,3,2019,3177275000.0,481427000.0,688350000.0,0.0,1623782000.0,1166512000.0,36009000.0,1672374000.0,25079000.0,1504901000.0,59695236.0,0.0,0.0,1072066000.0,352000.0,1553493000.0,320465000.0,226002000.0,1065379000.0,459756000.0,-18193000.0,1543253000.0,0.0,161619000.0,298137000.0,55630000.0,117393000.0,26555000.0,0.0,18399000.0,154000.0,-32952000.0,430961000.0,40999000.0,-213541000.0,-611550000.0,0.0,26555000.0,150345000.0,-36641000.0,90767000.0,252993000.0,107462000.0,59981000.0,0.0,21557000.0,563394000.0,116894000.0,369887000.0,85905000.0,102740000.0,60196000.0,0.0,85905000.0,1.43,107462000.0,85905000.0,1.43,0.0,472627000.0,125861000.0,0.0,4.0,0.0390831478247078,0.838892497967675,1.40373913546367,1623782000.0,0.838892497967675,9.43783855716728,-0.288557213930348,0.0,0.322010691564104,27.2011991040625,0.159719733151203
8,2019-03-31 00:00:00+00:00,2,2019,2990236000.0,448041000.0,726662000.0,0.0,1467408000.0,1161445000.0,33463000.0,1182776000.0,21551000.0,1807460000.0,59441333.0,0.0,0.0,1074787000.0,402000.0,1522828000.0,321484000.0,208221000.0,555965000.0,888472000.0,-19341000.0,1457348000.0,0.0,301357000.0,587115000.0,68156000.0,164542000.0,-100013000.0,0.0,14245000.0,-311000.0,-29010000.0,182359000.0,39494000.0,153349000.0,0.0,0.0,-100013000.0,193552000.0,246888000.0,88178000.0,217610000.0,150227000.0,59686000.0,0.0,34140000.0,544895000.0,96314000.0,313924000.0,116087000.0,142793000.0,60029000.0,0.0,116087000.0,1.94,150227000.0,116087000.0,1.93,0.0,456717000.0,164472000.0,0.0,5.0,0.0217343203876212,0.838174327163949,1.68169134907661,1467408000.0,0.838174327163949,9.16693776029552,0.0837988826815641,0.0,0.370383320901029,24.6866603748607,0.181964279152412
9,2018-12-31 00:00:00+00:00,1,2019,2891896000.0,435018000.0,480121000.0,0.0,1409188000.0,1149521000.0,31559000.0,1272260000.0,23131000.0,1619636000.0,60627214.0,0.0,0.0,1047690000.0,409000.0,1482708000.0,325688000.0,179224000.0,555965000.0,1066165000.0,-21993000.0,1417904000.0,0.0,413690000.0,652475000.0,66859000.0,176812000.0,-82132000.0,0.0,14001000.0,46000.0,-21046000.0,-39347000.0,38689000.0,-60393000.0,0.0,0.0,-82132000.0,197858000.0,55333000.0,86714000.0,206802000.0,165311000.0,60216000.0,0.0,34406000.0,543770000.0,92038000.0,298840000.0,130905000.0,158216000.0,60645000.0,0.0,130905000.0,2.17,165311000.0,130905000.0,2.16,0.0,457056000.0,179312000.0,0.0,7.0,0.0393336276809042,0.840531842506942,1.54591148144967,1409188000.0,0.840531842506942,8.96907451495297,0.528169014084507,0.0,0.382602097558465,23.2434893016855,0.187664340806144
10,2018-09-30 00:00:00+00:00,4,2018,2605476000.0,365551000.0,424707000.0,0.0,1285492000.0,1015321000.0,30568000.0,1187818000.0,33441000.0,1417658000.0,60818323.0,0.0,0.0,954433000.0,35000.0,1319984000.0,295352000.0,145042000.0,555965000.0,1025889000.0,-22178000.0,1287243000.0,0.0,411184000.0,614705000.0,57757000.0,186914000.0,-150017000.0,0.0,15410000.0,-752000.0,-17391000.0,-210701000.0,36848000.0,-228092000.0,0.0,0.0,-150017000.0,204305000.0,-173804000.0,93440000.0,202173000.0,159259000.0,60455000.0,0.0,26378000.0,562709000.0,95078000.0,315677000.0,132881000.0,153592000.0,61410000.0,0.0,132881000.0,2.2,159259000.0,132881000.0,2.16,0.0,469269000.0,174669000.0,0.0,8.0,0.0459313975144888,0.833946142677654,1.48534051106783,1285492000.0,0.833946142677654,9.25229391806808,0.0280373831775702,0.0,0.362569849032787,21.1365906948799,0.178311866054161
12,2018-06-30 00:00:00+00:00,3,2018,2561066000.0,351166000.0,599268000.0,0.0,1265975000.0,1027707000.0,31322000.0,1092016000.0,35153000.0,1469050000.0,61114593.0,0.0,0.0,943925000.0,25000.0,1295091000.0,297375000.0,126108000.0,555965000.0,814644000.0,-21983000.0,1267950000.0,0.0,329412000.0,485232000.0,44647000.0,162223000.0,-121117000.0,0.0,14032000.0,-2164000.0,-19828000.0,-35652000.0,38739000.0,-55480000.0,0.0,0.0,-121117000.0,182051000.0,5454000.0,91009000.0,205180000.0,154212000.0,60970000.0,0.0,31469000.0,542203000.0,94061000.0,299241000.0,122743000.0,151953000.0,61633000.0,0.0,122743000.0,2.01,154212000.0,122743000.0,1.99,0.0,451194000.0,168244000.0,0.0,7.0,0.0470534164225422,0.832149582351997,1.55632068225759,1265975000.0,0.832149582351997,8.87190723825977,0.313725490196078,0.0,0.368992792512829,20.7147742929418,0.181740051192026
