,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,33974000000.0,15213000000.0,914000000.0,70092000000.0,21199000000.0,3556000000.0,4976000000.0,0.0,0.0,4281000000.0,-212000000.0,9934000000.0,0.0,0.0,0.0,83195000000.0,73261000000.0,12775000000.0,821000000.0,4172000000.0,20189000000.0,7024000000.0,0.0,1826000000.0,619603482.0,49031000000.0,57000000.0,1140000000.0,-269000000.0,1411000000.0,31000000.0,-25000000.0,930000000.0,0.0,-796000000.0,0.0,-217000000.0,377000000.0,-271000000.0,-350000000.0,627000000.0,1155000000.0,225000000.0,0.03,862000000.0,1093000000.0,0.03,141000000.0,2000000.0,231000000.0,121000000.0,20000000.0,84000000.0,620000000.0,22000000.0,2104000000.0,862000000.0,3197000000.0,20000000.0,0.0,0.0,0.0,3.0,0.132884479092842,0.341883015326869,0.777612524461839,49221000000.0,0.341883015326869,5.159751507013,-0.9,0.310273092533295,-0.00211510008592594,79.4395148347472,-0.00125257063022971
1,2020,2,2020-06-30 00:00:00+00:00,33409000000.0,14874000000.0,887000000.0,69821000000.0,21292000000.0,3753000000.0,4994000000.0,0.0,0.0,4237000000.0,-358000000.0,8600000000.0,0.0,0.0,0.0,82642000000.0,74042000000.0,12117000000.0,886000000.0,4091000000.0,19868000000.0,6277000000.0,0.0,1183000000.0,617833816.0,49043000000.0,69000000.0,969000000.0,-330000000.0,1230000000.0,-8000000.0,95000000.0,916000000.0,-67000000.0,-874000000.0,0.0,-217000000.0,18000000.0,-261000000.0,-738000000.0,625000000.0,1027000000.0,111000000.0,0.03,870000000.0,916000000.0,0.03,23000000.0,2000000.0,46000000.0,4000000.0,19000000.0,88000000.0,618000000.0,21000000.0,2046000000.0,870000000.0,2962000000.0,19000000.0,0.0,0.0,0.0,4.0,0.402462121212121,0.309250506414585,0.709746636956342,49233000000.0,0.309250506414585,4.79416944054095,-0.9375,0.303284872458863,0.000609616703497676,79.6864767272629,0.000360750360750361
2,2020,1,2020-03-31 00:00:00+00:00,33117000000.0,18982000000.0,870000000.0,70210000000.0,25191000000.0,3952000000.0,1395000000.0,0.0,0.0,4161000000.0,-248000000.0,8346000000.0,0.0,0.0,0.0,82474000000.0,74128000000.0,7926000000.0,945000000.0,4131000000.0,20377000000.0,5633000000.0,0.0,1373000000.0,616321624.0,49167000000.0,56000000.0,77000000.0,-616000000.0,383000000.0,-15000000.0,130000000.0,914000000.0,-402000000.0,477000000.0,0.0,-216000000.0,229000000.0,-306000000.0,567000000.0,625000000.0,979000000.0,65000000.0,0.02,881000000.0,989000000.0,0.02,-15000000.0,3000000.0,108000000.0,-30000000.0,15000000.0,80000000.0,616000000.0,18000000.0,2089000000.0,881000000.0,3078000000.0,15000000.0,0.0,0.0,0.0,4.0,0.496353913466213,0.321312540610786,1.05299015897048,49357000000.0,0.321312540610786,4.99414571895663,-0.956521739130435,0.386071958834177,0.00418285410078143,80.0831872159008,0.00233333451178511
3,2019,4,2019-12-31 00:00:00+00:00,34350000000.0,17229000000.0,900000000.0,71244000000.0,23968000000.0,4161000000.0,2963000000.0,0.0,0.0,4226000000.0,-33000000.0,8692000000.0,0.0,0.0,0.0,83806000000.0,75114000000.0,10382000000.0,869000000.0,4281000000.0,20192000000.0,6602000000.0,0.0,1152000000.0,614600305.0,49440000000.0,264000000.0,385000000.0,-334000000.0,669000000.0,56000000.0,-6000000.0,956000000.0,-3000000.0,-1010000000.0,0.0,-215000000.0,-619000000.0,-284000000.0,-778000000.0,451000000.0,926000000.0,-30000000.0,-0.51,1232000000.0,1355000000.0,-0.49,-177000000.0,2000000.0,123000000.0,-19000000.0,-158000000.0,147000000.0,445000000.0,-156000000.0,1987000000.0,1232000000.0,3342000000.0,-158000000.0,0.0,0.0,0.0,5.0,0.54222427318874,0.405445840813884,0.837218262377191,49456000000.0,0.405445840813884,5.4376803473926,-1.56043956043956,0.348483009708738,0.0100577137264167,80.4685575286202,0.0053106176711694
5,2019,3,2019-09-30 00:00:00+00:00,34506000000.0,16945000000.0,811000000.0,70998000000.0,23605000000.0,4538000000.0,3248000000.0,0.0,0.0,4089000000.0,-391000000.0,9325000000.0,0.0,0.0,0.0,83718000000.0,74393000000.0,10901000000.0,770000000.0,4198000000.0,20193000000.0,6934000000.0,0.0,1305000000.0,613444279.0,49195000000.0,95000000.0,662000000.0,-6883000000.0,921000000.0,-40000000.0,51000000.0,752000000.0,-6623000000.0,76000000.0,0.0,-215000000.0,-5926000000.0,-259000000.0,255000000.0,524000000.0,1049000000.0,297000000.0,0.3,844000000.0,984000000.0,0.29,202000000.0,2000000.0,140000000.0,48000000.0,154000000.0,95000000.0,516000000.0,156000000.0,1838000000.0,757000000.0,2822000000.0,154000000.0,0.0,0.0,0.0,4.0,0.354126679462572,0.348688873139617,0.855426107696542,49212000000.0,0.348688873139617,4.60025481792781,-0.361702127659574,0.344445573737168,0.0380371038327175,80.2224451098027,0.0183432672424279
6,2019,2,2019-06-30 00:00:00+00:00,22867000000.0,16682000000.0,541000000.0,18203000000.0,18697000000.0,4599000000.0,1560000000.0,0.0,0.0,1792000000.0,-438000000.0,12505000000.0,0.0,0.0,0.0,32859000000.0,20354000000.0,4170000000.0,844000000.0,1295000000.0,18242000000.0,1822000000.0,0.0,9756000000.0,323630424.0,9985000000.0,24000000.0,386000000.0,-141000000.0,526000000.0,5000000.0,24000000.0,368000000.0,0.0,8790000000.0,0.0,-113000000.0,9180000000.0,-140000000.0,8904000000.0,327000000.0,634000000.0,266000000.0,0.48,317000000.0,708000000.0,0.47,194000000.0,1000000.0,391000000.0,40000000.0,154000000.0,72000000.0,324000000.0,155000000.0,1404000000.0,317000000.0,2112000000.0,154000000.0,0.0,0.0,0.0,5.0,0.00284900284900291,0.335227272727273,2.99880095923261,9992000000.0,0.335227272727273,6.52596246637183,-0.25,1.67070605908863,0.0750678248749284,30.8747239412819,0.0288899957852791
7,2019,1,2019-03-31 00:00:00+00:00,14170000000.0,8562000000.0,556000000.0,18340000000.0,10649000000.0,4558000000.0,653000000.0,0.0,0.0,1947000000.0,-427000000.0,3611000000.0,0.0,0.0,0.0,24073000000.0,20462000000.0,3521000000.0,909000000.0,1351000000.0,9215000000.0,2014000000.0,0.0,576000000.0,322920584.0,9896000000.0,19000000.0,149000000.0,-143000000.0,294000000.0,-3000000.0,-361000000.0,368000000.0,43000000.0,-275000000.0,0.0,-113000000.0,-127000000.0,-145000000.0,198000000.0,326000000.0,623000000.0,255000000.0,0.46,361000000.0,676000000.0,0.45,180000000.0,1000000.0,315000000.0,32000000.0,148000000.0,75000000.0,323000000.0,149000000.0,1381000000.0,361000000.0,2057000000.0,148000000.0,0.0,0.0,0.0,4.0,-0.00435624394966116,0.328633932912008,1.02556092019313,9903000000.0,0.328633932912008,6.36998724119736,-0.163636363636364,0.86519805982215,0.0799389628608698,30.6669828145734,0.0340443372988837
8,2018,4,2018-12-31 00:00:00+00:00,13548000000.0,8670000000.0,587000000.0,18472000000.0,10423000000.0,4528000000.0,315000000.0,0.0,0.0,1919000000.0,-430000000.0,3733000000.0,0.0,0.0,0.0,23770000000.0,20037000000.0,3125000000.0,806000000.0,1360000000.0,8985000000.0,2071000000.0,0.0,703000000.0,327488268.0,10215000000.0,18000000.0,547000000.0,-236000000.0,705000000.0,5000000.0,-202000000.0,360000000.0,-74000000.0,-442000000.0,0.0,-105000000.0,71000000.0,-158000000.0,-120000000.0,329000000.0,833000000.0,473000000.0,0.91,321000000.0,790000000.0,0.9,384000000.0,12000000.0,469000000.0,86000000.0,298000000.0,89000000.0,325000000.0,310000000.0,1377000000.0,321000000.0,2167000000.0,298000000.0,0.0,0.0,0.0,7.0,0.000461680517082286,0.364559298569451,1.19456,10222000000.0,0.364559298569451,6.61703093437228,-0.678445229681979,0.848751835535977,0.0820761581372787,31.2133318925489,0.0353468356017005
10,2018,3,2018-09-30 00:00:00+00:00,13528000000.0,8998000000.0,546000000.0,18599000000.0,10836000000.0,4339000000.0,40000000.0,0.0,0.0,1982000000.0,-433000000.0,3597000000.0,0.0,0.0,0.0,23694000000.0,20097000000.0,2692000000.0,753000000.0,1402000000.0,9038000000.0,1932000000.0,0.0,632000000.0,328820674.0,10081000000.0,21000000.0,317000000.0,-159000000.0,465000000.0,-13000000.0,-331000000.0,354000000.0,9000000.0,-305000000.0,0.0,-105000000.0,-51000000.0,-148000000.0,155000000.0,331000000.0,625000000.0,271000000.0,0.47,378000000.0,720000000.0,0.47,191000000.0,9000000.0,342000000.0,37000000.0,154000000.0,80000000.0,328000000.0,163000000.0,1364000000.0,283000000.0,2084000000.0,154000000.0,0.0,0.0,0.0,6.0,-0.00572519083969469,0.345489443378119,1.33618127786033,10166000000.0,0.345489443378119,6.33780101065057,1.61111111111111,0.89257018152961,0.142069692757513,30.9165475404384,0.0614345082026675
11,2018,2,2018-06-30 00:00:00+00:00,13324000000.0,8854000000.0,557000000.0,18913000000.0,10790000000.0,4291000000.0,38000000.0,0.0,0.0,1886000000.0,-403000000.0,3494000000.0,0.0,0.0,0.0,23868000000.0,20374000000.0,2534000000.0,869000000.0,1455000000.0,8892000000.0,1730000000.0,0.0,683000000.0,331014452.0,10439000000.0,25000000.0,325000000.0,-146000000.0,469000000.0,-49000000.0,-108000000.0,354000000.0,0.0,-316000000.0,0.0,-105000000.0,-42000000.0,-144000000.0,-102000000.0,333000000.0,690000000.0,336000000.0,0.64,339000000.0,692000000.0,0.64,263000000.0,6000000.0,353000000.0,51000000.0,212000000.0,73000000.0,329000000.0,218000000.0,1414000000.0,339000000.0,2106000000.0,212000000.0,0.0,0.0,0.0,6.0,-0.0673162090345438,0.328584995251662,1.37884767166535,10544000000.0,0.328584995251662,6.36225997770031,0.523809523809524,0.84816553309704,0.133269276963728,31.8535941143742,0.0571410915308004
