,year,quarter,date,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.deposits,statementData.balanceSheet.accoci,statementData.balanceSheet.inventory,statementData.balanceSheet.ppeq,statementData.balanceSheet.deferredRev,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.equity,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.intangibles,statementData.balanceSheet.totalAssets,statementData.balanceSheet.taxAssets,statementData.balanceSheet.acctPay,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.debt,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.payDiv,statementData.cashFlow.ncff,statementData.cashFlow.ncfx,statementData.cashFlow.capex,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.depamor,statementData.cashFlow.ncfo,statementData.cashFlow.issrepayDebt,statementData.cashFlow.sbcomp,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.freeCashFlow,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.sga,statementData.incomeStatement.ebt,statementData.incomeStatement.ebitda,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.opinc,statementData.incomeStatement.grossProfit,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.taxExp,statementData.incomeStatement.revenue,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.rnd,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.epsDil,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.opex,statementData.overview.roa,statementData.overview.piotroskiFScore,statementData.overview.bookVal,statementData.overview.epsQoQ,statementData.overview.rps,statementData.overview.grossMargin,statementData.overview.longTermDebtEquity,statementData.overview.revenueQoQ,statementData.overview.bvps,statementData.overview.profitMargin,statementData.overview.roe
0,2020,3,2020-09-30 00:00:00+00:00,18010000000.0,156683000000.0,2831000000.0,0.0,2908000000.0,0.0,2996000000.0,22951000000.0,0.0,5078000000.0,201996000000.0,0.0,0.0,180186000000.0,0.0,179045000000.0,712241022.0,16570000000.0,-225000000.0,0.0,-262000000.0,-1386000000.0,0.0,-139000000.0,1098000000.0,1243000000.0,127000000.0,63000000.0,-1255000000.0,23000000.0,0.0,-76000000.0,562000000.0,1097000000.0,746000000.0,873000000.0,19000000.0,0.0,718893892.0,746000000.0,1907000000.0,746000000.0,0.78,165000000.0,1907000000.0,0.0,0.0,581000000.0,0.0,0.0,0.78,715102136.0,581000000.0,1161000000.0,0.00766130200010004,4.0,22951000000.0,0.0833333333333335,2.67746442720341,1.0,0.721972898784367,0.0319264069264069,32.223642406264,1.0,0.0658654172608135
1,2020,2,2020-06-30 00:00:00+00:00,17643000000.0,156946000000.0,2951000000.0,0.0,2862000000.0,0.0,3221000000.0,22335000000.0,0.0,5108000000.0,202906000000.0,0.0,0.0,180926000000.0,0.0,180571000000.0,711911793.0,17874000000.0,-61000000.0,0.0,-194000000.0,16930000000.0,0.0,-76000000.0,-18510000000.0,-18430000000.0,113000000.0,1519000000.0,-4720000000.0,24000000.0,0.0,1443000000.0,163000000.0,1059000000.0,244000000.0,357000000.0,32000000.0,0.0,717571890.0,244000000.0,1365000000.0,244000000.0,0.23,49000000.0,1365000000.0,0.0,0.0,195000000.0,0.0,0.0,0.23,714766570.0,195000000.0,1121000000.0,0.0078106882379982,4.0,22335000000.0,-0.596491228070175,1.91737236750621,1.0,0.800268636668905,-0.25,31.3732687386455,1.0,0.0655647065599263
2,2020,1,2020-03-31 00:00:00+00:00,17677000000.0,135061000000.0,2477000000.0,0.0,2828000000.0,0.0,3282000000.0,21873000000.0,0.0,5130000000.0,185391000000.0,0.0,0.0,163192000000.0,0.0,163518000000.0,709552415.0,22449000000.0,4000000.0,0.0,-173000000.0,13752000000.0,0.0,-65000000.0,-14181000000.0,-14090000000.0,118000000.0,433000000.0,5976000000.0,53000000.0,0.0,368000000.0,29000000.0,1134000000.0,60000000.0,178000000.0,17000000.0,0.0,720362697.0,60000000.0,1260000000.0,60000000.0,0.04,14000000.0,1260000000.0,0.0,0.0,46000000.0,0.0,0.0,0.04,713555693.0,46000000.0,1200000000.0,0.00971437044458936,4.0,21873000000.0,-0.964912280701754,1.7757673335521,1.0,1.02633383623646,-0.397993311036789,30.8264753069722,1.0,0.0794312216022789
3,2019,4,2019-12-31 00:00:00+00:00,18315000000.0,127062000000.0,1192000000.0,0.0,2843000000.0,0.0,3278000000.0,21203000000.0,0.0,5446000000.0,169369000000.0,0.0,0.0,148612000000.0,0.0,148166000000.0,709667397.0,16241000000.0,17000000.0,1463000000.0,-174000000.0,-1892000000.0,0.0,-44000000.0,530000000.0,574000000.0,183000000.0,1379000000.0,-3088000000.0,23000000.0,0.0,1335000000.0,701000000.0,1129000000.0,941000000.0,1124000000.0,33000000.0,0.0,725022281.0,941000000.0,2102000000.0,941000000.0,0.98,207000000.0,2102000000.0,0.0,0.0,734000000.0,0.0,0.0,0.96,715188839.0,734000000.0,1161000000.0,0.014284385093553,5.0,21203000000.0,0.484848484848485,2.9619509207917,1.0,0.765976512757629,0.347435897435898,29.8773764859878,1.0,0.116913257905425
5,2019,3,2019-09-30 00:00:00+00:00,17786000000.0,125347000000.0,1635000000.0,0.0,2922000000.0,0.0,3261000000.0,21404000000.0,0.0,5401000000.0,171079000000.0,0.0,0.0,150676000000.0,0.0,149675000000.0,730485823.0,19396000000.0,497000000.0,-350000000.0,-238000000.0,2019000000.0,0.0,-51000000.0,-1159000000.0,-1108000000.0,91000000.0,-363000000.0,2387000000.0,25000000.0,0.0,-414000000.0,530000000.0,1086000000.0,689000000.0,780000000.0,19000000.0,0.0,736086399.0,689000000.0,1848000000.0,689000000.0,0.72,140000000.0,1848000000.0,0.0,0.0,549000000.0,0.0,0.0,0.71,726715542.0,549000000.0,1159000000.0,0.0131538093278862,3.0,21404000000.0,0.161290322580645,2.52982322423525,1.0,0.906185759671089,0.21419185282523,29.3010477768026,1.0,0.11057537769206
6,2019,2,2019-06-30 00:00:00+00:00,17431000000.0,125392000000.0,1178000000.0,0.0,2968000000.0,0.0,2764000000.0,20474000000.0,0.0,5538000000.0,168802000000.0,0.0,0.0,149311000000.0,0.0,148131000000.0,734386147.0,16920000000.0,15000000.0,-200000000.0,-165000000.0,-1212000000.0,0.0,-60000000.0,953000000.0,1039000000.0,109000000.0,274000000.0,-2538000000.0,30000000.0,0.0,214000000.0,427000000.0,1171000000.0,577000000.0,686000000.0,26000000.0,0.0,747749591.0,577000000.0,1820000000.0,577000000.0,0.57,124000000.0,1820000000.0,0.0,0.0,453000000.0,0.0,0.0,0.57,738051421.0,453000000.0,1243000000.0,0.0130747634963622,4.0,20671000000.0,-0.321428571428572,2.47826025509166,1.0,0.826413988473185,0.0405946255002858,28.1473174357141,1.0,0.113073226132602
7,2019,1,2019-03-31 00:00:00+00:00,17184000000.0,123664000000.0,409000000.0,0.0,3000000000.0,0.0,2749000000.0,19647000000.0,0.0,5680000000.0,167853000000.0,0.0,0.0,148795000000.0,0.0,148009000000.0,647259351.0,19442000000.0,68000000.0,-913000000.0,-143000000.0,655000000.0,0.0,-59000000.0,-1121000000.0,-2272000000.0,89000000.0,534000000.0,1399000000.0,54000000.0,1210000000.0,475000000.0,760000000.0,1047000000.0,996000000.0,1085000000.0,15000000.0,0.0,670685025.0,996000000.0,2093000000.0,996000000.0,1.14,221000000.0,2093000000.0,0.0,0.0,775000000.0,0.0,0.0,1.12,661057120.0,775000000.0,1097000000.0,0.0147106667426908,4.0,19844000000.0,0.163265306122449,3.2336342406894,1.0,0.989565837023464,0.106236786469345,30.6584987445009,1.0,0.129077826336468
8,2018,4,2018-12-31 00:00:00+00:00,16578000000.0,108835000000.0,-112000000.0,0.0,2379000000.0,0.0,2681000000.0,16250000000.0,0.0,3456000000.0,146069000000.0,0.0,0.0,130181000000.0,0.0,129819000000.0,655615619.0,16924000000.0,581000000.0,1053000000.0,-120000000.0,2892000000.0,0.0,-12000000.0,-3240000000.0,-3205000000.0,85000000.0,929000000.0,-1042000000.0,21000000.0,-23000000.0,917000000.0,433000000.0,942000000.0,586000000.0,671000000.0,23000000.0,0.0,662718051.0,586000000.0,1560000000.0,586000000.0,0.66,130000000.0,1560000000.0,0.0,0.0,456000000.0,0.0,0.0,0.65,652839317.0,456000000.0,974000000.0,0.0148715060470323,6.0,16250000000.0,-0.0149253731343284,2.379443007138,1.0,1.04147692307692,0.0655737704918034,24.7858646576875,1.0,0.131419002728851
10,2018,3,2018-09-30 00:00:00+00:00,16440000000.0,104342000000.0,-775000000.0,0.0,2442000000.0,0.0,2100000000.0,15830000000.0,0.0,3500000000.0,141685000000.0,0.0,0.0,127039000000.0,0.0,125835000000.0,668092149.0,17890000000.0,48000000.0,-500000000.0,-124000000.0,799000000.0,0.0,8000000.0,-1385000000.0,-1361000000.0,49000000.0,634000000.0,1236000000.0,26000000.0,0.0,642000000.0,421000000.0,941000000.0,550000000.0,599000000.0,15000000.0,0.0,679198715.0,550000000.0,1522000000.0,550000000.0,0.62,114000000.0,1522000000.0,0.0,0.0,436000000.0,0.0,0.0,0.61,667624132.0,436000000.0,972000000.0,0.0152519343205627,7.0,15850000000.0,-0.547445255474453,2.27812885135401,1.0,1.13013265950726,-0.382305194805195,23.7242722036538,1.0,0.133941594513236
11,2018,2,2018-06-30 00:00:00+00:00,16143000000.0,104131000000.0,-552000000.0,0.0,2521000000.0,0.0,2052000000.0,16232000000.0,0.0,3451000000.0,140695000000.0,0.0,0.0,126009000000.0,0.0,124443000000.0,685495676.0,16681000000.0,14000000.0,-235000000.0,-111000000.0,-1335000000.0,0.0,-42000000.0,321000000.0,389000000.0,133000000.0,1028000000.0,386000000.0,35000000.0,0.0,986000000.0,579000000.0,971000000.0,748000000.0,881000000.0,23000000.0,0.0,696209943.0,748000000.0,1749000000.0,748000000.0,0.84,146000000.0,1749000000.0,0.0,0.0,602000000.0,0.0,0.0,0.82,683344844.0,602000000.0,1001000000.0,0.0193172591520458,7.0,16252000000.0,0.826086956521739,2.5514384134496,1.0,1.02766140956136,0.205375603032391,23.7083917069084,1.0,0.168431420832307
