,date,quarter,year,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.acctPay,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.totalAssets,statementData.balanceSheet.inventory,statementData.balanceSheet.taxAssets,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.investments,statementData.balanceSheet.acctRec,statementData.balanceSheet.deferredRev,statementData.balanceSheet.intangibles,statementData.balanceSheet.ppeq,statementData.balanceSheet.debt,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.equity,statementData.balanceSheet.deposits,statementData.cashFlow.payDiv,statementData.cashFlow.capex,statementData.cashFlow.ncf,statementData.cashFlow.issrepayEquity,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.sbcomp,statementData.cashFlow.ncff,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.issrepayDebt,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.incomeStatement.rnd,statementData.incomeStatement.sga,statementData.incomeStatement.netIncDiscOps,statementData.incomeStatement.revenue,statementData.incomeStatement.ebt,statementData.incomeStatement.intexp,statementData.incomeStatement.netinc,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.eps,statementData.incomeStatement.ebit,statementData.incomeStatement.taxExp,statementData.incomeStatement.opinc,statementData.incomeStatement.opex,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.grossProfit,statementData.incomeStatement.costRev,statementData.incomeStatement.shareswa,statementData.incomeStatement.prefDVDs,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020-09-30 00:00:00+00:00,3,2020,1093582000.0,428870000.0,3469733000.0,0.0,921178000.0,43215000.0,5173576000.0,714489000.0,32206000.0,3625291000.0,2376151000.0,2367431000.0,130159720.0,0.0,1061027000.0,198380000.0,1375855000.0,717861000.0,1877645000.0,1834430000.0,0.0,-618856000.0,2806145000.0,0.0,1673421000.0,0.0,-26052000.0,-15948000.0,359473000.0,0.0,94398000.0,7221000.0,5629000.0,270853000.0,78450000.0,-12999000.0,0.0,302423000.0,23189000.0,0.0,0.0,200729000.0,0.0,924301000.0,69675000.0,14710000.0,51003000.0,51003000.0,2647000.0,0.39,84385000.0,18672000.0,87322000.0,197887000.0,0.39,107574000.0,53650000.0,285209000.0,639092000.0,130159720.0,0.0,5.0,-0.0717157322068998,0.308567230804684,2.5660124252228,1703843000.0,0.308567230804684,7.10128294682871,-0.152173913043478,1.09621547715727,0.0764324559392076,13.0904015466536,0.0262521517854464
1,2020-06-30 00:00:00+00:00,2,2020,1088738000.0,428856000.0,3065351000.0,0.0,561705000.0,44706000.0,4755702000.0,684431000.0,31119000.0,3643868000.0,1976613000.0,2325147000.0,130125926.0,0.0,1068530000.0,214135000.0,1360444000.0,714980000.0,1550919000.0,1506213000.0,0.0,-643173000.0,2430555000.0,0.0,1662572000.0,0.0,-26031000.0,-14661000.0,-60594000.0,0.0,-26071000.0,8021000.0,4164000.0,-27956000.0,-40732000.0,-14588000.0,0.0,-914000.0,24199000.0,0.0,0.0,227358000.0,0.0,924965000.0,14054000.0,12900000.0,8645000.0,8645000.0,2142000.0,0.07,26954000.0,5409000.0,42888000.0,224272000.0,0.07,51153000.0,10787000.0,267160000.0,657805000.0,130125926.0,0.0,2.0,-0.0657711870911963,0.288832550420827,2.23245170096019,1690351000.0,0.288832550420827,7.10822991568951,-0.840909090909091,0.905953546673467,0.0808263404077688,12.9901169733078,0.0286503842632974
2,2020-03-31 00:00:00+00:00,1,2020,1106031000.0,425795000.0,3076649000.0,0.0,622299000.0,45821000.0,4762074000.0,684113000.0,31517000.0,3661579000.0,1970618000.0,2336560000.0,130901014.0,0.0,1008806000.0,223632000.0,1354802000.0,733317000.0,1549960000.0,1504139000.0,0.0,-660122000.0,2425514000.0,0.0,1659430000.0,0.0,-26023000.0,-17310000.0,-48681000.0,-32112000.0,47302000.0,-25485000.0,14311000.0,-63925000.0,29992000.0,-6573000.0,0.0,-106000.0,25287000.0,0.0,0.0,243621000.0,0.0,894457000.0,35700000.0,12963000.0,-610000.0,-610000.0,2100000.0,0.0,48663000.0,36310000.0,25552000.0,240425000.0,0.0,73950000.0,1490000.0,265977000.0,628480000.0,130901014.0,0.0,3.0,0.0049502781301296,0.297361415920497,2.19298916576479,1685425000.0,0.297361415920497,6.83307923038702,-1.0,0.906419071608926,0.108885290646906,12.8755687102622,0.038825157165396
3,2019-12-31 00:00:00+00:00,4,2019,1117442000.0,447582000.0,3165936000.0,0.0,670980000.0,47380000.0,4938277000.0,660837000.0,54879000.0,3652244000.0,2048494000.0,2431530000.0,130860148.0,0.0,1068452000.0,221095000.0,1373815000.0,749782000.0,1564880000.0,1517500000.0,0.0,-584292000.0,2506747000.0,0.0,1746739000.0,0.0,-24862000.0,20787000.0,123710000.0,-9568000.0,168750000.0,9056000.0,1375000.0,-34110000.0,189537000.0,-19986000.0,0.0,1689000.0,25340000.0,0.0,0.0,244767000.0,0.0,1068171000.0,85215000.0,12955000.0,69792000.0,69792000.0,1455000.0,0.54,98170000.0,15423000.0,107231000.0,242341000.0,0.53,123510000.0,71247000.0,349572000.0,718599000.0,130860148.0,0.0,7.0,0.0823859750098037,0.327262208017256,2.24329047950587,1772341000.0,0.327262208017256,8.16269136421885,0.148936170212766,0.868761732577105,0.14198173165721,13.5437795775686,0.0506062964382649
5,2019-09-30 00:00:00+00:00,3,2019,1048196000.0,398215000.0,2994688000.0,0.0,547270000.0,44781000.0,4764492000.0,687239000.0,44113000.0,3651126000.0,1946492000.0,2368832000.0,131170103.0,0.0,789448000.0,219680000.0,1360410000.0,758118000.0,1541885000.0,1497104000.0,0.0,-593849000.0,2395660000.0,0.0,1744335000.0,0.0,-24923000.0,-20009000.0,-50621000.0,-5432000.0,93873000.0,-16239000.0,7153000.0,-108717000.0,73864000.0,-19538000.0,0.0,-77906000.0,24785000.0,0.0,0.0,230362000.0,0.0,995709000.0,82252000.0,13981000.0,59842000.0,59842000.0,2121000.0,0.46,96233000.0,22410000.0,104578000.0,228275000.0,0.45,121018000.0,61963000.0,332853000.0,662856000.0,131170103.0,0.0,7.0,0.0451267744007657,0.334287427350762,2.28550767222924,1769804000.0,0.334287427350762,7.59097520873335,1.09090909090909,0.858266330722023,0.140227302140076,13.4924343240014,0.0500571305576956
6,2019-06-30 00:00:00+00:00,2,2019,1058871000.0,402118000.0,3071421000.0,0.0,596470000.0,107767000.0,4821209000.0,680898000.0,54576000.0,3607928000.0,2012550000.0,2411885000.0,131138378.0,0.0,806724000.0,209689000.0,1378229000.0,780179000.0,1647643000.0,1539876000.0,0.0,-567007000.0,2409324000.0,0.0,1726311000.0,0.0,-24863000.0,-14629000.0,-41240000.0,0.0,10831000.0,4509000.0,7745000.0,-43042000.0,-3798000.0,-13538000.0,0.0,-17601000.0,27203000.0,0.0,0.0,223676000.0,0.0,990084000.0,80585000.0,14013000.0,58172000.0,58172000.0,2302000.0,0.44,94598000.0,22413000.0,98018000.0,220015000.0,0.44,121801000.0,60474000.0,318033000.0,672051000.0,131138378.0,0.0,4.0,0.0174231782220036,0.321218199667907,2.27537065421567,1749788000.0,0.321218199667907,7.54991799578305,3.4,0.8920038162301,0.124011166589487,13.3430657499821,0.043780080593796
7,2019-03-31 00:00:00+00:00,1,2019,1121431000.0,398052000.0,3138511000.0,0.0,637710000.0,110004000.0,4846497000.0,680191000.0,47745000.0,3575014000.0,2017080000.0,2409874000.0,130982978.0,0.0,781382000.0,207742000.0,1377996000.0,786571000.0,1662557000.0,1552553000.0,0.0,-566400000.0,2436623000.0,0.0,1686799000.0,0.0,-24909000.0,-10638000.0,18027000.0,0.0,38519000.0,-5279000.0,7609000.0,-43786000.0,27881000.0,28573000.0,0.0,-15824000.0,27466000.0,0.0,0.0,205154000.0,0.0,890051000.0,73848000.0,14031000.0,57261000.0,57261000.0,2235000.0,0.44,87879000.0,16587000.0,91231000.0,202845000.0,0.44,115345000.0,59496000.0,294076000.0,595975000.0,130982978.0,0.0,4.0,-0.0325048861138709,0.330403538673627,2.1727801353806,1707986000.0,0.330403538673627,6.79516539927806,2.66666666666667,0.92041375409874,0.0985945212028435,13.0397554405886,0.0345731433034555
8,2018-12-31 00:00:00+00:00,4,2018,1080975000.0,418893000.0,2955497000.0,0.0,619683000.0,68218000.0,4616277000.0,633871000.0,44682000.0,3543007000.0,1874522000.0,2233132000.0,130856957.0,0.0,792434000.0,202458000.0,1388190000.0,610096000.0,1483047000.0,1414829000.0,0.0,-573947000.0,2383145000.0,0.0,1642315000.0,0.0,-24868000.0,-27827000.0,89741000.0,0.0,164493000.0,-2805000.0,5782000.0,-40058000.0,136666000.0,-31889000.0,0.0,-15103000.0,27257000.0,0.0,0.0,231869000.0,0.0,986867000.0,77299000.0,14516000.0,63103000.0,63103000.0,1262000.0,0.47,91815000.0,14196000.0,93211000.0,228634000.0,0.48,119072000.0,64365000.0,321845000.0,665022000.0,130856957.0,0.0,7.0,-0.0456468572213267,0.326128039543322,2.20462545387266,1660780000.0,0.326128039543322,7.54157075500388,-1.58024691358025,0.86148455077132,0.0729452027135242,12.691568244247,0.0256773326909226
10,2018-09-30 00:00:00+00:00,3,2018,1040080000.0,400281000.0,2974337000.0,0.0,529942000.0,67269000.0,4605064000.0,655652000.0,61153000.0,3505051000.0,1934257000.0,2280397000.0,130852600.0,0.0,780408000.0,174245000.0,1399632000.0,608739000.0,1504015000.0,1436746000.0,0.0,-559559000.0,2324667000.0,0.0,1613039000.0,0.0,-24867000.0,-18229000.0,12500000.0,0.0,83075000.0,-5859000.0,5735000.0,-45978000.0,64846000.0,-18738000.0,0.0,-17344000.0,27580000.0,-3663000.0,0.0,241878000.0,0.0,952716000.0,43117000.0,13826000.0,28205000.0,28205000.0,1234000.0,0.22,56943000.0,14912000.0,69918000.0,238583000.0,0.21,84523000.0,29439000.0,308501000.0,644215000.0,130852600.0,0.0,5.0,0.0784894382938259,0.323812132891649,2.23508480116914,1630727000.0,0.323812132891649,7.28083354858826,-0.388888888888889,0.890707540239263,-0.0300031348329526,12.4623201984523,-0.0104167216751417
11,2018-06-30 00:00:00+00:00,2,2018,1052855000.0,428835000.0,3009071000.0,0.0,517442000.0,69923000.0,4650622000.0,675325000.0,54576000.0,3502006000.0,1956216000.0,2277631000.0,130833554.0,0.0,815708000.0,171940000.0,1407130000.0,625979000.0,1524870000.0,1454947000.0,0.0,-542198000.0,2372991000.0,0.0,1621660000.0,0.0,-24855000.0,-18257000.0,-18215000.0,0.0,63990000.0,-23863000.0,4433000.0,-40393000.0,45733000.0,-17949000.0,0.0,-14907000.0,28723000.0,0.0,0.0,240791000.0,0.0,973129000.0,26765000.0,14939000.0,13220000.0,13220000.0,1567000.0,0.1,41704000.0,13545000.0,46711000.0,239346000.0,0.1,70427000.0,14787000.0,286057000.0,687072000.0,130833554.0,0.0,4.0,0.10953147037328,0.293955888684851,2.25386306756391,1641551000.0,0.293955888684851,7.43791611745103,-0.6875,0.897196083026035,-0.0178320583020201,12.5468654623569,-0.00624328482686019
