,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-30 00:00:00+00:00,8156249000.0,3158810000.0,189953000.0,6728786000.0,3960442000.0,5207094000.0,1333769000.0,0.0,1123974000.0,1552695000.0,-1583136000.0,3971016000.0,695480000.0,7480000.0,0.0,11093999000.0,7122983000.0,4195807000.0,0.0,506102000.0,4492579000.0,1297236000.0,688000000.0,1370860000.0,84051940.0,2937750000.0,11905000.0,394379000.0,-37251000.0,412528000.0,-6269000.0,-228245000.0,63479000.0,-72065000.0,-189494000.0,52963000.0,0.0,179514000.0,-18149000.0,40326000.0,86273000.0,330272000.0,266793000.0,2.26,197304000.0,465427000.0,2.19,235410000.0,0.0,268123000.0,46593000.0,188817000.0,31383000.0,83719000.0,188817000.0,119856000.0,137630000.0,585283000.0,188817000.0,0.0,0.0,0.0,5.0,-0.140614171101009,0.795217014674952,0.946424847472727,2937750000.0,0.795217014674952,6.96334909105013,-0.134099616858238,1.07524806399455,0.235215370508722,34.9516025448074,0.0644774345211721
1,2020,2,2020-06-30 00:00:00+00:00,7660283000.0,3202463000.0,185599000.0,6703554000.0,4033315000.0,5018277000.0,1245178000.0,0.0,887601000.0,1279343000.0,-1581975000.0,3464069000.0,715773000.0,61773000.0,0.0,10626717000.0,7162648000.0,3626968000.0,0.0,501231000.0,4447641000.0,1096303000.0,654000000.0,1191346000.0,83802236.0,2966434000.0,8989000.0,363522000.0,-18638000.0,382135000.0,-6405000.0,-7421000.0,62162000.0,-25000.0,-717982000.0,0.0,0.0,-360890000.0,-18613000.0,-709510000.0,86570000.0,306202000.0,244040000.0,1.89,193525000.0,403856000.0,1.83,211628000.0,0.0,210331000.0,53140000.0,158488000.0,32412000.0,83895000.0,158488000.0,121290000.0,129113000.0,525146000.0,158488000.0,0.0,0.0,0.0,4.0,-0.188454845818382,0.769035658654926,0.955086728088034,2966434000.0,0.769035658654926,6.26649150507154,-0.376237623762376,1.07956657724392,0.22934925327425,35.3980292363559,0.0665396634009986
2,2020,1,2020-03-31 00:00:00+00:00,8513921000.0,3246241000.0,183229000.0,6753623000.0,4053845000.0,4859789000.0,1913470000.0,0.0,906065000.0,1338056000.0,-1592124000.0,4129012000.0,847068000.0,28068000.0,0.0,11310150000.0,7181138000.0,4460076000.0,0.0,486551000.0,5159711000.0,1058713000.0,819000000.0,1552236000.0,85429057.0,2796229000.0,14175000.0,401776000.0,-18724000.0,420033000.0,-209859000.0,-456963000.0,64476000.0,-467000.0,-314451000.0,0.0,0.0,-123001000.0,-18257000.0,142604000.0,88205000.0,272454000.0,207978000.0,1.73,217041000.0,427390000.0,1.67,172299000.0,0.0,210349000.0,25239000.0,147060000.0,35679000.0,84902000.0,147060000.0,233703000.0,161969000.0,661093000.0,147060000.0,0.0,0.0,0.0,4.0,0.0631495999678366,0.646489979473387,0.925771668464842,2796229000.0,0.646489979473387,7.73850283750645,-0.135,1.16093531681418,0.244191657497474,32.7315915473584,0.073344904199981
3,2019,4,2019-12-31 00:00:00+00:00,8536925000.0,3289947000.0,199825000.0,7174929000.0,4073857000.0,4712729000.0,1746838000.0,0.0,1007631000.0,1568961000.0,-972465000.0,4618571000.0,1001413000.0,30440000.0,0.0,12248541000.0,7629970000.0,4463068000.0,0.0,519980000.0,5036785000.0,1249586000.0,970973000.0,1675237000.0,86781185.0,3711616000.0,14833000.0,344447000.0,-140161000.0,370936000.0,28286000.0,-584249000.0,68510000.0,-113417000.0,-49701000.0,0.0,0.0,209360000.0,-26489000.0,534754000.0,90352000.0,402031000.0,333521000.0,2.72,231469000.0,552800000.0,2.61,298561000.0,0.0,321331000.0,63051000.0,235510000.0,34960000.0,86608000.0,235510000.0,146081000.0,161491000.0,698881000.0,235510000.0,0.0,0.0,0.0,7.0,0.0861938199191199,0.790978721699402,1.03484217583062,3711616000.0,0.790978721699402,8.05337009398984,-0.204678362573099,0.88639207288685,0.238904890578139,42.7698238967352,0.0751321809332511
5,2019,3,2019-09-30 00:00:00+00:00,8013884000.0,3307480000.0,185522000.0,7023028000.0,4034947000.0,4477219000.0,1165214000.0,0.0,957667000.0,1703998000.0,-1114678000.0,4440007000.0,1018250000.0,26250000.0,0.0,11914194000.0,7474187000.0,3978937000.0,0.0,457174000.0,4472694000.0,1375929000.0,992000000.0,1465877000.0,86567921.0,3900310000.0,15273000.0,224408000.0,-100640000.0,241114000.0,-54299000.0,5339000.0,67347000.0,-83934000.0,-108924000.0,0.0,0.0,-22749000.0,-16706000.0,-112130000.0,90522000.0,396608000.0,329261000.0,2.61,216771000.0,546032000.0,2.49,292757000.0,0.0,329261000.0,66952000.0,225805000.0,36504000.0,86662000.0,225805000.0,135016000.0,149840000.0,681048000.0,225805000.0,0.0,0.0,0.0,8.0,0.0991984970609407,0.801752593062457,1.11587768290878,3900310000.0,0.801752593062457,7.86720984092941,0.466292134831461,0.848004389394689,0.263174615317087,45.0549112759679,0.0825248849007764
6,2019,2,2019-06-30 00:00:00+00:00,8132220000.0,2676374000.0,190215000.0,7137659000.0,3383010000.0,4251414000.0,1932394000.0,0.0,870217000.0,1727183000.0,-928197000.0,4386358000.0,1000635000.0,26635000.0,0.0,11975592000.0,7589234000.0,4749210000.0,0.0,452113000.0,4608768000.0,1523862000.0,974000000.0,1488626000.0,86193402.0,3843372000.0,18306000.0,235058000.0,-268395000.0,252527000.0,10551000.0,26453000.0,70908000.0,-250926000.0,121372000.0,0.0,0.0,116055000.0,-17469000.0,95049000.0,90131000.0,367697000.0,296789000.0,3.03,229847000.0,526636000.0,2.9,257260000.0,0.0,296789000.0,-4391000.0,261651000.0,39529000.0,86360000.0,261651000.0,120458000.0,158640000.0,647094000.0,261651000.0,0.0,0.0,0.0,7.0,0.106171953127003,0.813847756276522,0.923597398304139,3843372000.0,0.813847756276522,7.5074655946403,0.53030303030303,0.696360903914583,0.250323340011082,44.5900951908129,0.0774492406077565
7,2019,1,2019-03-31 00:00:00+00:00,7983948000.0,2708251000.0,186251000.0,6904738000.0,3421850000.0,3989763000.0,1807318000.0,0.0,768342000.0,1655459000.0,-934192000.0,4172059000.0,968506000.0,26506000.0,0.0,11514915000.0,7342856000.0,4562098000.0,0.0,494025000.0,4515569000.0,1518827000.0,942000000.0,1372571000.0,85858421.0,3530967000.0,12541000.0,282988000.0,-14506000.0,297494000.0,-2392000.0,26473000.0,67445000.0,0.0,-272918000.0,0.0,0.0,7678000.0,-14506000.0,-299044000.0,89244000.0,335741000.0,268296000.0,2.0,208755000.0,492711000.0,1.93,229241000.0,0.0,283956000.0,57134000.0,172107000.0,39055000.0,85941000.0,172107000.0,129114000.0,142045000.0,621825000.0,172107000.0,0.0,0.0,0.0,7.0,0.0620409906063193,0.79236280303944,0.914504467023725,3530967000.0,0.79236280303944,7.24244625929005,0.0256410256410258,0.766999804869318,0.233167537455451,41.1254593186614,0.0708514795662055
8,2018,4,2018-12-31 00:00:00+00:00,7862297000.0,2748431000.0,186201000.0,6949984000.0,3367084000.0,3817656000.0,2070616000.0,0.0,926685000.0,1425815000.0,-913858000.0,3875986000.0,928674000.0,42674000.0,0.0,11202477000.0,7326491000.0,4495213000.0,0.0,491946000.0,4819047000.0,1117649000.0,886000000.0,1364893000.0,88648486.0,3340180000.0,15732000.0,322927000.0,45033000.0,348002000.0,4791000.0,-570687000.0,67231000.0,81691000.0,-221483000.0,0.0,0.0,176343000.0,-25075000.0,352848000.0,90591000.0,502501000.0,435270000.0,3.42,74445000.0,511813000.0,3.31,397063000.0,0.0,437368000.0,95063000.0,302000000.0,38207000.0,87622000.0,302000000.0,131609000.0,150981000.0,643422000.0,302000000.0,0.0,0.0,0.0,6.0,0.0548057266418684,0.795454616099543,0.862247461911149,3340180000.0,0.795454616099543,7.25812734128364,0.0926517571884984,0.822839188307217,0.228111822111217,37.6789288877421,0.0708239942143919
10,2018,3,2018-09-30 00:00:00+00:00,7888642000.0,2773378000.0,184979000.0,6955975000.0,3404174000.0,3515657000.0,1699548000.0,0.0,825371000.0,1811339000.0,-944746000.0,4132991000.0,964032000.0,33032000.0,0.0,11450890000.0,7317899000.0,4484468000.0,0.0,506310000.0,4472926000.0,1616949000.0,931000000.0,1188550000.0,88388545.0,3562248000.0,20702000.0,258593000.0,-21686000.0,280291000.0,-3921000.0,18824000.0,67266000.0,12000.0,-251572000.0,0.0,0.0,3112000.0,-21698000.0,-270149000.0,92081000.0,340906000.0,273640000.0,1.78,210399000.0,491186000.0,1.71,237568000.0,0.0,280787000.0,79874000.0,157694000.0,36072000.0,88456000.0,157694000.0,128400000.0,142864000.0,619586000.0,157694000.0,0.0,0.0,0.0,7.0,0.0721762589616821,0.792764846203755,0.921623479083807,3562248000.0,0.792764846203755,7.00979974271553,-0.201793721973094,0.778547142141704,0.217543610569531,40.3021454872914,0.0689649063405809
11,2018,2,2018-06-30 00:00:00+00:00,8046048000.0,2832316000.0,179096000.0,7071438000.0,3444534000.0,3357962000.0,1915685000.0,0.0,852617000.0,1716937000.0,-870688000.0,4049207000.0,978859000.0,39859000.0,0.0,11485133000.0,7435926000.0,4601514000.0,0.0,498918000.0,4748001000.0,1532741000.0,939000000.0,1185438000.0,89637705.0,3439085000.0,19102000.0,54987000.0,-26886000.0,74387000.0,-78797000.0,-282836000.0,68610000.0,64000.0,-5767000.0,0.0,0.0,-37063000.0,-19400000.0,277126000.0,92702000.0,332935000.0,264325000.0,1.98,209459000.0,473784000.0,1.91,231175000.0,0.0,264325000.0,54323000.0,176852000.0,33150000.0,89169000.0,176852000.0,111201000.0,140440000.0,584985000.0,176852000.0,0.0,0.0,0.0,6.0,0.0808296550309753,0.809907946357599,0.879972765485447,3439085000.0,0.809907946357599,6.52610416565217,0.394366197183099,0.823566733593383,0.232036728084518,38.3664999009067,0.0730855334423931
