,year,quarter,date,statementData.balanceSheet.totalLiabilities,statementData.balanceSheet.debtNonCurrent,statementData.balanceSheet.ppeq,statementData.balanceSheet.intangibles,statementData.balanceSheet.liabilitiesNonCurrent,statementData.balanceSheet.retainedEarnings,statementData.balanceSheet.debtCurrent,statementData.balanceSheet.inventory,statementData.balanceSheet.deposits,statementData.balanceSheet.acctRec,statementData.balanceSheet.accoci,statementData.balanceSheet.assetsCurrent,statementData.balanceSheet.investments,statementData.balanceSheet.investmentsNonCurrent,statementData.balanceSheet.taxAssets,statementData.balanceSheet.totalAssets,statementData.balanceSheet.assetsNonCurrent,statementData.balanceSheet.liabilitiesCurrent,statementData.balanceSheet.deferredRev,statementData.balanceSheet.taxLiabilities,statementData.balanceSheet.debt,statementData.balanceSheet.acctPay,statementData.balanceSheet.investmentsCurrent,statementData.balanceSheet.cashAndEq,statementData.balanceSheet.sharesBasic,statementData.balanceSheet.equity,statementData.cashFlow.sbcomp,statementData.cashFlow.freeCashFlow,statementData.cashFlow.ncfi,statementData.cashFlow.ncfo,statementData.cashFlow.ncfx,statementData.cashFlow.issrepayEquity,statementData.cashFlow.depamor,statementData.cashFlow.businessAcqDisposals,statementData.cashFlow.ncff,statementData.cashFlow.investmentsAcqDisposals,statementData.cashFlow.payDiv,statementData.cashFlow.ncf,statementData.cashFlow.capex,statementData.cashFlow.issrepayDebt,statementData.incomeStatement.shareswaDil,statementData.incomeStatement.ebitda,statementData.incomeStatement.ebit,statementData.incomeStatement.eps,statementData.incomeStatement.opex,statementData.incomeStatement.grossProfit,statementData.incomeStatement.epsDil,statementData.incomeStatement.ebt,statementData.incomeStatement.nonControllingInterests,statementData.incomeStatement.opinc,statementData.incomeStatement.taxExp,statementData.incomeStatement.netinc,statementData.incomeStatement.intexp,statementData.incomeStatement.shareswa,statementData.incomeStatement.consolidatedIncome,statementData.incomeStatement.costRev,statementData.incomeStatement.sga,statementData.incomeStatement.revenue,statementData.incomeStatement.netIncComStock,statementData.incomeStatement.prefDVDs,statementData.incomeStatement.rnd,statementData.incomeStatement.netIncDiscOps,statementData.overview.piotroskiFScore,statementData.overview.revenueQoQ,statementData.overview.profitMargin,statementData.overview.currentRatio,statementData.overview.bookVal,statementData.overview.grossMargin,statementData.overview.rps,statementData.overview.epsQoQ,statementData.overview.longTermDebtEquity,statementData.overview.roe,statementData.overview.bvps,statementData.overview.roa
0,2020,3,2020-09-25 00:00:00+00:00,9511600000.0,4870200000.0,728700000.0,11936600000.0,6470600000.0,4372700000.0,1053900000.0,661800000.0,0.0,1207600000.0,-91700000.0,3774700000.0,0.0,0.0,0.0,17199700000.0,13425000000.0,3041000000.0,0.0,0.0,5924100000.0,777100000.0,0.0,1489100000.0,337071495.0,7676100000.0,21400000.0,455000000.0,-39900000.0,481700000.0,16100000.0,0.0,115900000.0,-13300000.0,-31800000.0,0.0,-23600000.0,426100000.0,-26700000.0,0.0,340800000.0,424900000.0,309000000.0,0.62,673000000.0,983400000.0,0.61,265100000.0,0.0,310400000.0,39300000.0,225800000.0,43900000.0,337600000.0,225800000.0,918900000.0,562300000.0,1902300000.0,208500000.0,17300000.0,110700000.0,0.0,5.0,0.0227419354838709,0.516953161961836,1.24126931930286,7688100000.0,0.516953161961836,5.64360982230194,0.107142857142857,0.634462813147301,0.0702345078365684,22.8085142589705,0.030552418781975
1,2020,2,2020-06-26 00:00:00+00:00,9298800000.0,4850000000.0,727600000.0,11969000000.0,6422400000.0,4187800000.0,1051400000.0,664500000.0,0.0,1129200000.0,-156600000.0,3250400000.0,0.0,0.0,0.0,16705700000.0,13455300000.0,2876400000.0,0.0,0.0,5901400000.0,733000000.0,0.0,1063000000.0,336856117.0,7395300000.0,22700000.0,458800000.0,-21000000.0,479200000.0,9500000.0,0.0,119100000.0,-800000.0,-445200000.0,0.0,-23600000.0,22500000.0,-20400000.0,-391200000.0,339700000.0,315200000.0,196100000.0,0.33,623200000.0,814300000.0,0.33,152900000.0,0.0,191100000.0,22900000.0,130000000.0,43200000.0,337300000.0,130000000.0,756900000.0,516600000.0,1571200000.0,112800000.0,17200000.0,106600000.0,300000.0,6.0,-0.157397972864268,0.518266293279022,1.13002364066194,7406900000.0,0.518266293279022,4.66430597726091,-0.297872340425532,0.655821940962503,0.0689331336264957,21.9883197193062,0.0296913937475641
2,2020,1,2020-03-27 00:00:00+00:00,9678400000.0,5980600000.0,720000000.0,12022100000.0,7557300000.0,4098600000.0,303300000.0,650400000.0,0.0,1317600000.0,-193600000.0,3445600000.0,0.0,0.0,0.0,16931700000.0,13486100000.0,2121100000.0,0.0,0.0,6283900000.0,745400000.0,0.0,1040500000.0,336415264.0,7242100000.0,16100000.0,157200000.0,-44200000.0,191000000.0,-28300000.0,0.0,117600000.0,-10600000.0,-283200000.0,0.0,-23500000.0,-164700000.0,-33800000.0,-259000000.0,340000000.0,232200000.0,114600000.0,0.07,756200000.0,875800000.0,0.07,71000000.0,0.0,119600000.0,29100000.0,41900000.0,43600000.0,336800000.0,41900000.0,837700000.0,557200000.0,1713500000.0,24600000.0,17300000.0,113700000.0,400000.0,4.0,0.0757109674179171,0.511117595564634,1.6244401489793,7253300000.0,0.511117595564634,5.09340741447451,-0.840909090909091,0.825810193176012,0.0760478459593504,21.5605555876323,0.0324389029795909
3,2019,4,2019-12-31 00:00:00+00:00,10038800000.0,4987400000.0,726300000.0,12244300000.0,6571600000.0,4128800000.0,1554900000.0,640300000.0,0.0,1384500000.0,-56300000.0,3688800000.0,0.0,0.0,0.0,17439000000.0,13750200000.0,3467200000.0,0.0,0.0,6542300000.0,765500000.0,0.0,1205200000.0,335804183.0,7387000000.0,15900000.0,442500000.0,-587300000.0,475400000.0,18700000.0,0.0,117100000.0,-556200000.0,237900000.0,0.0,-23500000.0,144700000.0,-32900000.0,299300000.0,340900000.0,421300000.0,304200000.0,0.52,740700000.0,1035900000.0,0.51,256700000.0,0.0,295200000.0,63900000.0,192800000.0,47500000.0,336400000.0,192800000.0,966500000.0,629500000.0,2002400000.0,175600000.0,17200000.0,111200000.0,-14000000.0,4.0,0.139345661450925,0.517329204954055,1.06391324411629,7400200000.0,0.517329204954055,5.96299897788944,-0.914614121510673,0.675159063219169,0.0943487905355445,22.0372478207039,0.040462855442991
5,2019,3,2019-09-27 00:00:00+00:00,9496800000.0,5180900000.0,730000000.0,11656100000.0,6580500000.0,3976700000.0,1052200000.0,680700000.0,0.0,1332000000.0,-119600000.0,3465900000.0,0.0,0.0,0.0,16660400000.0,13194500000.0,2916300000.0,0.0,0.0,6233100000.0,693800000.0,0.0,1060500000.0,335533242.0,7151700000.0,16700000.0,349900000.0,-181700000.0,381000000.0,-19500000.0,0.0,116800000.0,-150600000.0,-211400000.0,0.0,-23500000.0,-31600000.0,-31100000.0,-196800000.0,339900000.0,398700000.0,281900000.0,0.56,685600000.0,927700000.0,0.56,234900000.0,0.0,242100000.0,27800000.0,207100000.0,47000000.0,336100000.0,207100000.0,932300000.0,566500000.0,1860000000.0,189800000.0,17300000.0,119100000.0,200000.0,3.0,0.161628778416188,0.498763440860215,1.18845797757432,7163600000.0,0.498763440860215,5.54341498002752,-0.138461538461538,0.724429156704,0.375131748130173,21.3498965327555,0.16789025178999
6,2019,2,2019-06-28 00:00:00+00:00,9445200000.0,5347500000.0,712300000.0,11564100000.0,6654000000.0,3810400000.0,1051300000.0,693700000.0,0.0,1315200000.0,-67600000.0,3436300000.0,0.0,0.0,0.0,16468100000.0,13031800000.0,2791200000.0,0.0,0.0,6398800000.0,697900000.0,0.0,1092100000.0,335099399.0,7011600000.0,15900000.0,234300000.0,-3261600000.0,258800000.0,800000.0,0.0,110400000.0,-3237100000.0,365200000.0,0.0,-23400000.0,-2636800000.0,-24500000.0,391500000.0,339700000.0,358400000.0,248000000.0,0.47,654500000.0,904000000.0,0.46,203600000.0,0.0,249500000.0,29000000.0,174600000.0,44400000.0,335600000.0,174600000.0,960700000.0,537100000.0,1864700000.0,157400000.0,17200000.0,117400000.0,700000.0,3.0,0.164127856161818,0.48479648200783,1.2311192318716,7022900000.0,0.48479648200783,5.56461755993779,-0.44047619047619,0.762664727023789,0.399785454254967,20.9576621771261,0.178453356697859
7,2019,1,2019-03-29 00:00:00+00:00,8793500000.0,4840800000.0,634700000.0,8604500000.0,6153900000.0,3676400000.0,1111300000.0,608300000.0,0.0,1146600000.0,-69400000.0,5796300000.0,0.0,0.0,0.0,15656200000.0,9859900000.0,2639600000.0,0.0,0.0,5952100000.0,667800000.0,0.0,3728900000.0,334631235.0,6850700000.0,12900000.0,132200000.0,-24000000.0,156200000.0,7100000.0,0.0,81900000.0,0.0,2411200000.0,0.0,-23400000.0,2550500000.0,-24000000.0,2458700000.0,339500000.0,300000000.0,218100000.0,0.44,595400000.0,812700000.0,0.43,192800000.0,0.0,217300000.0,28400000.0,164400000.0,25300000.0,335100000.0,164400000.0,780200000.0,486400000.0,1592900000.0,147100000.0,17300000.0,109000000.0,-400000.0,4.0,0.0674842514408256,0.510201519241635,2.19590089407486,6862700000.0,0.510201519241635,4.76016532049078,-0.413333333333333,0.706613922664837,0.444124958335174,20.5082469363626,0.203254139351267
8,2018,4,2018-12-31 00:00:00+00:00,6292700000.0,2974700000.0,576100000.0,8609400000.0,4100600000.0,3552700000.0,455600000.0,574500000.0,0.0,1195100000.0,-86600000.0,3171200000.0,0.0,0.0,0.0,12905600000.0,9734400000.0,2192100000.0,0.0,0.0,3430300000.0,706500000.0,0.0,1178400000.0,333962913.0,6595500000.0,13400000.0,409300000.0,948200000.0,444800000.0,-4300000.0,0.0,88300000.0,10100000.0,-1355400000.0,0.0,-23400000.0,33300000.0,-35500000.0,-1326800000.0,338400000.0,2254600000.0,2166300000.0,6.09,603800000.0,898300000.0,6.0,2139600000.0,0.0,294500000.0,27300000.0,2112300000.0,26700000.0,334400000.0,2112300000.0,859200000.0,495000000.0,1757500000.0,2095000000.0,17300000.0,108800000.0,-1872200000.0,6.0,0.938134097926775,0.511123755334282,1.44664933169107,6612900000.0,0.511123755334282,5.26256039693845,5.27835051546392,0.451019634599348,0.520060696930831,19.8013005114733,0.233062604862588
10,2018,3,2018-09-28 00:00:00+00:00,8013700000.0,3178000000.0,682300000.0,9243200000.0,4534200000.0,2057100000.0,1824500000.0,649200000.0,0.0,1295600000.0,-92800000.0,3414300000.0,0.0,0.0,0.0,13862800000.0,10448500000.0,3479500000.0,0.0,0.0,5002500000.0,758700000.0,0.0,1145100000.0,349152355.0,5830300000.0,13000000.0,357600000.0,-2850600000.0,386700000.0,-14900000.0,0.0,62400000.0,-2815900000.0,1255700000.0,0.0,-24500000.0,-1223100000.0,-29100000.0,1286600000.0,355300000.0,374500000.0,312100000.0,0.65,544300000.0,825900000.0,0.64,289000000.0,0.0,281600000.0,43700000.0,245300000.0,23100000.0,349900000.0,245300000.0,775300000.0,440600000.0,1601200000.0,227900000.0,17400000.0,103700000.0,-31300000.0,5.0,-0.0499020945825669,0.515800649512865,0.981261675528093,5849100000.0,0.515800649512865,4.58596362610815,-0.155844155844156,0.545083443390563,0.23183849081582,16.7522856891514,0.0953772904526975
11,2018,2,2018-06-29 00:00:00+00:00,6344200000.0,2927400000.0,690400000.0,6312800000.0,4045500000.0,1853900000.0,799300000.0,642300000.0,0.0,1187800000.0,-69600000.0,4503400000.0,0.0,0.0,0.0,11986100000.0,7482700000.0,2298700000.0,0.0,0.0,3726700000.0,763500000.0,0.0,2368200000.0,348560770.0,5624600000.0,13400000.0,320100000.0,-25200000.0,341900000.0,-37200000.0,0.0,54200000.0,-1600000.0,1073000000.0,0.0,-24400000.0,1352500000.0,-21800000.0,-251700000.0,355000000.0,422300000.0,368100000.0,0.84,506400000.0,830800000.0,0.83,344200000.0,0.0,324400000.0,49200000.0,295000000.0,23900000.0,349200000.0,295000000.0,771000000.0,404500000.0,1601800000.0,294800000.0,200000.0,101900000.0,-44800000.0,6.0,-0.0165766208251473,0.518666500187289,1.95910732152956,5641900000.0,0.518666500187289,4.59546838848216,0.217391304347826,0.520463677417061,0.273403409592792,16.1862736302769,0.109321836346897
